id,remote_uid,legacy_id,code,chapter,description,is_service,tax_percentage,is_pre_gst,legacy_metadata,created_at,updated_at,is_active
,10231,,6310,6310,"USED OR NEW RAGS, SCRAP TWINE, CORDAGE, ROPE AND CABLES AND WORN OUT ARTICLES OF TWINE, CORDAGE, ROPE OR CABLES, OF TEXT",FALSE,0,FALSE,,,,TRUE
24186,10232,,3909,3909,"AMINO-RESINS, PHENOLIC RESINS AND POLYURETHANES, IN PRIMARY FORMS",FALSE,0,FALSE,,,,TRUE
24187,10233,,3907,3907,"POLYACETALS, OTHER POLYETHERS AND EPOXIDE RESINS, IN PRIMARY FORMS; POLYCARBONATES, ALKYD RESINS, POLYALLYLESTERS AND OT",FALSE,0,FALSE,,,,TRUE
24188,10238,,8507,8507,"ELECTRIC ACCUMULATORS, INCLUDING SEPARATORS THEREFOR, WHETHER OR NOT RECTANGULAR (INCLUDING SQUARE)",FALSE,0,FALSE,,,,TRUE
24189,10249,,6107,6107,"MEN'S OR BOYS UNDERPANTS, BRIEFS, NIGHTSHIRTS, PYJAMAS, BATHROBES, DRESSING GOWNS AND SIMILAR ARTICLES, KNITTED OR CROCH",FALSE,0,FALSE,,,,TRUE
24190,10250,,7606,7606,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM",FALSE,0,FALSE,,,,TRUE
24191,10272,,8533,8533,"ELECTRICAL RESISTORS (INCLUDING RHEOSTATS AND POTENTIOMETERS), OTHER THAN HEATING RESISTORS",FALSE,0,FALSE,,,,TRUE
24192,10275,,4008,4008,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER - OF CELLULAR RUBBER :",FALSE,0,FALSE,,,,TRUE
24193,17142,,50699,5069,OTHER,FALSE,0,FALSE,,,,TRUE
24194,20564,,71399,7139,OTHER,FALSE,0,FALSE,,,,TRUE
24195,10221,,9031,9031,"MEASURING OR CHECKING INSTRUMENTS, APPLIANCES AND MACHINES, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER; PROFILE",FALSE,0,FALSE,,,,TRUE
24196,10223,,3921,3921,"OTHER PLATES, SHEETS, FILM, FOIL AND STRIP, OF PLASTICS - CELLULAR :",FALSE,0,FALSE,,,,TRUE
24197,10224,,3822,3822,"DIAGNOSTIC OR LABORATORY REAGENTS ON A BACKING, PREPARED DIAGNOSTIC OR LABORATORY REAGENTS WHETHER OR NOT ON A BACKING,",FALSE,0,FALSE,,,,TRUE
24198,10228,,8508,8508,VACUUM CLEANERS,FALSE,0,FALSE,,,,TRUE
24199,10229,,9403,9403,OTHER FURNITURE AND PARTS THEREOF,FALSE,0,FALSE,,,,TRUE
24200,10246,,9402,9402,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH",FALSE,0,FALSE,,,,TRUE
24201,10254,,392330,3923,"CARBOYS, BOTTLES, FLASKS AND SIMILAR ARTICLES",FALSE,0,FALSE,,,,TRUE
24202,10303,,100200,1002,RYE,FALSE,0,FALSE,,,,TRUE
24203,10311,,100300,1003,BARLEY,FALSE,0,FALSE,,,,TRUE
24204,10319,,100400,1004,OATS,FALSE,0,FALSE,,,,TRUE
24205,10346,,100700,1007,GRAIN SORGHUM,FALSE,0,FALSE,,,,TRUE
24206,10467,,120100,1201,"SOYA BEANS, WHETHER OR NOT BROKEN",FALSE,0,FALSE,,,,TRUE
24207,10496,,120400,1204,"LINSEED, WHETHER OR NOT BROKEN",FALSE,0,FALSE,,,,TRUE
24208,10503,,120600,1206,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN",FALSE,0,FALSE,,,,TRUE
24209,10748,,150200,1502,"FATS OF BOVINE ANIMALS, SHEEP OR GOATS, OTHER THAN THOSE OF HEADING 1503",FALSE,0,FALSE,,,,TRUE
24210,10770,,150500,1505,WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM (INCLUDING LANOLIN),FALSE,0,FALSE,,,,TRUE
24211,10775,,150600,1506,"OTHER ANIMAL FATS AND OILS AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",FALSE,0,FALSE,,,,TRUE
24212,10795,,151000,1510,"OTHER OILS AND THEIR FRACTIONS OBTAINED SOLELY FROM OLIVES, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED, INCLUD",FALSE,0,FALSE,,,,TRUE
24213,10897,,151800,1518,"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY",FALSE,0,FALSE,,,,TRUE
24214,10918,,152200,1522,DEGRAS RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES :,FALSE,0,FALSE,,,,TRUE
24215,10936,,160300,1603,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",FALSE,0,FALSE,,,,TRUE
24216,11399,,220900,2209,VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID,FALSE,0,FALSE,,,,TRUE
24217,11426,,230400,2304,"OIL-CAKE AND OTHER SOLID RESIDUES WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS, RESULTING FROM THE EXTRACTION OF SOY",FALSE,0,FALSE,,,,TRUE
24218,11432,,230500,2305,"OIL-CAKE AND OTHER SOLID RESIDUES, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS, RESULTING FROM THE EXTRACTION OF GR",FALSE,0,FALSE,,,,TRUE
24219,11551,,250100,2501,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINI",FALSE,0,FALSE,,,,TRUE
24220,11558,,250300,2503,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR",FALSE,0,FALSE,,,,TRUE
24221,11589,,250700,2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED",FALSE,0,FALSE,,,,TRUE
24222,11639,,251200,2512,"SILICEOUS FOSSIL MEALS (FOR EXAMPLE, KIESELGUHR, TRIPOLITE AND DIATOMITE) AND SIMILAR SILICEOUS EARTHS, WHETHER OR NOT",FALSE,0,FALSE,,,,TRUE
24223,11704,,252100,2521,"LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONES, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT",FALSE,0,FALSE,,,,TRUE
24224,11781,,252800,2528,"NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BR",FALSE,0,FALSE,,,,TRUE
24225,11827,,260200,2602,"MANGANESE ORES AND CONCENTRATES, INCLUDING FERRUGINOUS MANGANESE ORES AND CONCENTRATES WITH A MANGANESE CONTENT OF 20%",FALSE,0,FALSE,,,,TRUE
24226,11843,,260600,2606,ALUMINIUM ORES AND CONCENTRATES,FALSE,0,FALSE,,,,TRUE
24227,11854,,261000,2610,CHROMIUM ORES AND CONCENTRATES,FALSE,0,FALSE,,,,TRUE
24228,11869,,261400,2614,TITANIUM ORES AND CONCENTRATES,FALSE,0,FALSE,,,,TRUE
24229,11891,,261900,2619,"SLAG, DROSS (OTHER THAN GRANULATED SLAG), SCALINGS AND OTHER WASTE FROM THE MANUFACTURE OF IRON OR STEEL",FALSE,0,FALSE,,,,TRUE
24230,11931,,270300,2703,"PEAT (INCLUDING PEAT LITTER), WHETHER OR NOT AGGLOMERATED",FALSE,0,FALSE,,,,TRUE
24231,11935,,270400,2704,"COKE AND SEMI-COKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON",FALSE,0,FALSE,,,,TRUE
24232,11944,,270600,2706,"TAR DISTILLED FROM COAL, FROM LIGNITE OR FROM PEAT AND OTHER MINERAL TARS, WHETHER OR NOT DEHYDRATED OR PARTIALLY DISTI",FALSE,0,FALSE,,,,TRUE
24233,12077,,271500,2715,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, ON NATURAL BITUMEN, ON PETROLEUM BITUMEN, ON MINERAL TAR OR ON MINERAL TA",FALSE,0,FALSE,,,,TRUE
24234,12089,,280200,2802,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR",FALSE,0,FALSE,,,,TRUE
