idcompany_gstinfo,cmp_id,cmp_name,gst_num,gst_file,address,city,state_code,state_name,country,pincode,telephone,cst_num,cst_file,vat_num,vat_file,ed_num,ed_file,shippingfirstname,shippinglastname,sap_row_num,gst_type,tan_num,sap_row_num
1160,371,"Amazon Online Sales","No GST Number",NULL,"H50,51 South Avenue, Kamaraj Nagar, Thiruvanmiyur Harmony Emerald Flat 204",Chennai,515,"Tamil Nadu",IN,600041,"8939412207 ",NULL,NULL,NULL,NULL,NULL,NULL,Sairam,Sankaranarayanan,,NULL,NULL,
1164,371,"Amazon Online Sales","No GST Number",NULL,"Serchhip Bazar Veng",Serchhip,508,Mizoram,IN,796181,9436376977,NULL,NULL,NULL,NULL,NULL,NULL,"Jolly ",Lalnuntluanga,,NULL,NULL,
1171,371,"Amazon Online Sales","No GST Number",NULL,"108 Lemon Tree Apartment
Mariyanpalya",Bangalore,501,Karnataka,IN,560024,7411363994,NULL,NULL,NULL,NULL,NULL,NULL,"Althaf ",Ali,,NULL,NULL,
1172,371,"Amazon Online Sales","No GST Number",NULL,"108 Lemon Tree Apartment
Mariyanpalya",Bangalore,501,Karnataka,IN,560024,7411363994,NULL,NULL,NULL,NULL,NULL,NULL,"Althaf ",Ali,,NULL,NULL,
1180,371,"Amazon Online Sales","No GST Number",NULL,"H50,51 South Avenue, Kamaraj Nagar, Thiruvanmiyur Harmony Emerald Flat 204",Chennai,515,"Tamil Nadu",IN,600041,8939412207,NULL,NULL,NULL,NULL,NULL,NULL,"Sairam ",Sankaranarayanan,,NULL,NULL,
1181,371,"Amazon Online Sales","No GST Number",NULL,"108 Lemon Tree Apartment
Mariyanpalya",Bangalore,501,Karnataka,IN,560024,7411363994,NULL,NULL,NULL,NULL,NULL,NULL,"Althaf ",Ali,,NULL,NULL,
1182,371,"Amazon Online Sales","No GST Number",NULL,"PAP-J75, J block, Near Swami Samrth Wajan Kata, Above Orchid Industries, Bhosari MIDC, Bhosari, Pune",Pune,505,Maharashtra,IN,411026,8939412207,NULL,NULL,NULL,NULL,NULL,NULL,"Yashorath ","Electronic Systems",,NULL,NULL,
1183,371,"Amazon Online Sales","No GST Number",NULL,"Serchhip Bazar Veng",Serchhip,508,Mizoram,IN,796181,9436376977,NULL,NULL,NULL,NULL,NULL,NULL,"Jolly ",Lalnuntluanga,,NULL,NULL,
1184,371,"Amazon Online Sales","No GST Number",NULL,"Mathabhanga Division Office WBSEDCL College Road P. O & P. S Mathabhanga","Cooch Behar",519,"West Bengal",IN,736146,9547257388,NULL,NULL,NULL,NULL,NULL,NULL,"Prashant ",Sharma,,NULL,NULL,
1189,371,"Amazon Online Sales","No GST Number",NULL,"F-10 SPS Building, NISER Bhubaneswar",KHORDHA,510,Odisha,IN,752050,9937615317,NULL,NULL,NULL,NULL,NULL,NULL,"Pratap K. ",Sahoo,,NULL,NULL,
1193,371,"Amazon Online Sales","No GST Number",NULL,"Lobosolar Shop No. 3 Gayl Mama Mai Bldg Duler Pequano Duler","North Goa",495,Goa,IN,403507,7350268638,NULL,NULL,NULL,NULL,NULL,NULL,"Dennis ",Lobo,,NULL,NULL,
1194,371,"Amazon Online Sales","No GST Number",NULL,"House no.375
Aenon apartments 2nd Floor (A)Aspen Boys Hostel",Dimapur,509,Nagaland,IN,797112,8787780012,NULL,NULL,NULL,NULL,NULL,NULL,Arenla,.,,NULL,NULL,
1195,371,"Amazon Online Sales","No GST Number",NULL,"BANSURI, ARA248A Monvila, Kulathoor",THIRUVANANTHAPURAM,502,Kerala,IN,695583,9895930830,NULL,NULL,NULL,NULL,NULL,NULL,Smuni,Swami,,NULL,NULL,
