increment_id,doc_entry,sup_code,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
2239,NULL,NULL,1324,100,1,646047,100,0,0,0.00,0.00,1,161.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1742,NULL,NULL,2170,101,1,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter/Tape Splitter 6-1/2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,NULL,NULL,145.00,,,,0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1487,NULL,NULL,2678,102,1,646047,20,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1487,NULL,NULL,5555,102,2,671446,1,0,0,0.00,0.00,1,320.00,"Shipping And Packing",0.00,0.10,0,0,0.00,Freight,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,NULL,5,"6% CST (MH)",0,NULL,NULL,NULL,0,0
1463,NULL,NULL,2729,103,1,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter/Tape Splitter 6-1/2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1451,NULL,NULL,2744,104,1,646047,68,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1451,NULL,NULL,5550,104,2,671446,1,0,0,0.00,0.00,1,320.00,"Shipping And Packing",0.00,0.10,0,0,0.00,Freight,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,NULL,5,"6% CST (MH)",0,NULL,NULL,NULL,0,0
1431,NULL,NULL,5510,105,1,646047,13,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Yellow",0.00,0.10,0,0,219.30,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1431,NULL,NULL,5511,105,2,671446,1,0,0,0.00,0.00,1,500.00,"Shipping And Packing",0.00,0.10,0,0,0.00,Freight,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,NULL,5,"6% CST (MH)",0,NULL,NULL,NULL,0,0
919,NULL,NULL,2246,106,1,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% VAT (MH)",0,NULL,NULL,NULL,0,0
919,NULL,NULL,2247,106,2,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% VAT (MH)",0,NULL,NULL,NULL,0,0
919,NULL,NULL,2248,106,3,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% VAT (MH)",0,NULL,NULL,NULL,0,0
919,NULL,NULL,2249,106,4,646047,28,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% VAT (MH)",0,NULL,NULL,NULL,0,0
919,NULL,NULL,5055,106,5,671446,1,0,0,0.00,0.00,1,770.00,"Shipping And Packing",0.00,0.10,0,0,0.00,Freight,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,NULL,5,"6% VAT (MH)",0,NULL,NULL,NULL,0,0
11,NULL,NULL,1160,107,1,646047,28,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
2998,NULL,NULL,1504,331,1,645563,1,0,0,0.00,0.00,1,714.00,"HACKSAW-STLFrm,450mm-17 3/4,bld-305mm-12",0.00,0.00,0,0,700.00,BM0C7I4,a%3A0%3A%7B%7D,NULL,777.84,,ea,"2-3 days",0,0,NULL,5,"6% CST (MH)",0,NULL,NULL,NULL,0,0
2998,NULL,NULL,3748,331,2,671446,1,0,0,0.00,0.00,1,65.00,"Shipping And Packing",0.00,0.10,0,0,0.00,Freight,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,NULL,5,"6% CST (MH)",0,NULL,NULL,NULL,0,0
918,NULL,NULL,2242,459,1,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% VAT (MH)",0,NULL,NULL,NULL,0,0
1021,NULL,NULL,2743,512,1,646516,10,0,0,0.00,0.00,1,550.00,"Pure Cotton Half Sleeve - Size XL",0.00,0.10,0,0,520.00,BM1A6H8,a%3A0%3A%7B%7D,NULL,613.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
1021,NULL,NULL,3815,512,2,671446,1,0,0,0.00,0.00,1,200.00,"Shipping And Packing",0.00,0.10,0,0,0.00,Freight,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,NULL,2,"13.5% CST (MH)",0,NULL,NULL,NULL,0,0
203,NULL,NULL,1395,517,1,646047,100,0,0,0.00,0.00,1,145.00,"Film Cutter Tape Splitter 6-1 2 In. Ylw",0.00,0.10,0,0,219.00,BM1A7N0,a%3A0%3A%7B%7D,NULL,145.00,,ea,"2-3 days",0,0,NULL,2,"13.5% VAT (MH)",0,NULL,NULL,NULL,0,0
1011,NULL,NULL,5260,540,1,646623,74,0,0,0.00,0.00,1,28.00,"Pu Safewell Back Gloves I Size",0.00,0.10,0,0,26.00,BM1A6J9,a%3A0%3A%7B%7D,NULL,28.00,,pair,"2-3 days",0,0,0,0,NULL,0,NULL,NULL,NULL,0,0
1011,NULL,NULL,5262,540,3,646624,20,0,0,0.00,0.00,1,53.00,"Cut Proof Gloves - Level 2",0.00,0.10,0,0,40.00,BM1A6J0,a%3A0%3A%7B%7D,NULL,53.00,,ea,"2-3 days",0,0,0,0,NULL,0,NULL,NULL,NULL,0,0
1011,NULL,NULL,5263,540,4,646624,30,0,0,0.00,0.00,1,53.00,"Cut Proof Gloves - Level 2",0.00,0.10,0,0,40.00,BM1A6J0,a%3A0%3A%7B%7D,NULL,53.00,,ea,"2-3 days",0,0,0,0,NULL,0,NULL,NULL,NULL,0,0
1011,NULL,NULL,5264,540,5,646622,2,0,0,0.00,0.00,1,520.00,"Karam ES004 Welding Goggles",0.00,0.10,0,0,390.00,BM1A6I9,a%3A0%3A%7B%7D,NULL,520.00,ES004,ea,"2-3 days",0,0,0,0,NULL,0,NULL,NULL,NULL,0,0
1011,NULL,NULL,5265,540,6,646621,2,0,0,0.00,0.00,1,160.00,"Welding Apron - Leather 24  X 36 ",0.00,0.10,0,0,120.00,BM1A6I8,a%3A0%3A%7B%7D,NULL,160.00,,ea,"2-3 days",0,0,0,0,NULL,0,NULL,NULL,NULL,0,0
1011,NULL,NULL,5268,540,9,646625,50,0,0,0.00,0.00,1,19.00,"Polka Dotted Gloves",0.00,0.10,0,0,14.00,BM1A6J1,a%3A0%3A%7B%7D,NULL,19.00,,ea,"2-3 days",0,0,0,0,NULL,0,NULL,NULL,NULL,0,0
