LookUp,inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total
,1,,100000443,BM1A8M0,Amazon.com,10,10-Jan-15,44%,"4,194.00",2360.80,,SELEC FROM PRODUCT,SELEC FROM PRODUCT,12.50%,"5,243",47182.50
,1,,100000443,BM1A8M2,Amazon.com,5,10-Jan-15,38%,"1,055.00",649.40,,,,13.00%,686,5960.75
,1,,100000443,BM1A8M1,Amazon.com,5,10-Jan-15,43%,"1,312.00",746.20,,,,13.00%,853,7412.80
,2,,100000444,BM1A7M2,W. W. Grainger Inc.,200,20-Jan-15,-113%,81,104.00,,,,13.00%,"2,106",18306.00
,2,,100000444,BM1A4Q8,W. W. Grainger Inc.,500,20-Jan-15,-53%,88,81.25,,,,13.00%,"5,720",49720.00
,2,,100000444,BM1A7I9,W. W. Grainger Inc.,600,20-Jan-15,9%,975,536.25,,,,13.00%,"76,050",661050.00
,25,,100000765-1,BM1A7H4,W. W. Grainger Inc.,5,22-Jan-15,82%,"2,340.00",400.40,,,,13.00%,"1,521",13221.00
,2978,,100000241,BM0Z1A1,OKI Bering Middle East FZE,2,18-Feb-15,48%,"19,811.50",7123.00,,,,2.00%,792,40415.46
,3329,,100000187,BM1A5H9,Yusuf Enterprises,1,19-Feb-15,47%,"3,822.00",1884.00,,,,13.00%,497,4318.86
,3329,,100000187,BM1A5I1,Anuj Electricals Pvt. Ltd.,20,19-Feb-15,24%,140.95,100.00,,,,13.00%,366,3185.47
,3329,,100000187,BM1A5H7,Smith Engineering Co.,1,19-Feb-15,39%,"1,623.00",917.00,,,,13.00%,211,1833.99
,3329,,100000187,BM1A5H6,Aditya Stainless (India),50,19-Feb-15,39%,10.04,5.70,,,,13.00%,65,567.26
,3329,,100000187,BM1A5I0,Hemal Trading Co.,2,19-Feb-15,-66%,"2,821.50",4350.00,,,,13.00%,734,6376.59
,3329,,100000187,BM1A5I2,Prestige Agencies,2,19-Feb-15,42%,836,450.00,,,,13.00%,217,1889.36
,3329,,100000187,BM1A5H5,Aditya Stainless (India),25,19-Feb-15,55%,11.36,4.76,,,,13.00%,37,320.92
,3329,,100000187,BM1A5H8,Aditya Stainless (India),50,19-Feb-15,54%,8.8,3.80,,,,13.00%,57,497.20
,48,,100000527-1,BM1A7J7,W. W. Grainger Inc.,4,27-Feb-15,58%,"2,500.00",975.00,,,,13.00%,"1,300",11300.00
,53,,100000529,BM1A7N1,W. W. Grainger Inc.,1,27-Feb-15,34%,"6,950.00",4225.00,,,,13.00%,904,7853.50
,66,,100000530-1,BM1A7A5,W. W. Grainger Inc.,2,27-Feb-15,31%,"1,020.00",650.00,,,,13.00%,265,2305.20
,66,,100000530-1,BM1A7A4,W. W. Grainger Inc.,1,27-Feb-15,36%,"6,550.00",3900.00,,,,13.00%,852,7401.50
,67,,100000534,BM1A7L8,W. W. Grainger Inc.,18,27-Feb-15,31%,508,325.00,,,,13.00%,"1,189",10332.72
,27,,100000526,BM1A7J2,Grainger Industrial Supply India Pvt. Ltd.,1,02-Mar-15,8%,"3,390.00",2040.00,,,,13.00%,441,3830.70
,27,,100000526,BM1A7J2,Grainger Industrial Supply India Pvt. Ltd.,1,02-Mar-15,8%,"3,390.00",2040.00,,,,13.00%,441,3830.70
,27,,100000526,BM1A7Q5,W. W. Grainger Inc.,2,02-Mar-15,13%,"5,685.00",3250.00,,,,13.00%,"1,478",12848.10
,27,,100000526,BM1A6F9,W. W. Grainger Inc.,2,02-Mar-15,23%,"79,906.00",33800.00,,,,13.00%,"20,776",180587.56
,27,,100000526,BM1A6A2,W. W. Grainger Inc.,2,02-Mar-15,36%,"29,563.00",10400.00,,,,13.00%,"7,686",66812.38
,27,,100000526,BM1A6A9,W. W. Grainger Inc.,4,02-Mar-15,49%,"6,522.00",1820.00,,,,13.00%,"3,391",29479.44
,27,,100000526,BM1A7I7,W. W. Grainger Inc.,2,02-Mar-15,52%,"63,997.00",16900.00,,,,13.00%,"16,639",144633.22
,213,,100000546,BM1A8M4,Dkr Impex Pvt. Ltd.,6,03-Mar-15,6%,620,540.00,,,,13.00%,484,4203.60
,203,,100000485,BM1A7N0,W. W. Grainger Inc.,300,04-Mar-15,-4%,145,127.00,,,,13.00%,"5,655",49155.00
,222,,100000516,BM1A7U1,W. W. Grainger Inc.,4,04-Mar-15,27%,"3,123.00",1560.00,,,,13.00%,"1,624",14115.96
,246,,100001359,BM1A7J8,W. W. Grainger Inc.,6,04-Mar-15,34%,736,408.00,,,,13.00%,574,4990.08
,246,,100001359,BM1A6B0,W. W. Grainger Inc.,4,04-Mar-15,47%,"1,665.00",744.00,,,,13.00%,866,7525.80
,246,,100001359,BM1A7Q6,W. W. Grainger Inc.,2,04-Mar-15,52%,"4,860.00",1964.00,,,,13.00%,"1,264",10983.60
,14,,100000523,BM1A7L4,W. W. Grainger Inc.,4,07-Mar-15,33%,797,454.00,,,,13.00%,414,3602.44
,145,,100000540,BM1A7Q4,W. W. Grainger Inc.,1,09-Mar-15,-258%,"4,632.00",2246.00,,,,13.00%,602,5234.16
,211,,100000545,BM1A6M0,Alpha Overseas Int. Pvt Ltd,2,09-Mar-15,53%,"2,898.00",1260.00,,,,2.00%,116,5911.92
,211,,100000545,BM1A6M0,Alpha Overseas Int. Pvt Ltd,1,09-Mar-15,50%,"2,898.00",1260.00,,,,2.00%,58,2955.96
,228,,100000552,BM1A6B6,W. W. Grainger Inc.,1,09-Mar-15,11%,"1,120.00",844.00,,,,13.00%,146,1265.60
,228,,100000552,BM1A7M1,W. W. Grainger Inc.,1,09-Mar-15,24%,"1,233.00",408.00,,,,13.00%,160,1393.29
,228,,100000552,BM1A6B7,W. W. Grainger Inc.,1,09-Mar-15,7%,"1,806.00",877.00,,,,13.00%,235,2040.78
,228,,100000552,BM1A7P8,W. W. Grainger Inc.,1,09-Mar-15,13%,"1,919.00",642.00,,,,13.00%,249,2168.47
