LookUp,quote number,order number,inquiry number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total,%,minus,divide,selling price is not consistent with margin,ORDER NUMBER is a NUMBER
,,201531-1,8618,BM0M6T2,Prachin Industrial Corporation,200,05-Apr-17,29,0.75,0.53,,,,14.00%,21,171,,,,FALSE,FALSE
,,201531-1,8618,BM0M6T3,Prachin Industrial Corporation,200,05-Apr-17,29,0.75,0.53,,,,14.00%,21,171,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N0,Ravi Enterprises (Pune),600,27-Jan-17,-38,0.42,0.55,,,,14.00%,35,287.28,,,,FALSE,FALSE
,,100000113-1,4661,BM1B2N8,Vraj Sales (Guj),1700,31-May-16,6,0.67,0.58,,,,5.00%,57,1195.95,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N1,Ravi Enterprises (Pune),500,27-Jan-17,-35,0.5,0.64,,,,14.00%,35,285,,,,FALSE,FALSE
,,100000774-2,4009,BM1A9C5,C.Parekh and Co.,100,31-Mar-16,68,2,0.65,,,,13.00%,26,226,,,,FALSE,FALSE
,,201531-1,8618,BM0L6N9,Prachin Industrial Corporation,200,05-Apr-17,1,0.73,0.72,,,,14.00%,20,166.44,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4F1,Embassy Office Automation,20,07-Jun-16,61,2.45,0.8,,,,13.00%,6,55.37,,,,FALSE,FALSE
,,201690-2,8990,BM0O4F1,Embassy Office Automation,12,29-Apr-17,68,2.65,0.85,,,,14.00%,4,36.25,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q2,Prachin Industrial Corporation,200,05-Apr-17,-25,0.76,0.95,,,,14.00%,21,173.28,,,,FALSE,FALSE
,,100000727-1,4124,BM0K8H5,Bhavesh Fastners,2000,19-Apr-16,26,1.47,0.99,,,,5.00%,147,3087,,,,FALSE,FALSE
,,201138-1,7329,BM3E2Z5,Ravi Enterprises (Pune),500,27-Jan-17,-1,1.07,1,,,,14.00%,75,609.9,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N2,Ravi Enterprises (Pune),300,27-Jan-17,-33,0.84,1.06,,,,14.00%,35,287.28,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q6,Prachin Industrial Corporation,200,05-Apr-17,-26,0.85,1.07,,,,14.00%,24,193.8,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q3,Prachin Industrial Corporation,200,05-Apr-17,-43,0.76,1.09,,,,14.00%,21,173.28,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q5,Prachin Industrial Corporation,200,05-Apr-17,-31,0.83,1.09,,,,14.00%,23,189.24,,,,FALSE,FALSE
,,201138-1,7329,BM3E2Z9,Ravi Enterprises (Pune),500,27-Jan-17,5,1.43,1.25,,,,14.00%,100,815.1,,,,FALSE,FALSE
,,2000039-1,10089,BM9D3V6,Victor Imports,20000,07-Jul-17,24,2.25,1.6,,,,18.00%,8100,53100,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N3,Ravi Enterprises (Pune),400,27-Jan-17,-35,1.26,1.61,,,,14.00%,71,574.56,,,,FALSE,FALSE
,,100000113-1,4661,BM0Z0A1,Vraj Sales,1000,31-May-16,-34,1.3,1.65,,,,5.00%,65,1365,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N4,Ravi Enterprises (Pune),200,27-Jan-17,-36,1.39,1.79,,,,14.00%,39,316.92,,,,FALSE,FALSE
,,100000113-1,4661,BM1B2N9,Inka Traders,3200,31-May-16,13,2.24,1.8,,,,5.00%,358,7526.4,,,,FALSE,FALSE
,,100000355-2,1667,BM1A8C0,C.Parekh and Co.,100,08-Sep-15,49,3.8,2,,,,2.00%,8,387.6,,,,FALSE,FALSE
,,201690-2,8990,BM0O4F0,Embassy Office Automation,12,29-Apr-17,-113,1.01,2.15,,,,14.00%,2,13.82,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4F0,Embassy Office Automation,20,07-Jun-16,-309,0.55,2.2,,,,13.00%,1,12.43,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3R3,Tirupathi Stationery Mart,500,07-Jun-16,18,3,2.25,,,,13.00%,195,1695,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3R4,Tirupathi Stationery Mart,100,07-Jun-16,18,3,2.25,,,,13.00%,39,339,,,,FALSE,FALSE
,,100000355-2,1667,BM1A8C5,C.Parekh and Co.,200,08-Sep-15,50,4.75,2.49,,,,2.00%,21,969,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E6,Embassy Office Automation,40,29-Apr-17,6,2.65,2.5,,,,14.00%,15,120.84,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4E6,Embassy Office Automation,500,07-Jun-16,10,3,2.5,,,,13.00%,195,1695,,,,FALSE,FALSE
,,201335-1,8168,BM9C8K5,Avi Global Plast Pvt. Ltd.,4800,28-Feb-17,13,3.5,2.8,,,,6.00%,1008,17808,,,,FALSE,FALSE
,,201336-1,8172,BM9C8K5,Avi Global Plast Pvt. Ltd.,600,28-Feb-17,13,3.5,2.8,,,,6.00%,126,2226,,,,FALSE,FALSE
,,201338-1,8175,BM9C8K4,Avi Global Plast Pvt. Ltd.,21000,28-Feb-17,13,3.5,2.8,,,,6.00%,4410,77910,,,,FALSE,FALSE
,,201338-1,8175,BM9C8K5,Avi Global Plast Pvt. Ltd.,15600,28-Feb-17,13,3.5,2.8,,,,6.00%,3276,57876,,,,FALSE,FALSE
,,2000028-1,10058,BM9C8K4,Avi Global Plast Pvt. Ltd.,2100,07-May-17,22,3.8,2.8,,,,18.00%,1436,9416.4,,,,FALSE,FALSE
,,2000028-1,10058,BM9C8K5,Avi Global Plast Pvt. Ltd.,1200,07-May-17,22,3.8,2.8,,,,18.00%,821,5380.8,,,,FALSE,FALSE
,,100000727-1,4124,BM0K9C4,Bhavesh Fastners,5000,19-Apr-16,26,4.34,2.9,,,,5.00%,1085,22785,,,,FALSE,FALSE
,,100001068-1,4685,BM0Z0R4,R.B. Enterprise,48,01-Jul-16,91,217.39,3,,,,5.00%,522,10956.46,,,,FALSE,FALSE
,,100000727-1,4124,BM0K8Q6,Bhavesh Fastners,1000,19-Apr-16,59,8.93,3.06,,,,5.00%,447,9376.5,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4T7,Rose Cleanwell,50,06-Jan-16,56,5,3.2,,,,13.00%,51,282.5,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N5,Ravi Enterprises (Pune),100,27-Jan-17,-36,2.56,3.31,,,,14.00%,36,291.84,,,,FALSE,FALSE
,,201138-1,7329,BM0Z6A3,Ravi Enterprises (Pune),100,27-Jan-17,19,4.6,3.4,,,,14.00%,64,524.4,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4N3,No Supplier Details,50,07-Jun-16,23,5,3.5,,,,13.00%,33,282.5,,,,FALSE,FALSE
,,201020-1,6876,BM9C7Y1,Nexus Corporation,7000,24-Dec-16,-6,3.8,3.75,,,,6.00%,1596,28196,,,,FALSE,FALSE
,,201023-1,7494,BM9C7Y1,Nexus Corporation,7400,24-Dec-16,-6,3.8,3.75,,,,6.00%,1687,29807.2,,,,FALSE,FALSE
,,201025-1,7498,BM9C7Y1,Nexus Corporation,4000,24-Dec-16,-6,3.8,3.75,,,,6.00%,912,16112,,,,FALSE,FALSE
,,201027-1,7501,BM9C7Y1,Nexus Corporation,600,24-Dec-16,-6,3.8,3.75,,,,6.00%,137,2416.8,,,,FALSE,FALSE
,,201028-1,7502,BM9C7Y1,Nexus Corporation,1000,24-Dec-16,-6,3.8,3.75,,,,6.00%,228,4028,,,,FALSE,FALSE
,,201020-1,6876,BM9C7Y1,Nexus Corporation,5000,15-Jan-17,-9,3.8,3.75,,,,6.00%,1140,20140,,,,FALSE,FALSE
,,201023-1,7494,BM9C7Y1,Nexus Corporation,600,15-Jan-17,-87,3.8,3.75,,,,6.00%,137,2416.8,,,,FALSE,FALSE
,,201025-1,7498,BM9C7Y1,Nexus Corporation,1000,15-Jan-17,-27,3.8,3.75,,,,6.00%,228,4028,,,,FALSE,FALSE
,,201027-1,7501,BM9C7Y1,Nexus Corporation,400,15-Jan-17,-9,3.8,3.75,,,,6.00%,91,1611.2,,,,FALSE,FALSE
,,200520-3,6500,BM9C3T5,Bharathi Mro Industrial Products and Solutions Co.,50,19-Oct-16,13,4.88,3.9,,,,14.00%,34,278.16,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4K2,Sundaram Marketing,10,07-Jun-16,0,4.3,4,,,,13.00%,6,48.59,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4K2,Sundaram Marketing,24,06-Jan-16,45,5,4,,,,13.00%,24,135.6,,,,FALSE,FALSE
,,201690-2,8990,BM0O4K2,Sundaram Marketing,20,29-Apr-17,21,5.09,4,,,,14.00%,14,116.05,,,,FALSE,FALSE
,,201138-1,7329,BM0Z6A4,Ravi Enterprises (Pune),100,27-Jan-17,19,5.51,4.05,,,,14.00%,77,628.14,,,,FALSE,FALSE
,,201690-2,8990,BM0O4O2,Benir E Store Solution Pvt. Ltd.,50,29-Apr-17,6,4.35,4.1,,,,14.00%,30,247.95,,,,FALSE,FALSE
,,201690-2,8990,BM0O4I5,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,33,6.47,4.33,,,,14.00%,9,73.76,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E4,Bharathi Mro Industrial Products and Solutions Co.,20,29-Apr-17,-2,4.67,4.75,,,,14.00%,13,106.48,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E4,Bharathi Mro Industrial Products and Solutions Co.,20,29-Apr-17,-2,4.67,4.75,,,,14.00%,13,106.48,,,,FALSE,FALSE
,,100000686-1,4330,BM1B2L8,Arihant Manufacturing Co,300,03-May-16,37,9,5,,,,6.00%,162,2862,,,,FALSE,FALSE
,,200953-1,7343,BM0O4M7,Bharathi Mro Industrial Products and Solutions Co.,100,21-Sep-16,-1,5.41,5.1,,,,14.00%,76,616.74,,,,FALSE,FALSE
,,200437-1,5956,BM9B7J7,TUF KOTE AUTOMOTIVE PVT LTD,50,09-Sep-16,82,45.03,5.1,,,,14.00%,315,2566.71,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E7,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,22,6.9,5.4,,,,14.00%,10,78.66,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E7,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,22,6.9,5.4,,,,14.00%,10,78.66,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E7,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,22,6.9,5.4,,,,14.00%,10,78.66,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4K1,Freesia InCorporation,6,06-Jan-16,64,13.5,5.5,,,,13.00%,13,91.53,,,,FALSE,FALSE
,,201690-2,8990,BM0O4K1,Freesia InCorporation,10,29-Apr-17,67,16.44,5.5,,,,14.00%,23,187.42,,,,FALSE,FALSE
,,201138-1,7329,BM0Z7Z2,Ravi Enterprises (Pune),100,27-Jan-17,19,7.6,5.61,,,,14.00%,106,866.4,,,,FALSE,FALSE
,,200494-1,6306,BM0O4Q4,Bharathi Mro Industrial Products and Solutions Co.,15,29-Sep-16,-4,5.95,5.8,,,,14.00%,12,101.75,,,,FALSE,FALSE
