Inquiry Number,BM #,Description,SO #,Order Date,AR Invoice #,Inquiry Number,AR Invoice Date,Qty,Unit Price,Selling Price (as per SO / AR Invoice),Margin (in %),Tax Type,Tax Rate,Tax Amount,Gross Total Selling
1,BM1A8M0,Triple 8 Brainsaver Rubber Water Helmet (Medium),100000443,10-Jan-15,005/14.15,1,27-Feb-2015,10,4194,41940,44%,12.5% VAT,13%,5243,47183
1,BM1A8M2,Water Proof Flash Light,100000443,10-Jan-15,005/14.15,1,27-Feb-2015,5,1055,5275,38%,12.5% VAT,13%,686,5961
1,BM1A8M1,Under water Light Stick,100000443,10-Jan-15,005/14.15,1,27-Feb-2015,5,1312,6560,43%,12.5% VAT,13%,853,7413
2,BM1A7M2,Safety Glasses Clear Scratch-Resistant,100000444,20-Jan-15,002/14.15,2,26-Feb-2015,200,81,16200,-113%,12.5% VAT,13%,2106,18306
2,BM1A4Q8,G6626 Coated Gloves XL Black/Black PR,100000444,20-Jan-15,002/14.15,2,26-Feb-2015,500,88,44000,-53%,12.5% VAT,13%,5720,49720
2,BM1A7I9,D0726 Mechanics Gloves Black L PR,100000444,20-Jan-15,002/14.15,2,26-Feb-2015,600,975,585000,9%,12.5% VAT,13%,76050,661050
25,BM1A7H4,Epoxy Adhesive Fast Bond 2 oz Tube,100000765-1,22-Jan-15,004/14.15,25,27-Feb-2015,5,2340,11700,82%,12.5% VAT,13%,1521,13221
2978,BM0Z1A1,Petol - Flange Wrench,100000241,18-Feb-15,0586/15.16,2978,28-Mar-2016,2,19811.5,39623,48%,2.0% VAT,2%,792,40415
3329,BM1A5H9,¾” pipe bender,100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,1,3822,3822,47%,12.5% VAT,13%,497,4319
3329,BM1A5I1,4 core cable rated for 32 Amps,100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,20,140.95,2819,24%,12.5% VAT,13%,366,3185
3329,BM1A5H7,"HSS End Mill Cutter As per IS 6353-1991
Prallel Shank
Size : 25mm",100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,1,1623,1623,39%,12.5% VAT,13%,211,1834
3329,BM1A5H6,"S.S.304 GRADE BOLTS M8 – 30 MM

",100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,50,10.04,502,39%,12.5% VAT,13%,65,567
3329,BM1A5I0,"ELCB of 40 amps with break current of 100 mAmps, 4POLE",100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,2,2821.5,5643,-66%,12.5% VAT,13%,734,6377
3329,BM1A5I2,Digital stop watch,100000187,19-Feb-15,0503/15.16,3329,25-Feb-2016,2,836,1672,42%,12.5% VAT,13%,217,1889
3329,BM1A5H5,"S.S.304 GRADE BOLTS M8 – 15 MM
",100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,25,11.36,284,55%,12.5% VAT,13%,37,321
3329,BM1A5H8,S.S.304 GRADE SCREW M6- 15 MM,100000187,19-Feb-15,0496/15.16,3329,22-Feb-2016,50,8.8,440,54%,12.5% VAT,13%,57,497
48,BM1A7J7,Swaged Cartridge Heater,100000527-1,27-Feb-15,003/14.15,48,27-Feb-2015,4,2500,10000,58%,12.5% VAT,13%,1300,11300
53,BM1A7N1,Tubing Heat Shrink Kit,100000529,27-Feb-15,008/14.15,53,27-Feb-2015,1,6950,6950,34%,12.5% VAT,13%,904,7854
66,BM1A7A5,Replacement Key Tags PK 50,100000530-1,27-Feb-15,007/14.15,66,27-Feb-2015,2,1020,2040,31%,12.5% VAT,13%,265,2305
66,BM1A7A4,Key Control Cabinet 120 Units,100000530-1,27-Feb-15,007/14.15,66,27-Feb-2015,1,6550,6550,36%,12.5% VAT,13%,852,7402
67,BM1A7L8,Hose Whip 18 In,100000534,27-Feb-15,006/14.15,67,27-Feb-2015,18,508,9144,31%,12.5% VAT,13%,1189,10333
27,BM1A7J2,Strapping Cutter Regular Duty L 9 In,100000526,02-Mar-15,011/14.15,27,23-Mar-2015,1,3390,3390,8%,12.5% VAT,13%,441,3831
27,BM1A7J2,Strapping Cutter Regular Duty L 9 In,100000526,02-Mar-15,034/15.16,27,27-Apr-2015,1,3390,3390,8%,12.5% VAT,13%,441,3831
27,BM1A7Q5,Stretch Wrap Dispenser 12 in to 20 In.,100000526,02-Mar-15,011/14.15,27,23-Mar-2015,2,5685,11370,13%,12.5% VAT,13%,1478,12848
27,BM1A6F9,H2321 Rolling Cabinet 27 x 18 x 35 In Red,100000526,02-Mar-15,012/14.15,27,30-Mar-2015,2,79906,159812,23%,12.5% VAT,13%,20776,180588
27,BM1A6A2,Utility Cart 500 lb Load Cap.,100000526,02-Mar-15,011/14.15,27,23-Mar-2015,2,29563,59126,36%,12.5% VAT,13%,7686,66812
27,BM1A6A9,Seat Creeper 15-3/4 Lx14-1/2 W x15 H In.,100000526,02-Mar-15,011/14.15,27,23-Mar-2015,4,6522,26088,49%,12.5% VAT,13%,3391,29479
27,BM1A7I7,Utility Cart Steel 41 Lx24 W 2000 lb.,100000526,02-Mar-15,012/14.15,27,30-Mar-2015,2,63997,127994,52%,12.5% VAT,13%,16639,144633
213,BM1A8M4,Leather Safety Shoes Steel Toe,100000546,03-Mar-15,015/15.16,213,15-Apr-2015,6,620,3720,6%,12.5% VAT,13%,484,4204
203,BM1A7N0,Film Cutter/Tape Splitter 6-1/2 In. Ylw,100000485,04-Mar-15,027/14.15,203,31-Mar-2015,300,145,43500,-4%,12.5% VAT,13%,5655,49155
