Sr,Existing Material Name /Description,Make,SKU,New Description,Brand,Category 1,Category 2,Category 3,Cost,HSN,GST,MOQ,UOM,Service,MPN
1,V BELT B-80,Fenner,BM9Z9R3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2080 mm - B80",Fenner,V-Belts,,,297.891,4010,18%,,NOS,,B80
2,SKF-Bearing-6312-2Z,SKF,BM9Z5A4,"SKF Deep Groove Ball Bearing, Bore Dia 60 mm, Outside Dia 130 mm - 6312-2Z",SKF,Other Bearings,,,1481.7,8482,18%,,Each,,6312-2Z
3,Venus-Nose Mask,Venus,BM9Z1P3,VENUS Nose Mask,Venus,Half Mask Respirators,,,6.72,6307,18%,,Each,,
4,V BELT B-96,Fenner,BM9X7Y1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2480 mm - B96",Fenner,V-Belts,,,415.701,4010,18%,,NOS,,B96
5,V BELT C-90,Fenner,BM9W2P6,"FENNER Poly F Plus PB Classical Belt, Pitch length 2340 mm - C90",Fenner,V-Belts,,,534.633,4010,18%,,NOS,,C90
6,V BELT B-42,Fenner,BM9U9H5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1110 mm - B42",Fenner,V-Belts,,,162.129,4010,18%,,NOS,,B42
7,SKF-Bearing-6311-2Z,SKF,BM9U8R9,"SKF Deep Groove Ball Bearing, Bore Dia 55 mm, Outside Dia 120 mm - 6311-2Z",SKF,Other Bearings,,,1265,8482,18%,,Each,,6311-2Z
8,V BELT B-57,Fenner,BM9U3C9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1490 mm - B57",Fenner,V-Belts,,,205.887,4010,18%,,NOS,,B57
9,V BELT A-42,Fenner,BM9U1D8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1100 mm - A42",Fenner,V-Belts,,,131.274,4010,18%,,NOS,,A42
10,V BELT B-88,Fenner,BM9U0E7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2280 mm - B88",Fenner,V-Belts,,,359.04,4010,18%,,NOS,,B88
11,SKF-Bearing-32213 J2/Q,SKF,BM9T1B3,SKF Tapered Roller Bearing - 32213 J2/Q,SKF,Other Bearings,,,1207.14,8482,18%,,Each,,32213 J2/Q
12,SKF-Bearing-6310 2Z,SKF,BM9S6R5,"SKF Deep Groove Ball Bearing, Bore Dia 50 mm, Outside Dia 110 mm - 6310-2Z",SKF,Other Bearings,,,873.84,8482,18%,,Each,,6310-2Z
13,32211 J2/Q-Bearing-32211 J2/Q,SKF,BM9S4Y3,"SKF Tapered Roller Bearing, Bore Dia 55 mm - 32211 j2/Q",SKF,Other Bearings,,,575.52,8482,18%,,Each,,32211 J2/Q
14,V BELT B-58,Fenner,BM9S4P7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1520 mm - B58",Fenner,V-Belts,,,207.009,4010,18%,,NOS,,B58
15,V BELT B-28,Fenner,BM9R1B4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 750 mm - B28",Fenner,V-Belts,,,133.518,4010,18%,,NOS,,B28
16,V BELT A-41,Fenner,BM9Q2T3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1070 mm - A41",Fenner,V-Belts,,,128.469,4010,18%,,NOS,,A41
17,V BELT B-73,Fenner,BM9Q2L8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1900 mm - B73",Fenner,V-Belts,,,278.817,4010,18%,,NOS,,B73
18,V BELT B-35,Fenner,BM9N6E3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 930 mm - B35",Fenner,V-Belts,,,194.106,4010,18%,,NOS,,B35
19,V BELT A-70,Fenner,BM9M7N1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1810 mm - A70",Fenner,V-Belts,,,202.521,4010,18%,,NOS,,A70
20,V BELT B-41,Fenner,BM9M0A9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1080 mm - B41",Fenner,V-Belts,,,159.885,4010,18%,,NOS,,B41
21,V BELT A-20,Fenner,BM9L8L5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 540 mm - A20",Fenner,V-Belts,,,89.76,4010,18%,,NOS,,A20
22,V BELT A-22,Fenner,BM9J9H9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 590 mm - A22",Fenner,V-Belts,,,92.004,4010,18%,,NOS,,A22
23,V BELTÂ  A-26,Fenner,BM9B7Y8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 690 mm - A26",Fenner,V-Belts,,,96.492,4010,18%,,NOS,,A26
24,V BELT B-38,Fenner,BM9A0V1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1010 mm - B38",Fenner,V-Belts,,,150.909,4010,18%,,NOS,,B38
25,V BELT A-62,Fenner,BM0K9H7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1610 mm - A62",Fenner,V-Belts,,,171.105,4010,18%,,NOS,,A62
26,SKF-Bearing-32210 J2/Q,SKF,BM0A4R9,"SKF Tapered Roller Bearing, Inner Dia 50 mm - 32210 J2/Q",SKF,Other Bearings,,,621.06,8482,18%,,Each,,32210 J2/Q
27,SKF-Bearing-32207 J2/Q,SKF,BM0A4R8,"SKF Tapered Roller Bearing, Inner Dia 35 mm - 32207 J2/Q",SKF,Other Bearings,,,467.28,8482,18%,,Each,,32207 J2/Q
28,32014 X/Q-Bearing-32014 X/Q,SKF,BM0A4R5,"SKF Tapered Roller Bearing, Bore Dia 70 mm - 32014 X/Q",SKF,Other Bearings,,,904.86,8482,18%,,Each,,32014 X/Q
29,32007 X/Q-Bearing-32007 X/Q,SKF,BM0A4Q9,"SKF Tapered Roller Bearing, Inner Dia 35 mm - 32007 X/Q",SKF,Other Bearings,,,359.04,8482,18%,,Each,,32007 X/Q
