Make,Client Description,Quantity,UOM,Unit Price,HSN Code,GST%,BM,BULK MRO Description,MFR,Lead Time,IMG_JPG,img_links,Category
FENNER,V BELT B-80,1,Nos,276.012,4010,18%,BM9Z9R3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2080 mm - B80",B80,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
SKF,SKF-Bearing-6312-2Z,1,EACH,1481.7,8482,18%,BM9Z5A4,"SKF Deep Groove Ball Bearing, Bore Dia 60 mm, Outside Dia 130 mm - 6312-2Z",6312-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
VENUS,Venus-Nose Mask,1,EACH,6.72,6307,18%,BM9Z1P3,VENUS Nose Mask,,2-3 Weeks,BM9Z1P3.jpg,https://bulkmro.com/media/chandan-steel/BM9Z1P3.jpg,Half Mask Respirators
FENNER,V BELT B-96,1,Nos,384.846,4010,18%,BM9X7Y1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2480 mm - B96",B96,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT C-90,1,Nos,494.802,4010,18%,BM9W2P6,"FENNER Poly F Plus PB Classical Belt, Pitch length 2340 mm - C90",C90,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-42,1,Nos,150.348,4010,18%,BM9U9H5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1110 mm - B42",B42,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
SKF,SKF-Bearing-6311-2Z,1,EACH,1265,8482,18%,BM9U8R9,"SKF Deep Groove Ball Bearing, Bore Dia 55 mm, Outside Dia 120 mm - 6311-2Z",6311-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
FENNER,V BELT B-57,1,Nos,190.74,4010,18%,BM9U3C9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1490 mm - B57",B57,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT A-42,1,Nos,121.737,4010,18%,BM9U1D8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1100 mm - A42",A42,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-88,1,Nos,332.673,4010,18%,BM9U0E7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2280 mm - B88",B88,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
SKF,SKF-Bearing-32213 J2/Q,1,EACH,1207.14,8482,18%,BM9T1B3,SKF Tapered Roller Bearing - 32213 J2/Q,32213 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6310 2Z,1,EACH,873.84,8482,18%,BM9S6R5,"SKF Deep Groove Ball Bearing, Bore Dia 50 mm, Outside Dia 110 mm - 6310-2Z",6310-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,32211 J2/Q-Bearing-32211 J2/Q,1,EACH,575.52,8482,18%,BM9S4Y3,"SKF Tapered Roller Bearing, Bore Dia 55 mm - 32211 j2/Q",32211 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
FENNER,V BELT B-58,1,Nos,191.862,4010,18%,BM9S4P7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1520 mm - B58",B58,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-28,1,Nos,123.42,4010,18%,BM9R1B4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 750 mm - B28",B28,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT A-41,1,Nos,118.932,4010,18%,BM9Q2T3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1070 mm - A41",A41,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-73,1,Nos,258.06,4010,18%,BM9Q2L8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1900 mm - B73",B73,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-35,1,Nos,137.445,4010,18%,BM9N6E3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 930 mm - B35",B35,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT A-70,1,Nos,187.374,4010,18%,BM9M7N1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1810 mm - A70",A70,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-41,1,Nos,148.104,4010,18%,BM9M0A9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1080 mm - B41",B41,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT A-20,1,Nos,83.028,4010,18%,BM9L8L5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 540 mm - A20",A20,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT A-22,1,Nos,85.272,4010,18%,BM9J9H9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 590 mm - A22",A22,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT  A-26,1,Nos,89.199,4010,18%,BM9B7Y8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 690 mm - A26",A26,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT B-38,1,Nos,139.689,4010,18%,BM9A0V1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1010 mm - B38",B38,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
FENNER,V BELT A-62,1,Nos,158.202,4010,18%,BM0K9H7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1610 mm - A62",A62,2-3 Weeks,FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,https://bulkmro.com/media/chandan-steel/FENNER-Poly-F-Plus-PB-Classical-Belt.jpg,V-Belts
SKF,SKF-Bearing-32210 J2/Q,1,EACH,621.06,8482,18%,BM0A4R9,"SKF Tapered Roller Bearing, Inner Dia 50 mm - 32210 J2/Q",32210 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-32207 J2/Q,1,EACH,467.28,8482,18%,BM0A4R8,"SKF Tapered Roller Bearing, Inner Dia 35 mm - 32207 J2/Q",32207 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,32014 X/Q-Bearing-32014 X/Q,1,EACH,904.86,8482,18%,BM0A4R5,"SKF Tapered Roller Bearing, Bore Dia 70 mm - 32014 X/Q",32014 X/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,32007 X/Q-Bearing-32007 X/Q,1,EACH,359.04,8482,18%,BM0A4Q9,"SKF Tapered Roller Bearing, Inner Dia 35 mm - 32007 X/Q",32007 X/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-31309 J2/QCLN,1,EACH,850.08,8482,18%,BM0A4Q4,"SKF Tapered Roller Bearing, Bore Dia 45 mm - 31309 J2/QCLN",31309 J2/QCLN,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,30308 J2/Q-Bearing-30308 J2/Q,1,EACH,575.52,8482,18%,BM0A4Q0,"SKF Tapered Roller Bearing, Bore Dia 40 mm - 30308 J2/Q",30308 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-30208 J2/Q,1,EACH,555.72,8482,18%,BM0A4P2,"SKF Tapered Roller Bearing, Bore Dia 40 mm - 30208 J2/Q",30208 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-30207 J2/Q,1,EACH,357.06,8482,18%,BM0A4P1,"SKF Tapered Roller Bearing, Bore Dia 35 mm - 30207 J2/Q",30207 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-30205 J23/Q,1,EACH,247.5,8482,18%,BM0A4O9,"SKF Tapered Roller Bearing, Inside Dia 25 mm, Outside Dia 52 mm - 30205 J2/Q",30205 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-30204 J2/Q,1,EACH,232.32,8482,18%,BM0A4O8,"SKF Tapered Roller Bearing, Bore Dia 20 mm - 30204 J2/Q",30204 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-30203 J2/Q,1,EACH,208.56,8482,18%,BM0A4O7,"SKF Tapered Roller Bearing, Bore Dia 17 mm - 30203 J2/Q",30203 J2/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6306 2Z,1,EACH,314.16,8482,18%,BM0A4M2,"SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6306-2Z",6306-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6305 2Z,1,EACH,232.32,8482,18%,BM0A4L0,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6305-2Z",6305-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6304 2Z,1,EACH,161.04,8482,18%,BM0A4J9,"SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6304-2Z",6304-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6303 2Z,1,EACH,182.82,8482,18%,BM0A4I6,"SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6303-2Z",6303-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6203 2Z,1,EACH,114.18,8482,18%,BM0A4H3,"SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6203-2Z",6203-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6202-2Z,1,EACH,91.74,8482,18%,BM0A4G1,"SKF Deep Groove Ball Bearing, Bore Dia 15 mm - 6202-2Z",6202-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6201 2Z,1,EACH,83.16,8482,18%,BM0A4E9,"SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6201-2Z",6201-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6200 2Z,1,EACH,100.98,8482,18%,BM0A4D8,"SKF Deep Groove Ball Bearing, Bore Dia 10 mm - 6200-2Z",6200-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6301 2Z,1,EACH,83.82,8482,18%,BM0A4A3,"SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6301-2Z",6301-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-628 ZZ,1,EACH,89.1,8482,18%,BM0A3Y1,"SKF Deep Groove Ball Bearing, Bore Dia 8 mm - 628-2Z",628-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6212 ZZ,1,EACH,704.88,8482,18%,BM0A3X4,"SKF Deep Groove Ball Bearing, Bore Dia 60 mm - 6212-2Z",6212-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6007 2Z,1,EACH,244.2,8482,18%,BM0A3V8,"SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6007-2Z",6007-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6006 2Z,1,EACH,210.54,8482,18%,BM0A3V0,"SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6006-2Z",6006-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6005 2Z,1,EACH,162.36,8482,18%,BM0A3U3,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6005-2Z",6005-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6004 2Z,1,EACH,146.52,8482,18%,BM0A3T3,"SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6004-2Z",6004-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-580/572/Q,1,EACH,1098.24,8482,18%,BM0A3Q7,"SKF Tapered Roller Bearing, Bore Dia 82.55 mm - 580/572/Q",580/572/Q,2-3 Weeks,SKF-Tapered-Roller-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Tapered-Roller-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6211-2Z,1,EACH,595.98,8482,18%,BM0A3Q1,"SKF Deep Groove Ball Bearing, Bore Dia 55 mm - 6211-2Z",6211-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6210 2Z,1,EACH,467.28,8482,18%,BM0A3P4,"SKF Deep Groove Ball Bearing, Bore Dia 50 mm - 6210-2Z",6210-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6209 2Z,1,EACH,442.2,8482,18%,BM0A3O4,"SKF Deep Groove Ball Bearing, Bore Dia 45 mm - 6209-2Z",6209-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6208 2Z,1,EACH,368.94,8482,18%,BM0A3N6,"SKF Deep Groove Ball Bearing, Bore Dia 40 mm - 6208-2Z",6208-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6207 2Z,1,EACH,308.22,8482,18%,BM0A3M3,"SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6207-2Z",6207-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6003 2Z,1,EACH,132.66,8482,18%,BM0A3L6,"SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6003-2Z",6003-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,6002-2Z-Bearing-6002-2Z,1,EACH,118.14,8482,18%,BM0A3K7,"SKF Deep Groove Ball Bearing, Bore Dia 15 mm - 6002-2Z",6002-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6001-2Z,1,EACH,98.34,8482,18%,BM0A3J9,"SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6001-2Z",6001-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6000,1,EACH,88.44,8482,18%,BM0A3I3,"SKF Deep Groove Ball Bearing, Bore Dia 10 mm - 6000",6000,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6310 N,1,EACH,819.06,8482,18%,BM0A3G9,"SKF Deep Groove Ball Bearing, Bore Dia 50 mm - 6310 N",6310 N,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6309 2Z,1,EACH,862.84,8482,18%,BM0A3G5,"SKF Deep Groove Ball Bearing, Bore Dia 45 mm - 6309-2Z",6309-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6308 2Z,1,EACH,539.88,8482,18%,BM0A3F0,"SKF Deep Groove Ball Bearing, Bore Dia 40 mm - 6308-2Z",6308-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6307 2Z,1,EACH,363,8482,18%,BM0A3D7,"SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6307-2Z",6307-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6206 2Z,1,EACH,314.16,8482,18%,BM0A3B9,"SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6206-2Z",6206-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6205 2Z,1,EACH,211.86,8482,18%,BM0A3A5,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6205-2Z",6205-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6205-2RS1,1,EACH,230.34,8482,18%,BM0A2Z9,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6205-2RS1",6205-2RS1,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
SKF,SKF-Bearing-6204 2Z,1,EACH,160.38,8482,18%,BM0A2Z1,"SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6204-2Z",6204-2Z,2-3 Weeks,SKF-Deep-Groove-Ball-Bearing.jpg,https://bulkmro.com/media/chandan-steel/SKF-Deep-Groove-Ball-Bearing.jpg,Other Bearings
