inquiry_number,order_number,created_at,quote_type,After Change Status,Before Change Status,
29339,,28 Nov 18,ong,New Inquiry,Order Lost,FALSE
29241,,26 Nov 18,bmro,Quotation Sent,Regret,FALSE
29039,,19 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
29009,,16 Nov 18,bmro,Expected Order,Order Lost,FALSE
28997,,16 Nov 18,bmro,Expected Order,Regret,FALSE
28978,,16 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28937,,15 Nov 18,bmro,Quotation Sent,Regret,FALSE
28929,,15 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28886,,13 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28820,,12 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28760,,5 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28737,,3 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28715,10211484,2 Nov 18,bmro,Order Won,Regret,FALSE
28708,,2 Nov 18,bmro,Quotation Sent,Regret,FALSE
28700,,2 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28692,,1 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28685,,1 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28663,,1 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28662,,1 Nov 18,bmro,Quotation Sent,Order Lost,FALSE
28602,,30 Oct 18,bmro,Regret,Order Lost,FALSE
28566,,30 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28429,,24 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28417,,24 Oct 18,bmro,Expected Order,Order Lost,FALSE
28329,,22 Oct 18,bmro,Expected Order,Regret,FALSE
28326,,22 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28317,,22 Oct 18,bmro,Expected Order,Regret,FALSE
28271,,19 Oct 18,bmro,Expected Order,Regret,FALSE
28265,,19 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28205,,16 Oct 18,bmro,Order Lost,Regret,FALSE
28150,,15 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28156,,15 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28173,,15 Oct 18,bmro,Quotation Sent,Regret,FALSE
28130,,13 Oct 18,bmro,Quotation Sent,Regret,FALSE
28081,,12 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28100,,12 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
28069,,11 Oct 18,bmro,Quotation Sent,Regret,FALSE
28038,,11 Oct 18,bmro,Quotation Sent,Order Lost,FALSE
