SKU,Make,BULK MRO Description,Brand,Category,Category 2,Category 3,Cost,HSN,Tax Percentage,MOQ,UOM,Service,MPN
BM1A9O9,TAPARIA,"TAPARIA 25.4mm/1"" Square Drive Socket Accessories 3733",,TAPARIA,,,,,18,,EA,,
BM1Z9F4,,4sq mm copper grounding wire,,,,,600,,13,,EA,,
BM1Z8Z7,,Flow Sensor U1000 PC d25-d115,,,,,90000,,13,,EA,,
BM0Z1F1,,TIME SWITCH - Crystal controlled clock Microcontroller based digital setting 16X2 Char Alphanumeric LCD Display Easy to operate Lithium Battery backup gives Clock backup for several years Industry standard DIN rail Enclosure or Wall mount enclosure Relay contact rating 6 Aat 230 V AC,,,,,1378.32,,6,,EA,,
BM0P0K2,,20 UNF   8.8 -Hex Jam Nut,,,,,13.51,,6,,EA,,
BM0Z0I8,,Immerssion Heaters: Material : SS Voltage : 230-240v Power : 1500W  Tube length : 12-15cm Outer diameter : 6-7mm Handle waterproof,,,,,1128.83,,5,,EA,,
BM0P0J9,,"Rs232cable_xenon  Cable: RS232 (5V signals), black, DB9 Female, 3m (9.8), coiled, 5V external power",,,,,1792.67,,13,,EA,,
BM0Z0I9,,TE200S /63A / 480V / 230V /LGC / DIN /ENG Thyristor Controller,,,,,46816,,13,,EA,,
BM9C4D9,,Knipex Make 97 53 04 Insulation Stripper,,,,,10273,,13,,EA,,
BM9B7R8,,Revolving centre ID NR: 005469,,,,,11361,,0,,EA,,
BM0L0D8,,150 MM PVC CABLE TIE KSS,,,,,0.71,,5,,EA,,
BM9B7M5,,"Fabric 90GSM, Two horizontal and two vertical,",,,,,162.53,,6,,EA,,
BM9C9L6,,HSS Hand reamer M6,,,,,1341,,6,,EA,,
BM0C718,,"STANLEY VDE 3Pc Pliers Set (84-001,84-003, 84-007) -84-011-22
",,,,,3386.5,,0,,EA,,
BM0Q7E2,,"THERMOMETER / TEMPERATURE GUN, RAYTEK:MT4",,,,,2710,,5,,EA,,
BM9C4F8,,Vinyl electrical tape 1.8cm x8mx0.012cm pkt of 20pcs,,,,,262.5,,14,,EA,,
BM00038,,Annual Maintenance Contract for your Model S450xp Salt SprayTest Chamber,,,,,79885,,18,,EA,,
BM00039,,Salt spray S450ip Calibartion,,,,,4718,,18,,EA,,
BM00034,,"Vibration test & Impact test for 2W Lamp AAZA Henkel Technomelt 9393G, (Vibration test ( 60 Hrs)).",,,,,120000,,18,,EA,,
BM00035,,"Vibration test & Impact test for 2W Lamp AAZA Henkel Technomelt 9393G, ( Impact Test (1 Hr)).",,,,,4500,,18,,EA,,
BM00036,,"Vibration test & Impact for YN4 Fog Lamp Henkel Teroson 9092, (Vibration test (16 Hrs)).",,,,,32000,,18,,EA,,
BM00037,,"Vibration test & Impact for YN4 Fog Lamp Henkel Teroson 9092, (Impact test (1 Hr)).",,,,,4500,,18,,EA,,
BM9Y7F5,,FIRMA'S Alu. Heavy Duty Step Ladder Height 4 Ft,,,,,2880,,12,,EA,,
BM9U9M5,,FLANGE SORF 1 1/2'' ASA-150 SS304,,,,,329.81,,18,,EA,,
BM9Y6Q3,,NRV SPRING LOADED SIZE:3# SS,,,,,2234.17,,18,,EA,,
BM9P8F4,,Hood Kit Low,,,,,62445,,18,,EA,,
BM9P8G5,,"Kangaro Plastic Tape Dispenser with Stainless Steel Blade (Black, 3-inch)",,,,,326.4,,18,,EA,,
CUM01,,Cummins KTA,,,,,5043478.26,,0,,EA,,
BM5P9Y7,,Spray tank accessories,,,,,247730.73,,18,,EA,,
