Sr,Existing Material Name /Description,Make,SKU,New Description,Brand,Category 1,Category 2,Category 3,Cost,HSN,Tax Percentage,MOQ,UOM,Service,MPN
60,NATARAJ PENCIL,NATRAJ,BM0O4E9,NATRAJ Pencil,NATRAJ,Office Supplies,Office Supplies,Writing Equipment,38.4,,,1,PACK,,
47,CamlinPermanent Marker Plastic Body,CAMLIN,BM0O4G6,CAMLIN Permanent Marker,CAMLIN,Office Supplies,Writing Equipment,Markers and Highlighters,22.8,,,,NOS,,
9,"Cello Tape 3"""" (Transperant) - Wonder""",SE Wonder,BM0O4J7,"WONDER Cello Tape, Width 3""",WONDER,Adhesives,Tapes,Office Tape,75,,,,NOS,,
90,AA DURACELL (DURACELL),DURACELL,BM0O4L2,DURACELL AA Battery,DURACELL,Electronics and Batteries,Batteries,Batteries,37,,,,NOS,,
111,Bucket 20 ltr,NA,BM1A3V4,"BULK MRO APPROVED Plastic Bucket, Capacity 20 Ltr",BULK MRO APPROVED,Cleaning Equipment,Mops and Accessories,Buckets,200,,,,NOS,,
37,12'' PLASTICRULER (OMEGA),CAMLIN / NATARAJ,BM3X3M8,"CAMLIN Exam Plastic Scale, Length 12""",CAMLIN,Hand Tools,Measuring and Layout Tools,Rulers and Edges,10.8,,,,Nos,,
125,BINDER CLIPS 15 MM (555 MUSIC)(12 Nos),MUSIC,BM3X3O7,"BULK MRO APPROVED Binder Clip, Color Black, Size 15 mm, PK12",BULK MRO APPROVED,Office Supplies,Clips,Binder Clips,22.5,,,,SB,,
126,BINDER CLIPS 19 MM (555 MUSIC) (12 Nos),Gorilla,BM3X3O8,"BULK MRO APPROVED Binder Clip, Color Black, Size 19 mm, PK12",BULK MRO APPROVED,Office Supplies,Clips,Binder Clips,27.5,,,,SB,,
127,BINDER CLIPS 25 MM (555 MUSIC) (12 Nos),Gorilla,BM3X3O9,"BULK MRO APPROVED Binder Clip, Color Black, Size 25 mm, PK12",BULK MRO APPROVED,Office Supplies,Clips,Binder Clips,31.25,,,,SB,,
128,BINDER CLIPS 32 MM (555 MUSIC)(12 Nos),MUSIC,BM3X3P0,"BULK MRO APPROVED Binder Clip, Color Black, Size 32 mm, PK12",BULK MRO APPROVED,Office Supplies,Clips,Binder Clips,43.75,,,,SB,,
124,BINDER CLIP 41MM (Music 555)(12 Nos),MUSIC,BM3X3P1,"BULK MRO APPROVED Binder Clip, Color Black, Size 41 mm, PK12",BULK MRO APPROVED,Office Supplies,Clips,Binder Clips,81.25,,,,PAK,,
12,PAPER WEIGHTS,LOCAL,BM3X3Q1,BULK MRO APPROVED Medium Paper Weight,BULK MRO APPROVED,Office Supplies,,,56.25,,,,NOS,,
55,STAPLER MACHINE HD 45(KANGAROO),Kangaro,BM3X3U4,"KANGARO Stapler, Capacity 30 Sheet - HD-45",KANGARO,Office Supplies,Tape Dispensers and Hole Punches,Staplers,102,,,,NOS,,HD-45
6,CELLO TAPE 1'' (WONDER),APPROX 50MTRS,BM9A4M8,"WONDER Cello Tape, Width 1""",WONDER,Adhesives,Tapes,Office Tape,31.25,,,,NOS,,
11,CELLO TAPE 2'' (Transperant),SE Wonder,BM9A4M9,"WONDER Cello Tape, Width 2""",WONDER,Adhesives,Tapes,Office Tape,56.25,,,,NOS,,
29,CUTTER (BIG) (GORILA),GORILA,BM9A4N7,"GORILA Cutter, Size Big",GORILA,Office Supplies,Calculators and Miscellaneous Office Equipment,Paper Cutters,19.2,,,,NOS,,
89,White Board Marker,CAMLIN,BM9A4P4,CAMLIN White Board Marker,CAMLIN,Office Supplies,Writing Equipment,Markers and Highlighters,23,,,,NOS,,
87,SIGNATURE HERE POST IT,Work Store,BM9A4R1,BULK MRO APPROVED Post It,BULK MRO APPROVED,Office Supplies,,,33,,,,NOS,,
18,Exam pad,SUNDARAM,BM9A4W5,BULK MRO APPROVED Exam Pad,BULK MRO APPROVED,Office Supplies,Notebooks,Notebooks and Writing Pads,100,,,,NOS,,
45,SHEET PROTECTOR FOLDER A/4 (50 No's),NA,BM9A7V5,"BULK MRO APPROVED Sheet Protector Folder, Size A4, No of Sheet 50",BULK MRO APPROVED,Office Supplies,Covers,Protectors,187.5,,,,PACK,,
91,AAA DURACELL (DURACELL),DURACELL,BM9A9U2,DURACELL AAA Battery,DURACELL,Electronics and Batteries,Batteries,Batteries,37,,,,NOS,,
73,PUNCH MACHINE DP 480 MEDIUM (KANGAROO),KANGARO,BM9B5K9,KANGARO Paper Punching Machine - DP 480,KANGARO,Office Supplies,Tape Dispensers and Hole Punches,Hole Punch,108,,,,NOS,,DP 480
69,Pen stand,Prime,BM9E3B1,BULK MRO APPROVED Pen Stand,BULK MRO APPROVED,Furniture and Hospitality,Furniture,Desktop Shelves and Stations,200,,,,NOS,,
88,SKETCH PEN SET 12 COLOUR (LUXOR),LUXOR,BM9E9B3,LUXOR 12 Colour Sketch Pen Set,LUXOR,Office Supplies,Writing Equipment,Markers and Highlighters,22,,,,PACK,,
30,STAPLER SMALL.(Kangaro-10),KANGARO,BM9H7B3,"KANGARO Stapler No 10, Pin Size Small",KANGARO,Office Supplies,,,42,,,,NOS,,
21,Keychain - Local,Prime,BM9I6D1,BULK MRO APPROVED Keychain,BULK MRO APPROVED,Security,Key Control,Key Rings,4.8,,,,NOS,,
61,PUNCH MACHINE - SMALL (KANGAROO),KANGARO,BM9K3M7,KANGARO Small Punching Machine,KANGARO,Office Supplies,Tape Dispensers and Hole Punches,Hole Punch,72,,,,NOS,,
53,Dustpan,NA,BM9P1A8,BULK MRO APPROVED Dustpan,BULK MRO APPROVED,Cleaning Equipment,Brooms and Accessories,Dust Pans,42,,,,NOS,,
43,OHP CD MARKER,NA,BM9Q1H8,BULK MRO APPROVED OHP CD marker,BULK MRO APPROVED,Office Supplies,Writing Equipment,Markers and Highlighters,18,,,,NOS,,
13,CRULL REGISTER 3 QR(SUNNY),NA,BM9S7Z6,BULK MRO APPROVED 3 QR Register,BULK MRO APPROVED,Office Supplies,Notebooks,Recordkeeping Journals,93.75,,,,NOS,,
152,Zip Lock bag 6 x 8 Size - Sav-ex,Regional ,BM9W1R0,"BULK MRO APPROVED Zip Lock Bag, Size 6 X 8""",BULK MRO APPROVED,Furniture and Hospitality,Disposables,Food Service Bags,93.75,,,,NOS,,
32,FLIP CHART,LOCAL,BM9X1J7,BULK MRO APPROVED Flip Chart,BULK MRO APPROVED,Office Supplies,,,243.75,,,,NOS,,
118,Dettol Soap Cool 120gm - Dettol,Dettol,BM9X3Q7,"DETTOL Cool Soap, Weight 120 gsm",Dettol,Cleaning Equipment,Toilet Equipment,Hand Sanitizers and Soap Dispensers,32,,,,NOS,,
50,SCISSORS MEDIUM SIZE,Music 555,BM9Y3Y7,"BULK MRO APPROVED Scissor, Size Medium",BULK MRO APPROVED,Hand Tools,Cutting Tools,Scissors,102,,,,NOS,,
48,Colour Paper A 4 Size - Local,NA,BM9Z8P6,"BULK MRO APPROVED Colour Paper, Size A4",BULK MRO APPROVED,Office Supplies,Notebooks,Copier Paper,306.25,,,,PACK,,
1,1/2 KG RUBBER BAND - 1'',Good Make,,"BULK MRO APPROVED Rubber Band, Size 1"", Packing Weight 1/2 Kg",BULK MRO APPROVED,Office Supplies,Clips,Rubber Bands,225,,,,PACK,,
2,1/2 KG RUBBER BAND - 2'',VANDAN,,"BULK MRO APPROVED Rubber Band, Size 2"", Packing Weight 1/2 Kg",BULK MRO APPROVED,Office Supplies,Clips,Rubber Bands,225,,,,PACK,,
3,1/2 KG RUBBER BAND - 4',VANDAN,,"BULK MRO APPROVED Rubber Band, Size 4"", Packing Weight 1/2 Kg",BULK MRO APPROVED,Office Supplies,Clips,Rubber Bands,225,,,,PACK,,
4,Double sided Tape 1,"1"" FOAM TAPE",,"BULK MRO APPROVED Double Sided Tape, Width 1''",BULK MRO APPROVED,Adhesives,Tapes,Double-Sided Tapes,43.75,,,,NOS,,
5,"Double sided Tape 2""",Regional ,,"BULK MRO APPROVED Double Sided Tape, Width 2''",BULK MRO APPROVED,Adhesives,Tapes,Double-Sided Tapes,87.5,,,,NOS,,
7,Holegaurd,NA,,BULK MRO APPROVED Holegaurd,BULK MRO APPROVED,Office Supplies,,,37.5,,,,NOS,,
8,Colour Hand Towel,NA,,BULK MRO APPROVED Colour Hand Towel,BULK MRO APPROVED,Cleaning Equipment,Paper Products,Paper Towel,31.25,,,,NOS,,
10,BROWN TAPE 2'' 65 mtr,SE WONDER,,"BULK MRO APPROVED Brown Tape, Width 2"", Length 65 Mtr",BULK MRO APPROVED,Adhesives,Tapes,Packaging Tapes,56.25,,,,NOS,,
14,12'' STEEL RULER (OMEGA),OMEGA,,"OMEGA Steel Ruller, Size 12""",OMEGA,Hand Tools,Measuring and Layout Tools,Rulers and Edges,43.75,,,,No,,
15,A/4 Bilt P3COPIER 75GSM,Staples / Workstore,,"BULK MRO APPROVED Bilt P3 Copier Paper, Thickness 75 gsm, Size A4",BULK MRO APPROVED,Office Supplies,Notebooks,Copier Paper,185,,,,PAK,,
16,PAPER PHOTOCOPIER A4 75GSM JK Sparkle,JK,,"JK Sparkle Copier Paper, Size A4, Thickness 75 gsm",JK,Office Supplies,Notebooks,Copier Paper,185,,,,PACK,,
17,A/4 PUNCH FOLDER THICK ONE (SPS),SPS Pack Of 50,,"SPS Punch Folder, Size A/4",SPS,Office Supplies,Files and Folders,File Folders,250,,,,NOS,,
19,File Divider 1/8 100pcs,ASHAPURA,,"BULK MRO APPROVED 1/8 File Divider, PK100",BULK MRO APPROVED,Office Supplies,Clipboards and Binders,Index Tabs,250,,,,PACK,,
20,I D Card Blak Holder - Local,Regional ,,"BULK MRO APPROVED ID Card Holder, Colour Blak",BULK MRO APPROVED,Security,Security Alarms,Security Identification Supplies,12,,,,NOS,,
22,Empty Bottle (Thick) - Perlpet,PEARLPET,,PEARLPET Empty Bottle,PEARLPET,Office Supplies,,,42,,,,NOS,,
23,White Board Dusters,NA,,BULK MRO APPROVED White Board Duster,BULK MRO APPROVED,Office Supplies,Cleaners,Dry Erase Board Cleaners,42,,,,NOS,,
24,SCISSORS SMALL SIZE,Music 555,,"BULK MRO APPROVED Scissor, Size Small",BULK MRO APPROVED,Hand Tools,Cutting Tools,Scissors,54,,,,NOS,,
25,MEASURING TAPE 5.0MTR,NA,,"BULK MRO APPROVED Measuring Tape, Length 5 Mtr",BULK MRO APPROVED,Hand Tools,Measuring and Layout Tools,Measuring Tapes,93.75,,,,NOS,,
26,Button Cell Lr(Calculator Cell) - Maxell,NA,,BULK MRO APPROVED Calculator Cell,BULK MRO APPROVED,Office Supplies,Calculators and Miscellaneous Office Equipment,Calculators,72,,,,NOS,,
27,GREEN LEDGER PAPER 70 GSM(BILT),NA,,"BULK MRO APPROVED Ledger Paper, Colour Green, Thickness 70 gsm",BULK MRO APPROVED,Office Supplies,Notebooks,Copier Paper,343.75,,,,PACK,,
28,TAPE CELLO DISPENSER,Omega,,BULK MRO APPROVED Cello Tape Dispensar,BULK MRO APPROVED,Material Handling Equipment,Tape Dispensers and Packing Equipment,Tape Machines,200,,,,NOS,,
31,BINDER CLIP 28MM,Well Make,,"BULK MRO APPROVED Binder Clip, Size 28 mm",BULK MRO APPROVED,Office Supplies,Clips,Binder Clips,26.4,,,,PAK,,
33,CRULL REGISTER 6 QR(SUNNY),REGIONAL; GOOD QUALITY,,BULK MRO APPROVED 6 QR Register,BULK MRO APPROVED,Office Supplies,Notebooks,Recordkeeping Journals,175,,,,NOS,,
34,Air Freshner 300ml - Concord,CONCORD,,"CONCORD Air Freshner, Pack Size 300 ml",CONCORD,Cleaning Equipment,Odor Control,Air Freshener Dispensers and Refills,137.5,,,,NOS,,
35,BOX FILE (KANGAROO CLIP),AYUSH,,AYUSH Box File,AYUSH,Office Supplies,Files and Folders,File Boxes,57.6,,,,NOS,,
36,STAMP PADS INK (LION),GOLDEN / ASHOKA / LION,,BULK MRO APPROVED Stamp Pad Ink,BULK MRO APPROVED,Office Supplies,Ink Pads,Ink Pads and Refills,24,,,,Nos,,
38,BALL PEN (USE & THROW)(BALLY)(20Nos),NA,,"BULK MRO APPROVED Use and Throw Ball Pen, PK20",BULK MRO APPROVED,Office Supplies,Writing Equipment,Pens,54,,,,PAK,,
39,BILT MATRIX 5 SUBJECT NOTE BOOK 21 X 14,A5 SIZE,,"BULK MRO APPROVED 5 Subject Notebook, Size 21 X 14""",BULK MRO APPROVED,Office Supplies,Notebooks,Notebooks and Writing Pads,144,,,,NOS,,
40,CUTTER (SMALL) (GORILA),NA,,"BULK MRO APPROVED Cutter, Size Small",BULK MRO APPROVED,Hand Tools,Cutting Tools,Specialty Cutters,10.8,,,,NOS,,
41,FLAT SPRING FILE (KANGAROO CLIP)(ALPHA),Elite,,ELITE Flat Spring File with Kangaroo Clip,ELITE,Office Supplies,Files and Folders,File Folders,18,,,,NOS,,
42,A/4 L .FOLDER COLOUR (NEO),NEO,,"NEO L Folder, Colour Neo, Size A/4",NEO,Office Supplies,,,10.8,,,,NOS,,
44,Moser Baer 52xCDR 100CB Spindle,NA,,MOSER BAER 52XCD-R 100CB Spindle,MOSER BAER,Miscellaneous,,,1125,,,,PACK,,
46,MAGNETIC BUTTONS (OMEX)(6Nos),MILAN,,"MILAN Magnetic Button, 6 Piece",MILAN,Office Supplies,,,90,,,,PACK,,
49,BILT MATRIX 5 SUBJECT NOTE BOOK 14 X 10,NA,,"BULK MRO APPROVED 5 Subject Notebook, Size 14 X 10""",BULK MRO APPROVED,Office Supplies,Notebooks,Notebooks and Writing Pads,120,,,,NOS,,
51,Cello Gripper Ballpen (5 Nos),NA,,"CELLO Gripper Ball Pen, PK5",CELLO,Office Supplies,Writing Equipment,Pens,42,,,,PAK,,
52,Godrej Knife - Godrej,Staples / Workstore,,BULK MRO APPROVED Knife,BULK MRO APPROVED,Hand Tools,Cutting Tools,Utility Knives and Blades,168,,,,NOS,,
54,STAPLER PIN NO.10 (KANGAROO)(20Nos),Kangaroo,,"Kangaroo No 10 Stapler Pin, 20 Piece",Kangaroo,Office Supplies,Tape Dispensers and Hole Punches,Staplers,132,,,,NOS,,
