Sr,SKU,New Description,Brand,Mfr,HSN,Tax Rate
1,BM0O4E9,NATRAJ Pencil,NATRAJ,,9609,12%
2,BM0O4G6,CAMLIN Permanent Marker,CAMLIN,,9608,12%
3,BM0O4J7,"WONDER Cello Tape, Width 3""",WONDER,,3919,18%
4,BM0O4L2,DURACELL AA Battery,DURACELL,,8506,18%
5,BM1A3V4,"BULK MRO APPROVED Plastic Bucket, Capacity 20 Ltr",BULK MRO APPROVED,,3926,18%
6,BM3X3M8,"CAMLIN Exam Plastic Scale, Length 12""",CAMLIN,,3926,18%
7,BM3X3O7,"BULK MRO APPROVED Binder Clip, Color Black, Size 15 mm, PK12",BULK MRO APPROVED,,8305,18%
8,BM3X3O8,"BULK MRO APPROVED Binder Clip, Color Black, Size 19 mm, PK12",BULK MRO APPROVED,,8305,18%
9,BM3X3O9,"BULK MRO APPROVED Binder Clip, Color Black, Size 25 mm, PK12",BULK MRO APPROVED,,8305,18%
10,BM3X3P0,"BULK MRO APPROVED Binder Clip, Color Black, Size 32 mm, PK12",BULK MRO APPROVED,,8305,18%
11,BM3X3P1,"BULK MRO APPROVED Binder Clip, Color Black, Size 41 mm, PK12",BULK MRO APPROVED,,8305,18%
12,BM3X3Q1,BULK MRO APPROVED Medium Paper Weight,BULK MRO APPROVED,,4016,12%
13,BM3X3U4,"KANGARO Stapler, Capacity 30 Sheet - HD-45",KANGARO,HD-45,8472,18%
14,BM9A4M8,"WONDER Cello Tape, Width 1""",WONDER,,3919,18%
15,BM9A4M9,"WONDER Cello Tape, Width 2""",WONDER,,3919,18%
16,BM9A4N7,"GORILA Cutter, Size Big",GORILA,,8203,18%
17,BM9A4P4,CAMLIN White Board Marker,CAMLIN,,3215,12%
18,BM9A4R1,BULK MRO APPROVED Post It,BULK MRO APPROVED,,4901,5%
19,BM9A4W5,BULK MRO APPROVED Exam Pad,BULK MRO APPROVED,,3926,18%
20,BM9A7V5,"BULK MRO APPROVED Sheet Protector Folder, Size A4, No of Sheet 50",BULK MRO APPROVED,,3926,18%
21,BM9A9U2,DURACELL AAA Battery,DURACELL,,8506,18%
22,BM9B5K9,KANGARO Paper Punching Machine - DP 480,KANGARO,DP 480,8462,18%
23,BM9E3B1,BULK MRO APPROVED Pen Stand,BULK MRO APPROVED,,9608,12%
24,BM9E9B3,LUXOR 12 Colour Sketch Pen Set,LUXOR,,9608,12%
25,BM9H7B3,"KANGARO Stapler No 10, Pin Size Small",KANGARO,,8472,18%
26,BM9I6D1,BULK MRO APPROVED Keychain,BULK MRO APPROVED,,7326,18%
27,BM9K3M7,KANGARO Small Punching Machine,KANGARO,,8462,18%
28,BM9P1A8,BULK MRO APPROVED Dustpan,BULK MRO APPROVED,,9603,18%
29,BM9Q1H8,BULK MRO APPROVED OHP CD marker,BULK MRO APPROVED,,9608,12%
30,BM9S7Z6,BULK MRO APPROVED 3 QR Register,BULK MRO APPROVED,,4820,18%
31,BM9W1R0,"BULK MRO APPROVED Zip Lock Bag, Size 6 X 8""",BULK MRO APPROVED,,3926,18%
32,BM9X1J7,BULK MRO APPROVED Flip Chart,BULK MRO APPROVED,,4820,18%
33,BM9X3Q7,"DETTOL Cool Soap, Weight 120 gsm",Dettol,,3401,18%
34,BM9Y3Y7,"BULK MRO APPROVED Scissor, Size Medium",BULK MRO APPROVED,,8213,18%
35,BM9Z8P6,"BULK MRO APPROVED Colour Paper, Size A4",BULK MRO APPROVED,,4810,12%
36,BM9P8Z0,"BULK MRO APPROVED Rubber Band, Size 1"", Packing Weight 1/2 Kg",BULK MRO APPROVED,,4016,12%
37,BM9T9I7,"BULK MRO APPROVED Rubber Band, Size 2"", Packing Weight 1/2 Kg",BULK MRO APPROVED,,4016,12%
38,BM9H4Y9,"BULK MRO APPROVED Rubber Band, Size 4"", Packing Weight 1/2 Kg",BULK MRO APPROVED,,4016,12%
39,BM9Z9I6,"BULK MRO APPROVED Double Sided Tape, Width 1''",BULK MRO APPROVED,,3919,18%
40,BM9X9B2,"BULK MRO APPROVED Double Sided Tape, Width 2''",BULK MRO APPROVED,,3919,18%
41,BM9I7Q8,BULK MRO APPROVED Holegaurd,BULK MRO APPROVED,,8414,12%
42,BM9S5H9,BULK MRO APPROVED Colour Hand Towel,BULK MRO APPROVED,,5601,12%
43,BM9F2O1,"BULK MRO APPROVED Brown Tape, Width 2"", Length 65 Mtr",BULK MRO APPROVED,,3919,18%
44,BM9O5Y9,"OMEGA Steel Ruller, Size 12""",OMEGA,,9017,12%
45,BM9I6N3,"BULK MRO APPROVED Bilt P3 Copier Paper, Thickness 75 gsm, Size A4",BULK MRO APPROVED,,4802,12%
46,BM9S4O4,"JK Sparkle Copier Paper, Size A4, Thickness 75 gsm",JK,,4806,12%
47,BM9H0U1,"SPS Punch Folder, Size A/4",SPS,,3926,18%
48,BM9E3I3,"BULK MRO APPROVED 1/8 File Divider, PK100",BULK MRO APPROVED,,3926,18%
49,BM9A6A6,"BULK MRO APPROVED ID Card Holder, Colour Blak",BULK MRO APPROVED,,3926,18%
50,BM9H6Z1,PEARLPET Empty Bottle,PEARLPET,,3924,18%
51,BM9A9V4,BULK MRO APPROVED White Board Duster,BULK MRO APPROVED,,9610,18%
52,BM9Z8T8,"BULK MRO APPROVED Stainless Steel Scissor, Size Small",BULK MRO APPROVED,,9610,18%
53,BM9X0Y4,"BULK MRO APPROVED Measuring Tape, Length 5 Mtr",BULK MRO APPROVED,,9017,12%
54,BM9R6H1,BULK MRO APPROVED Calculator Cell,BULK MRO APPROVED,,8506,18%
55,BM9P0N6,"BULK MRO APPROVED Ledger Paper, Colour Green, Thickness 70 gsm",BULK MRO APPROVED,,4802,12%
56,BM9A2Z0,BULK MRO APPROVED Cello Tape Dispensar,BULK MRO APPROVED,,3919,18%
57,BM9O3K5,"BULK MRO APPROVED Binder Clip, Size 28 mm",BULK MRO APPROVED,,8305,18%
58,BM9W9E8,BULK MRO APPROVED 6 QR Register,BULK MRO APPROVED,,4820,18%
59,BM9Y3F8,"CONCORD Air Freshner, Pack Size 300 ml",CONCORD,,3307,18%
60,BM9Y3L6,AYUSH Box File,AYUSH,,4819,12%
61,BM9U8K4,BULK MRO APPROVED Stamp Pad Ink,BULK MRO APPROVED,,3215,12%
62,BM9V1I8,"BULK MRO APPROVED Use and Throw Ball Pen, PK20",BULK MRO APPROVED,,9608,12%
63,BM9L7B1,"BULK MRO APPROVED 5 Subject Notebook, Size 21 X 14""",BULK MRO APPROVED,,4802,12%
64,BM9O0D2,"BULK MRO APPROVED Cutter, Size Small",BULK MRO APPROVED,,8208,18%
65,BM9K8I1,ELITE Flat Spring File with Kangaroo Clip,ELITE,,7320,18%
66,BM9K5I9,"NEO L Folder, Colour Neo, Size A/4",NEO,,3926,18%
67,BM9K1T8,MOSER BAER 52XCD-R 100CB Spindle,MOSER BAER,,8501,18%
68,BM9M2L0,"MILAN Magnetic Button, 6 Piece",MILAN,,9606,18%
69,BM9Y7I2,"BULK MRO APPROVED 5 Subject Notebook, Size 14 X 10""",BULK MRO APPROVED,,4802,12%
70,BM9O3I7,"CELLO Gripper Ball Pen, PK5",CELLO,,9608,12%
71,BM9O0C3,BULK MRO APPROVED Knife,BULK MRO APPROVED,,8211,12%
72,BM9P0K9,"Kangaroo No 10 Stapler Pin, 20 Piece",Kangaroo,,7317,18%
73,BM9R6U6,"BULK MRO APPROVED Plastic Bucket, Capacity 16 Ltr",BULK MRO APPROVED,,3924,18%
74,BM9T5X9,"LEXI Ball Pen, Color Blue, PK10",LEXI,,9608,12%
75,BM9U5B4,"PIDILITE Fevi Quick, Pack Size 1 gms",Pidilite,,3505,18%
76,BM9L4F0,JACKSON Tissue Box,JACKSON,,3926,18%
77,BM9Q9A5,SPS Spring Clip File - 301,SPS,301,4819,12%
78,BM9U8K4,BULK MRO APPROVED Stamp Pad Ink,BULK MRO APPROVED,,3215,12%
