Sr,SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
1,BM9B5Z6,3M Hard Coated Clear Safety Goggles - 11850  ,3M Hard Coated Clear Safety Goggle - 11850,3M,11850,
2,BM9C5L8,3M Virtua-IN Unisex Safety Eyewear - 11850,3M Hard Coated Clear Safety Goggle - 11850,3M,11850,TRUE
3,BM9J3V7,3M 1709IN+ with Clear lens Hardcoat with adjustable temples,"3M Anti-Scratch Safety Spectacle, Lens Colour Clear - 1709IN",3M,1709IN,
4,BM9J1E4,"3M Plain Safety Goggles For Visitor, Colour White - 1709IN","3M Anti-Scratch Safety Spectacle, Lens Colour Clear - 1709IN",3M,1709IN,TRUE
5,BM0K8J5,Safety Goggle - Over -1079IN - 3M - BM0K8J5,"3M Anti-Scratch Safety Spectacle, Lens Colour Clear - 1709IN",3M,1709IN,TRUE
6,BM9N3Z7,"3M Safety Goggle, Colour Clear - 1621 Chemical Goggles ","3M Chemical Protection Safety Goggles, Colour Clear - 1621",3M,1621,
7,BM9K9A5,3M 9000ING Disposable Dust,"3M Disposable Dust/Mist Respirator, Colour Grey, PK100 - 9000ING",3M,9000ING,
8,BM3X4Y9,3M Dust Mask - 9000ING,"3M Disposable Dust/Mist Respirator, Colour Grey, PK100 - 9000ING",3M,9000ING,TRUE
9,BM9M5W7,Dust Respirator,"3M Disposable Dust/Mist Respirator, Colour Grey, PK100 - 9000ING",3M,9000ING,TRUE
10,BM9M5U1,Nose Mask - BM9M5U1,"3M Disposable Dust/Mist Respirator, Colour Grey, PK100 - 9000ING",3M,9000ING,TRUE
11,BM9D4K3,"3M Disposable Nose Mask without Exhalation Valve, 50 Piece - FFP1","3M Disposable Nose Mask without Exhalation Valve, 50 Piece - FFP1",3M,FFP1,
12,BM9G8H7,"3M Dust Mist Prefilter, Colour White - 5N11 - BM9G8H7","3M Dust Mist Prefilter, Colour White - 5N11",3M,5N11,
13,BM4H8O2,"3M Particulate Filter, NIOSH Approved N95 - 5N11","3M Dust Mist Prefilter, Colour White - 5N11",3M,5N11,TRUE
14,BM9G1W5,"3M Dust/Mist Respirator, Colour Gray - BM9G1W5","3M Dust/Mist Respirator, Colour Gray - 9004",3M,9004,
15,BMD0R3S,"3M Black/Green Ear Muff, 27dB H7A","3M Earmuff, Colour Black/Green, Noise Level 27 dB - H7A",3M,H7A,
16,BM9W9D7,"Grinding Disc 4 ""","3M Grinding Disc, Size 4",3M,,
17,BM9Z1T2,Grinding disc: Dia-4: Make-3M,"3M Grinding Disc, Size 4",3M,,TRUE
18,BM1A9W0,3M 1710IN Wit Hardcoat Adjtemples ,"3M Hardcoat Safety Goggle, Colour Clear - 1710IN",3M,1710IN,
19,BM9H2H4,3M Organic Vapour Protection Mask -9913IN,3M Organic Vapour Protection Mask -9913IN,3M,9913IN,
20,BM9M2Q2,"3M Optime Earmuff, Colour Red, Black - H10A","3M PELTOR Optime Over-the-Head Ear Muff, Colour Black and Red, Noise Reduction Rating 30 dB - H10A",3M,H10A,
21,BM9D1K3,"3M Peltor Optime Over the Head Earmuffs, 25 dB - H10A","3M PELTOR Optime Over-the-Head Ear Muff, Colour Black and Red, Noise Reduction Rating 30 dB - H10A",3M,H10A,TRUE
22,BM3B8H1,3M Ratchet Type White Helmet - H-401R-400,"3M Ratchet Type Safety Helmet, Colour White - H401R",3M,H-401R,
23,BM9M5U7,Reflective jacket with 3M,3M Reflective Jacket,3M,,
24,BM9P1X5,3M Self Adhesive Yellow(3M Self Adhesive Yellow),"3M Self Adhesive, Colour Yellow",3M,,
25,BM9M5M1,Safety Glasses (Antifogg),"3M Virtua IN Anti Fog Safety Goggles, Lens Color Clear - 11880",3M,11880,
26,BM9P1J4,Dust Mask8240 R95(9004V),"3M White Disposable Dust/Mist Respirator, Colour White - 9004V",3M,9004V,
27,BM0O4K8,A ONE Staff Attendance Register 2 Qr,A ONE 2 Qr Staff Attendance Register,A ONE,,
28,BM0O4O8,A ONE Nylon scrubber,A ONE Nylon Scrubber,A ONE,,
29,BM0O4K6,A ONE Spiral book A4,"A ONE Spiral Book, Size A4",A ONE,,
30,BM9K3N4,A-1 Dustbin Bags - BM9K3N4,A1 Dustbin Bag,A1,,
31,BM0O4R3,A1 Steel Wool ,A1 Steel Wool,A1,,
32,BM9F5Z2,"ABB 3 Phase Contactor, Voltage Range 24-60 V, Max Voltage 1000 V,Weight 15 kg, Circuit 60 Hz - AF750-30-11","ABB 3 Phase Contactor, Voltage Range 24-60 V, Max Voltage 1000 V,Weight 15 kg, Circuit 60 Hz - AF750-30-11",ABB,AF750-30-11,
33,BM9K6X7,"Induction Motor, 5HP , 3.70 KW, 4 pole, Frame M2BA112M4 , Flange mounting","ABB 4 Pole Enclosed Flange Mounted Fan Cooled Squirrel Cage Motor, Power 5 HP, Speed 1500 rpm - M2BA112M4",ABB,M2BA112M4,
34,BM9F5Z1,"ABB MCCB T6N1000PR221DS-LS/I 4P Electronic Circuit Breaker, Current 1000 Amp, 3 Pole, Capacity 36kA - 1SDA060542R1","ABB 4 Pole Moulded Case Circuit Breaker, Rated Current 1000A, Breaking Capacity 36KA - 1SDA060542R1",ABB,1SDA060542R1,
35,BM9P3M4,"RELAY-ABB,CRMO 24VDC 4LD WITHOUT BASE","ABB CR-M024DC4L Pluggable Interface Relay, Voltage 24V DC - 1SVR405613R1100",ABB,1SVR405613R1100,
36,BM9C9U8,"ABB Mini Contactors, 3 Pole, AC Operated with Screw Connection - B07-30-01","ABB VB7-30-01-01 3 Pole Mini Reversing Contactor?, Voltage 24V DC - GJL1311901R0011",ABB,GJL1311901R0011,
37,BM9G5W9,"ABBOT Isomil Soy Infant Pow Tin, 400 gms","ABBOTT Isomil Soy Infant Pow Tin, Size 400 gms",ABBOTT,,
38,BM9N6T8,"ABC Ball Bearing, OD 62 mm, ID 25 mm - 6305 ZZ","ABC Ball Bearing, Outer Dia 62 mm, Inner Dia 25 mm - 6305 ZZ",ABC,6305 ZZ,
39,BM9L4J2,Issue/return register (pages 250),"ABD Issue/Return Register, No of Page 250",ABD,,
40,BM9L4J1,Student attendance register (250)-ABD,"ABD Student Attendance Register, No of Page 250",ABD,,
41,BM0K8L3,MASKING TAPE 5123.48MM x 20Mtrs,"ABRO Masking Tape, Width 48 mm, Length 20 Mtr - 5123",ABRO,5123,
42,BM9A5D6,"ACCUD Digital Caliper Resolution, 01mm/.0005"" with Output - 111-006-12","ACCUD Digital Vernier Caliper, Range 0-150 mm, Resolution 0.01 mm - 111-006-12",ACCUD,111-006-12,
43,BM9A3H5,"ACCUD Digital Vernier Caliper, Range 0-150 mm, Resolution 0.01 mm - 111-006-12","ACCUD Digital Vernier Caliper, Range 0-150 mm, Resolution 0.01 mm - 111-006-12",ACCUD,111-006-12,TRUE
44,BM9A5D7,"ACCUD Digital Caliper Resolution, .01mm/.0005"" with Output - 111-012-12","ACCUD Digital Vernier Caliper, Range 0-300 mm, Resolution 0.01 mm - 111-012-12",ACCUD,111-012-12,
45,BM9A3H6,"ACCUD Digital Vernier Caliper, Range 0-300 mm, Resolution 0.01 mm - 111-012-12","ACCUD Digital Vernier Caliper, Range 0-300 mm, Resolution 0.01 mm - 111-012-12",ACCUD,111-012-12,TRUE
46,BM9F2K4,"ACCURATE Alluminium Ladder, Size 12 Feet","ACCURATE Aluminum Ladder, Size 12 Ft",ACCURATE,,
47,BM9F2K3,"ACCURATE Alluminium Ladder, Size 8 Feet","ACCURATE Aluminum Ladder, Size 8 Ft",ACCURATE,,
48,BM9G3U7,"ACCURATE Digital Weighing Scale, Capacity 500 gms, Accuracy 0.01 gms","ACCURATE Digital Weighing Scale, Capacity 500 gms, Accuracy 0.01 gms",ACCURATE,,
49,BM9N5Z1,"ACCURATE Fiberglass Trestle Step Ladder, Height 6 ft","ACCURATE Fiberglass Trestle Step Ladder, Height 6 ft",ACCURATE,,
50,BM9M9S6,"ACCUWEIGH Digital Weighing Machine with Glass Body, Capacity 150 Kg - 9300","ACCUWEIGH Digital Weighing Machine with Glass Body, Capacity 150 Kg - 9300",ACCUWEIGH,9300,
51,BM9M9R8,"ACCUWEIGH Digital Weighing Machine with Plastic Body, Capacity 180 Kg, Finish Leather - 6171","ACCUWEIGH Digital Weighing Machine with Plastic Body, Capacity 180 Kg, Finish Leather - 6171",ACCUWEIGH,6171,
52,BM9D9J7,"ACCUWEIGH Digital Weighing Scale for Jewellery and Commercial Purposes, Capacity - 500 gms, Accuracy - 0.01 gm","ACCUWEIGH Digital Weighing Scale for Jewellery and Commercial Purposes, Capacity 500 gms, Accuracy 0.01 gm",ACCUWEIGH,,
53,BM9L9L8,"ACCUWEIGH Electronic Weigh Scale, Capacity 50 kg, Accuracy 10 gm, Body ABS, Display Backlight LCD","ACCUWEIGH Electronic Weighing Scale, Capacity 50 Kg, Accuracy 10 gm, Body Material ABS, Display Backlight LCD",ACCUWEIGH,,
54,BM9U1Z7,High Visibility Traffic Vest,ACME High Visibility Traffic Vest,ACME,,
55,BM9T3P7,ACUROFLOC AT124  (Polyelectrolyte Anionic)  (10 kg bag),"ACUROFLOC Anionic Polyelectrolyte Powder, Packing Size 10 Kg - AT124",ACUROFLOC,,
56,BM9T3E5,ACUROFLOC CN530  (Polyelectrolyte Cationic)    (10 kg bag),"ACUROFLOC Polyelectrolyte Cationic Powder, Packing Size 10 Kg - CN530",ACUROFLOC,,
57,BM1A9I6,ADDISON M10 Hand Tap 50062539,"ADDISON Hand Tap, Dia M10 - 50062539",ADDISON,50062539,
58,BM1A9I7,ADDISON M12 Hand Tap 50062537,"ADDISON Hand Tap, Dia M12 - 50062537",ADDISON,50062537,
59,BM1A9I8,ADDISON M14 Hand Tap 50062535,"ADDISON Hand Tap, Dia M14 - 50062535",ADDISON,50062535,
60,BM1A9I9,ADDISON M16 Hand Tap 50062533,"ADDISON Hand Tap, Dia M16 - 50062533",ADDISON,50062533,
61,BM1A9J0,ADDISON M18 Hand Tap 50062531,"ADDISON Hand Tap, Dia M18 - 50062531",ADDISON,50062531,
62,BM1A9I1,ADDISON M2 Hand Tap 50062549,"ADDISON Hand Tap, Dia M2 - 50062549",ADDISON,50062549,
63,BM1A9J1,ADDISON M20 Hand Tap 50062529,"ADDISON Hand Tap, Dia M20 - 50062529",ADDISON,50062529,
64,BM0Z1J8,ADDISON M22 Hand Tap 50062527,"ADDISON Hand Tap, Dia M22 - 50062527",ADDISON,50062527,
65,BM0Z1J9,ADDISON M24 Hand Tap 50062525,"ADDISON Hand Tap, Dia M24 - 50062525",ADDISON,50062525,
66,BM0Z1K0,ADDISON M27 Hand Tap 50062523,"ADDISON Hand Tap, Dia M27 - 50062523",ADDISON,50062523,
67,BM0Z1K1,ADDISON M30 Hand Tap 50062521,"ADDISON Hand Tap, Dia M30 - 50062521",ADDISON,50062521,
68,BM0Z1K2,ADDISON M36 Hand Tap 50062519,"ADDISON Hand Tap, Dia M36 - 50062519",ADDISON,50062519,
69,BM1A9I2,ADDISON M4 Hand Tap 50062547,"ADDISON Hand Tap, Dia M4 - 50062547",ADDISON,50062547,
70,BM1A9I3,ADDISON M5 Hand Tap 50062545,"ADDISON Hand Tap, Dia M5 - 50062545",ADDISON,50062545,
71,BM1A9I4,ADDISON M6 Hand Tap 50062543,"ADDISON Hand Tap, Dia M6 - 50062543",ADDISON,50062543,
72,BM1A9I5,ADDISON M8 Hand Tap 50062541,"ADDISON Hand Tap, Dia M8 - 50062541",ADDISON,50062541,
73,BM9V6X2,HSS Carbide tip drill bit 10 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 10 mm",ADDISON,,
74,BM9S2L4,HSS Carbide tip drill bit 3 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 3 mm",ADDISON,,
75,BM9R5S2,HSS Carbide tip drill bit 4 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 4 mm",ADDISON,,
76,BM9Z5U6,HSS Carbide tip drill bit 5 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 5 mm",ADDISON,,
77,BM9X4A5,HSS Carbide tip drill bit 6 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 6 mm",ADDISON,,
78,BM9R7Y5,HSS Carbide tip drill bit 7 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 7 mm",ADDISON,,
79,BM9Z7A8,HSS Carbide tip drill bit 8 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 8 mm",ADDISON,,
80,BM9X5C4,HSS Carbide tip drill bit 9 MM,"ADDISON High Speed Steel Carbide Tip Drill Bit, Size 9 mm",ADDISON,,
81,BM9E2U8,"ADDISON HSS Hand Tap, M16 X 2 P","ADDISON HSS Hand Tap, Dia M16, Pitch 2 mm",ADDISON,,
82,BM9E2U7,"ADDISON HSS Hand Tap, M20 X 2.5P","ADDISON HSS Hand Tap, Dia M20, Pitch 2.5 mm",ADDISON,,
83,BM0Z1K3,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 1mm 50062551","ADDISON HSS Parallel Shank Twist Drill, Dia 1 mm - 50062551",ADDISON,50062551,
84,BM0Z1L2,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 10mm 50062560","ADDISON HSS Parallel Shank Twist Drill, Dia 10 mm - 50062560",ADDISON,50062560,
85,BM0Z1K4,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 2mm 50062552","ADDISON HSS Parallel Shank Twist Drill, Dia 2 mm - 50062552",ADDISON,50062552,
86,BM0Z1K5,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 3mm 50062553","ADDISON HSS Parallel Shank Twist Drill, Dia 3 mm - 50062553",ADDISON,50062553,
87,BM0Z1P3,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 3.2mm 50062601","ADDISON HSS Parallel Shank Twist Drill, Dia 3.2 mm - 50062601",ADDISON,50062601,
88,BM0Z1K6,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 4mm 50062554","ADDISON HSS Parallel Shank Twist Drill, Dia 4 mm - 50062554",ADDISON,50062554,
89,BM0Z1P4,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 4.5mm 50062602","ADDISON HSS Parallel Shank Twist Drill, Dia 4.5 mm - 50062602",ADDISON,50062602,
90,BM0Z1K7,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 5mm 50062555","ADDISON HSS Parallel Shank Twist Drill, Dia 5 mm - 50062555",ADDISON,50062555,
91,BM0Z1P5,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 5.5mm 50062603","ADDISON HSS Parallel Shank Twist Drill, Dia 5.5 mm - 50062603",ADDISON,50062603,
92,BM0Z1K8,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 6mm 50062556","ADDISON HSS Parallel Shank Twist Drill, Dia 6 mm - 50062556",ADDISON,50062556,
93,BM0Z1P6,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 6.5mm 50062604","ADDISON HSS Parallel Shank Twist Drill, Dia 6.5 mm - 50062604",ADDISON,50062604,
94,BM0Z1K9,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 7mm 50062557","ADDISON HSS Parallel Shank Twist Drill, Dia 7 mm - 50062557",ADDISON,50062557,
95,BM0Z1L0,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 8mm 50062558","ADDISON HSS Parallel Shank Twist Drill, Dia 8 mm - 50062558",ADDISON,50062558,
96,BM0Z1P7,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 8.4mm 50062605","ADDISON HSS Parallel Shank Twist Drill, Dia 8.4 mm - 50062605",ADDISON,50062605,
97,BM0Z1L1,"ADDISON HSS Parallel Shank Twist Drills, Daimeter 9mm 50062559","ADDISON HSS Parallel Shank Twist Drill, Dia 9 mm - 50062559",ADDISON,50062559,
98,BM0Z1L3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 11mm 50062561","ADDISON HSS Taper Shank Twist Drill, Dia 11 mm - 50062561",ADDISON,50062561,
100,BM0Z1P8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 11.5mm 50062606","ADDISON HSS Taper Shank Twist Drill, Dia 11.5 mm - 50062606",ADDISON,50062606,
102,BM0Z1L4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 12mm 50062562","ADDISON HSS Taper Shank Twist Drill, Dia 12 mm - 50062562",ADDISON,50062562,
104,BM0Z1P9,"ADDISON HSS Taper Shank Twist Drills, Daimeter 12.5mm 50062607","ADDISON HSS Taper Shank Twist Drill, Dia 12.5 mm - 50062607",ADDISON,50062607,
106,BM0Z1L5,"ADDISON HSS Taper Shank Twist Drills, Daimeter 13mm 50062563","ADDISON HSS Taper Shank Twist Drill, Dia 13 mm - 50062563",ADDISON,50062563,
108,BM0Z1Q0,"ADDISON HSS Taper Shank Twist Drills, Daimeter 13.5mm 50062608","ADDISON HSS Taper Shank Twist Drill, Dia 13.5 mm - 50062608",ADDISON,50062608,
110,BM0Z1L6,"ADDISON HSS Taper Shank Twist Drills, Daimeter 14mm 50062564","ADDISON HSS Taper Shank Twist Drill, Dia 14 mm - 50062564",ADDISON,50062564,
112,BM0Z1Q1,"ADDISON HSS Taper Shank Twist Drills, Daimeter 14.5mm 50062609","ADDISON HSS Taper Shank Twist Drill, Dia 14.5 mm - 50062609",ADDISON,50062609,
114,BM0Z1L7,"ADDISON HSS Taper Shank Twist Drills, Daimeter 15mm 50062565","ADDISON HSS Taper Shank Twist Drill, Dia 15 mm - 50062565",ADDISON,50062565,
116,BM0Z1Q2,"ADDISON HSS Taper Shank Twist Drills, Daimeter 15.5mm 50062610","ADDISON HSS Taper Shank Twist Drill, Dia 15.5 mm - 50062610",ADDISON,50062610,
118,BM0Z1L8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 16mm 50062566","ADDISON HSS Taper Shank Twist Drill, Dia 16 mm - 50062566",ADDISON,50062566,
120,BM0Z1Q3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 16.5mm 50062611","ADDISON HSS Taper Shank Twist Drill, Dia 16.5 mm - 50062611",ADDISON,50062611,
122,BM0Z1L9,"ADDISON HSS Taper Shank Twist Drills, Daimeter 17mm 50062567","ADDISON HSS Taper Shank Twist Drill, Dia 17 mm - 50062567",ADDISON,50062567,
124,BM0Z1Q4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 17.5mm 50062612","ADDISON HSS Taper Shank Twist Drill, Dia 17.5 mm - 50062612",ADDISON,50062612,
125,BM0Z1M0,"ADDISON HSS Taper Shank Twist Drills, Daimeter 18mm 50062568","ADDISON HSS Taper Shank Twist Drill, Dia 18 mm - 50062568",ADDISON,50062568,
127,BM0Z1Q5,"ADDISON HSS Taper Shank Twist Drills, Daimeter 18.5mm 50062613","ADDISON HSS Taper Shank Twist Drill, Dia 18.5 mm - 50062613",ADDISON,50062613,
129,BM0Z1M1,"ADDISON HSS Taper Shank Twist Drills, Daimeter 19mm 50062569","ADDISON HSS Taper Shank Twist Drill, Dia 19 mm - 50062569",ADDISON,50062569,
131,BM0Z1Q6,"ADDISON HSS Taper Shank Twist Drills, Daimeter 19.5mm 50062614","ADDISON HSS Taper Shank Twist Drill, Dia 19.5 mm - 50062614",ADDISON,50062614,
133,BM0Z1M2,"ADDISON HSS Taper Shank Twist Drills, Daimeter 20mm 50062570","ADDISON HSS Taper Shank Twist Drill, Dia 20 mm - 50062570",ADDISON,50062570,
135,BM0Z1Q7,"ADDISON HSS Taper Shank Twist Drills, Daimeter 20.5mm 50062615","ADDISON HSS Taper Shank Twist Drill, Dia 20.5 mm - 50062615",ADDISON,50062615,
137,BM0Z1M3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 21mm 50062571","ADDISON HSS Taper Shank Twist Drill, Dia 21 mm - 50062571",ADDISON,50062571,
139,BM0Z1Q8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 21.5mm 50062616","ADDISON HSS Taper Shank Twist Drill, Dia 21.5 mm - 50062616",ADDISON,50062616,
141,BM0Z1M4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 22mm 50062572","ADDISON HSS Taper Shank Twist Drill, Dia 22 mm - 50062572",ADDISON,50062572,
143,BM0Z1Q9,"ADDISON HSS Taper Shank Twist Drills, Daimeter 22.5mm 50062617","ADDISON HSS Taper Shank Twist Drill, Dia 22.5 mm - 50062617",ADDISON,50062617,
145,BM0Z1M5,"ADDISON HSS Taper Shank Twist Drills, Daimeter 23mm 50062573","ADDISON HSS Taper Shank Twist Drill, Dia 23 mm - 50062573",ADDISON,50062573,
146,BM0Z1R0,"ADDISON HSS Taper Shank Twist Drills, Daimeter 23.5mm 50062618","ADDISON HSS Taper Shank Twist Drill, Dia 23.5 mm - 50062618",ADDISON,50062618,
147,BM0Z1M6,"ADDISON HSS Taper Shank Twist Drills, Daimeter 24mm 50062574","ADDISON HSS Taper Shank Twist Drill, Dia 24 mm - 50062574",ADDISON,50062574,
148,BM0Z1R1,"ADDISON HSS Taper Shank Twist Drills, Daimeter 24.5mm 50062619","ADDISON HSS Taper Shank Twist Drill, Dia 24.5 mm - 50062619",ADDISON,50062619,
150,BM0Z1M7,"ADDISON HSS Taper Shank Twist Drills, Daimeter 25mm 50062575","ADDISON HSS Taper Shank Twist Drill, Dia 25 mm - 50062575",ADDISON,50062575,
151,BM0Z1R2,"ADDISON HSS Taper Shank Twist Drills, Daimeter 25.5mm 50062620","ADDISON HSS Taper Shank Twist Drill, Dia 25.5 mm - 50062620",ADDISON,50062620,
153,BM0Z1M8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 26mm 50062576","ADDISON HSS Taper Shank Twist Drill, Dia 26 mm - 50062576",ADDISON,50062576,
154,BM0Z1R3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 26.5mm 50062621","ADDISON HSS Taper Shank Twist Drill, Dia 26.5 mm - 50062621",ADDISON,50062621,
156,BM0Z1M9,"ADDISON HSS Taper Shank Twist Drills, Daimeter 27mm 50062577","ADDISON HSS Taper Shank Twist Drill, Dia 27 mm - 50062577",ADDISON,50062577,
