SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
BM9E7E1,"TAPARIA Octagonal Chisel, Cutting Edge 16 mm - 102 - BM9E7E1","TAPARIA Octagonal Chisel, Cutting Edge 16 mm - 102",TAPARIA,102,
BM9K1Z9,"TAPARIA Octagonal Chisel, Size 150 X 16 mm - 102","TAPARIA Octagonal Chisel, Cutting Edge 16 mm - 102",TAPARIA,102,TRUE
BM9G5A9,TAPARIA Octagonal Chisel - 104,"TAPARIA Octagonal Chisel, Cutting Edge 22 mm - 104",TAPARIA,104,
BM9K9X4,Octagonal Chisel 200 MM-105-Taparia - BM9K9X4,"TAPARIA Octagonal Chisel, Overall Length 200 mm - 105",TAPARIA,105,
BM9W9H9,Loctite 243 - 250 ML,"LOCTITE Thread Locking Adhesive, Pack Size 250 ml, Colour Blue - 243",LOCTITE,243,
BM9Z7X2,"LOCTITE-270 , 50 ML PACKÂ","LOCTITE High Strength Thread Locking Adhesive, Size 50 ml - 270",LOCTITE,270,
BM9Q1J2,"LOCTITE -401, 50 ml","LOCTITE Instant Adhesive, Pack Size 50 ml - 401",LOCTITE,401,
BM9P9S8,Dymax Model 475 Valve,"DYMAX Pneumatic Diaphragm Dispensing Valve, Operating Air Pressure 60-80 Psi - 475",DYMAX,475,
BM9C3M7,"LOCTITE 542 Thread Sealant, Capacity 50 ml","LOCTITE Thread Sealant, Capacity 50 ml - 542",LOCTITE,542,
BM9C3N1,"LOCTITE 567 Thread Sealant, Capacity 250 ml","LOCTITE Thread Sealant, Capacity 250 ml - 567",LOCTITE,567,
BM9C3M9,"LOCTITE 567 Thread Sealant, Capacity 50 ml","LOCTITE Thread Sealant, Capacity 50 ml - 567",LOCTITE,567,
BM9R7Q8,"LOCTITE Flange Sealant, Size 50 ml - 577","LOCTITE Flange Sealant, Size 50 ml - 577",LOCTITE,577,
BM9C3M8,"LOCTITE 577 Thread Sealant, Capacity 250 ml","LOCTITE Thread Sealant, Capacity 250 ml - 577",LOCTITE,577,
BM9S2T1,Safety Shoes,BULWARK Safety Shoes - 627,BULWARK,627,
BM9X5D3,"Safety Shoes , Size - 11","BULWARK Safety Shoes, Size 11 - 627",BULWARK,627,
BM9Z9A1,"Safety Shoes , Size - 6","BULWARK Safety Shoes, Size 6 - 627",BULWARK,627,
BM9Z7A4,"Safety Shoes , Size - 7","BULWARK Safety Shoes, Size 7 - 627",BULWARK,627,
BM9T6C9,"Safety Shoes , Size - 8","BULWARK Safety Shoes, Size 8 - 627",BULWARK,627,
BM9Q3N9,"Safety Shoes , Size - 9","BULWARK Safety Shoes, Size 9 - 627",BULWARK,627,
BM9A2Y7,"LOCTITE Retaining Compound, Capacity 250 ml - 641","LOCTITE Retaining Compound, Capacity 250 ml - 641",LOCTITE,641,
BM9R5N6,TAPARIA MAKE SCREW DRIVER NO-725,"TAPARIA Flat Screwdriver, Length 248 mm - 725",TAPARIA,725,
BM9D2B5,"TAPARIA Flat Tip Screw Drivers, 8 X 150 mm - 725","TAPARIA Flat Screwdriver, Length 248 mm - 725",TAPARIA,725,TRUE
BM9X7S4,3M 764 Lane Marking Tape (Black) 2inch x 33 mtr,"3M General Purpose Vinyl Tape, Colour Black, Width 2"", Length 33 Mtr - 764",3M,764,
BM9P6X6,3M 764 Lane Marking Tape (Blue) 2inch x 33 mtr,"3M General Purpose Vinyl Tape, Colour Blue, Width 2"", Length 33 Mtr - 764",3M,764,
BM9T4Y6,3M 764 Lane Marking Tape (Green) 2inch x 33 mtr,"3M General Purpose Vinyl Tape, Colour Green, Width 2"", Length 33 Mtr - 764",3M,764,
BM9Q3N8,3M 764 Lane Marking Tape (RED) 2inch x 33 mtr,"3M General Purpose Vinyl Tape, Colour RED, Width 2"", Length 33 Mtr - 764",3M,764,
BM9Z7S2,3M 764 Lane Marking Tape (WHITE) 2inch x 33 mtr,"3M General Purpose Vinyl Tape, Colour White, Width 2"", Length 33 Mtr - 764",3M,764,
BM9Z5R5,3M 764 Lane Marking Tape (Yellow) 2inch x 33 mtr,"3M General Purpose Vinyl Tape, Colour Yellow, Width 2"", Length 33 Mtr - 764",3M,764,
BM9U7B9,"3M 764 Lane Marking Tape (Yellow), 2Ã¢â‚¬Â x 33mtr","3M General Purpose Vinyl Tape, Colour Yellow, Width 2"", Length 33 Mtr - 764",3M,764,TRUE
BM0C4G7,"TAPARIA Screwdriver Set, 5 Piece - 802","TAPARIA Screwdriver Set, 5 Piece - 802",TAPARIA,802,
BM9U3J7,Alnico Power Magnets Pack of 5,"ECLIPSE Alnico Power Magnets, Length 40 mm, PK5 - 812",ECLIPSE,812,
BM9U5Q4,screw driver set 812,"TAPARIA Screw Driver Set, 5 Piece - 812",TAPARIA,812,
BM9B8B8,"TAPARIA Screw Driver Set with Neon Bulb, 5 Piece - 812 - BM9B8B8","TAPARIA Screw Driver Set, 5 Piece - 812",TAPARIA,812,TRUE
BM1Z8W6,TAPARIA Screw Driver Sets (Special With Neon Bulbs) 812,"TAPARIA Screw Driver Set, 5 Piece - 812",TAPARIA,812,TRUE
BM9V3Y2,screw driver set,"TAPARIA Screwdriver Set, 5 Piece - 812",TAPARIA,812,TRUE
BM0C4G8,"TAPARIA Screwdriver Set, 5 Piece - 812","TAPARIA Screwdriver Set, 5 Piece - 812",TAPARIA,812,TRUE
BM9K9X7,813 Taparia - BM9K9X7,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,
BM9L1C9,813 Taparia - BM9L1C9,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9L1J9,813 Taparia - BM9L1J9,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9L1K2,813 Taparia - BM9L1K2,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9U3Z2,line tester ( screw driver) 813,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9A6J9,"TAPARIA Screwdriver with Neon Bulb Yellow Handle, 130 mm - 813","TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9N5S4,"TAPARIA Screwdriver, Colour Yellow, Blade Length 130 mm - 813","TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM0K9L1,"TAPARIA Taparia Electronic Tester- (yellow) small, 813 813 - BM0K9L1","TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM0K9L2,"TAPARIA Taparia Electronic Tester- (yellow) small, 813 813 - BM0K9L2","TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9J9W4,TAPARIA Tester Screwdriver with Neon Bulb - 813,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM0K9G0,TESTER YELLOW Taparia â€“ BM0K9G0,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9T8E7,Tester 813,"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9X6S5,line tester ( screw driver),"TAPARIA Line Tester, Length 130 mm - 813",TAPARIA,813,TRUE
BM9K9X6,814 Taparia - BM9K9X6,"TAPARIA Line Tester, Length 125 mm - 814",TAPARIA,814,
BM9L1C8,814 Taparia - BM9L1C8,"TAPARIA Line Tester, Length 125 mm - 814",TAPARIA,814,TRUE
