Code,INSIDE SALES PERSON,Inquiry Number,BM #,Description,Company Alias,SO #,Order Date,AR Invoice #,AR Invoice Date,Qty,Selling Price (as per SO / AR Invoice),Total Landed Cost,Margin,Margin (in % ),Client Order #,Client Order Date,Unit Price,Freight,Tax Type,Tax Rate,Tax Amount,Gross Total Selling,Buying Rate,Buying Total,Invoice Value,Invoice Value With TAX,SO Month Code,NON-ONG / ONG,Price Currency,Document Rate,Magento Company Name,AR Month Code,Magento Supplier Name,Supplier PO #,AP Invoice #,Qty,AP Invoice Value (Not for Margin Calculation),Cost of Good Sold (viz. Sales Qty),Customs,International Freight,Domestic Inward Logistics,Domestic Warehouse,Domestic Outward Logistics,Outside Sales,Sales Manager,Product Category,OEM / NON OEM,MRO / ONG,Invoice #,Date,Invocie #,Date
BM0Z0I94681,Apeksha Khambe,4681,BM0Z0I9,"TE200S /63A / 480V / 230V /LGC / DIN /ENG
Ã¢â‚¬â€œ Thyristor Controller Ã¢â‚¬â€œ ",Cummins,Not Booked,14-Jun-2016,200141,6-Aug-16,2,124678,93632,31046,25,IND3582012,14-Jun-16,62339,0,12.5% VAT,13,16208,140886,47080,94160,124678,140886,201606,,,,Cummins India Ltd.,201608,Star Automation,1061,SAL/99,2,84744,84744,0,0,8888,0,0,,,,,0,,,,
BM9B1W45416,Others,5416,BM9B1W4,Clamp,ONGC,Not Booked,1-Jul-2016,0304-16-17,22-Jul-16,10,690,699,-9,-1,EC,1-Jul-16,69,0,5.5% VAT,6,41,731,65,650,690,731,201607,,,,Oil and Natural Gas Corporation Ltd.,201607,Parshva India,1282-16-17,0,10,650,650,0,0,49,0,0,,,,,0,,,,
BM9B5T55789,Nisha Patil,5789,BM9B5T5,Face mask 3M Model No 8822 (Packing 1 box= 10pcs),AMAT,Not Booked,16-Aug-2016,200066,17-Aug-16,20,3100,2000,1100,35,4400264675,16-Aug-16,155,0,12.5% VAT,13,403,3503,100,2000,3100,3503,201608,,,,Applied Materials India Pvt. Ltd.,201608,Aim Safety,200114,0,20,2000,2000,0,0,0,0,0,,,,,0,,,,
BM9L6Q22003271,Others,2003271,BM9L6Q2,"6.5\"" Cable Shears - Plastic Grip",GE,2003271,9-Jan-2018,3000781,22-Jan-18,4,7304,7048,256,4,61000136,9-Jan-18,1826,0,IGST 18%,18,1315,8619,1680,6720,7304,8619,201801,,INR,1,GE Diesel Locomotive Pvt. Ltd.,201801,Krishan Brothers,0,402,4,6720,6720,0,0,328,0,0,,,,,MRO,,,,
BM0C6Z9O-0001,Supriya Suresh Govalkar,O-0001,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,538.14,527,11.14,2,OD110110307944558000,31-Mar-18,503.14,35,CGST,18,97,635,527,527,538.14,635,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,527,527,0,0,0,0,0,,,,,MRO,,,,
BM0C6Z9O-0001,Supriya Suresh Govalkar,O-0001,BM0C6Z9,STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B-BM0C6Z9,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,618.64,527,91.64,15,OD111414695619464000,31-Mar-18,573.64,45,CGST,18,111,730,606,606,618.64,730,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,527,527,0,0,0,0,0,,,,,MRO,,,,
BM0C7B3O-0001,Supriya Suresh Govalkar,O-0001,BM0C7B3,"CRIMPING PLIER SET, 230mm-9 - PLIERS Model No 84-253-22",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,405.94,398,7.94,2,OD211946027006260000,31-Mar-18,360.94,45,CGST,18,73,479,398,398,405.94,479,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,398,398,0,0,0,0,0,,,,,MRO,,,,
BM0C7B3O-0001,Supriya Suresh Govalkar,O-0001,BM0C7B3,"CRIMPING PLIER SET, 230mm-9 - PLIERS Model No 84-253-22",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,405.94,398,7.94,2,OD211836850745540000,31-Mar-18,360.94,45,CGST,18,73,479,398,398,405.94,479,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,398,398,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Supriya Suresh Govalkar,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,745.76,731,14.76,2,OD110640882076427000,31-Mar-18,710.76,35,CGST,18,134,880,731,731,745.76,880,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Supriya Suresh Govalkar,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,754.24,731,23.24,3,OD211590807702526000,31-Mar-18,709.24,45,CGST,18,136,890,739,739,754.24,890,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Komal Nagar,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,597.46,731,-133.54,-22,OD212126142703201000,31-Mar-18,552.46,45,CGST,18,108,705,586,586,597.46,705,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Komal Nagar,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,745.76,731,14.76,2,OD110664415789147000,31-Mar-18,710.76,35,CGST,18,134,880,731,731,745.76,880,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Komal Nagar,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,588.98,731,-142.02,-24,OD212185499046846000,31-Mar-18,553.98,35,CGST,18,106,695,577,577,588.98,695,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Komal Nagar,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,745.76,731,14.76,2,OD211712587402187000,31-Mar-18,710.76,35,CGST,18,134,880,731,731,745.76,880,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Dipali Vasant Ghanvat,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,588.98,731,-142.02,-24,OD212350477141171000,31-Mar-18,553.98,35,CGST,18,106,695,577,577,588.98,695,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Suvidha Shinde,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,738.14,731,7.14,1,OD110146782185924000,31-Mar-18,663.14,75,CGST,18,133,871,723,723,738.14,871,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Suvidha Shinde,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,597.46,731,-133.54,-22,OD212218911476868000,31-Mar-18,552.46,45,CGST,18,108,705,586,586,597.46,705,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Piyush Yadav,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,745.76,731,14.76,2,OD110973686355513000,31-Mar-18,710.76,35,CGST,18,134,880,731,731,745.76,880,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Others,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,754.24,731,23.24,3,OD110982861703721000,31-Mar-18,709.24,45,CGST,18,136,890,739,739,754.24,890,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Others,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,754.24,731,23.24,3,OD211717369095652000,31-Mar-18,709.24,45,CGST,18,136,890,739,739,754.24,890,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Others,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,588.98,731,-142.02,-24,OD212108163805070000,31-Mar-18,553.98,35,CGST,18,106,695,577,577,588.98,695,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7D3O-0001,Others,O-0001,BM0C7D3,12 IN 1 MULTI-TOOL WITH POUCH,FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,745.76,731,14.76,2,OD110259806147200000,31-Mar-18,710.76,35,CGST,18,134,880,731,731,745.76,880,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,731,731,0,0,0,0,0,,,,,MRO,,,,
BM0C7F5O-0001,Others,O-0001,BM0C7F5,"RETRACTABLE UTILITY KNIFE, 156mm - 6 1/8",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,250,245,5,2,OD211901514093312000,31-Mar-18,175,75,CGST,18,45,295,245,245,250,295,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,245,245,0,0,0,0,0,,,,,MRO,,,,
BM0C7F6O-0001,Others,O-0001,BM0C7F6,"Part # 84-475-22 - WIRE STRIPPER(CUTTER)-AWG12-22, 150mm-6 Make: Stanley",FlipKart,Order1,31-Mar-2018,Flipkart17/18 01,31-Mar-18,1,644.92,632,12.92,2,OD110049708820506000,31-Mar-18,609.92,35,CGST,18,116,761,632,632,644.92,761,201803,,INR,1,Flipkart Internet Pvt. Ltd.,201803,Stanley Black and Decker India Pvt. Ltd.,0,0,1,632,632,0,0,0,0,0,,,,,MRO,,,,
