id,aliasname,address,sap_id,created_at,updated_at
1,GE,,193,"2017-07-17 12:42:06","2018-05-08 10:56:04"
2,IR,,112,"2017-07-17 12:42:06","2018-05-08 10:42:54"
3,Cummins,,113,"2017-07-17 12:42:06","2018-09-29 11:09:46"
4,AMAT,,114,"2017-07-17 12:42:06","2018-05-08 10:56:22"
5,Henkel,,458,"2017-07-17 12:42:06","2018-07-04 10:40:22"
6,"Big Basket",,115,"2017-07-17 12:42:06","2018-09-29 14:06:55"
7,GLS,,376,"2017-07-17 12:42:06","2018-05-08 10:49:40"
8,Cipla,,117,"2017-07-17 12:42:06","2018-05-08 10:48:12"
9,Alstom,,121,"2017-07-17 12:42:06","2018-05-08 10:48:19"
10,SSI,,127,"2017-07-17 12:42:06","2018-05-08 10:48:22"
11,"Jindal (JSW)",,,NULL,NULL
13,TEST,,,NULL,NULL
14,CourtYard,,143,"2017-07-17 12:42:06","2018-05-08 10:48:29"
15,Kirloskar,,312,"2017-07-17 12:42:06","2018-09-20 05:20:14"
16,"Aastral Industries",,1399,"2017-07-17 12:42:06","2018-05-08 10:56:33"
17,"ABB Global",,1786,"2018-09-27 11:13:30","2018-10-05 06:41:03"
18,Accuramech,,1405,"2017-07-17 12:42:06","2018-05-08 10:56:57"
19,"ACE Tech Packaging",,1411,"2017-07-17 12:42:06","2018-05-08 10:57:03"
20,"ACG Inspection Sys",,153,"2017-07-17 12:42:06","2018-05-08 10:48:36"
21,"Aequs Pvt. Ltd.",,164,"2017-07-17 12:42:06","2018-05-08 10:48:39"
22,Aeromarine,,176,"2017-07-17 12:42:06","2018-05-08 10:48:43"
23,"Aesseal India",,182,"2017-07-17 12:42:06","2018-05-08 10:57:07"
24,Afcons,,186,"2017-07-17 12:42:06","2018-05-08 10:57:11"
25,"Alfa Tech",,1419,"2017-07-17 12:42:06","2018-05-08 10:57:16"
26,"Allegion India",,192,"2017-07-17 12:42:06","2018-05-08 10:57:19"
27,"Allison Transmission",,1423,"2017-07-17 12:42:06","2018-05-08 10:57:26"
28,"Alpha Engineering",,1424,"2017-07-17 12:42:06","2018-05-08 10:57:29"
29,"Amazon Seller",,1430,"2017-07-17 12:42:06","2018-05-08 10:57:40"
30,"Amwaj International",,200,"2017-07-17 12:42:06","2018-05-08 10:48:52"
31,"Anchor Offshore",,209,"2017-07-17 12:42:06","2018-05-08 10:48:55"
32,"APM Terminals",,226,"2017-07-17 12:42:06","2018-05-08 10:48:59"
33,"Applied Analytics",,242,"2017-07-17 12:42:06","2018-05-08 10:49:03"
34,"Arabian Ocean Drill",,260,"2017-07-17 12:42:06","2018-05-08 10:49:08"
35,"Avon FMS",,838,"2017-12-06 11:51:04","2018-05-08 10:51:51"
36,"Arya Electronics",,282,"2017-07-17 12:42:06","2018-05-08 10:49:15"
37,"ATA Enterprises",,297,"2017-07-17 12:42:06","2018-05-08 10:49:19"
38,"Atlas Group",,680,"2017-09-12 09:30:28","2018-05-08 10:51:03"
39,Atma,,323,"2017-07-17 12:42:06","2018-05-08 10:49:26"
40,Atomberg,,335,"2017-07-17 12:42:06","2018-05-08 10:49:29"
41,"Bairavi Industries",,347,"2017-07-17 12:42:06","2018-05-08 10:49:32"
42,"Bakshi Chempharma",,365,"2017-07-17 12:42:06","2018-05-08 10:49:36"
43,"Balaji Overseas",,698,"2017-09-12 11:13:04","2018-05-08 10:51:09"
44,"Bandekar and Sons",,384,"2017-07-17 12:42:06","2018-05-08 10:49:41"
45,"Bartec India",,396,"2017-07-17 12:42:06","2018-09-29 14:25:33"
46,"Bayer India",,411,"2017-07-17 12:42:06","2018-05-08 10:49:48"
47,"BDI (GE Healthcare)",,426,"2017-07-17 12:42:06","2018-07-17 05:59:56"
48,"BEL Optronic",,437,"2017-07-17 12:42:06","2018-05-08 10:49:55"
49,"Bennett Coleman",,451,"2017-07-17 12:42:06","2018-09-18 08:27:35"
50,"BG Exploration",,462,"2017-07-17 12:42:06","2018-06-28 05:26:41"
51,"Bhagyalaxmi Rolling",,478,"2017-07-17 12:42:06","2018-05-08 10:50:08"
52,"Bhagyanagar Gas",,492,"2017-07-17 12:42:06","2018-05-08 10:50:11"
53,"Bharat Foils",,504,"2017-07-17 12:42:06","2018-05-08 10:50:15"
54,BPCL,,516,"2017-07-17 12:42:06","2018-05-08 10:50:19"
55,"Bharat Wire",,529,"2017-07-17 12:42:06","2018-05-08 10:50:22"
56,"Bhatia Tools",,542,"2017-07-17 12:42:06","2018-05-08 10:50:26"
57,"Bhushan Power Steel",,552,"2017-07-17 12:42:06","2018-05-08 10:50:29"
58,BORL,,567,"2017-07-17 12:42:06","2018-06-22 05:08:18"
59,Bosch,,577,"2017-07-17 12:42:06","2018-05-08 10:50:35"
60,Bridgestone,,590,"2017-07-17 12:42:06","2018-05-08 10:50:38"
61,Junk,,,NULL,NULL
62,"Burman Vessels",,600,"2017-07-17 12:42:06","2018-05-08 10:50:41"
63,Cairn,,156,"2017-07-17 12:42:06","2018-05-08 10:50:45"
64,Exxon,,280,"2017-07-17 12:42:06","2018-05-08 10:50:49"
65,Cello,,637,"2017-07-17 12:42:06","2018-05-08 10:50:53"
66,"Chemix Specialty Gas",,651,"2017-07-17 12:42:06","2018-05-08 10:50:56"
67,"Chemtex Engineering",,668,"2017-07-17 12:42:06","2018-05-08 10:51:00"
68,"Chris Garrod Global",,682,"2017-07-17 12:42:06","2018-05-08 10:51:05"
69,"Cinda Engineering",,695,"2017-07-17 12:42:06","2018-05-08 10:51:09"
70,"Citrus processing",,709,"2017-07-17 12:42:06","2018-05-08 10:51:12"
71,"Cleartech Fabrics",,722,"2017-07-17 12:42:06","2018-05-08 10:51:15"
72,Comviva,,152,"2017-07-17 12:42:06","2018-05-08 10:51:18"
73,Corbus,,750,"2017-07-17 12:42:06","2018-08-29 05:46:56"
74,Costra,,765,"2017-07-17 12:42:06","2018-05-08 10:51:27"
75,Cotmac,,1248,"2017-11-21 09:40:34","2018-05-08 10:53:31"
76,"Cre8 Solutions",,778,"2017-07-17 12:42:06","2018-05-08 10:51:31"
77,"Crest Packaging",,790,"2017-07-17 12:42:06","2018-05-08 10:51:34"
78,"Cytec India",,874,"2017-07-17 12:42:06","2018-05-08 10:52:03"
79,"Jindal (DP Group)",,,NULL,NULL
80,"D. Haridas and Co.",,900,"2017-07-17 12:42:06","2018-05-08 10:52:10"
81,"Dali Samir Engg",,937,"2017-07-17 12:42:06","2018-05-08 10:52:17"
82,"Dana India",,950,"2017-07-17 12:42:06","2018-05-08 10:52:20"
83,"Danieli Corus",,966,"2017-07-17 12:42:06","2018-05-08 10:52:24"
84,Dakshinamurti-Akash,,975,"2017-07-17 12:42:06","2018-05-08 10:52:26"
85,"Dee Tee Industries",,987,"2017-07-17 12:42:06","2018-05-08 10:52:29"
86,"Deep Industries",,998,"1970-01-01 00:00:00","2018-05-08 10:52:32"
87,"Deepak Electric",,1011,"2017-07-17 12:42:06","2018-05-08 10:52:34"
88,"Deepak Fertilisers",,1023,"2017-07-17 12:42:06","2018-05-08 10:52:37"
89,"Devi Engineering",,1032,"2017-07-17 12:42:06","2018-05-08 10:52:41"
90,"DG Infrastructure",,1051,"2017-07-17 12:42:06","2018-05-08 10:52:45"
91,DHL,,155,"2017-07-17 12:42:06","2018-05-28 09:36:27"
92,"Directorate Purchase",,1076,"2017-07-17 12:42:06","2018-05-08 10:52:51"
93,"DLS Aircon",,1088,"2017-07-17 12:42:06","2018-05-08 10:52:53"
94,Donatekart,,1103,"2017-07-17 12:42:06","2018-05-08 10:52:57"
95,"Nhava Sheva International Container",,,NULL,NULL
96,NIT,,446,"2017-07-17 12:42:06","2018-05-08 10:53:06"
97,"Dress Master Apparel",,1158,"2017-07-17 12:42:06","2018-05-08 10:53:10"
98,Dura-Line,,1174,"2017-07-17 12:42:06","2018-05-08 10:53:13"
99,"Dutt Engicon",,1187,"2017-07-17 12:42:06","2018-05-08 10:53:16"
100,"Dynasty Oil and Gas",,1200,"2017-07-17 12:42:06","2018-05-08 10:53:19"
