legacy_id,created_at,overseer_legacy_id,company_contact_lagacy,subject,purpose,comment,actionrequired,activity,refno,inquiry_number,activitystatus
3,"2017-09-04 07:37:05",1,3359,"This is a Test Inquiry","This is a test ""Other""","WE had a discussion on the test of this module. It is to be used by Outside Sales to track activities. ","Call customer again in 3 days on 7-9-17.","Phone call",1504510625#13,11051,"Pending Approval"
4,"2017-09-04 07:50:36",7,NULL,,"Follow up","We will get PO for the said inquiry in this week","Please check with end user before dispatch as the same wl be required for kurkumbh project","Phone call",1504511436#77,9565,"Pending Approval"
5,"2017-09-04 07:51:45",26,NULL,,"Follow up","Cupboard specs collected","Need to source as per the changed specs.","Phone call",1504511505#264,10978,"Pending Approval"
6,"2017-09-04 07:53:05",7,NULL,,"Follow up","We need to discuss for the nitrile gloves with Mr.sridhar, as they expect it to be nylon lining","We will have to submit the sample of nylon lining with nitrile coating gloves pairs.","Phone call",1504511585#73,10158,"Pending Approval"
9,"2017-09-04 07:53:49",100,3611,"New inquiry from Max MRO","First Meeting/Intro Meeting","Requirements is emailed to Bulk MRO for quotation ","Need to submit rates on priority ","Phone call",1504511629#1003,11053,"Pending Approval"
10,"2017-09-04 07:55:40",52,NULL,,"Follow up","Discussed with Huntsman about the requirement.","Need to prepare tender docs  due.date ",Meeting,1504511740#526,10872,"Pending Approval"
11,"2017-09-04 08:09:56",1,3612,"UFM for Gail","New Tender being created","Discussion with Supplier is on (Flexim)","Get quotation from Supplier.","Quote/Tender Prep",1504512596#18,11054,"Pending Approval"
12,"2017-09-04 08:18:40",1,NULL,,"Follow up","This is a test entry by Gaurang","This is a test entry","Phone call",1504513120#13,11053,"Pending Approval"
13,"2017-09-04 08:53:08",52,3613,"Btx Analyser","Follow up","They need qtn.","Awaiting offer from AAI","Phone call",1504515188#526,11056,"Pending Approval"
14,"2017-09-04 09:17:13",101,3614,"Diwali gifting","Follow up","Diwali gifting ","Need to arrange samples",Meeting,1504516633#1019,11058,Approved
15,"2017-09-04 09:23:58",95,NULL,,"Follow up","Led TUBELIGHT MOUNTING ARRANGEMENT NOT CLEAR TO USER BEING NEW PRODUCT FIRST TIME IN MARKET","Revised quote submitted
 Need feed back for acceptance or any other details required.",Meeting,1504517038#955,0,"Pending Approval"
