Bank Code,Bank Name,Account for Outgoing Checks,Branch for Outgoing Checks,Next Check Number,Locked,Data Source,User Signature,BIC/SWIFT Code,IBAN,Country Code,Post Office,Alias Name,Absolute entry,Default Bank Account Key,Our Number in Next Boleto,Posting Date Definition,Due Date Definition,Bank Operation Code List,Document Date Definition
HDFC,HDFC Bank,,,,N,N,1,,,IN,N,,1,,,C,C,,C
SBI,State Bank Of India,,,,N,N,1,,,IN,N,,2,,,C,C,,C
KMPL,Kotak Mahindra Bank Limited,9412329433,Lower Parel,,N,I,1,,,IN,N,,3,1,,C,C,,C
2HDFC,HDFC BANK,,,,N,O,1,,,IN,N,,4,,,C,C,,C
ICIC,ICICI BANK LIMITED,,,,N,O,1,,,IN,N,,7,,,C,C,,C
BKID,BANK OF INDIA,,,,N,O,1,,,IN,N,,8,,,C,C,,C
CNRB,CANARA BANK,,,,N,O,1,,,IN,N,,9,,,C,C,,C
RATN,RBL Bank Limited,,,,N,O,1,,,IN,N,,10,,,C,C,,C
YESB,YES BANK,,,,N,O,1,,,IN,N,,11,,,C,C,,C
UBIN,UNION BANK OF INDIA,,,,N,O,1,,,IN,N,,12,,,C,C,,C
BARB,BANK OF BARODA,,,,N,O,1,,,IN,N,,13,,,C,C,,C
CBIN,CENTRAL BANK OF INDIA,,,,N,O,1,,,IN,N,,14,,,C,C,,C
DBSS,DEVELOPMENT BANK OF SINGAPORE,,,,N,O,1,,,IN,N,,15,,,C,C,,C
KVBL,KARUR VYSYA BANK,,,,N,O,1,,,IN,N,,16,,,C,C,,C
SYNB,SYNDICATE BANK,,,,N,O,1,,,IN,N,,17,,,C,C,,C
VIJB,VIJAYA BANK,,,,N,O,1,,,IN,N,,18,,,C,C,,C
CORP,CORPORATION BANK,,,,N,O,1,,,IN,N,,19,,,C,C,,C
PMCB,PUNJAB AND MAHARSHTRA COOPERATIVE BANK,,,,N,O,1,,,IN,N,,20,,,C,C,,C
CSBK,CATHOLIC SYRIAN BANK LIMITED,,,,N,O,1,,,IN,N,,21,,,C,C,,C
BKDN,DENA BANK,,,,N,O,1,,,IN,N,,22,,,C,C,,C
CITI,CITI BANK,,,,N,O,1,,,IN,N,,23,,,C,C,,C
PUNB,PUNJAB NATIONAL BANK,,,,N,O,1,,,IN,N,,24,,,C,C,,C
DEUT,DEUSTCHE BANK,,,,N,O,1,,,IN,N,,25,,,C,C,,C
DCBL,DCB BANK LIMITED,,,,N,O,1,,,IN,N,,26,,,C,C,,C
IBKL,IDBI BANK,,,,N,O,1,,,IN,N,,27,,,C,C,,C
MAHB,BANK OF MAHARASHTRA,,,,N,O,1,,,IN,N,,28,,,C,C,,C
SCBL,STANDARD CHARTERED BANK,,,,N,O,1,,,IN,N,,29,,,C,C,,C
SVCB,THE SHAMRAO VITHAL COOPERATIVE BANK,,,,N,O,1,,,IN,N,,30,,,C,C,,C
UTIB,AXIS BANK,,,,N,O,1,,,IN,N,,31,,,C,C,,C
ORBC,ORIENTAL BANK OF COMMERCE,,,,N,O,1,,,IN,N,,32,,,C,C,,C
INDB,INDUSIND BANK,,,,N,O,1,,,IN,N,,33,,,C,C,,C
ANDB,ANDHRA BANK,,,,N,O,1,,,IN,N,,34,,,C,C,,C
DNSB,DOMBIVLI NAGARI SAHAKARI BANK LIMITED,,,,N,O,1,,,IN,N,,35,,,C,C,,C
CIUB,CITY UNION BANK LIMITED,,,,N,O,1,,,IN,N,,36,,,C,C,,C
AMCB,AHMEDABAD MERCANTILE COOPERATIVE BANK,,,,N,O,1,,,IN,N,,37,,,C,C,,C
HSBC,HSBC BANK,,,,N,O,1,,,IN,N,,38,,,C,C,,C
MCBL,MAHANAGAR COOPERATIVE BANK,,,,N,O,1,,,IN,N,,39,,,C,C,,C
FDRL,FEDERAL BANK,,,,N,O,1,,,IN,N,,40,,,C,C,,C
JSBL,JANAKALYAN SAHAKARI BANK LIMITED,,,,N,O,1,,,IN,N,,41,,,C,C,,C
COSB,THE COSMOS CO OPERATIVE BANK LIMITED,,,,N,O,1,,,IN,N,,42,,,C,C,,C
IOBA,INDIAN OVERSEAS BANK,,,,N,O,1,,,IN,N,,43,,,C,C,,C
IDIB,INDIAN BANK,,,,N,O,1,,,IN,N,,44,,,C,C,,C
KARB,KARNATAKA BANK LIMITED,,,,N,O,1,,,IN,N,,45,,,C,C,,C
UTBI,UNITED BANK OF INDIA,,,,N,O,1,,,IN,N,,46,,,C,C,,C
BCBM,BHARAT COOPERATIVE BANK MUMBAI LIMITED,,,,N,O,1,,,IN,N,,47,,,C,C,,C
ABHY,ABHYUDAYA COOPERATIVE BANK LIMITED,,,,N,O,1,,,IN,N,,48,,,C,C,,C
UCBA,UCO BANK,,,,N,O,1,,,IN,N,,49,,,C,C,,C
NNSB,NUTAN NAGARIK SAHAKARI BANK LIMITED,,,,N,O,1,,,IN,N,,50,,,C,C,,C
TJSB,TJSB SAHAKARI BANK LTD,,,,N,O,1,,,IN,N,,51,,,C,C,,C
GSCB,THE GUJARAT STATE COOPERATIVE BANK LIMITED,,,,N,O,1,,,IN,N,,52,,,C,C,,C
RBIS,"RESERVE BANK OF INDIA , PAD",,,,N,O,1,,,IN,N,,53,,,C,C,,C
PJSB,G P PARSIK BANK,,,,N,O,1,,,IN,N,,54,,,C,C,,C
IDFB,IDFC BANK LIMITED,,,,N,O,1,,,IN,N,,55,,,C,C,,C
BOTM,BANK OF TOKYO MITSUBISHI LIMITED,,,,N,O,1,,,IN,N,,56,,,C,C,,C
BOFA,BANK OF AMERICA,,,,N,O,1,,,IN,N,,57,,,C,C,,C
SAHE,SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED,,,,N,O,1,,,IN,N,,58,,,C,C,,C
ALLA,ALLAHABAD BANK,,,,N,O,1,,,IN,N,,59,,,C,C,,C
JSBP,JANATA SAHAKARI BANK LIMITED,,,,N,O,1,,,IN,N,,60,,,C,C,,C
MSNU,THE MEHSANA URBAN COOPERATIVE BANK,,,,N,O,1,,,IN,N,,61,,,C,C,,C
VARA,THE VARACHHA COOPERATIVE BANK LIMITED,,,,N,O,1,,,IN,N,,62,,,C,C,,C
SIBL,SOUTH INDIAN BANK,,,,N,O,1,,,IN,N,,63,,,C,C,,C
KCCB,KALUPUR COMMERCIAL COOPERATIVE BANK,,,,N,O,1,,,IN,N,,64,,,C,C,,C
NVNM,THE NAVNIRMAN CO-OPERATIVE BANK LIMITED,,,,N,O,1,,,IN,N,,65,,,C,C,,C
LAVB,LAXMI VILAS BANK,,,,N,O,1,,,IN,N,,66,,,C,C,,C
TMBL,TAMILNAD MERCANTILE BANK LIMITED,,,,N,O,1,,,IN,N,,67,,,C,C,,C
TBSB,THE THANE BHARAT SAHAKARI BANK LIMITED,,,,N,O,1,,,IN,N,,68,,,C,C,,C
