Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
895,200260,8307,8307
2011,100001408,10225,11554
2514,200234,3150,3560
3190,200235,1955,1955
3221,100000843,35360,37128
3234,200227,63109,66264
3495,100001423,1023,1156
3592,200221,39920,45110
3648,100001006-1,19034,21318
3656,200222,167600,170952
3659,200177,44070,49799
4029,100000796,83025,83025
4062,200242,14338,14939
4245,100000705-1,10744,12141
4275,200225,19439,19828
4374,100001146,19786,22358
4668,200133,1950,2008
4710,200140,12348,12965
4755,200262,8134,9429
4791,201478-1,24999,26249
4800,100001394,206,218
4903,2002659,366102,466153
4914,100000140-1,830,867
5316,100001202-2,933,980
5414,200017,8400,8400
5423,200069,2102,2207
5455,200022,94140,106378
5533,200020,15680,15680
5576,200194,536,595
5600,Not Booked,38348,39115
5604,200664,1320385,1505239
5645,200156,7871,9052
5663,2000136-1,176204,207920
5674,202086,2885,3288
5702,200084,287,330
5704,200083,2590,2720
5710,200056,632,657
5796,200120,442,460
5810,200128,441,459
5817,200294,225,225
5849,200173,45450,51359
5850,200046-1,373,414
5869,201528,127348,145177
5923,201407,96230,98155
5929,200360,575,656
5942,200263,11063,11063
6028,200523,5200,5928
6030,202084,18548,21330
6037,2000098,7375,8408
6068,200314,3400,3570
6069,200302-1,7650,8721
6076,200305,7123,8192
6094,200317,500,565
6102,200686-1,20874,23796
6140,201017,1418668,1617282
6144,200447,4317,4317
6177,202089,21671,24705
6196,200343,3783,4274
6210,202078,16130,18550
6225,200400,3471,4026
6312,2001719,3769,3769
6328,200540,5682,6534
6378,200538,330,373
6394,200560,220,220
6489,202079,2316,2663
6560,200857,7704,8089
6591,200574,11650,13398
6616,201252,24386,27173
6652,201080,1950,2047
6678,201894,1016444,1036773
6805,200854,2791,2930
6814,200732,5445,6207
6843,200955,33050,33050
6868,200751,5222,5953
6902,200769,17375,19808
6921,200846,8018,8785
6931,201296,830,946
6945,200748-1,2910,2910
7015,201508,105434,107543
7016,200866,27294,28659
7093,10200163,4149783,4896744
7107,2002705,790995,933374
7115,200850,10000,10000
7134,201045,115536,131711
7230,202087,4567,5206
7240,200963,33050,37677
7243,200923,40724,43167
7244,2002985,8117130,8117130
7262,201312,10755,12261
7265,201627,17216,18077
7272,2001318,113684,134147
7367,201569,9280,10579
7407,2000956,1701084,2007279
7407,10210566,584526,689741
7446,201475,20859,20859
7448,201721-1,19091,19091
7451,201003,4536,4763
7455,201414,126500,144210
7514,2000509,302470,387162
7555,2003561,2226,2627
7558,200018,18500,21830
7574,201404,2363,2694
7617,2001309,8250640,9735755
7623,201189,3700,3700
7630,201700,3500,3710
7638,201688,8460,8883
7644,201689,750,750
7702,201190,8423,9602
7706,201118,3141,3707
7729,201220,3101,3417
7737,201635,185238,213024
7742,201126,30400,32224
7781,201505,340022,387625
7785,2000452,17687,22639
7815,201402,32600,37164
7817,201488,7843,9027
7818,202053,195629,223017
7826,201622,523,554
7827,201322,63702,72620
7852,201244,65435,74596
7873,201281,80194,81798
7899,201534,1611,1707
7918,201314,19050,21717
7930,201408,99865,113846
7943,201317,6735,7678
7980,201270,226020,255031
7981,201479,47259,49622
7992,201235,87925,100235
7998,201415,3524229,4017621
8006,201546,1246530,1271461
8024,201361,105059,107160
8034,2000512,48333,57033
8039,201424,18574,21174
8047,201428-1,65600,74784
8051,201595-1,16800,19152
8053,201457,2350,2468
8067,201267,2750,3135
8073,201384,49264,49264
8082,201253,10357,11807
8083,201239,30669,34963
8088,201571,10069,10270
8107,201318-1,131000,133620
8108,201353,5000,5700
8124,201661,9500,9690
8138,201685,1950,2067
8145,201798,50022,51022
8153,201746,76100,77622
8191,201369,34954,39848
8193,201657,24555,24555
8195,201576,3875,4418
8196,201450,7504,7504
8198,201455,15556,16334
8200,201339,483082,550713
8202,201611,29460,33584
8209,201464,7950,8348
8215,201643,128000,145920
8226,201533,38014,43324
8231,10210099,15340,18101
8236,2000195,14295,18298
8236,99999080,82911,106126
8253,201520,5925,6755
8267,201366,44640,46872
8270,202060,9932,11323
8273,201999,22464,26508
8278,201502,46384,53091
8282,202059,1694,1931
8283,201418,1447,1650
8288,201387,104545,119181
8297,2002650,210091,247907
8310,201535,69386,79100
8314,201494,43310,49807
8315,201396,15316,17460
8331,201559,34059,36102
8336,201633,23768,27095
8338,201532,2226,2537
8342,201609,162928,185738
8345,2000120,185000,218300
8348,10200237,7478370,8986166
8348,10210416,27677,32659
8349,201514,66644,76641
8350,201421,372153,379596
8355,201634,26460,30429
8359,201618-1,91687,91687
8361,201487,40439,41248
8362,201561,15580,17761
8364,201465,31344,33225
8367,201786,4125,4331
8369,201931,7576,8637
8372,201672,2355,2473
8382,201447,199620,227567
8389,201436,73500,77910
8394,201830,36750,39375
8399,201446,97500,111150
8404,201506-1,147548,154925
8405,201444,2727,3109
8406,201445,2125,2231
8407,201651,56700,64638
8408,201682,25319,26585
8409,2000442,49924,61263
8415,201453,3000,3150
8423,201481-1,269631,275024
8427,201631,102388,104436
8429,201783,38055,43383
8434,201485,53241,60695
8443,201537,17860,20360
8444,201462,135000,153900
8445,201483,255013,290575
8446,201484,8500,9010
8452,201497-1,35008,35708
8455,201493,74750,79235
8460,201516,40636,41449
8471,201693,376495,429204
8477,201765,8326,9492
8480,10210041,122146,144132
8481,201673-1,9975,10474
8482,2000747,162408,191641
8486,201588,5910,6745
8489,201553,30000,35400
8491,201523,260384,296838
8498,201503,4050,4617
8500,201496,61200,69768
8506,201489,31862,36323
8509,201610,12987,13766
8510,201512-1,21965,23063
8515,201490,1800,1800
8517,201557,17375,17375
8518,201694,38111,40398
8524,201575,197162,224765
8525,201596,113348,129128
8531,2000095,36842,39053
8536,201517,14397,16413
8541,201729-2,15584,17766
8546,201629,15582,16361
8548,201586,52571,55725
8549,2000017,114800,146944
8553,201565,9352,9539
8557,201515-3,37466,42531
8562,201542,4345804,4954217
8563,201580-1,13288,13288
8565,201649,7135,8134
8568,201509,2770,2936
8570,2000422,695212,820350
8572,201511,1475,1696
8577,201653,320,336
8579,201530,126957,144731
8595,201646,189322,201089
8599,201587,44646,50896
8602,201844,31355,31355
8604,201519,14400,15120
8605,201572,16500,18810
8613,201687,5200,5460
8615,201524,15517,15827
8618,201531-1,3406,3883
8625,2000077,19968,23562
8626,201536,19142,22013
8630,201539-1,346,395
8631,201556,6790,7741
8632,201647,82176,93681
8633,201540,368,421
8636,201614,95186,109464
8638,201543,20223,21234
8640,201544,15353,17503
8643,201545-1,175310,184076
8658,201564,23061,26520
8662,201600,24610,25841
8665,201547,6840,7250
8666,201548,15390,16313
8667,201549,13110,13897
8668,201550,4560,4834
8670,201551,10830,11480
8671,201552,10830,11480
8674,2000148,20336,26030
8675,2000931,16736,17573
8677,201663,24843,28321
8679,201720,29264,29849
8680,201554,5400,5400
8681,10210389,3290432,3920769
8682,201558,1933,2204
8689,201560,7200,7200
8694,201562,56126,58995
8698,2000179-1,15218,18251
8701,201567,3500,3675
8705,201593,10923,12452
8706,201581,105084,120847
8709,201573-1,121380,127449
8710,202048,7667,8740
8713,201570,8423,9602
8718,201574,2800,2940
8721,201577,97500,111150
8724,201674,200458,228522
8728,201582,36397,41493
8730,2000380-2,242438,286013
8731,201584,7778,8167
8733,201675,237600,273240
8738,201585,27000,28436
8739,201753,231476,263883
8740,201591,32474,37020
8741,201807,246342,259409
8742,201881,21186,22457
8743,201589,16600,18924
8744,201590,22100,23205
8751,201659,700,735
8753,201855,3466,3951
8754,201686,2200,2310
8755,201597,19750,22515
8757,201592-1,155040,178296
8760,201809-1,4486,4710
8761,201723,124178,141563
8762,201617,124178,141563
8765,201715,21739,25000
8777,201598,10800,10800
8779,201599,630,668
8782,201744,1334,1534
8785,201883,77760,81648
8788,201641,18837,21474
8790,201601,820,861
8795,201607,25920,29808
8805,201613,43850,49989
8806,2000073,84115,103263
8806,2003611,530661,622145
8808,201619,81600,93840
8809,201624,247095,259450
8810,2002747,9587500,9587500
8817,201828,102123,107292
8818,201615,12240,13694
8820,201670,18008,18008
8823,201654,97463,111108
8827,201662,876,929
8832,2000060,19793,25335
8832,99999083,19793,25335
8836,2000102,196305,231640
8838,201625,69908,79695
8839,201626,8400,8820
8842,201728,75293,79810
8844,201733,6631,7559
8845,201628,10800,10800
8850,201630,25918,29806
8852,2000185,55463,70993
8853,201735,2850,2993
8854,201637,29352,33462
8857,201903,269580,318104
8865,201650,1609,1834
8867,201638-1,14034,16067
8868,201773,38964,41302
8869,201808,34570,39410
8874,201636,5664,6208
8878,201772,74200,85330
8881,201639,8811,10045
8883,201640,7200,7200
8886,2000275,42610,49026
8890,201642,398464,454248
8894,201831,29900,34086
8898,2000112-3,138000,176640
8900,201644,4375,4463
8902,201818,28357,32327
8903,2001264,10470,12355
8904,201771-1,40470,40470
