Code,Manufacturer Name,Data Source,User Signature
-1,- No Manufacturer -,N,1
1,BULK MRO APPROVED,O,1
2,FERRETERRO,O,1
3,DUCKBACK,O,1
4,MARKS-A-LOT,O,1
5,GMI,O,1
6,BANDOJAPAN,O,1
7,TASKI,O,1
8,MASTECH,O,1
9,COLIN,O,1
10,CHICAGO PNEUMATIC,O,1
11,GARLOCK,O,1
12,JK FILES,O,1
13,FINOLEX,O,1
14,E-PLEX,O,1
15,SANITO,O,1
16,DURACELL,O,1
17,AIRCOM,O,1
18,RAINBOW,O,1
19,TOKIMEC,O,1
20,ESAFE,O,1
21,STAUBLI,O,1
22,FERM,O,1
23,E-SQUARE,O,1
24,DYNABRADE,O,1
25,ELMACO,O,1
26,TRANSCEND,O,1
27,TOPPER,O,1
28,UFLOW,O,1
29,MIRANDA,O,1
30,KUSAM MECO,O,1
32,HEIDENHAIN,O,1
33,MAGNUM,O,1
34,PRESSURE WELDING MACHINES LTD,O,1
35,DOLPHIN,O,1
36,SWAGELOK,O,1
37,BPL,O,1
38,DOWELLS,O,1
39,AIRTECH,O,1
40,KNIPEX,O,1
41,DARLING PUMP,O,1
42,AURIC,O,1
43,LA-CO,O,1
44,VALVOLINE,O,1
45,P-Tech,O,1
46,HP,O,1
47,RELISPRAY,O,1
48,GE,O,1
49,AED PLUS,O,1
50,MJL,O,1
51,MAHAVIR,O,1
52,KIMBERLY-CLARK,O,1
53,SPARKLESS,O,1
54,CRANLIK,O,1
55,RAKSHAK,O,1
56,THOMSON,O,1
57,STANGARD,O,1
58,WESTWARD,O,1
59,DYSON,O,1
60,VEEDOL,O,1
61,FUJI STAR,O,1
62,BOWMAN,O,1
63,KRACHT,O,1
64,DELL,O,1
65,LEGRAND,O,1
66,ZEBRA,O,1
67,JUPITER PNEUMATICS,O,1
68,SAS,O,1
69,ZOLOTO,O,1
70,PROTECTOR,O,1
71,EUCHNER,O,1
72,SHYAAM,O,1
73,PERSPECTIVE SCIENTIFIC,O,1
74,SYLVANIA,O,1
75,MIPRO,O,1
76,PROAIM,O,1
77,POMONA,O,1
78,ADOR,O,1
79,NUMATICS,O,1
80,RICOH,O,1
81,LION,O,1
82,NICE,O,1
83,MTE,O,1
84,FANCIERSTUDIO,O,1
85,SATA,O,1
86,OKS,O,1
87,MULTI-CONTACT,O,1
88,WACOM,O,1
89,CADDY,O,1
90,TULEX,O,1
91,SCOTCH BRITE,O,1
92,SHELL,O,1
93,KROHNE,O,1
94,RISHABH,O,1
95,SAINO,O,1
96,OHIO,O,1
97,GOOD YEAR,O,1
98,FERROCHEM,O,1
99,SOUTHCO,O,1
100,RS,O,1
101,FABER CASTELL,O,1
102,AEMC,O,1
103,HENKEL,O,1
104,UVICURE,O,1
105,WEICON,O,1
106,LIZOL,O,1
107,SINCO,O,1
108,CERA,O,1
109,VISHAY DALE,O,1
110,MILLENNIUM-FILTERS,O,1
111,TRISHUL,O,1
112,KAYMO,O,1
113,RUBBERMAID,O,1
114,FEVI KWIK,O,1
115,KELLER,O,1
116,Maple,O,1
117,M SEAL,O,1
118,KEVLAR,O,1
119,CUMI,O,1
120,TRIPP LITE,O,1
121,LOGGERHEAD,O,1
122,VITON,O,1
123,SURVITEC,O,1
124,CORDEX,O,1
125,RS PRO,O,1
126,UTTAM,O,1
127,WACOM CINTIQ,O,1
128,WESTERN DIGITAL,O,1
129,IMPEX,O,1
130,JAPAN,O,1
131,JAINSON,O,1
132,LEICA,O,1
133,ZKT ECO,O,1
134,CORONA,O,1
135,SIRANE,O,1
136,THERMO FISHER,O,1
137,NOVOTECHNIK,O,1
138,BOSCH REXROTH,O,1
139,FRONTIER,O,1
140,APC,O,1
141,TORNADO,O,1
142,X-ACTO,O,1
143,XP POWER,O,1
144,GIACOMINI,O,1
145,NEW PIG,O,1
146,KIMBERLY CLARK,O,1
147,MOLEX,O,1
148,ARCON,O,1
149,SONIA,O,1
150,HQRP,O,1
151,BUD INDUSTRIES,O,1
152,NIPRO,O,1
153,JOHNSON,O,1
154,AXIS,O,1
155,BLUE STAR,O,1
156,KOBE,O,1
157,RHODES,O,1
158,FIXTURELASER,O,1
159,WALTHER PRAZISION,O,1
160,LMC,O,1
161,FLAMINGO,O,1
162,KUBLER,O,1
163,NATRAJ,O,1
164,SAGAR,O,1
165,MOTOROLA,O,1
166,CENTRALINE,O,1
167,HARDIK STEEL,O,1
168,EAPL,O,1
169,DEVMAX,O,1
170,GLOBE,O,1
171,OLYMPUS,O,1
172,CAPTAIN,O,1
173,IST,O,1
174,WIHA,O,1
175,MUELLER,O,1
176,KYORITSU,O,1
177,ZINC SELENITE,O,1
178,LAERDAL CPR,O,1
179,ERGODYNE,O,1
180,DOWTY,O,1
181,C TEK,O,1
182,TARGUS,O,1
183,EDWARD,O,1
184,GARBODRAIN,O,1
185,HIRSCHMANN,O,1
186,OPTO 22,O,1
187,BEP,O,1
188,NORDSTRAND,O,1
189,PANAVISE,O,1
190,ADIDAS,O,1
191,CASTROL,O,1
192,SEIFFERT,O,1
193,NA,O,1
194,THERMAX,O,1
195,TARSON,O,1
196,MOUSER,O,1
197,TOTEM/PECO/AMBITEC,O,1
198,STARMIX,O,1
199,MAXELL,O,1
200,NBWPS,O,1
201,CONVAC,O,1
202,MX,O,1
203,MAKITA,O,1
204,GANTNER,O,1
205,RXMARINE,O,1
206,WOLF SAFETY,O,1
207,BASLER,O,1
208,OPTO ENGINEERING,O,1
209,DIXON,O,1
210,TECMATE,O,1
211,PEARLPET,O,1
212,PANDUIT,O,1
213,HANNA INSTRUMENTS,O,1
214,PALL,O,1
215,TP-LINK,O,1
216,SSI,O,1
217,WELLER,O,1
218,CAPINTEC,O,1
219,PALAK RUBBER,O,1
220,BLUE MAGIC,O,1
221,STEINEL,O,1
222,DRY STAR,O,1
223,PARAGON,O,1
224,UNIQUE,O,1
225,Screen Technics,O,1
226,BLADOR,O,1
227,PULSE LITE,O,1
228,FPT,O,1
229,METREX,O,1
230,METTLER TOLEDO,O,1
231,RUCKUS,O,1
232,KEI,O,1
233,SCULPEY,O,1
234,HMI,O,1
235,METROL,O,1
236,JALARAM,O,1
237,KRIPSON,O,1
238,MITUTOYO-JAPAN,O,1
239,BOURNS,O,1
240,PRECISION,O,1
241,HUBBELL WIRING DEVICE-KELLEMS,O,1
242,CURTIS,O,1
243,KURLON,O,1
244,CHECKMATE,O,1
245,OHAUS,O,1
246,KANGAROO,O,1
247,HELICOIL,O,1
248,WATSON MARLOW,O,1
249,USHA MARTIN,O,1
250,CAMLIN/FABER CASTLE,O,1
251,MARKAR,O,1
252,ALTOS,O,1
253,OLFA,O,1
254,APPLIED ANALYTICS,O,1
255,DWYER,O,1
256,ECLIPS MAGNETICS,O,1
257,KINDLE,O,1
258,HYLOC,O,1
259,SCHNEIDER ELECTRIC,O,1
260,NATIONAL INSTRUMENTS,O,1
261,PFERD,O,1
262,KESTER,O,1
263,EMDILITH,O,1
264,IMPERIAL,O,1
265,FUJI,O,1
266,GB TOOLS,O,1
267,MOMENTIVE,O,1
268,PIX,O,1
269,ORIENTAL,O,1
270,DOW CORNING,O,1
272,CASCO,O,1
273,CHEMTREND,O,1
274,PHOENIX THUNDER,O,1
275,RENCAST,O,1
276,OMARSTAR,O,1
277,GAITSU,O,1
278,PARKER HANNIFIN,O,1
279,NJS,O,1
280,CLECO,O,1
281,BLACK & DECKER,O,1
282,SYSKA,O,1
283,PFEIFFER,O,1
284,ATS,O,1
285,INDIAN,O,1
286,SPL,O,1
287,PULS,O,1
288,TDK-LAMBDA,O,1
289,ME,O,1
290,MIDWEST ACORN NUT,O,1
291,AKAPP,O,1
292,VATS,O,1
293,KEYENCE,O,1
294,DURALCO,O,1
295,JHALANI EXPERT,O,1
296,SCHNORR,O,1
297,CONTINENTAL,O,1
298,SCIENTIFIC DEVICES,O,1
299,JB,O,1
300,SENATOR,O,1
