manufacturer_id,name,image,identifier,website,description,is_featured,status,option_id,meta_keywords,meta_description,file,brand_icon,featured_order,sap_code
1,2000PLUS,NULL,2000plus,NULL,NULL,0,0,3,,,b:0;,,NULL,NULL
3,303,NULL,303,NULL,NULL,0,0,4,,,b:0;,,NULL,NULL
4,333,NULL,333,NULL,NULL,0,0,5,,,,,NULL,NULL
5,3A,NULL,3a,NULL,NULL,0,0,285384,,,,,NULL,NULL
6,"3B PUTTY",NULL,3b-putty,NULL,NULL,0,0,6,,,,,NULL,NULL
8,3M,3m_tapes.jpg,3m,NULL,NULL,1,1,7,,,b:0;,,1,56
11,"4 WAY DIFFUSER",NULL,4-way-diffuser,NULL,NULL,0,0,10,,,,,NULL,NULL
12,"5 STAR HOTEL COLLECTION",NULL,5-star-hotel-collection,NULL,NULL,0,0,11,,,,,NULL,NULL
13,"5-2-1 COMPRESSOR SAVER",NULL,5-2-1-compressor-saver,NULL,NULL,0,0,13,,,,,NULL,NULL
14,"5.11 TACTICAL",NULL,5-11-tactical,NULL,NULL,0,0,12,,,,,NULL,NULL
15,"6""",NULL,6,NULL,NULL,0,0,285423,,,,,NULL,NULL
16,80/20,NULL,80-20,NULL,NULL,0,0,14,,,,,NULL,2081
17,"85GSM 100PPKT",NULL,85gsm-100ppkt,NULL,NULL,0,0,285407,,,,,NULL,NULL
18,"A ONE",NULL,a-one,NULL,NULL,0,1,285406,,,,,NULL,1100
19,"A&D WEIGHING",a-d-weighing1.jpg,a-d-weighing,NULL,NULL,0,1,15,,,b:0;,,0,NULL
20,"A.R. NORTH AMERICA",a.r.jpg,a-r-north-america,NULL,NULL,0,1,16,,,b:0;,a.r.jpg,0,NULL
21,"A/C SAFE",NULL,a-c-safe,NULL,NULL,0,0,17,,,,,NULL,NULL
22,A1,NULL,a1,NULL,NULL,0,1,285426,,,,,NULL,530
23,AB&A,NULL,ab-a,NULL,NULL,0,1,18,,,,,NULL,NULL
24,ABANAKI,abanaki.jpg,abanaki,NULL,NULL,0,1,19,,,b:0;,abanaki.jpg,NULL,NULL
25,"ABILITY ONE",ability-one-1.jpg,ability-one,NULL,NULL,0,1,20,,,b:0;,ability-one-1.jpg,0,2083
26,ABRO,abro1.jpg,abro,NULL,NULL,0,0,284451,,,b:0;,abro1.jpg,0,1208
27,"ABSORBENT SPECIALTY PRODUCTS",absorbent-specialty-1.jpg,absorbent-specialty-products,NULL,NULL,0,1,21,,,b:0;,absorbent-specialty-1.jpg,0,NULL
28,ABSORBER,absorber-1.jpg,absorber,NULL,NULL,0,1,22,,,b:0;,absorber-1.jpg,0,NULL
29,ABUS,abus1.jpg,abus,NULL,NULL,0,1,23,,,b:0;,,0,NULL
30,"AC GUARD",ac-guard1.jpg,ac-guard,NULL,NULL,0,1,24,,,b:0;,,0,2084
31,ACCEL,accel1.jpg,accel,NULL,NULL,0,1,25,,,b:0;,accel1.jpg,0,NULL
32,"ACCLAIM PACKING & ASSEMBLY",NULL,acclaim-packing-assembly,NULL,NULL,0,0,26,,,,,NULL,NULL
33,ACCO,acco-.jpg,acco,NULL,NULL,0,1,27,,,b:0;,acco-.jpg,NULL,NULL
34,ACCU-BRAND,NULL,accu-brand,NULL,NULL,0,0,29,,,,,NULL,NULL
35,ACCU-LUBE,accu-lube.jpg,accu-lube,NULL,NULL,0,1,31,,,b:0;,accu-lube.jpg,NULL,NULL
36,ACCU-SCOPE,NULL,accu-scope,NULL,NULL,0,0,34,,,,,NULL,2085
37,ACCUBANKER,NULL,accubanker,NULL,NULL,0,0,28,,,,,NULL,NULL
38,"ACCUFORM SIGNS",accuform-signs-1.jpg,accuform-signs,NULL,NULL,0,1,30,,,b:0;,,0,NULL
39,"ACCURATE MFD PRODUCTS",accurate-manufactured-products1.jpg,accurate-mfd-products,NULL,NULL,0,1,32,,,b:0;,,0,NULL
40,ACCURIDE,accuride-1.jpg,accuride,NULL,NULL,0,1,33,,,b:0;,accuride-1.jpg,NULL,NULL
41,"ACCUSTAMP 2",accustamp1.jpg,accustamp-2,NULL,NULL,0,1,35,,,b:0;,accustamp1.jpg,0,NULL
42,ACCUTOOLS,accutools-1.jpg,accutools,NULL,NULL,0,1,36,,,b:0;,accutools-1.jpg,0,NULL
43,"ACID EATER",acid-eater.jpg,acid-eater,NULL,NULL,0,1,37,,,b:0;,acid-eater.jpg,NULL,NULL
44,"ACL STATICIDE",acl1.jpg,acl-staticide,NULL,NULL,0,1,38,,,b:0;,,0,NULL
45,ACME,acme---copy.jpg,acme,NULL,NULL,0,1,284446,,,b:0;,,NULL,323
46,"ACME ELECTRIC",acme-electric-1.jpg,acme-electric,NULL,NULL,0,1,39,,,b:0;,,0,NULL
47,ACME-MIAMI,acme-miami-1.jpg,acme-miami,NULL,NULL,0,1,40,,,b:0;,acme-miami-1.jpg,0,NULL
48,ACORN,acorn1.jpg,acorn,NULL,NULL,0,1,41,,,b:0;,,0,NULL
49,"ACORN CONTROLS",acorn-controls.jpg,acorn-controls,NULL,NULL,0,1,42,,,b:0;,acorn-controls.jpg,NULL,NULL
50,ACQUAINT,acquaint1.jpg,acquaint,NULL,NULL,0,1,43,,,b:0;,,0,NULL
51,ACRO,acro-1.jpg,acro,NULL,NULL,0,1,44,,,b:0;,acro-1.jpg,0,2082
52,"ACTION CHEMICAL",action-chemical-1.jpg,action-chemical,NULL,NULL,0,1,45,,,b:0;,action-chemical-1.jpg,0,NULL
53,"ACTION PUMP",NULL,action-pump,NULL,NULL,0,0,46,,,,,NULL,NULL
54,ACTIVARMR,activarmr-1.jpg,activarmr,NULL,NULL,0,1,47,,,b:0;,activarmr-1.jpg,0,NULL
55,ACTIVATE,activate.jpg,activate,NULL,NULL,0,1,48,,,b:0;,,0,NULL
56,ACTON,acton.jpg,acton,NULL,NULL,0,1,49,,,b:0;,,0,NULL
57,"ACUITY ACCULAMP",NULL,acuity-acculamp,NULL,NULL,0,0,50,,,,,NULL,NULL
58,"ACUITY AMERICAN ELECTRIC",acuity.jpg,acuity-american-electric,NULL,NULL,0,0,51,,,b:0;,acuity.jpg,NULL,NULL
59,"ACUITY BRANDS",acuity-brands-1.jpg,acuity-brands,NULL,NULL,0,1,52,,,b:0;,,0,NULL
60,"ACUITY HEALTHCARE",acuity-healthcare.jpg,acuity-healthcare,NULL,NULL,0,1,53,,,b:0;,acuity-healthcare.jpg,NULL,NULL
61,"ACUITY LITHONIA",acuity-lithonia-1.jpg,acuity-lithonia,NULL,NULL,0,1,54,,,b:0;,acuity-lithonia-1.jpg,0,NULL
62,"ACUITY METAL OPTICS",acuity-metal-optics.jpg,acuity-metal-optics,NULL,NULL,0,1,55,,,b:0;,acuity-metal-optics.jpg,NULL,NULL
63,"ACUITY SENSOR SWITCH",acuity-censor-switch.jpg,acuity-sensor-switch,NULL,NULL,0,1,56,,,b:0;,acuity-censor-switch.jpg,0,NULL
64,"ADAM EQUIPMENT",adam-equipment-1.jpg,adam-equipment,NULL,NULL,0,1,57,,,b:0;,adam-equipment-1.jpg,0,NULL
65,"ADAMS RITE",adams-rite.jpg,adams-rite,NULL,NULL,0,1,58,,,b:0;,adams-rite.jpg,NULL,NULL
66,ADAPT-ALL,adapt-all-1.jpg,adapt-all,NULL,NULL,0,1,59,,,b:0;,adapt-all-1.jpg,NULL,NULL
