Purchase Order Number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Tax Amount (SC),Inside Sales Owner
2,10-Jan-2018,Divine Engineering,Based On Sales Orders 99999035.,17-Jan-2018,,"4,602.00",50% advance 50% on delivery,Indian Rupee,1,Closed,Yes,702,Sheeba Shaikh
3,29-Mar-2018,SRS Innovative Solutions,,29-Mar-2018,,"1,08,276.80",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"16,516.80",
3300667,01-Jun-2018,Alpha Engineering,,01-Jun-2018,,"2,21,910.33",100% Against Delivery,Indian Rupee,1,Closed,Yes,"33,850.73",Swati Bhosale
3301243,05-Jul-2018,Innovative Design and Manufacturing Solutions,,05-Jul-2018,,"34,047.72",Net-30,Indian Rupee,1,Closed,Yes,"5,193.72",
4400408,02-Jan-2018,Evergreen Sales,,02-Jan-2018,,"36,580.00",Net-30,Indian Rupee,1,Closed,Yes,"5,580.00",
40200011,16-Feb-2018,Raad Systems Inc.,,16-Feb-2018,,"2,06,13,044.04",Net-30,US Dollar,66.67,Closed,Yes,"31,44,362.65",
40200195,14-Mar-2018,Solutions,,14-Mar-2018,,"3,10,393.60",100% Advance,Indian Rupee,1,Closed,Yes,"67,898.60",
40200196,15-Mar-2018,Divine Engineering,,15-Mar-2018,,"18,540.70",Net-30,Indian Rupee,1,Closed,Yes,"2,675.70",
40200305,28-Mar-2018,Precision Mass Products Private Limited,,03-Apr-2018,,"17,900.00",Net-30,Indian Rupee,1,Closed,Yes,0,
40200315,29-May-2018,PinkPepperCorn By Sonal Agrawal,,29-May-2018,,"10,000.00",Net-30,Indian Rupee,1,Closed,Yes,0,suvidha shinde
40210105,20-Apr-2018,Quesst International,,20-Apr-2018,,"3,98,056.48",Net-30,Indian Rupee,1,Closed,Yes,"60,720.48",
40210112,20-Apr-2018,Rotork Controls India Pvt. Ltd.,,20-Apr-2018,,"2,74,560.42",Net-30,Indian Rupee,1,Closed,Yes,"41,882.10",
40210149,30-Apr-2018,Kiron Hydraulic Needs Pvt. Ltd.,,30-Apr-2018,,"78,055.05",Net-30,Indian Rupee,1,Closed,Yes,"14,767.68",
40210162,05-Feb-2018,Realty Automation and Security Systems Pvt. Ltd.,,05-Feb-2018,,"11,800.00",Net-30,Indian Rupee,1,Closed,Yes,"1,800.00",
40210171,05-Mar-2018,Jinharsh Industrial Solutions Pvt. Ltd.,,05-Mar-2018,,"5,879.94",Net-30,Indian Rupee,1,Closed,Yes,896.94,
40210172,05-Apr-2018,Radiant Plastruders (I) Pvt. Ltd.,,05-Apr-2018,,"4,77,998.52",30 Days Credit,Indian Rupee,1,Closed,Yes,"72,915.02",
40210219,14-May-2018,Karcher Cleaning Systems Pvt. Ltd.,Based On Sales Orders 10210200.,21-May-2018,19975,"4,239.36",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,927.36,Swati Bhosale
40210226,14-May-2018,Hindustan Hardware,Based On Sales Orders 11210003.,16-May-2018,19937,"3,811.40",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,581.4,Dipali Ghanvat
40210231,14-May-2018,Honeywell Automation India Ltd,Based On Sales Orders 10200222.,23-Jul-2018,,"24,29,643.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"3,70,623.60",Rajani Kyatham
40210250,18-May-2018,EDM Experts Pvt. Ltd.,Based On Sales Orders 10210228.,21-May-2018,20100,"2,596.00",100% Advance,Indian Rupee,1,Closed,Yes,396,Supriya Govalkar
40210263,22-May-2018,Radix Electrosystems Pvt. Ltd.,,03-Jul-2018,19793,"12,272.00",20% Advance and 80% before dispatch,Indian Rupee,1,Closed,Yes,"1,872.00",Neha Mundhe
40210264,23-May-2018,Flexible Automation Systems Pvt. Ltd.,Based On Sales Orders 10210242.,27-Jun-2018,16595,"12,395.52",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"2,711.52",Sarika Tanawade
40210265,23-May-2018,Dynamic Fans Marketing Pvt. Ltd.,Based On Sales Orders 10210242.,23-May-2018,16595,"1,498.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,228.6,Sarika Tanawade
40210266,23-May-2018,Max Flow Electric Machinery Co. Ltd.,Based On Sales Orders 10210242.,23-May-2018,16595,"1,366.34",100% Against Delivery,US Dollar,68.3168,Closed,Yes,0,Sarika Tanawade
40210267,23-May-2018,Om Distributiors,Based On Sales Orders 10210247.,25-May-2018,20139,"8,260.00",75% advance 25% on delivery,Indian Rupee,1,Closed,Yes,"1,260.00",Sarika Tanawade
40210268,23-May-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10210250.,30-May-2018,19892,"2,312.39",30 Days Credit,Indian Rupee,1,Closed,Yes,352.74,Sarika Tanawade
40210293,25-May-2018,Dynamic Fans Marketing Pvt. Ltd.,,26-May-2018,16595,"1,498.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,228.6,Sarika Tanawade
40210304,29-May-2018,Bio Technics (Mumbai) Indiaﾋ?,,18-Jun-2018,20135,"13,717.50",50% Advance and 50% against PI,Indian Rupee,1,Closed,Yes,"2,092.50",Kartik Pai
40210311,30-May-2018,Divine Engineering,Based On Sales Orders 10210276.,04-Jun-2018,20145,"21,771.00",25 days after delivery,Indian Rupee,1,Closed,Yes,"3,321.00",Sajida Sayyed
40210312,30-May-2018,Hilti India Pvt. Ltd.,Based On Sales Orders 10210276.,30-May-2018,20145,"22,532.10",Cheque on delivery,Indian Rupee,1,Closed,Yes,"3,437.10",Sajida Sayyed
40210315,30-May-2018,Laxmi Electrical Dadar,,01-Jun-2018,20706,"20,355.00",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"3,105.00",Sarika Tanawade
40210325,01-Jun-2018,A. T. E. Enterprises Pvt. Ltd.,,01-Jun-2018,,"7,824.82",100% Advance,Indian Rupee,1,Closed,Yes,"1,193.62",Puja Pawar
40210327,01-Jun-2018,Sagar Office Automation,Based On Sales Orders 10210301.,05-Jun-2018,20627,"6,619.80",Net-30,Indian Rupee,1,Closed,Yes,"1,009.80",Supriya Govalkar
40210340,04-Jun-2018,Sarvam Safety Equipment,,18-Jun-2018,,"61,950.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"9,450.00",Swati Bhosale
40210344,04-Jun-2018,Sarvam Safety Equipment,Based On Sales Orders 10210308.,04-Jun-2018,19802,"6,962.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,062.00",Neha Mundhe
40210355,05-Jun-2018,Dynamic Fans Marketing Pvt. Ltd.,,06-Jun-2018,16595,"1,498.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,228.6,Sarika Tanawade
40210356,05-Jun-2018,Honeywell Automation India Ltd,Based On Sales Orders 10210110.,05-Jun-2018,,"9,48,491.25",100% advance against proforma invoice,Euro,78.55,Closed,Yes,0,Rehana Mulani
40210358,05-Jun-2018,Union Enterprises Pvt. Ltd.,Based On Sales Orders 10210324.,10-Jul-2018,20067,"1,28,216.44",7 Days PDC,Indian Rupee,1,Closed,Yes,"19,558.44",Poonam Mohite
