"id","name","description","sap_code","hsn_code","parent_id","is_service","active","meta_title","meta_description","meta_keywords"
"1","Root Catalog","","457","","0","","","","",""
"2","Default Category","","330","","1","","1","","",""
"3","Abrasives","A large assortment of Abrasive Materials and Accessories including discs, belts, bands, rolls, hand pads, sharpening stones, mounting points, grinding wheels, polishers and more. The products come with the best price guarantee and from the most trusted brands and sellers like 3M, Groz, Norton, Bosch, Bipico. ","119","","2","","1","","A large assortment of Abrasive Materials and Accessories including discs, belts, bands, rolls, hand pads, sharpening stones, mounting points, grinding wheels, polishers and more. The products come with the best price guarantee and from the most trusted brands and sellers like 3M, Groz, Norton, Bosch, Bipico.","Buy Abrasives Online, Bulk MRO, India, Best Prices, Discount, Wheels, Sandpaper, Polishing, Mounting Points, Sharpening Stones"
"4","Abrasive Accessories","","269","8465","3","","1","","",""
"5","Abrasive Mandrels","","313","","4","","1","","",""
"6","Abrasive Pads","","0","","4","","1","","",""
"7","Abrasive Stars","","524","","4","","1","","",""
"8","Abrasive Test Kits","","0","","4","","1","","",""
"9","Assemblies","","0","","4","","1","","",""
"10","Expanding Drums","","0","","4","","1","","",""
"11","Face Plates, Hubs","","0","","4","","1","","",""
"12","Pad Holder","","0","","4","","1","","",""
"13","Bands and Rolls","","637","6802","3","","1","","",""
"14","Band and Roll Kits","","0","","13","","0","","",""
"15","Bands","","0","","13","","1","","",""
"16","Rolls","","525","","13","","1","","",""
"17","Discs and Belts","","0","6813","3","","1","","",""
"18","Adhesive Sanding Discs","","0","","17","","0","","",""
"19","Flap Discs","","470","","17","","1","","",""
"20","Hook and Loop Discs","","351","","17","","1","","",""
"21","Locking Discs","","673","","17","","1","","",""
"22","Mandrel Mount","","0","","17","","1","","",""
"23","Rolls and Kits","","0","","17","","1","","",""
"24","Sanding Belts","","0","","17","","1","","",""
"25","Hand Pads and Sponges","","0","7323","3","","1","","",""
"26","Hand Pad Rolls","","0","","25","","1","","",""
"27","Hand Pads, Sponges and Sets","","335","","25","","1","","",""
"28","Steel Wool","","0","","25","","0","","",""
"29","Mounting Points","","0","8460","3","","1","","",""
"30","Mounted Kits","","0","","29","","1","","",""
"31","Mounted Points","","0","","29","","1","","",""
"32","Polishing","","0","6804","3","","1","","",""
"33","Belts","","0","","32","","1","","",""
"34","Bore Polishers","","0","","32","","1","","",""
"35","Buffing and Polishing Chemicals","","0","","32","","1","","",""
"36","Buffing Wheels","","0","","32","","1","","",""
"37","Felt Tips","","0","","32","","1","","",""
"38","Flexible Cylinder Hones","","0","","32","","1","","",""
"39","Pads","","0","","32","","1","","",""
"40","Sets","","0","","32","","0","","",""
"41","Sandpaper","","0","6805","3","","1","","",""
"42","Sandpaper Kits","","0","","41","","1","","",""
"43","Sandpaper Sheets and Rolls","","344","","41","","1","","",""
"44","Sharpening Stones","","0","6804","3","","1","","",""
"45","Diamond Sharpening","","0","","44","","0","","",""
