customer_product_name,current_customer_product_sku,product_name_in_system,old_product_sku
TESTER 813,BM9L6U4,"TAPARIA Line Tester Screwdriver with Neon Bulb, Handle Colour Yellow, Length 130 mm - 813",BM0J3S0
SPANNER FIX 8 X 9 MM,BM9F8J5,"TAPARIA Double Ended Spanner, Chrome Plated - DEP-8X9MM",BM0C6F4
SPANNER FIX 6 X 7 MM,BM9L1M0,"TAPARIA Double Ended Spanner, Chrome Plated - DEP-6X7MM",BM0C6F3
SPANNER FIX 21 X 23 MM,BM9H7H7,"TAPARIA Double Ended Spanner, Chrome Plated - DEP-21X23MM",BM0C6G8
SPANNER FIX 18 X 19 MM,BM9S2R9,"TAPARIA Double Ended Spanner, Finish Chrome Plated - DEP-18X19MM",BM0C6G4
SPANNER FIX 10 X 11 MM,BM9M0O8,"TAPARIA Double Ended Spanner, Finish Chrome Plated - DEP-10X11MM",BM9D5M9
SCREW DRIVER TWO IN ONE,BM9V1Q8,"TAPARIA Black Tip Two in One Screwdriver, Blade Length 250 mm, Overall Length 342 mm - 903 IBT",BM9Y7M0
SCREW DRIVER SET (TAPARIA),BM9R6A0,"TAPARIA Screwdriver Set, 5 Piece - 802",BM0C4G7
RING SPANNER 8 X 9 INCH,BM9W2U3,"TAPARIA Ring Spanner, Length 190 mm - 18 - 8 X 9",BM9H8R6
RING SPANNER 14 X 15,BM9N4Y1,"TAPARIA Ring Spanner, Length 230 mm - 18 - 14 X 15",BM9E2C9
RING SPANNER 12X13,BM9C0B4,"TAPARIA Ring Spanner, Length 215 mm - 18 - 12 X 13",BM9E2C6
HOLESAW CUTTER BOSCH MAKE 25 MM,BM9O0S8,"BOSCH Hole Saw Cutter, Size 25 mm - 2 608 580 404",BM9W0R8
FIX SPANNER 14X15,BM9Y5L1,"TAPARIA Double Ended Spanner, Chrome Plated - DEP-14X15MM",BM0C6G1
FIX SPANNER 12X13,BM9K3T0,"TAPARIA Double Ended Spanner, Finish Chrome Plated - DEP-12X13MM",BM0C6F9
FIX SPANNER 10X11,BM9P6B7,"TAPARIA Double Ended Spanner, Finish Chrome Plated - DEP-10X11MM",BM9D5M9
ELECTRIC WIRE CUTTER,BM9M3W0,"TAPARIA Wire Stripping Plier, Length 130 mm - WS 05",BM9J9W3
3M Non Disposable Ear Plug 1110,BM9Z1S0,"3M Corded Dispoable Ear Plug, PU Foam, Color Orange - 1110",BM9D1K5
COPPER ARMOURED CABLE 4 SQMM X 4 CORE,BM9G3G9,"POLYCAB 4 Core Copper Armoured Cable, Size 4 Sq. mm",BM9E9D7
CHISEL 10MM X 6 LONG,BM9M6I3,"TAPARIA Octagonal Chisel, Cutting Edge 16 mm - 102",BM0C3X7
"SKF Deep Groove Ball Bearing, Inner Dia 7 mm - 627 2Z",BM9S3K6,"SKF SKF Deep Groove Ball Bearing, Inner Dia 7 mm - 627 2Z",BM9S3K6
"SKF Deep Groove Ball Bearing, Inner Dia 20 mm, Outer Dia 47 mm - 6204",BM9K2P2,"SKF Open Deep Groove Ball Bearing, Inner Dia 20 mm, Outer Dia 47 mm, Width 14 mm - 6204",BM9G3R2
