Category,sub_cat_1,sub_cat_2,product_service
Abrasives,Abrasive Accessories,Abrasive Mandrels,Product
Abrasives,Abrasive Accessories,Abrasive Pads,Product
Abrasives,Abrasive Accessories,Abrasive Stars,Product
Abrasives,Abrasive Accessories,Abrasive Test Kits,Product
Abrasives,Abrasive Accessories,Assemblies,Product
Abrasives,Abrasive Accessories,Expanding Drums,Product
Abrasives,Abrasive Accessories,Face Plates Hubs,Product
Abrasives,Abrasive Accessories,Pad Holder,Product
Abrasives,Abrasive Accessories,,Product
Abrasives,Bands And Rolls,Band And Roll Kits,Product
Abrasives,Bands And Rolls,Bands,Product
Abrasives,Bands And Rolls,Rolls,Product
Abrasives,Bands And Rolls,,Product
Abrasives,Discs And Belts,Adhesive Sanding Discs,Product
Abrasives,Discs And Belts,Flap Discs,Product
Abrasives,Discs And Belts,Hook And Loop Discs,Product
Abrasives,Discs And Belts,Locking Discs,Product
Abrasives,Discs And Belts,Mandrel Mount,Product
Abrasives,Discs And Belts,Rolls And Kits,Product
Abrasives,Discs And Belts,Sanding Belts,Product
Abrasives,Discs And Belts,,Product
Abrasives,Hand Pads And Sponges,Hand Pad Rolls,Product
Abrasives,Hand Pads And Sponges,Hand Pads Sponges And Sets,Product
Abrasives,Hand Pads And Sponges,Steel Wool,Product
Abrasives,Hand Pads And Sponges,,Product
Abrasives,Mounting Points,Mounted Kits,Product
Abrasives,Mounting Points,Mounted Points,Product
Abrasives,Mounting Points,,Product
Abrasives,Polishing,Belts,Product
Abrasives,Polishing,Bore Polishers,Product
Abrasives,Polishing,Buffing And Polishing Chemicals,Product
Abrasives,Polishing,Buffing Wheels,Product
Abrasives,Polishing,Felt Tips,Product
Abrasives,Polishing,Flexible Cylinder Hones,Product
Abrasives,Polishing,Pads,Product
Abrasives,Polishing,Sets,Product
Abrasives,Polishing,,Product
Abrasives,Sandpaper,Sandpaper Kits,Product
Abrasives,Sandpaper,Sandpaper Sheets And Rolls,Product
Abrasives,Sandpaper,,Product
Abrasives,Sharepening Stones,Diamond Sharpening,Product
Abrasives,Sharepening Stones,Dressing Sticks,Product
Abrasives,Sharepening Stones,Rubbing Bricks,Product
Abrasives,Sharepening Stones,Single Grit,Product
Abrasives,Sharepening Stones,Stone And File,Product
Abrasives,Sharepening Stones,,Product
Abrasives,Tumblers And Accessories,Machines And Systems,Product
Abrasives,Tumblers And Accessories,Media,Product
Abrasives,Tumblers And Accessories,Separating Screens And Sets,Product
Abrasives,Tumblers And Accessories,Tumblers,Product
Abrasives,Tumblers And Accessories,,Product
Abrasives,Wheels,Bristle,Product
Abrasives,Wheels,Bristle Discs,Product
Abrasives,Wheels,Cup Grinding Wheels,Product
Abrasives,Wheels,Depressed Center Wheels,Product
Abrasives,Wheels,Diamond Grinding Wheels,Product
Abrasives,Wheels,Flap Wheels,Product
Abrasives,Wheels,Grinding Cones,Product
Abrasives,Wheels,Grinding Segments,Product
Abrasives,Wheels,Grinding Wheels,Product
Abrasives,Wheels,Mounted Flap Wheels,Product
Abrasives,Wheels,Non Woven Wheels,Product
Abrasives,Wheels,Stripping Wheels,Product
Abrasives,Wheels,,Product
Adhesives,Dispensing Guns,Accessories,Product
Adhesives,Dispensing Guns,Applicator Accessories,Product
Adhesives,Dispensing Guns,Applicators,Product
Adhesives,Dispensing Guns,Glue And Sealent Guns,Product
Adhesives,Dispensing Guns,,Product
Adhesives,Glue Concrete And Cement,Adhesives And Glue,Product
Adhesives,Glue Concrete And Cement,Cement,Product
Adhesives,Glue Concrete And Cement,Cleaning And Sealing,Product
Adhesives,Glue Concrete And Cement,Concrete Mix,Product
Adhesives,Glue Concrete And Cement,Epoxy,Product
Adhesives,Glue Concrete And Cement,Kits And Dispensers,Product
Adhesives,Glue Concrete And Cement,Primer And Removers,Product
Adhesives,Glue Concrete And Cement,Repairing Compounds,Product
Adhesives,Glue Concrete And Cement,Retaining Chemicals,Product
Adhesives,Glue Concrete And Cement,,Product
Adhesives,Sealants,Gasket Sealants,Product
Adhesives,Sealants,Pipe Sealants,Product
Adhesives,Sealants,Speciality Sealant,Product
Adhesives,Sealants,Thread Sealants,Product
Adhesives,Sealants,Valve Sealants,Product
Adhesives,Sealants,,Product
Adhesives,Sealants And Putties,Putties,Product
Adhesives,Sealants And Putties,Repairing Compounds,Product
Adhesives,Sealants And Putties,Sealents,Product
Adhesives,Sealants And Putties,,Product
Adhesives,Tapes,Anti Slip Tapes,Product
Adhesives,Tapes,Double Sided Tapes,Product
Adhesives,Tapes,Duct Tape,Product
Adhesives,Tapes,Electrical Tapes,Product
Adhesives,Tapes,Filament Tape,Product
Adhesives,Tapes,Film Tape,Product
Adhesives,Tapes,Foam Tape,Product
Adhesives,Tapes,Foil Tapes,Product
Adhesives,Tapes,Indicator Tape,Product
Adhesives,Tapes,Masking Tapes,Product
Adhesives,Tapes,Office Tape,Product
Adhesives,Tapes,Packaging Tapes,Product
Adhesives,Tapes,Tape Kits,Product
Adhesives,Tapes,Transfer Tape,Product
Adhesives,Tapes,Vinyl Tape,Product
Adhesives,Tapes,,Product
Annual Maintenance Contract Amc,Annual Maintenance Contract Amc,,Service
Bank Charges,Bank Charges,,Service
Cleaning Equipment,Brooms And Accessories,Broom Accessories,Product
Cleaning Equipment,Brooms And Accessories,Brooms,Product
Cleaning Equipment,Brooms And Accessories,Brushes,Product
Cleaning Equipment,Brooms And Accessories,Coloured Brushes,Product
Cleaning Equipment,Brooms And Accessories,Dust Pans,Product
Cleaning Equipment,Brooms And Accessories,Handles Frames And Braces,Product
Cleaning Equipment,Brooms And Accessories,Kitchen And Food Service Brushes,Product
Cleaning Equipment,Brooms And Accessories,Miscellaneous Rollers And Brushes,Product
Cleaning Equipment,Brooms And Accessories,Pickers,Product
Cleaning Equipment,Brooms And Accessories,Pipe And Tube Brushes,Product
Cleaning Equipment,Brooms And Accessories,Scrub And Scratch Brushes,Product
Cleaning Equipment,Brooms And Accessories,Toilet Brushes,Product
Cleaning Equipment,Brooms And Accessories,Utility Brushes,Product
Cleaning Equipment,Brooms And Accessories,Vehicle Cleaning Brushes,Product
Cleaning Equipment,Brooms And Accessories,,Product
Cleaning Equipment,Chemicals,Bathroom Toilet And Drain Cleaners,Product
Cleaning Equipment,Chemicals,Chemical Dispensers,Product
Cleaning Equipment,Chemicals,Control System Chemicals,Product
Cleaning Equipment,Chemicals,Dishwashing Detergents,Product
