legacy_id,inquiry_number,calculation_sheet,calculation_sheet_path,customer_po_sheet,customer_po_sheet_path,email_attachment,email_attachment_path,supplier_quote_attachment,sqa_path,supplier_quote_attachment_additional,sqa_additional_path
28226,28226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28225,28225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28224,28224,28224_Calc_Sheet.xlsx,https://bulkmro.com/media/quotation_attachment/28224_Calc_Sheet.xlsx,28224POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/28224POSheet.pdf,NULL,NULL,NULL,NULL,28224FinalSupQuote.xls,https://bulkmro.com/media/quotation_attachment4/28224FinalSupQuote.xls
28223,28223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28222,28222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28221,28221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28220,28220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28219,28219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28218,28218,28218_Calc_Sheet.xlsx,https://bulkmro.com/media/quotation_attachment/28218_Calc_Sheet.xlsx,28218POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/28218POSheet.pdf,NULL,NULL,28218SupplierQuote.pdf,https://bulkmro.com/media/quotation_attachment3/28218SupplierQuote.pdf,28218FinalSupQuote.pdf,https://bulkmro.com/media/quotation_attachment4/28218FinalSupQuote.pdf
28217,28217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28216,28216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28215,28215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28214,28214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28213,28213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28212,28212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
