increment_id,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
27461,65607,27461,1,762058,500,0,0,0.00,0.00,1,202.13,"20 L  BUCKET WTH SPOUT FOR NATURAL BLUE",0.00,0.00,0,0,163.45,BM9W3S5,a%3A0%3A%7B%7D,NULL,0.00,,ea,"1-2 weeks",0,0,5874,16,"CGST + SGST 18%",0,3923,NULL,NULL,0,0
27461,65608,27461,2,754504,1,0,0,0.00,0.00,1,2000.00,Freight.,0.00,0.00,0,0,2000.00,BM00008,a%3A0%3A%7B%7D,NULL,5500.00,,ea,"1-2 weeks",0,0,293,16,"CGST + SGST 18%",0,9967,NULL,NULL,0,0
27445,65595,27445,1,765322,1,0,0,0.00,0.00,1,308213.98,"Medium test dust (MTD) in hydraulic fluid NIST® SRM® 2806b {pkg of 2 x 400 mL}",0.00,0.00,0,0,286639.00,BM9Q1V8,a%3A0%3A%7B%7D,NULL,0.00,NIST2806B,pkt,"4-6 weeks",0,0,4422,15,"CGST + SGST 12%",0,3822,NULL,0,0,0
27431,65591,27431,1,765320,20,0,0,0.00,0.00,1,170.00,"Karam make Helmet with plastic cradle ( white ) PN501",0.00,0.00,0,0,140.00,BM9Q1V5,a%3A0%3A%7B%7D,NULL,0.00,PN501,ea,"2-3 week",0,0,493,16,"CGST + SGST 18%",0,6506,NULL,NULL,0,0
27429,65574,27429,1,765305,250,0,0,0.00,0.00,1,143.62,"HM (800x750)100 Gauge",0.00,0.00,0,0,135.00,BM9Q1V1,a%3A0%3A%7B%7D,NULL,0.00,,kg,"1-2 weeks",0,0,6146,16,"IGST 18%",0,3923,NULL,NULL,0,0
27425,65561,27425,1,765288,125,0,250,0.00,0.00,1,27994.85,"Bitumen-VG 10 Packed",0.00,0.00,0,0,27000.00,BM9Q1T8,a%3A0%3A%7B%7D,NULL,0.00,,mtr,"1-2 weeks",0,0,6142,16,"IGST 18%",0,2713,NULL,0,1,0
27424,65559,27424,1,765290,1,0,0,0.00,0.00,1,1800.00,"TECHNO PNEUMATICS STAPLER model 8016",0.00,0.00,0,0,1350.00,BM9Q1U2,a%3A0%3A%7B%7D,NULL,0.00,,ea,"1-2 weeks",0,0,1369,16,"IGST 18%",0,8467,NULL,NULL,0,0
27423,65556,27423,1,765288,62,0,124,0.00,0.00,1,27347.42,"Bitumen-VG 10 Packed",0.00,0.00,0,0,27000.00,BM9Q1T8,a%3A0%3A%7B%7D,NULL,0.00,,mtr,"1-2 weeks",0,0,6142,16,"IGST 18%",0,2713,NULL,0,1,0
27420,65553,27420,1,763943,6,0,12,0.00,0.00,1,305.26,"Flange Guard 8 inch Wrap around SS 304 Class 150 with bolts and nuts.",0.00,0.00,0,0,264.00,BM9T4H7,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4825,16,"CGST + SGST 18%",0,7307,NULL,0,1,0
27419,65583,27419,1,765312,1,0,0,0.00,0.00,1,45333.33,"Delmhorst Moisture Meter P2000",0.00,0.00,0,0,40800.00,BM9Q1V3,a%3A0%3A%7B%7D,NULL,0.00,P2000,ea,"5 weeks",0,0,6143,16,"CGST + SGST 18%",0,9031,NULL,NULL,0,0
