inquiry_no,alias,order_number,report_total,mis_date
7407,MGL,10210566,584526,17-Jul-2018
10063,Adani Gas,10210056,349248,12-May-2018
10491,GE Power Systems,10610147,-80135,26-Sep-2018
10541,Pragati Power,10200222,2729458,1-Apr-2018
10649,GAIL,10210392,258985,15-Jun-2018
11120,NRL,10210542,4240622,13-Jul-2018
11120,NRL,10210543,5474509,13-Jul-2018
13553,Galiakotwala,2001752,1873859.52,1-Apr-2018
13775,DHL,10910020,180000,15-Jun-2018
14346,Nhava Sheva,10210126,8859.22,25-Apr-2018
14532,Cummins,10211260,569412.15,12-Nov-2018
15005,KazStroy,10210074,4411115,1-Apr-2018
15029,Galiakotwala,10210328,6071923.2,1-Apr-2018
15408,NRL,2002200,3907286,18-Jul-2018
15681,Abdon M Valladares,10210093,212,1-May-2018
15763,GE Power Systems,10610372,207650,11-Sep-2018
16595,Johoku Manufacturing,11210007,23534,22-May-2018
16855,GE,10210038,115722,1-Apr-2018
17068,Cummins,10210115,14878,24-Apr-2018
17425,John Energy,10610134,3282370,13-Jun-2018
17432,APM Terminals,10210461,280612,18-Jun-2018
17507,Cummins,10210034,7405,8-Apr-2018
17532,Cummins,10210391,25013,14-Jun-2018
17546,Beckman Coulter,10210053,2730974,12-Apr-2018
17598,IR,10610002,2857.12,3-Apr-2018
17799,Bharat Container,10210027,107479,6-Apr-2018
17834,IR,10610017,114052,10-Apr-2018
17845,Cummins,10210922,103650,14-Sep-2018
17893,Cummins,10210232,40925,18-May-2018
17940,Cummins,10210007,19467,3-Apr-2018
18008,Cummins,10210164,37760,5-May-2018
18011,RIL,10210121,377000,24-Apr-2018
18089,Henkel,10210083,84210,18-Apr-2018
18154,Cummins,10210036,40337,9-Apr-2018
18197,Henkel,10200224,2901073,22-May-2018
18205,GE,10210255,183380,23-May-2018
18245,Sotax,10210014,3016,4-Apr-2018
18261,GE,10210045,265460,21-May-2018
18287,Henkel,10200239,17446,2-Apr-2018
18290,Cummins,10210040,36632,2-Apr-2018
18297,IR,10610032,43200,18-Apr-2018
18352,GE Power Systems,10610090,24000,24-May-2018
18352,GE Power Systems,99999026,22800,2-Apr-2018
18363,John Energy,10610059,160000,3-May-2018
18365,Cummins,10210008,25476,3-Apr-2018
18371,Aadrsh Motors,10210271,2401,28-May-2018
18373,John Energy,10610044,642857,26-Apr-2018
18374,John Energy,10610046,642857,26-Apr-2018
18375,John Energy,10610045,642857,26-Apr-2018
18376,John Energy,10610136,642857,30-Apr-2018
18377,John Energy,10610051,642857,30-Apr-2018
18378,John Energy,10710002,642857,11-Jun-2018
18379,John Energy,10610080,642857,11-Jun-2018
18394,Henkel,10210011,37895,4-Apr-2018
18419,VVF India,10210251,30815.69,23-May-2018
18428,Cummins,10210218,13040,17-May-2018
18447,GE,10200114,8740,1-Apr-2018
18461,SSI,10210025,40212.55,6-Apr-2018
18468,Cummins,10210208,63700,15-May-2018
18470,SSI,10210057,360700,13-Apr-2018
18471,Henkel,10210006,10556,3-Apr-2018
18479,Adino Telecom,10210123,4260,25-Apr-2018
18488,GE,10211191,15372,26-Oct-2018
18502,GE Power Systems,10610197,1890,5-Jul-2018
18503,Trident Computer,10210086,203929,19-Apr-2018
18532,Henkel,10210037,45074,9-Apr-2018
18544,GE,10710004,38539,18-May-2018
18545,AMAT,10210081,4200,16-Apr-2018
18549,IR,10610156,63020,20-Jun-2018
18583,Nhava Sheva,10210067,42990,16-Apr-2018
18589,Cummins,10210015,5251.68,4-Apr-2018
18594,Cummins,10210186,6324,9-May-2018
18600,Cummins,10210001,17834,2-Apr-2018
18616,GAIL,10210404,92826,16-Jun-2018
18626,AMAT,10210357,238878,1-May-2018
18628,Cummins,10210017,13800,4-Apr-2018
18629,IR,10610030,83162,17-Apr-2018
18635,Henkel,10210018,3100386,4-Apr-2018
18642,Cummins,10210124,87680,25-Apr-2018
18643,BORL,10210452,288239,22-Jun-2018
18645,IR,10610008,658.49,6-Apr-2018
18655,Hyosung,99999091,600,10-Apr-2018
18658,Hyosung,99999092,2000,10-Apr-2018
18659,AMAT,10210004,16490,3-Apr-2018
18668,GE,10210335,409338.35,6-Jun-2018
18670,Cummins,10210077,26073,17-Apr-2018
18679,Henkel,10910013,10599.77,25-Apr-2018
18684,GE,10210314,254450,31-May-2018
18697,Cummins,10210135,105933.7,27-Apr-2018
18698,Sukan,10210029,18646,6-Apr-2018
18700,GE Power Systems,10610026,3800,16-Apr-2018
18703,IR,10210183,68040,8-May-2018
18717,GE,10610020,10675,10-Apr-2018
18718,Cummins,10210118,14045,24-Apr-2018
18719,IR,10610086,197650,1-Jun-2018
18720,Nhava Sheva,10210023,8030,6-Apr-2018
18742,GE Power Systems,10610013,5250,9-Apr-2018
18742,GE Power Systems,10610014,525,9-Apr-2018
18742,GE Power Systems,10610161,19425,21-Jun-2018
18742,GE Power Systems,10610368,21000,10-Sep-2018
18746,Henkel,10210021,7500,5-Apr-2018
18750,DHL,10210064,205090,25-May-2018
18751,Godrej,10210050,2600,12-Apr-2018
18759,Henkel,10210376,8947,13-Jun-2018
18761,Cummins,10210253,33826.5,23-May-2018
18785,Henkel,10910014,27017,24-Apr-2018
18800,Godrej,10210227,3425,18-May-2018
18802,AMAT,10210010,5622,4-Apr-2018
18814,GE Power Systems,10610152,24700,19-Jun-2018
18821,GE Power Systems,10610034,12695,19-Apr-2018
18828,C and E Ltd.,10210039,11575,3-Apr-2018
18832,Henkel,10210176,10526,7-May-2018
18835,Henkel,10210138,290023,30-Apr-2018
18840,KazStroy,10200216,4603510,1-Apr-2018
18840,KazStroy,10200216,-1938320,27-Oct-2018
18842,John Energy,10610021,82000,11-Apr-2018
18843,Henkel,10210193,16540,9-May-2018
18848,C and E Ltd.,10210016,600,4-Apr-2018
