inquiry_no,alias,order_number,mis_date,report_total
10491,GE Power Systems,10610147,26-Sep-2018,-80135.00
15763,GE Power Systems,10610372,11-Sep-2018,207650.00
17845,Cummins,10210922,14-Sep-2018,103650.00
18742,GE Power Systems,10610368,10-Sep-2018,21000.00
19717,GE Power Systems,10610389,19-Sep-2018,3130.00
19849,GE Power Systems,10610351,4-Sep-2018,4500.00
19849,GE Power Systems,10610356,5-Sep-2018,21600.00
19849,GE Power Systems,10610388,19-Sep-2018,1200.00
20026,Asian Paints,10210869,6-Sep-2018,52668.00
20836,Cummins,10210864,4-Sep-2018,430095.20
20840,Cummins,10210879,6-Sep-2018,351206.00
21179,Ascott Beverly Park Hospitality,10210980,25-Sep-2018,510000.00
21247,DHL,10910095,1-Sep-2018,43111.00
21365,GE Power Systems,10610363,10-Sep-2018,560677
25044,GE Power Systems,10610375,12-Sep-2018,43200.00
25106,Graziano,10910116,27-Sep-2018,33950.00
25212,AMAT,10210968,24-Sep-2018,6588.00
25284,Cummins,10210914,12-Sep-2018,31611.10
25308,Cummins,10210912,12-Sep-2018,52700.00
25326,ABB India,10610361,6-Sep-2018,10900.00
25383,Cummins,10210893,11-Sep-2018,399000.00
25414,Asahi India Glass,10610416,25-Sep-2018,15260
25489,Reliance,10210911,12-Sep-2018,53750.00
25581,Reliance,10210915,12-Sep-2018,65180.66
25653,IR,10610414,25-Sep-2018,12500.00
25698,Henkel,10210765,1-Sep-2018,-35860.00
25727,Cummins,10210863,5-Sep-2018,15094.1
25732,IR,10610366,10-Sep-2018,7944.00
25748,GE,10610390,19-Sep-2018,111728.00
25819,Cummins,10210903,12-Sep-2018,138045.00
25834,Henkel,10210960,21-Sep-2018,94440.00
25848,Godrej,10210639,1-Sep-2018,90300.00
25858,Cummins,10210850,3-Sep-2018,7298.00
25887,Cummins,10210925,17-Sep-2018,16187.16
25939,IR,10610360,6-Sep-2018,4457.16
25958,SSI,10210881,7-Sep-2018,515873.00
25966,IR,10610387,18-Sep-2018,12000.00
25994,GE,10610406,24-Sep-2018,54219.00
26034,Graziano,10910094,1-Sep-2018,72876.65
26089,Cummins,10210899,12-Sep-2018,614600.00
26090,Beckman Coulter,10210851,3-Sep-2018,2000.00
26093,GE Power Systems,10610350,5-Sep-2018,2400.00
26093,GE Power Systems,10610353,5-Sep-2018,2400.00
26093,GE Power Systems,10610355,5-Sep-2018,12000.00
26132,GE,10210919,14-Sep-2018,32000.00
26134,GE,10210855,3-Sep-2018,13920.00
26141,GE,10210896,11-Sep-2018,70400.00
26179,Henkel,10210880,7-Sep-2018,48000.00
26187,Henkel,10210954,21-Sep-2018,3766.00
26220,Kirloskar,10210955,21-Sep-2018,7136.50
26271,GE,10610359,6-Sep-2018,26966.00
26271,GE,10610362,7-Sep-2018,26966.00
26276,Henkel,10210994,27-Sep-2018,209982.00
26306,Henkel,10210990,26-Sep-2018,17612.00
26311,GE,10610392,20-Sep-2018,35125.00
26318,Plasser India,10610348,4-Sep-2018,168568.47
26333,GHCL,10610397,21-Sep-2018,3384.00
26335,GE,10610352,5-Sep-2018,27600
26356,Henkel,10210870,5-Sep-2018,6246.00
26388,Henkel,10210877,6-Sep-2018,1477.50
26392,Piramal,11410017,17-Sep-2018,580622.47
26399,ZF India,10210934,19-Sep-2018,15693.7
26403,Cummins,10210860,4-Sep-2018,14332.00
26409,GE,10610393,20-Sep-2018,41649.50
26430,Henkel,10210766,1-Sep-2018,-11765.14
26436,Nivea India,10610357,5-Sep-2018,116000.00
26444,Cummins,10210858,4-Sep-2018,14556.00
26449,VVF,10210947,20-Sep-2018,16200.00
26496,Piramal,11410004,3-Sep-2018,22329.00
26498,Cummins,10210973,24-Sep-2018,16513.50
26510,Henkel,10210861,4-Sep-2018,6315.00
26512,Carlsberg,10910104,10-Sep-2018,280612.50
26516,SSI,10211005,25-Sep-2018,19291.99
26523,Henkel,10210935,19-Sep-2018,197967.35
