Order Number,Sales Order Row ID,SKU,Old Margin,New Margin,Unit Cost Price with Freight,Unit Selling Price
10200013,13567,BM9J1G1,25.04,29.55,2.17,3.08
10200052,13636,BM9M4U6,-6.18,-1.35,5.25,5.18
10300015,13644,BMC7A4H,13.69,0.0,5.5,5.5
10300024,13733,BM9N2B5,20.5,25.01,1.6498,2.2
10300029,13900,BM9C5M5,20.39,24.88,1.6,2.13
10400019,14102,BM9N3P7,68.13,72.53,0.5,1.82
10400019,14103,BM9N3R6,-27.87,-22.95,0.75,0.61
10400019,14104,BM9N3V4,44.0,48.33,1.55,3.0
10400019,14105,BM9N3C4,-188.64,-184.09,2.5,0.88
10400019,14106,BM9N3S7,10.47,14.98,8.0,9.41
10400019,14107,BM9N3Q7,10.51,15.03,9.5,11.18
10200145,14265,BM9N5D5,100.0,70.0,64500.0,215000.0
10200145,14266,BM9N5J5,100.0,70.0,19017.3,63391.0
10200150,14272,BM9N4R1,100.0,70.0,9000.0,30000.0
10200150,14273,BM9N5M7,100.0,70.0,8926.8,29756.0
10200150,14274,BM9N5M5,100.0,70.0,2026.8,6756.0
10200150,14275,BM9N5N7,100.0,70.0,661.71,2206.0
10200227,14684,BM9G8G5,1.93,6.8,6.85,7.35
10910002,14868,BM00008,100.0,0.0,1200.0,1200.0
10610007,14884,BM0K9T2,-28.71,-26.24,51.0,40.4
10210056,15175,BM9P2H9,0.0,-10000000,0.0,0.0
10210056,15176,BM9P2F6,0.0,-10000000,0.0,0.0
10210056,15177,BM9P1X9,0.0,-10000000,0.0,0.0
10210071,15258,BM9K9F3,100.0,0.0,1750.0,1750.0
10610033,15323,BM9G8G5,23.02,23.03,6.85,8.9
10210122,15617,BM00008,100.0,40.0,300.0,500.0
10610045,15687,BM9T4Y4,58.38,58.36,72.03,173.0
10610046,15713,BM9T4Y4,58.38,58.36,72.03,173.0
10610051,15809,BM9T4Y4,58.38,58.36,72.03,173.0
10210149,15937,BM00008,100.0,0.0,1000.0,1000.0
10610071,15995,BM00008,100.0,0.0,600.0,600.0
10210173,16027,BM00008,100.0,6.0,600.0,638.3
10610079,16097,BM0K8N8,-256.39,-256.4,124.74,35.0
10610079,16109,BM0L0C2,-130.0,-133.33,70.0,30.0
10610080,16147,BM9T4Y4,58.38,58.36,72.03,173.0
10710002,16188,BM9T4Y4,58.38,58.36,72.03,173.0
10210225,16248,BM9G8G5,5.71,4.76,7.0,7.35
10210260,16452,BM9D3V6,24.44,28.89,1.6,2.25
10610103,16692,BM9Y9U1,32.46,32.29,40.1,59.22
10610115,16908,BM9V7E3,6.9,7.0,244.73,263.16
10610115,16910,BM9Z5A8,6.9,7.0,342.63,368.42
10610115,16916,BM1A7U6,6.9,7.0,244.73,263.16
10610115,16917,BM9Q9R8,6.9,7.0,342.63,368.42
10610134,17211,BM9P7R5,49.96,49.97,231.66,463.0
10610134,17215,BM9Z1X9,50.05,50.06,62.92,126.0
10610134,17221,BM9P9Q3,49.92,49.91,1302.28,2600.0
10610136,17253,BM9T4Y4,58.38,58.36,72.03,173.0
10210417,17633,BM00008,100.0,33.33,100.0,150.0
10210426,17713,BM00008,100.0,5.0,250.0,263.16
10610167,17753,BM9W7G5,41.56,41.82,44.8,77.0
10610167,17755,BM9Q3N1,41.44,41.62,64.8,111.0
10610167,17756,BM9S3G8,41.44,41.62,64.8,111.0
10210465,17946,BM00008,100.0,33.33,200.0,300.0
10610206,18212,BM9P9T5,2.42,4.74,9.85,10.34
10210558,18415,BM00008,100.0,16.67,250.0,300.0
10210560,18464,BM00028,100.0,0.0,2500.0,2500.0
10610236,18558,BM9M1D8,36.42,36.25,7.65,12.0
10610244,18686,BM9X1V2,11.36,10.23,0.79,0.88
10610244,18687,BM9Y5F4,13.03,10.01,11.33,12.59
10210627,18795,BM00008,100.0,50.0,100.0,200.0
10210653,18978,BM00008,100.0,0.0,5600.0,5600.0
10210686,19160,BM9V4M5,6.01,6.0,131.0,139.36
10210686,19161,BM9U3A9,6.15,6.0,137.0,145.74
10210699,19205,BM00008,100.0,50.0,600.0,1200.0
10210721,19325,BM00008,100.0,0.0,8000.0,8000.0
10210729,19362,BM00008,100.0,20.0,200.0,250.0
10210737,19437,BM00008,100.0,23.08,2000.0,2600.0
10210739,19442,BM1Z8W7,100.0,36.03,4000.0,6253.0
10210739,19443,BM0C8D6,100.0,20.0,56.0,70.0
10210739,19445,BM0C7G0,100.0,20.11,139.0,174.0
10210764,19570,BM00008,100.0,-433.33,8000.0,1500.0
10210767,19574,BM00008,100.0,6.03,1200.0,1277.0
10610348,20054,BM9X6S5,9.76,11.05,33.0,37.1
10610365,20226,BM9G8G5,10.26,12.18,6.85,7.8
10210944,20742,BM1G0B8,-311.0,-310.98,204.05,49.65
10210965,20867,BM9W4V4,100.0,20.0,20.0,25.0
10210960,20874,BM9P4P3,20.58,20.31,37.63,47.22
10610401,20885,BM9U2A1,4.42,4.76,90.68,95.21
10610402,20886,BM9Q1X8,6.35,4.79,9.15,9.61
10910113,20888,BM00008,100.0,99.33,10.0,1500.0
10210967,20937,BM00008,100.0,11.76,1500.0,1700.0
10210972,20955,BM9G8G5,23.0,23.33,6.9,9.0
11210067,20994,BM00013,-0.43,0.0,36.84,36.84
10610425,21345,BM9U8P4,11.76,4.71,6.48,6.8
10610432,21514,BM9E2C6,28.58,28.65,39.0,54.66
10211046,21546,BM0K9T2,12.97,13.72,58.0,67.22
10610435,21589,BM9W5T2,11.76,12.03,201.0,228.48
10610435,21598,BM9Y4G7,11.76,13.21,36.0,41.48
10610435,21601,BM9W3P9,11.76,11.82,349.0,395.76
10610435,21604,BM9U1D4,11.76,12.76,35.0,40.12
10610435,21610,BM9V6J2,11.76,12.24,37.0,42.16
10610435,21613,BM9S1A5,11.76,12.13,95.0,108.12
