inquiry number,quote number,order number,status,SAP status (Only for Orders after April 2018,approved date,mis date,total
8625,,2000077,,,,01-07-2017,3778
9071,,2000078,,,,01-07-2017,252316
9146,,201779,,,,01-07-2017,202500
9226,,2000021,,,,01-07-2017,167913
9313,,201801,,,,01-07-2017,179200
9342,,2000405,,,,01-07-2017,267535
9447,,201853,,,,01-07-2017,1000
9472,,2000070,,,,01-07-2017,744713
9555,,202007,,,,01-07-2017,1728625.95
9566,,201900,,,,01-07-2017,1832599.5
9635,,2000002,,,,01-07-2017,1296000
9674,,202038,,,,01-07-2017,1398766.05
9764,,201996,,,,01-07-2017,990
9907,,2000032,,,,03-07-2017,455026
9440,,2000008,,,,04-07-2017,4454
9929,,2000011,,,,05-07-2017,1722.75
10022,,2000015,,,,05-07-2017,155672
10051,,2000030,,,,06-07-2017,78389
10084,,99999085,,,,06-07-2017,4810
10084,,2000041,,,,06-07-2017,4810
8480,,10210041,,,,07-07-2017,894.7
8674,,2000148,,,,07-07-2017,20336
8922,,2000274,,,,07-07-2017,13789.8
9234,,2000089,,,,07-07-2017,3200
9261,,2000088-1,,,,07-07-2017,104104
9344,,2000133,,,,07-07-2017,30900
9464,,2000093-1,,,,07-07-2017,4530
9623,,2000108,,,,07-07-2017,71900
9631,,2000115,,,,07-07-2017,408.75
9730,,2000147,,,,07-07-2017,218916
9731,,2000107,,,,07-07-2017,3058
9741,,2000116,,,,07-07-2017,18160
9771,,2000067,,,,07-07-2017,14069
9781,,2000038,,,,07-07-2017,31040
9800,,2000085,,,,07-07-2017,101553
9864,,2000170,,,,07-07-2017,35419
9869,,2000268,,,,07-07-2017,11040.96
9879,,2000161-1,,,,07-07-2017,7876
9893,,2000086,,,,07-07-2017,26569
9898,,2000001-1,,,,07-07-2017,11175
9909,,2000644,,,,07-07-2017,376.3
10003,,2000040,,,,07-07-2017,10350
10043,,2000215,,,,07-07-2017,6111
10072,,2000105,,,,07-07-2017,212444
10078,,2000036,,,,07-07-2017,2800
10080,,2000119,,,,07-07-2017,19375
10089,,2000039-1,,,,07-07-2017,45000
10100,,2000090,,,,07-07-2017,74737
10117,,2000072,,,,07-07-2017,3327.6
10131,,2003612,,,,07-07-2017,37500
10131,,2000084,,,,07-07-2017,75000
10138,,2000415,,,,07-07-2017,8244
10140,,2000106-1,,,,07-07-2017,13704
10142,,2000438,,,,07-07-2017,6315.6
10143,,2000669,,,,07-07-2017,14994
10165,,2000104,,,,07-07-2017,43633
10170,,2000273,,,,07-07-2017,13000
10176,,2000110,,,,07-07-2017,2490
10185,,2000118,,,,07-07-2017,19425
10195,,2000122,,,,07-07-2017,3160
10198,,2000190,,,,07-07-2017,4400
10203,,2000182,,,,07-07-2017,6000
10206,,2000139,,,,07-07-2017,20598
10223,,2000152,,,,07-07-2017,3200
10224,,2000169,,,,07-07-2017,4460
10227,,2000138,,,,07-07-2017,1278.4
10228,,2000144,,,,07-07-2017,24620
10252,,2000159,,,,07-07-2017,4333.8
10252,,99999081,,,,07-07-2017,60673.2
10278,,2000160-2,,,,07-07-2017,436.24
10301,,2000180,,,,07-07-2017,448.4
10425,,2000271,,,,07-07-2017,2800
9507,,2000246,,,,10-07-2017,5463
9906,,2000048,,,,10-07-2017,41730
9831,,2000426,,,,11-07-2017,74936
10004,,2000016,,,,11-07-2017,8648
10004,,99999087,,,,11-07-2017,6053.6
10108,,2000097,,,,11-07-2017,5925
10061,,2000037,,,,12-07-2017,5706
10113,,2002944,,,,12-07-2017,21339
10162,,2000101,,,,13-07-2017,6840
8698,,2000179-1,,,,14-07-2017,12276
8968,,Not Booked,,,,14-07-2017,12276
5663,,2000136-1,,,,15-07-2017,176203.5
9336,,2000134-1,,,,17-07-2017,301907
10038,,2000113,,,,17-07-2017,7940
10177,,2001348,,,,17-07-2017,2007527
9607,,2000510,,,,18-07-2017,3064.4
9682,,2000276,,,,18-07-2017,1550
10127,,2000132,,,,18-07-2017,7124
10200,,2000150-2,,,,18-07-2017,27540
9626,,2000153-1,,,,19-07-2017,107880
10216,,2001798,,,,19-07-2017,3500.6
10118,,2000163,,,,20-07-2017,60000
10163,,2000146,,,,20-07-2017,10038.72
10240,,2000188,,,,20-07-2017,2375
10257,,2000155,,,,21-07-2017,15000
10811,,2000471,,,,21-07-2017,344.27
9786,,2000162,,,,22-07-2017,2500
9874,,2001213,,,,24-07-2017,1295244
10284,,2000172,,,,24-07-2017,38518.8
10295,,2000175,,,,24-07-2017,258348
10273,,2000406,,,,25-07-2017,5110
10310,,2001044,,,,25-07-2017,90607
10976,,2000573,,,,25-07-2017,2400
12268,,2001032,,,,25-07-2017,800
14949,,2002158,,,,25-07-2017,220
14949,,99999014,,,,25-07-2017,330
15104,,2002266,,,,25-07-2017,8000
15134,,2002257,,,,25-07-2017,15200
15780,,2002593,,,,25-07-2017,3800
9298,,2000225,,,,26-07-2017,285714
9484,,2000212,,,,26-07-2017,9353
10111,,2000203,,,,26-07-2017,16000
10220,,2000193,,,,26-07-2017,14056
10312,,2000201,,,,26-07-2017,409.36
10181,,2000501,,,,27-07-2017,566.4
10286,,2000236,,,,27-07-2017,35556
10305,,2000231,,,,27-07-2017,10172
10346,,2000270,,,,27-07-2017,8100
10744,,2000454,,,,27-07-2017,311
9686,,99999099,,,,28-07-2017,568.12
9686,,2000298,,,,28-07-2017,13634.88
9804,,2000245,,,,28-07-2017,5940
9932,,2000249,,,,28-07-2017,16001
10362,,2000241,,,,28-07-2017,10852
10370,,2000228,,,,28-07-2017,530.73
10378,,2000238,,,,28-07-2017,27118
10405,,2000250,,,,28-07-2017,16001
10407,,2000251,,,,28-07-2017,11200.7
10408,,2000252,,,,28-07-2017,4800.3
10409,,2000253,,,,28-07-2017,16001
10805,,2000467,,,,28-07-2017,337.51
10807,,2000468,,,,28-07-2017,445.91
10139,,2000281,,,,29-07-2017,37625
10392,,99999078,,,,29-07-2017,2107
10392,,2000559,,,,29-07-2017,12642
8348,,10200237,,,,31-07-2017,4480
8348,,10210416,,,,31-07-2017,27677
10422,,2000272,,,,31-07-2017,44536
10438,,2000293,,,,31-07-2017,32384
8992,,2000277,,,,01-08-2017,155604
8992,,99999002,,,,01-08-2017,1283.96
9383,,2000262,,,,01-08-2017,3524
9383,,99999003,,,,01-08-2017,4467
9618,,2000126,,,,01-08-2017,3200
9633,,2000044,,,,01-08-2017,5000
9732,,2000280,,,,01-08-2017,82173.44
9865,,2000279,,,,01-08-2017,238133
9865,,99999004,,,,01-08-2017,3582
9933,,2000355,,,,01-08-2017,32063
10034,,2002215,,,,01-08-2017,1397842.34
10093,,2000091,,,,01-08-2017,221944
10171,,2000291,,,,01-08-2017,4892
10211,,2000129,,,,01-08-2017,1817
10213,,2000282,,,,01-08-2017,4137
10259,,2000416,,,,01-08-2017,222000
10263,,2000353,,,,01-08-2017,16632
10292,,2000514,,,,01-08-2017,6600
10327,,2000283,,,,01-08-2017,125793
10351,,2000553,,,,01-08-2017,11820
10418,,2000407,,,,01-08-2017,5925
10456,,2000299,,,,01-08-2017,1319.76
10527,,2000322,,,,01-08-2017,27118
10529,,2000326,,,,01-08-2017,12713
10546,,2000339,,,,01-08-2017,1125
10549,,2000341,,,,01-08-2017,2100
10625,,2000359,,,,01-08-2017,445.98
10720,,2000408,,,,01-08-2017,60000
10728,,2000464,,,,01-08-2017,4375
10745,,2000522,,,,01-08-2017,296.66
10777,,2000455,,,,01-08-2017,339.2
10784,,2000521,,,,01-08-2017,559.76
10786,,2003625,,,,01-08-2017,4775
10786,,2000515,,,,01-08-2017,11250
10804,,2000466,,,,01-08-2017,279.89
10810,,2000469,,,,01-08-2017,673.1
10813,,2000480,,,,01-08-2017,671.45
10828,,2000481,,,,01-08-2017,2048
10837,,2000493,,,,01-08-2017,5922.8
10861,,2000495,,,,01-08-2017,422.25
10903,,2000527,,,,01-08-2017,436.52
10905,,2000528,,,,01-08-2017,436.52
10906,,2000530,,,,01-08-2017,859.58
10913,,2000532,,,,01-08-2017,672.1
10914,,2000533,,,,01-08-2017,673.1
11071,,2000627,,,,01-08-2017,1600
12487,,2001129,,,,01-08-2017,1780
12489,,2001130,,,,01-08-2017,1780
12490,,2001131,,,,01-08-2017,2367
12491,,2001132,,,,01-08-2017,1883
12493,,2001134,,,,01-08-2017,639
12494,,2001135,,,,01-08-2017,588.14
12495,,2001136,,,,01-08-2017,588.14
12506,,2001146,,,,01-08-2017,770.34
12507,,2001147,,,,01-08-2017,1949
12508,,2001148,,,,01-08-2017,2314
12510,,2001150,,,,01-08-2017,1949
12513,,2001153,,,,01-08-2017,270.34
12514,,2001154,,,,01-08-2017,1949
12515,,2001155,,,,01-08-2017,113.56
12517,,2001156,,,,01-08-2017,113.56
12519,,2001158,,,,01-08-2017,1949
12520,,2001159,,,,01-08-2017,2235
12521,,2001161,,,,01-08-2017,270.34
12524,,2001163,,,,01-08-2017,229.66
12526,,2001164,,,,01-08-2017,257.63
12527,,2001165,,,,01-08-2017,700
12528,,2001166,,,,01-08-2017,270.34
12529,,2001167,,,,01-08-2017,258.48
12531,,2001169,,,,01-08-2017,258.47
12533,,2001171,,,,01-08-2017,2175
12535,,2001172,,,,01-08-2017,9744
12536,,2001173,,,,01-08-2017,155.94
12537,,2001174,,,,01-08-2017,554.24
12539,,2001175,,,,01-08-2017,554.24
12545,,2001176,,,,01-08-2017,229.66
12546,,2001177,,,,01-08-2017,270.34
12547,,2001178,,,,01-08-2017,229.66
12548,,2001179,,,,01-08-2017,166.95
12549,,2001180,,,,01-08-2017,993.22
12550,,2001181,,,,01-08-2017,113.56
12552,,2001182,,,,01-08-2017,229.66
12553,,2001183,,,,01-08-2017,113.56
12565,,2001184,,,,01-08-2017,144.92
12566,,2001185,,,,01-08-2017,257.63
12568,,2001186,,,,01-08-2017,588.14
12569,,2001187,,,,01-08-2017,1545
12571,,2001190,,,,01-08-2017,588.14
12572,,2001188,,,,01-08-2017,257.63
12577,,2001191,,,,01-08-2017,258.47
12581,,2001194,,,,01-08-2017,257.63
12583,,2001195,,,,01-08-2017,258.47
12584,,2001196,,,,01-08-2017,1653
12585,,2001197,,,,01-08-2017,655.94
12586,,2001198,,,,01-08-2017,258.47
12588,,2001199,,,,01-08-2017,300.84
12589,,2001200,,,,01-08-2017,2175
12590,,2001201,,,,01-08-2017,229.66
12591,,2001202,,,,01-08-2017,461.02
12592,,2001203,,,,01-08-2017,156.78
12594,,2001204,,,,01-08-2017,167.8
12596,,2001205,,,,01-08-2017,167.8
12599,,2001209,,,,01-08-2017,258.48
12601,,2001210,,,,01-08-2017,549.16
12602,,2001211,,,,01-08-2017,639.83
12605,,2001212,,,,01-08-2017,106.78
12616,,2001214,,,,01-08-2017,292.37
12617,,2001215,,,,01-08-2017,872.88
12618,,2001216,,,,01-08-2017,116.1
12619,,2001217,,,,01-08-2017,258.47
12621,,2001218,,,,01-08-2017,116.1
12622,,2001219,,,,01-08-2017,186.44
12626,,2001221,,,,01-08-2017,116.1
12627,,2001222,,,,01-08-2017,258.47
12628,,2001225,,,,01-08-2017,257.63
12629,,2001226,,,,01-08-2017,257.63
12641,,2001239,,,,01-08-2017,588.14
12642,,2001228,,,,01-08-2017,274.58
12645,,2001229,,,,01-08-2017,232.2
12646,,2001230,,,,01-08-2017,152.54
12647,,2001231,,,,01-08-2017,588.14
12648,,2001233,,,,01-08-2017,588.14
12649,,2001234,,,,01-08-2017,156.78
12650,,2001235,,,,01-08-2017,513.56
12651,,2001236,,,,01-08-2017,1630
12652,,2001238,,,,01-08-2017,1205
12665,,2001246,,,,01-08-2017,824.2
12667,,2001247,,,,01-08-2017,257.63
12668,,2001249,,,,01-08-2017,1247
12669,,2001260,,,,01-08-2017,554.24
12696,,2001254,,,,01-08-2017,155.93
12700,,2001255,,,,01-08-2017,587.28
12701,,2001256,,,,01-08-2017,166.95
12702,,2001257,,,,01-08-2017,513.56
12703,,2001258,,,,01-08-2017,229.66
12704,,2001259,,,,01-08-2017,1197.45
12714,,2001268,,,,01-08-2017,554.24
12715,,2001269,,,,01-08-2017,166.96
12716,,2001270,,,,01-08-2017,364.41
12718,,2001271,,,,01-08-2017,257.63
12719,,2001272,,,,01-08-2017,257.63
12720,,2001273,,,,01-08-2017,770.34
12721,,2001275,,,,01-08-2017,1247
12722,,2001276,,,,01-08-2017,257.63
12723,,2001277,,,,01-08-2017,166.95
12724,,2001278,,,,01-08-2017,257.63
12725,,2001280,,,,01-08-2017,115.25
12726,,2001281,,,,01-08-2017,166.96
12727,,2001282,,,,01-08-2017,1247
12728,,2001283,,,,01-08-2017,554.24
12730,,2001284,,,,01-08-2017,11927
12732,,2001285,,,,01-08-2017,587.29
12733,,2001286,,,,01-08-2017,1647
12734,,2001287,,,,01-08-2017,270.34
12735,,2001288,,,,01-08-2017,262.71
12761,,2001295,,,,01-08-2017,513.56
12762,,2001296,,,,01-08-2017,186.44
12763,,2001297,,,,01-08-2017,257.62
12764,,2001298,,,,01-08-2017,587.29
12765,,2001299,,,,01-08-2017,1630
12767,,2001300,,,,01-08-2017,233.05
12768,,2001301,,,,01-08-2017,588.14
12769,,2001302,,,,01-08-2017,257.63
12770,,2001303,,,,01-08-2017,1247
12829,,2001326,,,,01-08-2017,552.54
12835,,2001327,,,,01-08-2017,144.92
12836,,2001329,,,,01-08-2017,274.58
12840,,2001335,,,,01-08-2017,9534
12852,,2001339,,,,01-08-2017,588.14
12853,,2001340,,,,01-08-2017,588.14
12855,,2001341,,,,01-08-2017,114.4
12857,,2001343,,,,01-08-2017,1653
12894,,2001346,,,,01-08-2017,258.47
12898,,2001351,,,,01-08-2017,258.47
12919,,2001353,,,,01-08-2017,258.47
12920,,2001355,,,,01-08-2017,113.54
12924,,2001356,,,,01-08-2017,106.78
12926,,2001357,,,,01-08-2017,257.63
12927,,2001359,,,,01-08-2017,257.63
12928,,2001360,,,,01-08-2017,274.58
12954,,2001364,,,,01-08-2017,144.92
12955,,2001365,,,,01-08-2017,166.95
12957,,2001366,,,,01-08-2017,257.63
12958,,2001367,,,,01-08-2017,2175
12960,,2001368,,,,01-08-2017,112.71
12964,,2001370,,,,01-08-2017,106.78
13063,,2001392,,,,01-08-2017,273.73
13064,,2001393,,,,01-08-2017,364.41
13065,,2001394,,,,01-08-2017,209
13066,,2001395,,,,01-08-2017,377.12
13067,,2001396,,,,01-08-2017,694.07
13068,,2001397,,,,01-08-2017,377.12
13069,,2001398,,,,01-08-2017,377.12
13070,,2001399,,,,01-08-2017,694.07
13071,,2001400,,,,01-08-2017,262.71
13072,,2001401,,,,01-08-2017,106.78
13073,,2001402,,,,01-08-2017,364.41
13074,,2001403,,,,01-08-2017,2420
13075,,2001404,,,,01-08-2017,694.07
13076,,2001405,,,,01-08-2017,266.96
13077,,2001406,,,,01-08-2017,1949
13078,,2001407,,,,01-08-2017,1949
13079,,2001408,,,,01-08-2017,246
13080,,2001409,,,,01-08-2017,694.07
13081,,2001410,,,,01-08-2017,4658
13082,,2001411,,,,01-08-2017,917
13083,,2001412,,,,01-08-2017,211.87
13084,,2001413,,,,01-08-2017,377.12
13085,,2001414,,,,01-08-2017,211.86
13086,,2001415,,,,01-08-2017,211.87
13087,,2001416,,,,01-08-2017,211.87
13088,,2001417,,,,01-08-2017,694.06
13089,,2001418,,,,01-08-2017,694.07
13091,,2001420,,,,01-08-2017,211.87
13092,,2001421,,,,01-08-2017,211.87
13093,,2001422,,,,01-08-2017,309
