LookUp,inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage bc,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate bc,tax rate,tax amount,total
,8625,,2000077,BM1A9M7,Vaibhavi Enterprise,2,01-Jul-2017,0.08,8.15,1889,1650,,,,0.18,18,680.04,4458.04
,8625,,2000077,BM9E5A8,Impex Tools,2,01-Jul-2017,0.07,7.14,4583,4050,,,,0.18,18,1649.88,10815.88
,8625,,2000077,BM9E5B1,Impex Tools,2,01-Jul-2017,0.08,7.73,2256,1980,,,,0.18,18,812.16,5324.16
,8625,,2000077,BM9E5B2,Impex Tools,2,01-Jul-2017,0.1,9.51,1256,1080,,,,0.18,18,452.16,2964.16
,9071,,2000078,BM9E9B5,Ferro Foundries Pvt. Ltd.,1,01-Jul-2017,0.07,6.86,252316,235000,,,,0.28,28,70648.48,322964.48
,9146,,201779,BM9B6U4,Hvd Distributors Pvt. Ltd.,15,01-Jul-2017,0.23,23.28,13500,9750,,,,0,0,0,202500
,9226,,2000021,BM9F1F1,Project Sales Corporation,1,01-Jul-2017,0.16,15.91,167913,133650,,,,0.28,28,47015.64,214928.64
,9313,,201801,BM9F2B8,Disha Enterprises,4480,01-Jul-2017,0.04,3.63,40,36.75,,,,0.05,5,8960,188160
,9313,,201801,BM9F2B9,Disha Enterprises,1900,01-Jul-2017,0.04,4.26,40,36.5,,,,0.05,5,3800,79800
,9313,,201801,BM9F2C1,Disha Enterprises,7900,01-Jul-2017,0.01,1.45,50.5,47.5,,,,0.05,5,19947.5,418897.5
,9313,,201801,BM9F2C2,Disha Enterprises,4000,01-Jul-2017,0.01,1.45,50.5,47.5,,,,0.05,5,10100,212100
,9313,,201801,BM9F2C3,Disha Enterprises,1100,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,2585,54285
,9313,,201801,BM9F2C4,Disha Enterprises,2720,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,6392,134232
,9313,,201801,BM9F2C5,Disha Enterprises,220,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,517,10857
,9313,,201801,BM9F2C6,Disha Enterprises,200,01-Jul-2017,0.03,2.96,47,43.5,,,,0.05,5,470,9870
,9313,,201801,BM9F2C7,Disha Enterprises,3040,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,7144,150024
,9342,,2000405,BM9F7S2,Protego India Pvt. Ltd.,1,01-Jul-2017,0.29,29.18,267535,189468,,,,0,0,0,267535
,9342,,2000405,BM9F7S3,Protego India Pvt. Ltd.,1,01-Jul-2017,0.29,29.18,267535,189468,,,,0,0,0,267535
,9342,,2000405,BM9F7S4,Protego India Pvt. Ltd.,1,01-Jul-2017,0.29,29.18,267535,189468,,,,0,0,0,267535
,9447,,201853,BM0K8T8,Shreenathji Welding And Safety Pvt. Ltd.,100,01-Jul-2017,0.11,10.5,10,8.5,,,,0.15,15,150,1150
,9472,,2000070,BM9F5B1,A. V. Plastic Equipments Pvt. Ltd.,1,01-Jul-2017,0.07,6.97,744713,692825,,,,0.28,28,208519.64,953232.64
,9472,,2000070,BM9F5B2,A. V. Plastic Equipments Pvt. Ltd.,1,01-Jul-2017,0.07,6.7,968583,903725,,,,0.28,28,271203.24,1239786.24
,9555,,202007,BM9F5E1,Jaiman Metalloys Llp,4855,01-Jul-2017,0.13,12.65,322.49,311,,,,0.02,2,31313.779,1597002.729
,9566,,201900,BM9F5G2,Ati Flat Rolled Products,2118,01-Jul-2017,0.01,1.49,865.25,852.377242681775,,,,0,0,0,1832599.5
,9566,,201900,BM9F5G3,Ati Flat Rolled Products,799,01-Jul-2017,0.01,1.49,865.25,852.376720901126,,,,0,0,0,691334.75
,9635,,2000002,BM9G1B9,Aeroservices Ltd.,1800,01-Jul-2017,0.26,26.47,720,488.64,,,,0.28,28,362880,1658880
,9674,,202038,BM9F6T3,Industeel France,1815,01-Jul-2017,0.06,5.91,770.67,725.150887052342,,,,0,0,0,1398766.05
,9674,,202038,BM9F6T3,Industeel France,4235,01-Jul-2017,0.02,1.79,738.39,725.151121605667,,,,0,0,0,3127081.65
,9764,,201996,BM1A0E4,Jay Mahalaxmi Traders,300,01-Jul-2017,0.62,62.12,2.3,1.25,,,,0.14,14,96.6,786.6
,9907,,2000032,BM9G2S1,Dewdry Industries,1,03-Jul-2017,0.06,5.5,455026,430000,,,,0.12,12,54603.12,509629.12
,9440,,2000008,BM9F3S3,Volga Agency,2,04-Jul-2017,0.17,17.2,2227,1744,,,,0.18,18,801.72,5255.72
,9929,,2000011,BM9G3F5,Atlas Enterprise,15,05-Jul-2017,0.17,17.28,114.85,95,,,,0.18,18,310.095,2032.845
,9929,,2000011,BM9G3F6,Atlas Enterprise,8,05-Jul-2017,0.17,17.28,175.3,145,,,,0.18,18,252.432,1654.832
,9929,,2000011,BM9G3F7,Atlas Enterprise,5,05-Jul-2017,0.17,17.29,215.2,178,,,,0.18,18,193.68,1269.68
,9929,,2000011,BM9G3F8,Atlas Enterprise,3,05-Jul-2017,0.17,17.27,1511,1250,,,,0.18,18,815.94,5348.94
,9929,,2000011,BM9G3F9,Atlas Enterprise,10,05-Jul-2017,0.17,17.26,1269,1050,,,,0.18,18,2284.2,14974.2
,9929,,2000011,BM9G3G1,Atlas Enterprise,5,05-Jul-2017,0.17,17.28,1088,900,,,,0.18,18,979.2,6419.2
,9929,,2000011,BM9G3G2,Atlas Enterprise,10,05-Jul-2017,0.17,17.29,193.44,160,,,,0.18,18,348.192,2282.592
,10022,,2000015,BM9G3D8,Steel Case India,8,05-Jul-2017,0.05,5,19459,18486,,,,0.28,28,43588.16,199260.16
,10022,,2000015,BM9G3D9,Steel Case India,6,05-Jul-2017,0.05,5,7064,6711,,,,0.28,28,11867.52,54251.52
,10022,,2000015,BM9G3E1,Steel Case India,2,05-Jul-2017,0.05,5,10301,9786,,,,0.28,28,5768.56,26370.56
,10022,,2000015,BM9G3E2,Steel Case India,16,05-Jul-2017,0.05,5,8861,8418,,,,0.28,28,39697.28,181473.28
,10022,,2000015,BM9G3E3,Steel Case India,8,05-Jul-2017,0.05,5,13300,12635,,,,0.18,18,19152,125552
,10051,,2000030,BM9G3U3,B & R Industrial Automation Pvt Ltd,1,06-Jul-2017,0.06,5.51,78389,70550,,,,0.28,28,21948.92,100337.92
,10084,,99999085,BM9F7Q8,Madras Tools,5,06-Jul-2017,0.15,14.99,962,817.8,,,,0.18,18,865.8,5675.8
,10084,,2000041,BM9F7Q9,Madras Tools,5,06-Jul-2017,0.11,10.5,962,817.8,,,,0.18,18,865.8,5675.8
,10084,,2000041,BM9F7R1,Madras Tools,5,06-Jul-2017,0.11,10.5,1223,1039.6,,,,0.18,18,1100.7,7215.7
,10084,,2000041,BM9F7R2,Madras Tools,5,06-Jul-2017,0.11,10.5,1002,851.8,,,,0.18,18,901.8,5911.8
,10084,,2000041,BM9F7R3,Madras Tools,5,06-Jul-2017,0.11,10.5,756,642.6,,,,0.18,18,680.4,4460.4
,8480,,10210041,BM9E1H8,Electrical Control Sysem,5,07-Jul-2017,0.17,17.18,178.94,148.2,,,,0.18,18,161.046,1055.746
,8480,,10210041,BM9E3N7,Aayushi Enterprises,3,07-Jul-2017,0.16,15.88,108.77,91.5,,,,0.18,18,58.7358,385.0458
,8480,,10210041,BM9E3N8,Aayushi Enterprises,3,07-Jul-2017,0.16,15.88,108.77,91.5,,,,0.18,18,58.7358,385.0458
,8480,,10210041,BM9E3N9,Aayushi Enterprises,3,07-Jul-2017,0.16,16.16,186.06,156,,,,0.18,18,100.4724,658.6524
,8480,,10210041,BM9E3P1,Sharon Controls India Pvt. Ltd.,1,07-Jul-2017,0.3,29.55,171.75,121,,,,0.18,18,30.915,202.665
,8480,,10210041,BM9E3P2,Sharon Controls India Pvt. Ltd.,1,07-Jul-2017,0.26,25.93,1350,1000,,,,0.18,18,243,1593
