id,option_id,value,group_code,credit_limit,general_discount,load_limit
1,- Cash Basic -,- Cash Basic -,-1,NULL,NULL,NULL
2,0.5% Interest Per Month,0.5% Interest Per Month,58,NULL,NULL,NULL
3,"10 days 3 % cash discount, 30 days Due net","10 days 3 % cash discount, 30 days Due net",131,NULL,NULL,NULL
4,10 days after invoicing,10 days after invoicing,72,NULL,NULL,NULL
5,10 days PDC,10 days PDC,139,NULL,NULL,NULL
6,10% Advance 90% Before Dispatch,10% Advance 90% Before Dispatch,38,NULL,NULL,NULL
7,"10% Advance, 80% + GST Against Material reaches at site, 10% Against Successful commissioning of sys","10% Advance, 80% + GST Against Material reaches at site, 10% Against Successful commissioning of sys",150,NULL,NULL,NULL
8,100 %Payment in advance before dispatch,100 %Payment in advance before dispatch,118,NULL,NULL,NULL
9,100% Advance,100% Advance,2,NULL,NULL,NULL
10,100% advance,100% advance,94,NULL,NULL,NULL
11,100% Advance Against Letter of Credit,100% Advance Against Letter of Credit,67,NULL,NULL,NULL
12,100% advance against MATERIAL READINESS,100% advance against MATERIAL READINESS,108,NULL,NULL,NULL
13,100% advance against proforma invoice,100% advance against proforma invoice,9,NULL,NULL,NULL
14,100% Advance Along With PI,100% Advance Along With PI,32,NULL,NULL,NULL
15,100% Advance Along With PO,100% Advance Along With PO,33,NULL,NULL,NULL
16,100% advance before delivery,100% advance before delivery,109,NULL,NULL,NULL
17,100% After Delivery,100% After Delivery,105,NULL,NULL,NULL
18,100% against delivery,100% against delivery,11,NULL,NULL,NULL
19,100% Against Delivery,100% Against Delivery,3,NULL,NULL,NULL
20,100% against delivery and acceptance,100% against delivery and acceptance,10,NULL,NULL,NULL
21,100% Against Letter of Credit,100% Against Letter of Credit,66,NULL,NULL,NULL
22,100% Against PI at the time of delivery,100% Against PI at the time of delivery,104,NULL,NULL,NULL
23,100% Before dispatch,100% Before dispatch,82,NULL,NULL,NULL
24,100% on 64 day(s) After Delivery,100% on 64 day(s) After Delivery,160,NULL,NULL,NULL
25,120 days from date of order,120 days from date of order,30,NULL,NULL,NULL
26,120 Days from the date of Invoice,120 Days from the date of Invoice,144,NULL,NULL,NULL
27,14 Days Net,14 Days Net,129,NULL,NULL,NULL
28,15 days after delivery,15 days after delivery,19,NULL,NULL,NULL
29,15 days credit,15 days credit,34,NULL,NULL,NULL
30,15 DAYS NEFT,15 DAYS NEFT,76,NULL,NULL,NULL
31,15 Days of Receipt from Purchase Order,15 Days of Receipt from Purchase Order,122,NULL,NULL,NULL
32,15 Days PDC,15 Days PDC,37,NULL,NULL,NULL
