inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total
8625,,2000077,BM1A9M7,1910,2,01-Jul-17,5,10,1,,EA,,5,,3778
8625,,2000077,BM9E5A8,1910,2,01-Jul-17,6,11,2,,EA,,6,,9166
8625,,2000077,BM9E5B1,1910,2,01-Jul-17,7,12,3,,EA,,7,,4512
8625,,2000077,BM9E5B2,1910,2,01-Jul-17,8,13,4,,EA,,8,,2512
9071,,2000078,BM9E9B5,1910,1,01-Jul-17,9,14,5,,EA,,9,,252316
9146,,201779,BM9B6U4,1910,15,01-Jul-17,10,15,6,,EA,,10,,202500
9226,,2000021,BM9F1F1,1910,1,01-Jul-17,11,16,7,,EA,,11,,167913
9313,,201801,BM9F2B8,1910,4480,01-Jul-17,12,17,8,,EA,,12,,179200
9313,,201801,BM9F2B9,1910,1900,01-Jul-17,13,18,9,,EA,,13,,76000
9313,,201801,BM9F2C1,1910,7900,01-Jul-17,14,19,10,,EA,,14,,398950
9313,,201801,BM9F2C2,1910,4000,01-Jul-17,15,20,11,,EA,,15,,202000
9313,,201801,BM9F2C3,1910,1100,01-Jul-17,16,21,12,,EA,,16,,51700
9313,,201801,BM9F2C4,1910,2720,01-Jul-17,17,22,13,,EA,,17,,127840
9313,,201801,BM9F2C5,1910,220,01-Jul-17,18,23,14,,EA,,18,,10340
9313,,201801,BM9F2C6,1910,200,01-Jul-17,19,24,15,,EA,,19,,9400
9313,,201801,BM9F2C7,1910,3040,01-Jul-17,20,25,16,,EA,,20,,142880
9342,,2000405,BM9F7S2,,1,01-Jul-17,,,,,,,,,
9342,,2000405,BM9F7S3,,1,01-Jul-17,,,,,,,,,
9342,,2000405,BM9F7S4,,1,01-Jul-17,,,,,,,,,
9447,,201853,BM0K8T8,,100,01-Jul-17,,,,,,,,,
9472,,2000070,BM9F5B1,,1,01-Jul-17,,,,,,,,,
9472,,2000070,BM9F5B2,,1,01-Jul-17,,,,,,,,,
9555,,202007,BM9F5E1,,4855,01-Jul-17,,,,,,,,,
9566,,201900,BM9F5G2,,2118,01-Jul-17,,,,,,,,,
9566,,201900,BM9F5G3,,799,01-Jul-17,,,,,,,,,
9635,,2000002,BM9G1B9,,1800,01-Jul-17,,,,,,,,,
9674,,202038,BM9F6T3,,1815,01-Jul-17,,,,,,,,,
9674,,202038,BM9F6T3,,4235,01-Jul-17,,,,,,,,,
9764,,201996,BM1A0E4,,300,01-Jul-17,,,,,,,,,
9907,,2000032,BM9G2S1,,1,03-Jul-17,,,,,,,,,
9440,,2000008,BM9F3S3,,2,04-Jul-17,,,,,,,,,
9929,,2000011,BM9G3F5,,15,05-Jul-17,,,,,,,,,
9929,,2000011,BM9G3F6,,8,05-Jul-17,,,,,,,,,
9929,,2000011,BM9G3F7,,5,05-Jul-17,,,,,,,,,
9929,,2000011,BM9G3F8,,3,05-Jul-17,,,,,,,,,
9929,,2000011,BM9G3F9,,10,05-Jul-17,,,,,,,,,
9929,,2000011,BM9G3G1,,5,05-Jul-17,,,,,,,,,
9929,,2000011,BM9G3G2,,10,05-Jul-17,,,,,,,,,
10022,,2000015,BM9G3D8,,8,05-Jul-17,,,,,,,,,
10022,,2000015,BM9G3D9,,6,05-Jul-17,,,,,,,,,
10022,,2000015,BM9G3E1,,2,05-Jul-17,,,,,,,,,
10022,,2000015,BM9G3E2,,16,05-Jul-17,,,,,,,,,
10022,,2000015,BM9G3E3,,8,05-Jul-17,,,,,,,,,
10051,,2000030,BM9G3U3,,1,06-Jul-17,,,,,,,,,
10084,,99999085,BM9F7Q8,,5,06-Jul-17,,,,,,,,,
10084,,2000041,BM9F7Q9,,5,06-Jul-17,,,,,,,,,
10084,,2000041,BM9F7R1,,5,06-Jul-17,,,,,,,,,
10084,,2000041,BM9F7R2,,5,06-Jul-17,,,,,,,,,
10084,,2000041,BM9F7R3,,5,06-Jul-17,,,,,,,,,
8480,,10210041,BM9E1H8,,5,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3N7,,3,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3N8,,3,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3N9,,3,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3P1,,1,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3P2,,1,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3P3,,6,07-Jul-17,,,,,,,,,
8480,,10210041,BM9E3P4,,3,07-Jul-17,,,,,,,,,
