Inquiry number,company id,company name
7983,213,Mahindra Comviva
7447,291,Sew-Eurodrive India Pvt. Ltd.
10097,312,Sunflag Iron And Steel Co. Ltd.
7477,259,Precision Automation and Robotics India Ltd.
7484,155,Indraprastha Gas Ltd.
7505,203,Lovely Professional University
6139,208,Macpower CNC Machines Pvt. Ltd.
7812,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6958,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6137,190,KION India Pvt. Ltd.
7810,315,Synise Technologies Ltd.
27266,426,Indian Space Research Organization
25938,1686,GAIL India Limited
25506,1712,"Deccan Fine Chemicals, Visakhapatnam"
25572,1068,Gujarat Nippon International Pvt. Ltd.
21453,1674,Sun Petrochemicals Pvt. Ltd
7552,164,Indobox
7777,295,Shree Sai Coaters
4178,393,Steelcase
6098,225,Meera Engineering Works
7726,300,Sigma Engineers Works
4063,156,Indian Institute of Technology Bombay
7714,325,Tenco System and Switch Gear Pvt. Ltd.
7656,120,GE India Industrial Pvt. Ltd. (GE Energy Connections-SRGI)
7629,178,JFE Shoji Steel India Pvt. Ltd.
7731,300,Sigma Engineers Works
2166,265,Quippo Oil and Gas Infrastructure Ltd.
2163,265,Quippo Oil and Gas Infrastructure Ltd.
7786,231,Moosajee Jevajee Enterprises Pvt. Ltd.
2151,265,Quippo Oil and Gas Infrastructure Ltd.
25318,1214,Consortium For Educational Communication
7799,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7816,203,Lovely Professional University
25319,1214,Consortium For Educational Communication
25320,1700,Inter - University Accelerator Centre
25618,1392,GHCL Ltd.
7862,388,Shanti Iron and Steel
51,194,L. K. Machinery India Pvt. Ltd.
7877,266,Radhe Shyam Industries
124,198,Lab India Instruments Pvt. Ltd.
5831,334,Uttam Galva Steels Ltd.
7895,249,Oil India Ltd.
25335,1699,Krishna Group
7907,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7470,264,Project Supply Systems
7916,78,Cummins Turbo Technologies
2716,174,ITC Grand Central - A Luxury Collection Hotel
2704,318,Taj Air Ltd.
25663,1720,Jumbotail Technologies Pvt. Ltd.
2428,15,Accuramech Industrial Engineering Pvt. Ltd.
8064,273,Renishaw Metrology Systems Ltd.
8072,97,Dr B.R. Ambedkar National Institute of Technology
4526,296,Shreeji Trading Co.
1932,393,Steelcase
4544,296,Shreeji Trading Co.
9442,338,Vigel Manufacturing Technologies Pvt. Ltd.
4570,296,Shreeji Trading Co.
4215,174,ITC Grand Central - A Luxury Collection Hotel
2574,265,Quippo Oil and Gas Infrastructure Ltd.
7010,20,Aesseal India Pvt. Ltd.
25756,1592,Procter & Gamble Hygiene and Health Care Ltd
2516,265,Quippo Oil and Gas Infrastructure Ltd.
10448,122,GE India Industrial Pvt. Ltd. (Division: JFWTC)
2509,126,GE Transportation Systems
10452,294,Shelf Drilling Offshore Services India Pvt. Ltd.
27073,1817,Mundra International Container Terminal Pvt. Ltd.
6306,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
3580,174,ITC Grand Central - A Luxury Collection Hotel
9250,128,GerOil Oil and Gas Products
3097,174,ITC Grand Central - A Luxury Collection Hotel
25802,1712,"Deccan Fine Chemicals, Visakhapatnam"
25384,1697,Rubamin Ltd
5872,175,Jain Trading Co.
25812,1723,Spacenex Aero Pvt Ltd
3487,174,ITC Grand Central - A Luxury Collection Hotel
3485,105,Emerson Innovation Center
2310,174,ITC Grand Central - A Luxury Collection Hotel
2304,318,Taj Air Ltd.
25828,1668,The Lalit
7362,79,Cytec India Specialty Chemicals and Materials Pvt. Ltd.
3436,57,Bridgestone India Pvt. Ltd.
5878,81,D. Haridas and Co.
2227,124,GE Oil and Gas (Measurement and Control Advanced Systek)
6844,145,Hi-Con Technocast Pvt. Ltd.
3298,194,L. K. Machinery India Pvt. Ltd.
7066,316,TAG Offshore Ltd.
2198,265,Quippo Oil and Gas Infrastructure Ltd.
9802,421,ACC India Pvt. Ltd.
2168,265,Quippo Oil and Gas Infrastructure Ltd.
2165,265,Quippo Oil and Gas Infrastructure Ltd.
2167,265,Quippo Oil and Gas Infrastructure Ltd.
5884,31,Arabian Ocean Drilling Supplies and Services Pvt. Ltd.
2150,265,Quippo Oil and Gas Infrastructure Ltd.
2145,265,Quippo Oil and Gas Infrastructure Ltd.
3087,174,ITC Grand Central - A Luxury Collection Hotel
9743,419,HP International
9697,294,Shelf Drilling Offshore Services India Pvt. Ltd.
2078,129,GL and V India Pvt. Ltd.
7234,246,Oblum Electrical Industries Pvt. Ltd.
25928,1689,Adani Hazira Port Pvt. Ltd.
9641,419,HP International
9634,9,Survival Systems India
7108,29,APM Terminals India Pvt. Ltd.
7215,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7209,253,Pashupatinath Enterprises
6734,145,Hi-Con Technocast Pvt. Ltd.
7175,207,Reliance Gas Pipelines Ltd.
1981,128,GerOil Oil and Gas Products
1854,128,GerOil Oil and Gas Products
6783,174,ITC Grand Central - A Luxury Collection Hotel
6789,9,Survival Systems India
27475,1668,The Lalit
1527,174,ITC Grand Central - A Luxury Collection Hotel
7029,172,Integrated Equipment Ltd.
6992,316,TAG Offshore Ltd.
7223,59,Cairn India Ltd.
951,118,Galiakotwala Engineering Co. Pvt. Ltd.
6959,316,TAG Offshore Ltd.
941,118,Galiakotwala Engineering Co. Pvt. Ltd.
907,285,Schlumberger Asia Services Ltd.
905,118,Galiakotwala Engineering Co. Pvt. Ltd.
7253,268,Raj Dies and Engineering
