HSN_code,Description,Make,Model,UOM,Unit_QTY ,Unit,MOQ_of_UOM,Unit_Price
85044090,"PowerFlex 523 AC Drive, 480 VAC, 3 Phase, 0.5 HP, 0.4 kW Normal Duty; 0.5 HP, 0.4 kW Heavy Duty, Frame A, IP20 NEMA / Open Type, No Filter",Allen Bradley,25A-D1P4N104,NOS,1,NOS,1,10890.76
85044090,"PowerFlex 523 AC Drive, 480 VAC, 3 Phase, 1.0 HP, 0.75 kW Normal Duty; 1.0 HP, 0.75 kW Heavy Duty, Frame A, IP20 NEMA / Open Type, No Filter",Allen Bradley,25A-D2P3N104,NOS,1,NOS,1,11393.35
85044090,"PowerFlex 523 AC Drive, 480 VAC, 3 Phase, 2 HP, 1.5 kW Normal Duty; 2 HP, 1.5 kW Heavy Duty, Frame A, IP20 NEMA / Open Type, No Filter",Allen Bradley,25A-D4P0N104,NOS,1,NOS,1,13254.4
82029990,ADOPTER FOR BOSCH MAKE HOLESAW CUTTER 14MM TO 32MM,Bosch,2608580396,NOS,1,NOS,1,177.74
84212110,AIR BUBBLE FLIM ROLL Product Code 1030 - 100 mtr Roll,,1030,NOS,100,MTR,1,4.94
76041039,ALUM ANGLE 50 X 50 X 2 MM,,,KG,1,KG,1,192.22
76041039,ALUM ANGLE 50 X 50 X 5MM,,,KG,1,KG,1,192.22
76169990,ALUM FLAT 40 X 5 MM,,,KG,1,KG,1,192.22
76169990,ALUM FLAT 50 X 3 MM,,,KG,1,KG,1,190.11
85369090,BAKELITE CONNECTOR STRIP 15 AMP - 12 WAY,,,EA,1,EA,10,34.44
85369090,BAKELITE CONNECTOR STRIP 10 AMP - 12 WAY,,,EA,1,EA,10,27.78
39269099,BAKELITE KNOB 8 MM,,,EA,1,EA,10,22.22
39269099,BAKELITE KNOB WITH SS 316 STUD 8 X 40 MM,,,NOS,1,NOS,10,13.33
84229090,"SKF Deep Groove Ball Bearing, Inner Dia 20 mm, Outer Dia 47 mm - 6204",SKF,6204,NOS,1,NOS,10,143.33
84229090,"SKF Deep Groove Ball Bearing, Inner Dia 7 mm - 627 2Z",SKF,627 2Z,NOS,1,NOS,10,102.6
39239090,BROWN TAPE 2 ,,,EA,1,EA,12,17.22
39269099,Self Locking PA 66 Cable Tie Lenght 250mm Width 4.8mm - 100PCK,Electro,,PKT,100,NOS,5,0.92
39269099,Self Locking PA 66 Cable Tie Lenght 100mm Width 2.5mm - 100PCK,Electro,,PKT,1,Pack,5,15.14
