Inquiry,Order Number,Sales Quote,Product Sku,Duplicate SKU,No Of Count,Tax Different SO,Sales Quote Row Tax Rate,Sheet Tax Rate
4880,200002,611,BM9A3K3,Yes,2,No,,
4670,200005,1206,BM9B4G1,Yes,2,No,,
5653,200006,1220,BM9A2X7,Yes,2,No,,
5436,200012,1065,BM9B1A7,Yes,2,No,,
5415,200013,1046,BM9A9R2,Yes,2,No,,
5415,200013,1046,BM9A9R3,Yes,2,No,,
5415,200013,1046,BM9A9R5,Yes,2,No,,
5574,200016,1148,BM9B3M2,Yes,2,No,,
5269,200019,952,BM0O4N3,Yes,2,No,,
5269,200019,952,BM0O4O7,Yes,2,No,,
5269,200019,952,BM0O4T9,Yes,2,No,,
5269,200019,952,BM9A2R1,Yes,2,No,,
5534,200021,1123,BM9B2U5,Yes,2,No,,
5455,200022,1218,BM9A5Y9,Yes,2,No,,
5637,200023,1217,BM9B4J2,Yes,2,No,,
3383,200028,1160,BM1F7Q1,Yes,2,No,,
3383,200028,1160,BM9B3Q2,Yes,2,No,,
5214,200029,957,BM9A8E1,Yes,2,No,,
5518,200030,1144,BM9B3L5,Yes,2,No,,
5518,200030,1144,BM9B3L6,Yes,2,No,,
5518,200030,1144,BM9B3L7,Yes,2,No,,
5349,200035,1003,BM9A9A3,Yes,2,No,,
5680,200036,1240,BM9A9A3,Yes,2,No,,
5409,200037,1051,BM9A9S1,Yes,2,No,,
5351,200040,1109,BM9B2J7,Yes,2,No,,
5701,200046,1258,BM0C7B2,Yes,2,No,,
5216,200048,979,BM9A8L7,Yes,2,No,,
4346,200049,994,BM0O7F4,Yes,2,No,,
5469,200050,1083,BM9B1L2,Yes,2,No,,
5469,200050,1083,BM9B1L3,Yes,2,No,,
5469,200050,1083,BM9B1L5,Yes,2,No,,
5470,200051,1082,BM9B1L1,Yes,2,No,,
5249,200053,968,BM9A8J2,Yes,2,No,,
5249,200053,968,BM9A8J3,Yes,2,No,,
5249,200053,968,BM9A8J4,Yes,2,No,,
5249,200053,968,BM9B1B8,Yes,2,No,,
5249,200053,968,BM9B1B9,Yes,2,No,,
5249,200053,968,BM9B1C1,Yes,2,No,,
5249,200053,968,BM9B1C2,Yes,2,No,,
5249,200053,968,BM9B3S4,Yes,2,No,,
5249,200053,968,BM9B3S5,Yes,2,No,,
5249,200053,968,BM9B3S6,Yes,2,No,,
4961,200055,984,BM9A8S9,Yes,2,No,,
5319,200060,986,BM9A8T4,Yes,2,No,,
5319,200060,986,BM9A8T5,Yes,2,No,,
5401,200061,1033,BM9A8T6,Yes,2,No,,
5691,200062,1249,BM1B1L1,Yes,2,No,,
5691,200062,1249,BM1B2C5,Yes,2,No,,
5691,200062,1249,BM1B2C6,Yes,2,No,,
5691,200062,1249,BM1B2C7,Yes,2,No,,
5691,200062,1249,BM1B2C8,Yes,2,No,,
5691,200062,1249,BM9A8C8,Yes,2,No,,
5535,200065,1143,BM9B3K7,Yes,2,No,,
3216,200068,1180,BM0Z1J8,Yes,2,No,,
3216,200068,1180,BM0Z1K1,Yes,2,No,,
3216,200068,1180,BM0Z1K4,Yes,2,No,,
3216,200068,1180,BM0Z1K5,Yes,2,No,,
3216,200068,1180,BM0Z1K6,Yes,2,No,,
3216,200068,1180,BM0Z1K7,Yes,2,No,,
3216,200068,1180,BM0Z1K8,Yes,2,No,,
3216,200068,1180,BM0Z1K9,Yes,2,No,,
3216,200068,1180,BM0Z1L0,Yes,2,No,,
3216,200068,1180,BM0Z1L1,Yes,2,No,,
3216,200068,1180,BM0Z1L2,Yes,2,No,,
3216,200068,1180,BM0Z1L3,Yes,2,No,,
3216,200068,1180,BM0Z1L4,Yes,2,No,,
3216,200068,1180,BM0Z1M6,Yes,2,No,,
3216,200068,1180,BM0Z1M7,Yes,2,No,,
3216,200068,1180,BM0Z1O1,Yes,2,No,,
3216,200068,1180,BM0Z1O3,Yes,2,No,,
3216,200068,1180,BM0Z1Q5,Yes,2,No,,
3216,200068,1180,BM1A9I2,Yes,2,No,,
3216,200068,1180,BM1A9I3,Yes,2,No,,
3216,200068,1180,BM1A9I4,Yes,2,No,,
3216,200068,1180,BM1A9I9,Yes,2,No,,
3216,200068,1180,BM1A9J1,Yes,2,No,,
5423,200069,1050,BM9A5J2,Yes,2,No,,
5612,200073,1179,BM9B4A4,Yes,2,No,,
5593,200074,1175,BM9B4A1,Yes,2,No,,
5634,200078,1207,BM9A5Y9,Yes,2,No,,
5461,200081,1079,BM9B1E6,Yes,2,No,,
5704,200083,1265,BM0K8O9,Yes,2,No,,
5704,200083,1265,BM0L0C1,Yes,2,No,,
5704,200083,1265,BM0L0C3,Yes,2,No,,
5702,200084,1256,BM0K8G0,Yes,2,No,,
5702,200084,1256,BM0K8G7,Yes,2,No,,
5702,200084,1256,BM0K9J2,Yes,2,No,,
5683,200085,1253,BM9B4X8,Yes,2,No,,
5733,200087,1267,BM0K8L1,Yes,2,No,,
5733,200087,1267,BM0K8U4,Yes,2,No,,
5733,200087,1267,BM0K9C2,Yes,2,No,,
5733,200087,1267,BM0K9P1,Yes,2,No,,
5688,200088,1246,BM9B4W3,Yes,2,No,,
5545,200092,1134,BM9B3G1,Yes,2,No,,
5545,200092,1134,BM9B3G2,Yes,2,No,,
5545,200092,1134,BM9B3G3,Yes,2,No,,
5545,200092,1134,BM9B3G4,Yes,2,No,,
5545,200092,1134,BM9B3G5,Yes,2,No,,
5545,200092,1134,BM9B3G6,Yes,2,No,,
5545,200092,1134,BM9B3G7,Yes,2,No,,
5545,200092,1134,BM9B3H1,Yes,2,No,,
5545,200092,1134,BM9B3H2,Yes,2,No,,
5545,200092,1134,BM9B3J8,Yes,2,No,,
5545,200092,1134,BM9B3J9,Yes,2,No,,
4436,200093,1168,BM0C7C4,Yes,2,No,,
4436,200093,1168,BM0C7C5,Yes,2,No,,
4436,200093,1168,BM0C7D6,Yes,2,No,,
4436,200093,1168,BM0C7F6,Yes,2,No,,
4436,200093,1168,BM0C7Q7,Yes,2,No,,
4436,200093,1168,BM1A5Q6,Yes,2,No,,
4436,200093,1168,BM9A6Z7,Yes,2,No,,
4436,200093,1168,BM9A7D7,Yes,2,No,,
4436,200093,1168,BM9B3T4,Yes,2,No,,
4436,200093,1168,BM9B3T5,Yes,2,No,,
4436,200093,1168,BM9B3T6,Yes,2,No,,
4436,200093,1168,BM9B3T7,Yes,2,No,,
4436,200093,1168,BM9B3T8,Yes,2,No,,
4436,200093,1168,BM9B3T9,Yes,2,No,,
4436,200093,1168,BM9B3U1,Yes,2,No,,
4436,200093,1168,BM9B3U2,Yes,2,No,,
4436,200093,1168,BM9B3U3,Yes,2,No,,
4436,200093,1168,BM9B3U4,Yes,2,No,,
4436,200093,1168,BM9B3U5,Yes,2,No,,
4436,200093,1168,BM9B3U6,Yes,2,No,,
4436,200093,1168,BM9B3U7,Yes,2,No,,
4436,200093,1168,BM9B3U8,Yes,2,No,,
4436,200093,1168,BM9B3U9,Yes,2,No,,
4436,200093,1168,BM9B3V1,Yes,2,No,,
4436,200093,1168,BM9B3V2,Yes,2,No,,
4436,200093,1168,BM9B3V3,Yes,2,No,,
4436,200093,1168,BM9B3V4,Yes,2,No,,
4436,200093,1168,BM9B3V5,Yes,2,No,,
4436,200093,1168,BM9B3V6,Yes,2,No,,
4436,200093,1168,BM9B3V7,Yes,2,No,,
4436,200093,1168,BM9B3V8,Yes,2,No,,
4436,200093,1168,BM9B3V9,Yes,2,No,,
4436,200093,1168,BM9B3W1,Yes,2,No,,
4436,200093,1168,BM9B3W2,Yes,2,No,,
