Branch,Project,Invoice No.,Date,Customer, Document Total ,POD
Maharashtra,33462,201000001,18-Apr-2019,Dolphin Offshore Enterprises india ltd," 458,391.62 ",
Maharashtra,28933,201000002,20-Apr-2019,Galiakotwala Engineering Co. Pvt. Ltd.," 31,289,993.66 ",
Maharashtra,32901,201000003,20-Apr-2019,Dolphin Offshore Shipping Ltd.," 1,412,505.48 ",
Maharashtra,34444,201000004,20-Apr-2019,Dolphin Offshore Shipping Ltd.," 1,549,464.00 ",
Maharashtra,34638,201000005,22-Apr-2019,Dolphin Offshore Shipping Ltd.," 959,886.00 ",
Maharashtra,34445,201000006,22-Apr-2019,Dolphin Offshore Shipping Ltd.," 9,987,840.00 ",
Maharashtra,34635,201000007,29-Apr-2019,Dolphin Offshore Shipping Ltd.," 3,525,120.00 ",
Maharashtra,34613,201000008,29-Apr-2019,Universal Enterprises," 13,328,999.75 ",
Maharashtra,34613,201000009,29-Apr-2019,Universal Enterprises," 11,799,923.30 ",
Maharashtra,34613,201000010,30-Apr-2019,Universal Enterprises," 12,506,958.65 ",
Maharashtra,34613,201000011,30-Apr-2019,Universal Enterprises," 9,999,833.30 ",
Maharashtra,33341,201000012,30-Apr-2019,Dolphin Offshore Shipping Ltd.," 4,337,647.20 ",
Maharashtra,29493,201000014,2-May-2019,Applied Materials India Pvt. Ltd.," 366,002.77 ",
Maharashtra,34859,201000017,13-May-2019,Universal Enterprises," 13,295,664.75 ",
Maharashtra,34859,201000018,14-May-2019,Universal Enterprises," 11,857,926.20 ",
Maharashtra,34859,201000019,15-May-2019,Universal Enterprises," 9,992,166.25 ",
Maharashtra,34859,201000020,16-May-2019,Universal Enterprises," 12,506,958.65 ",
Maharashtra,34859,201000021,17-May-2019,Universal Enterprises," 12,865,643.25 ",
Maharashtra,34859,201000022,18-May-2019,Universal Enterprises," 11,692,251.25 ",
Maharashtra,36294,201000026,26-Jun-2019,Dolphin Offshore Shipping Ltd.," 10,462,685.95 ",
Maharashtra,,201000029,31-Jul-2019,Henkel Adhesive Technologies India Pvt. Ltd.," 8,547,177.97 ",
Maharashtra,,201000030,31-Jul-2019,MNR Marketing LLP," 3,546,655.20 ",
Maharashtra,,201000034,31-Aug-2019,Paxson Industries Private Limited," 203,901.58 ",
Maharashtra,,201000040,31-Aug-2019,MNR Marketing LLP," 1,617,713.94 ",
Maharashtra,,201000044,31-Aug-2019,Minerva Merchandising Company Private Limited," 57,052.34 ",
Maharashtra,,201000047,30-Sep-2019,MNR Marketing LLP," 1,841,154.00 ",
Maharashtra,32569,202000001,1-Apr-2019,Cargill India Pvt. Ltd.," 7,903.64 ",
Maharashtra,33143,202000002,1-Apr-2019,Procter & Gamble Home Products Pvt. Ltd.," 14,377.12 ",
Maharashtra,33134,202000003,1-Apr-2019,Procter & Gamble Home Products Pvt. Ltd.," 6,004.22 ",
Maharashtra,33077,202000004,1-Apr-2019,Procter & Gamble Home Products Pvt. Ltd.," 13,077.05 ",
Maharashtra,33093,202000005,1-Apr-2019,Henkel Adhesive Technologies India Pvt. Ltd.," 1,904.00 ",
Maharashtra,32202,202000007,2-Apr-2019,Applied Materials India Pvt. Ltd.," 30,609.46 ",
Maharashtra,33007,202000009,2-Apr-2019,Piramal Enterprises Ltd.," 30,071.90 ",
