id,option_id,value,group_code,credit_limit,general_discount,load_limit
1,"50% Against PI and 50% after 45 Days","50% Against PI and 50% after 45 Days",8,0.00,0.00,0.00
2,"100% advance against proforma invoice","100% advance against proforma invoice",9,NULL,NULL,NULL
3,"100% against delivery and acceptance","100% against delivery and acceptance",10,NULL,NULL,NULL
4,"100% against delivery","100% against delivery",11,NULL,NULL,NULL
5,"75% advance 25% on delivery","75% advance 25% on delivery",12,NULL,NULL,NULL
6,"25% advance 75% on delivery","25% advance 75% on delivery",13,NULL,NULL,NULL
7,"30% advance 70% on delivery","30% advance 70% on delivery",14,NULL,NULL,NULL
8,"40% advance 60% on delivery","40% advance 60% on delivery",15,NULL,NULL,NULL
9,"50% advance 50% on delivery","50% advance 50% on delivery",16,NULL,NULL,NULL
10,"cash on delivery","cash on delivery",17,NULL,NULL,NULL
11,"7 days after delivery","7 days after delivery",18,NULL,NULL,NULL
12,"15 days after delivery","15 days after delivery",19,NULL,NULL,NULL
13,"21 days after delivery","21 days after delivery",20,NULL,NULL,NULL
14,"30 days after delivery","30 days after delivery",21,NULL,NULL,NULL
15,"45 days after delivery","45 days after delivery",22,NULL,NULL,NULL
16,"60 days after delivery","60 days after delivery",23,0.00,0.00,0.00
17,"75 days after delivery","75 days after delivery",24,NULL,NULL,NULL
18,"90 days after delivery","90 days after delivery",25,NULL,NULL,NULL
19,"7 Days PDC","7 Days PDC",26,NULL,NULL,NULL
20,"30 Days PDC","30 Days PDC",27,NULL,NULL,NULL
21,"as per tendor norms","as per tendor norms",28,NULL,NULL,NULL
22,"Supply Chain Finance","Supply Chain Finance",29,NULL,NULL,NULL
23,"120 days from date of order","120 days from date of order",30,NULL,NULL,NULL
24,"25 Days Credit","25 Days Credit",31,NULL,NULL,NULL
25,"100% Advance Along With PI","100% Advance Along With PI",32,NULL,NULL,NULL
26,"100% Advance Along With PO","100% Advance Along With PO",33,NULL,NULL,NULL
27,"15 days credit","15 days credit",34,NULL,NULL,NULL
28,"30 Days Credit","30 Days Credit",35,NULL,NULL,NULL
29,"50% Advance 50 % Before Delivery","50% Advance 50 % Before Delivery",36,NULL,NULL,NULL
30,"15 Days PDC","15 Days PDC",37,NULL,NULL,NULL
31,"10% Advance 90% Before Dispatch","10% Advance 90% Before Dispatch",38,NULL,NULL,NULL
32,"20% Along with PO and 80% against proforma invoice","20% Along with PO and 80% against proforma invoice",39,NULL,NULL,NULL
33,"45 Days PDC","45 Days PDC",40,NULL,NULL,NULL
34,"40% advance and 60% before dispatch","40% advance and 60% before dispatch",41,NULL,NULL,NULL
35,"30% against PI & 70% prior to dispatch","30% against PI & 70% prior to dispatch",42,NULL,NULL,NULL
36,"60% advance and 40% after delivery","60% advance and 40% after delivery",43,NULL,NULL,NULL
37,"Cheque on delivery","Cheque on delivery",44,NULL,NULL,NULL
38,"50 % Advance along with purchase order and 50 % against Proforma Invoice prior to dispatch","50 % Advance along with purchase order and 50 % against Proforma Invoice prior to dispatch",45,NULL,NULL,NULL
39,"30 Days PDC against PI","30 Days PDC against PI",46,NULL,NULL,NULL
40,"30% advance 70% on dispatch","30% advance 70% on dispatch",47,NULL,NULL,NULL
41,"50% advance and 50% after delivery","50% advance and 50% after delivery",48,NULL,NULL,NULL
42,"Net 30 Days","Net 30 Days",49,NULL,NULL,NULL
43,"20% Advance and 80% before dispatch","20% Advance and 80% before dispatch",50,NULL,NULL,NULL
44,"50% advance along with the order and balance payment against Proforma invoice","50% advance along with the order and balance payment against Proforma invoice",51,NULL,NULL,NULL
45,"30% Advance along with PO. 60% Against proforma prior to despatch with full tax. 10% PDC 30days at t","30% Advance along with PO. 60% Against proforma prior to despatch with full tax. 10% PDC 30days at t",52,NULL,NULL,NULL
46,"50% Against PI","50% Against PI",53,NULL,NULL,NULL
47,"50% against Pi & 50% against delivery 30 days PDC","50% against Pi & 50% against delivery 30 days PDC",54,NULL,NULL,NULL
48,"50% advance & 15 days 50% PDC","50% advance & 15 days 50% PDC",55,NULL,NULL,NULL
49,"30 days post delivery","30 days post delivery",56,NULL,NULL,NULL
50,"20% Against Proforma Invoice and 80% Against Delivery","20% Against Proforma Invoice and 80% Against Delivery",57,NULL,NULL,NULL
51,"0.5% Interest Per Month","0.5% Interest Per Month",58,NULL,NULL,NULL
52,"Advance payment when material is ready","Advance payment when material is ready",59,NULL,NULL,NULL
53,"90% within 30 days upon receipt of material at site, Balance 10% after 30 days of receipt and final ","90% within 30 days upon receipt of material at site, Balance 10% after 30 days of receipt and final ",60,NULL,NULL,NULL
54,"50% Advance against ABG and balance against Proforma Invoice before","50% Advance against ABG and balance against Proforma Invoice before",61,NULL,NULL,NULL
55,Immediate,Immediate,62,NULL,NULL,NULL
56,"50% Advance and 50% against PI","50% Advance and 50% against PI",63,NULL,NULL,NULL
57,"Payment due on 24-Oct-2017; INCOTERMS CIF","Payment due on 24-Oct-2017; INCOTERMS CIF",64,NULL,NULL,NULL
58,"30% ADVANCE AGAINST PI & 70% BEFORE DISPATCH","30% ADVANCE AGAINST PI & 70% BEFORE DISPATCH",65,NULL,NULL,NULL
59,"100% Against Letter of Credit","100% Against Letter of Credit",66,NULL,NULL,NULL
60,"100% Advance Against Letter of Credit","100% Advance Against Letter of Credit",67,NULL,NULL,NULL
61,"20% Advance and balance against proforma invoice","20% Advance and balance against proforma invoice",68,NULL,NULL,NULL
62,"20% Advance along with order, balance 80% against Proforma invoice before dispatch","20% Advance along with order, balance 80% against Proforma invoice before dispatch",69,NULL,NULL,NULL
63,"70% advance and 30% against delivery after 7 days","70% advance and 30% against delivery after 7 days",70,NULL,NULL,NULL
64,"30% advance against PI and 70% within 7 days of Delivery","30% advance against PI and 70% within 7 days of Delivery",71,NULL,NULL,NULL
65,"10 days after invoicing","10 days after invoicing",72,NULL,NULL,NULL
66,"40% advance and 40% before dispatch and 20% after Insurance and Commissioning","40% advance and 40% before dispatch and 20% after Insurance and Commissioning",73,NULL,NULL,NULL
67,"30% advance & 70% against delivery","30% advance & 70% against delivery",74,NULL,NULL,NULL
68,"75% with PI and 25% before delivery","75% with PI and 25% before delivery",75,NULL,NULL,NULL
69,"15 DAYS NEFT","15 DAYS NEFT",76,NULL,NULL,NULL
70,"40% advance with order & balance at the time of delivery","40% advance with order & balance at the time of delivery",77,NULL,NULL,NULL
71,"50% advance and 50% at the time of delivery","50% advance and 50% at the time of delivery",78,NULL,NULL,NULL
72,"50% advance with order and balance 50 % before despatch of material","50% advance with order and balance 50 % before despatch of material",79,NULL,NULL,NULL
73,"20 Days after delivery","20 Days after delivery",80,NULL,NULL,NULL
74,"20% Against Proforma Invoice and 80% Against Delivery","20% Against Proforma Invoice and 80% Against Delivery",NULL,NULL,NULL,NULL
75,"100% Before dispatch","100% Before dispatch",82,NULL,NULL,NULL
76,"40% Advance and Balance against PI before Delivery","40% Advance and Balance against PI before Delivery",83,NULL,NULL,NULL
77,"7 Days Credit","7 Days Credit",84,NULL,NULL,NULL
78,"30% advance along with PO, balance against. Proforma Invoice before dispatch","30% advance along with PO, balance against. Proforma Invoice before dispatch",85,NULL,NULL,NULL
80,"50% advance balance against collection","50% advance balance against collection",86,NULL,NULL,NULL
81,"30% Aadvance & Bal Within 15 Days After Receipt Of Material","30% Aadvance & Bal Within 15 Days After Receipt Of Material",87,NULL,NULL,NULL
82,"60% advance against PI and balance after delivery","60% advance against PI and balance after delivery",88,NULL,NULL,NULL
