entity_id,brand_code,cif,cost,country_origin,delivery_period,description,discount,discount_web,fob,haz_code,high_seas,image,imported,input_tax,manage_stock,meta_description,meta_keyword,meta_title,mfr_model_number,moq,name,output_tax,percentage_margin,price,product,product_brand,returnable,sc_code,shop_vendor,sku,small_image,special_price,status,supplier_code,supplier_name,tax_class_id,thumbnail,type,uom_name,uom_quantity,usdinr,use_config_manage_stock,visibility,weight,websites
763000,,,0.0000,,,,,,,,,,,,,,,," ",," Dusted Rouge Trade Magazine Ad",,,,,,,,," BM9R5B7",,,1,,,16,,,,,,,,0.0000,
763002,,,0.0000,,,,,,,,,,,,,,,," ",," Dusted Rouge Newspaper Ad",,,,,,,,," BM9S2G5",,,1,,,16,,,,,,,,0.0000,
763006,,,0.0000,,,,,,,,,,,,,,,," ",," Oil Ultimate Tentcard",,,,,,,,," BM9T5S8",,,1,,,16,,,,,,,,0.0000,
763004,,,0.0000,,,,,,,,,,,,,,,," ",," Oil Ultimate ECL",,,,,,,,," BM9U2V7",,,1,,,16,,,,,,,,0.0000,
763001,,,0.0000,,,,,,,,,,,,,,,," ",," Dusted Rouge Tent card",,,,,,,,," BM9W1G9",,,1,,,16,,,,,,,,0.0000,
763003,,,0.0000,,,,,,,,,,,,,,,," ",," Oil Ultimate Service Menu",,,,,,,,," BM9X9U2",,,1,,,16,,,,,,,,0.0000,
763005,,,0.0000,,,,,,,,,,,,,,,," ",," Oil Ultimate Loyalty card",,,,,,,,," BM9Y4H1",,,1,,,16,,,,,,,,0.0000,
763007,,,0.0000,,,,,,,,,,,,,,,," ",," Oil Ultimate Paper bag",,,,,,,,," BM9Y4W4",,,1,,,16,,,,,,,,0.0000,
647374,,,171.0000,,,,,,,,,,289815,,,,,,,,"DYE-PENETRANT ""SC-10""",,,,,,,,,1BHTD,,,1,,,17,,,,,,,,0.1000,
647375,,,165.7500,,,,,,,,,,289815,,,,,,,,"DEVELOPER ""SC-20""",,,,,,,,,1BHTE,,,1,,,17,,,,,,,,0.1000,
