product_id,bm_number,product_name,category_name,brand_name
33668,BM9K5S7,3M 1110 CORDED EARPLUG (EAR PLUG (NONREUSABLE) ( MOQ - 30000),Plug Adapters,3M
33664,BM9K5S3,3M 11850-100 VIRTUAINHC LENS CLEAR TEMPLE (NORMAL GOGGLES) ( MOQ - 3000 ),Eyewear and Goggles,3M
33666,BM9K5S5,"3M 1611 IN VISITORSPECTACLES, CLEAR LENSHARD COAT (OVER SPECS) ( MOQ - 1000 )",Accessories,3M
33667,BM9K5S6,3M 1621 IN CLEAR LENS( GOGGLES FORCHEMICAL /PARTICLEPROTECTION) (MOQ - 400 ),Eyewear and Goggles,3M
33663,BM9K5S2,3M 1709 IN SAFETYGOGGLES TRANSPARENT (NORMAL GOGGLES ) ( MOQ - 6000 ),Eyewear and Goggles,3M
33665,BM9K5S4,3M 1709ING FAINT BLACKSHADE SAFETY GOGGLES (BLACK GOGGLESFOR OXYACETYLINE GASCUTTING) ( MOQ - 200 ),Eyewear and Goggles,3M
43480,BM9S8G8,3M 6200 Mask + 3M 2091 P100 Cartridge,Office Supplies,3M
33671,BM9K5T1,3M 8512 N95 VALVEDWELDING RESPIRATOR(NON ORGANICVAPOURPROTECTION MASK-WELDING) ( MOQ -80 NOS ),Welding Accessories,3M
33670,BM9K5S9,3M 9000ING FLATFOLDRESPIRATOR (DUST MASK) ( MOQ - 9000 NOS ),Accessories,3M
33672,BM9K5T2,3M 9913IN   DISPOSABLERESPIRATOR(ORGANIC VAPORPROTECTION MASK) ( MOQ - 200 NOS),Accessories,3M
44069,BM9P7M6,3M Cartridge for respirators,Office Supplies,3M
2840,BM0Z1E7,3M DOUBLE SIDED FOAM TAPE -Size: 25mm x 8Mtr,Double-Sided Tapes,3M
9656,BM3B8F7,3M Half Face Mask - RR 6200,Office Supplies,3M
34197,BM9K8P8,3M Half face Mask 6200,Accessories,3M
46545,BM9T7L9,3M MAKE   Ear Plug    Model number-1110,Eye Protection,3M
46548,BM9Q1Q1,3M MAKE   Ear Plug    Model number-1110,Face Protection,3M
46540,BM9R7Y3,3M MAKE   Ear Plug    Model number-1110,Eye Protection,3M
46546,BM9W7U3,3M MAKE   Half Face Respirator   Model number - 6200,Face Protection,3M
46551,BM9Q9D9,3M MAKE   Half Face Respirator   Model number - 6200,Face Protection,3M
46541,BM9W9T4,3M MAKE   Half Face Respirator   Model number - 6200,Eye Protection,3M
46543,BM9T8V1,3M MAKE  Goggles     Model number- 11880,Eye Protection,3M
46547,BM9T8D7,3M MAKE  Goggles     Model number- 11880,Eye Protection,3M
46550,BM9S5E7,3M MAKE  Goggles     Model number- 11880,Eye Protection,3M
46542,BM9W5W7,3M MAKE  P100 Cartridge    Model number- 2091,Eye Protection,3M
46544,BM9T6J8,3M MAKE  P100 Cartridge    Model number- 2091,Eye Protection,3M
46549,BM9R6B9,3M MAKE  P100 Cartridge    Model number- 2091,Face Protection,3M
44510,BM9Z5R1,"3M Make 7447 Scotch Brite Hand pad 6""x9"",6805,24.12,20.50,0,0,.
762908,BM9W7S4,""3M Make All Rounder Scotch Brite Hand pad 6""x9"",6805,21.76,18.50,0,0,.
762910,BM9P8H8,""3M Make Hevy duty Scotch Brite Hand Pad 6""x9"",6805,194.71,165.50,0,0,.
762895,BM9V3B9,""U",Office Supplies,3M
44509,BM9W7S4,"3M Make All Rounder Scotch Brite Hand pad 6x9""""",Office Supplies,3M
47412,BM9Q2P2,"3M make BT-20S,3M™ BREATHING TUBE",Face Protection,3M
44511,BM9P8H8,"3M Make Hevy duty Scotch Brite Hand Pad 6x9""""",Office Supplies,3M
47413,BM9V4K8,3M make JUPITER ABEKP FILTER,Face Protection,3M
