PO#,Inq No.,inquiry date,company_name,,,,,,,,,,,,,,,,,,,,,,,,
40211089,25247,07-Jul-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910066,28246,17-Oct-18,Graziano Trasmissioni India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211746,28333,22-Oct-18,Reliance Corporate IT Park Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211789,27497,24-Sep-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211921,29012,17-Nov-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211924,29761,11-Dec-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212000,28615,31-Oct-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212038,30197,26-Dec-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212098,30189,26-Dec-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212106,30450,04-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212114,30454,04-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212201,29367,28-Nov-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212202,30795,16-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212215,29734,11-Dec-18,Reliance Corporate IT Park Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212256,29599,05-Dec-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212278,31012,22-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212284,30257,27-Dec-18,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212292,29546,04-Dec-18,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212304,31095,24-Jan-19,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212328,31069,23-Jan-19,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212334,31280,29-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212350,31273,29-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212372,31414,02-Feb-19,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212413,31350,31-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212432,31306,30-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212433,30763,15-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212439,31404,02-Feb-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212440,30792,16-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212441,31546,06-Feb-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212442,31212,28-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212443,30710,14-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212448,31587,07-Feb-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212455,31612,08-Feb-19,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212457,31459,04-Feb-19,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212467,30708,13-Jan-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
