legacy_id,po_number,inquiry_number,file_name,file_path
6600068,6600068,17801,6600068.pdf,https://bulkmro.com/media/poattachment/6600068.pdf
6155,6600067,16660,6600067.pdf,https://bulkmro.com/media/poattachment/6600067.pdf
6154,6600066,15040,6600066.pdf,https://bulkmro.com/media/poattachment/6600066.pdf
6150,6600065,17593,6600065.pdf,https://bulkmro.com/media/poattachment/6600065.pdf
6147,6600064,17290,6600064.pdf,https://bulkmro.com/media/poattachment/6600064.pdf
6600063,6600063,17213,6600063.pdf,https://bulkmro.com/media/poattachment/6600063.pdf
6600062,6600062,16857,6600062.pdf,https://bulkmro.com/media/poattachment/6600062.pdf
6086,6600061,14320,6600061.pdf,https://bulkmro.com/media/poattachment/6600061.pdf
6085,6600060,17130,6600060.pdf,https://bulkmro.com/media/poattachment/6600060.pdf
6049,6600059,17138,6600059.pdf,https://bulkmro.com/media/poattachment/6600059.pdf
6600058,6600058,16856,6600058.pdf,https://bulkmro.com/media/poattachment/6600058.pdf
6600057,6600057,16660,6600057.pdf,https://bulkmro.com/media/poattachment/6600057.pdf
5925,6600056,16752,6600056.pdf,https://bulkmro.com/media/poattachment/6600056.pdf
5924,6600055,15856,6600055.pdf,https://bulkmro.com/media/poattachment/6600055.pdf
5923,6600054,15856,6600054.pdf,https://bulkmro.com/media/poattachment/6600054.pdf
5802,6600053,15073,6600053.pdf,https://bulkmro.com/media/poattachment/6600053.pdf
6600052,6600052,15073,6600052.pdf,https://bulkmro.com/media/poattachment/6600052.pdf
5789,6600051,16200,6600051.pdf,https://bulkmro.com/media/poattachment/6600051.pdf
6600050,6600050,8681,6600050.pdf,https://bulkmro.com/media/poattachment/6600050.pdf
5738,6600049,15207,6600049.pdf,https://bulkmro.com/media/poattachment/6600049.pdf
5699,6600048,13965,6600048.pdf,https://bulkmro.com/media/poattachment/6600048.pdf
5686,6600047,13965,6600047.pdf,https://bulkmro.com/media/poattachment/6600047.pdf
6600046,6600046,14325,6600046.pdf,https://bulkmro.com/media/poattachment/6600046.pdf
6600045,6600045,14235,6600045.pdf,https://bulkmro.com/media/poattachment/6600045.pdf
6600044,6600044,14322,6600044.pdf,https://bulkmro.com/media/poattachment/6600044.pdf
5614,6600043,14960,6600043.pdf,https://bulkmro.com/media/poattachment/6600043.pdf
