Document Number,Canceled,Payment Date,BP Code,BP Name,Reference Number,Remarks,Document Currency,AR Invoice No,Invoice Date,Invoice Due Date,Amount To be Receive,Paid Amt
70200197,N,12/06/18,473,Asahi India Glass Ltd.,,ch no 845983 being amount received from ASAHI INDIA,INR,21010010,13/04/18,13/04/18,46592,46592
70200414,N,18/05/18,865,Entrues Business Services India Pvt. Ltd.,,Being amount received from RAZORPAY Through UTR NO AXTB181368105115 inq no 19771,INR,20210220,18/05/18,18/05/18,20160.44,19446.76
70200415,N,18/05/18,865,Entrues Business Services India Pvt. Ltd.,,Being amount received form RAZOR PAY Through UTR NO AXTB181378414427 inq no 19771,INR,20210221,18/05/18,18/05/18,63841.4,61581.41
70200430,N,29/05/18,SC-8939,BEST Undertaking,,CH NO 001154 Being Amount received from Todi  Industries ltd,INR,,,,0,14292
70200485,N,18/07/18,127,GAIL India Ltd.,,being amount received from GAIL GAS Through UTR NO HDFCR52018071886538148 ,INR,20210382,15/06/18,15/06/18,305602.3,305602.3
70200552,N,23/05/18,14,Survival Systems India,,ch no 696826 Being amount received from SSI Through BILL NO 20210188 INQ NP 19633,INR,20210188,15/05/18,15/05/18,9408.94,9408.94
70200682,N,11/07/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1816816,INR,20210282,30/05/18,30/05/18,103203.95,102661.58
70200684,N,19/09/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018091905476513 GE DIESEL LOCOMOTIV,INR,20210537,12/07/18,12/07/18,245440,245440
70200686,N,15/09/18,37,APM Terminals India Pvt. Ltd.,,being amount received from APM TERMINAL Through UTR NO HSBCN18258624052,INR,20210742,16/08/18,16/08/18,25583.58,25583.58
70200687,N,15/09/18,37,APM Terminals India Pvt. Ltd.,,being amount received from APM TERMINAL Through UTR NO HSBCN18258625319,INR,20210743,16/08/18,16/08/18,30417.34,30417.34
70200688,N,10/09/18,1716,GE Power Systems India Pvt. Ltd.,,Being amount received from GE POWER Through UTR  NO UTIB-AXTB182534921728,INR,20610249,13/07/18,13/07/18,506420.32,506420
70200689,N,10/09/18,1716,GE Power Systems India Pvt. Ltd.,,Being amount received from GE POWER Through UTR  NO UTIB-AXTB182534921345,INR,20610246,13/07/18,13/07/18,356942.92,356942.92
70200689,N,10/09/18,1716,GE Power Systems India Pvt. Ltd.,,Being amount received from GE POWER Through UTR  NO UTIB-AXTB182534921345,INR,20610249,13/07/18,13/07/18,506420.32,0.08
70200696,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821789☺,INR,20210501,06/07/18,06/07/18,18693.64,18451.29
70200697,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821785☺,INR,20210668,06/08/18,06/08/18,34188.43,33507.75
70200698,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821781☻,INR,20210704,09/08/18,09/08/18,5962.6,5843.89
70200699,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821780☻,INR,20210707,09/08/18,09/08/18,1019.2,998.91
70200700,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821801☻,INR,20210483,04/07/18,04/07/18,9464.82,9342.11
70200701,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821782☺,INR,20210726,14/08/18,14/08/18,1947,1908.24
70200702,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821786,INR,20210788,22/08/18,22/08/18,4140.62,4058.18
70200703,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821820☺,INR,20210516,10/07/18,10/07/18,37969.18,37476.94
70200704,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822967,INR,20210777,20/08/18,20/08/18,7764.4,7617.42
70200705,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822917,INR,20210721,13/08/18,13/08/18,5457.5,5354.19
70200706,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822972,INR,20210813,28/08/18,28/08/18,5900,5788.32
70200707,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822952,INR,20210831,29/08/18,29/08/18,4130,4051.82
