Document Number,Canceled,Payment Date,BP Code,BP Name,Reference Number,Remarks,Document Currency,Non-Calculated Payment,Non-Calculated Amount
70200197,N,12/06/18,473,Asahi India Glass Ltd.,,ch no 845983 being amount received from ASAHI INDIA,INR,N,0
70200414,N,18/05/18,865,Entrues Business Services India Pvt. Ltd.,,Being amount received from RAZORPAY Through UTR NO AXTB181368105115 inq no 19771,INR,N,0
70200415,N,18/05/18,865,Entrues Business Services India Pvt. Ltd.,,Being amount received form RAZOR PAY Through UTR NO AXTB181378414427 inq no 19771,INR,N,0
70200485,N,18/07/18,127,GAIL India Ltd.,,being amount received from GAIL GAS Through UTR NO HDFCR52018071886538148 ,INR,N,0
70200552,N,23/05/18,14,Survival Systems India,,ch no 696826 Being amount received from SSI Through BILL NO 20210188 INQ NP 19633,INR,N,0
70200430,N,29/05/18,SC-8939,BEST Undertaking,,CH NO 001154 Being Amount received from Todi  Industries ltd,INR,N,0
70202294,N,24/12/18,_SYS00000004601,Bank Interest,,,INR,Y,833
70200682,N,11/07/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1816816,INR,N,0
70200684,N,19/09/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018091905476513 GE DIESEL LOCOMOTIV,INR,N,0
70200686,N,15/09/18,37,APM Terminals India Pvt. Ltd.,,being amount received from APM TERMINAL Through UTR NO HSBCN18258624052,INR,N,0
70200687,N,15/09/18,37,APM Terminals India Pvt. Ltd.,,being amount received from APM TERMINAL Through UTR NO HSBCN18258625319,INR,N,0
70200688,N,10/09/18,1716,GE Power Systems India Pvt. Ltd.,,Being amount received from GE POWER Through UTR  NO UTIB-AXTB182534921728,INR,N,0
70200689,N,10/09/18,1716,GE Power Systems India Pvt. Ltd.,,Being amount received from GE POWER Through UTR  NO UTIB-AXTB182534921345,INR,N,0
70200696,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821789☺,INR,N,0
70200697,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821785☺,INR,N,0
70200698,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821781☻,INR,N,0
70200699,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821780☻,INR,N,0
70200700,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821801☻,INR,N,0
70200701,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821782☺,INR,N,0
70200702,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821786,INR,N,0
70200703,N,10/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received From Henkel througH FRN NO 796GFC1821820☺,INR,N,0
70200704,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822967,INR,N,0
70200705,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822917,INR,N,0
70200706,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822972,INR,N,0
70200707,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822952,INR,N,0
70200708,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822942,INR,N,0
70200709,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822937,INR,N,0
70200710,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822962,INR,N,0
70200711,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822960,INR,N,0
70200712,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822916,INR,N,0
70200715,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822930,INR,N,0
70200716,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823173,INR,N,0
70200717,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823204,INR,N,0
70200718,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823225,INR,N,0
70200719,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823215,INR,N,0
70200720,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823201,INR,N,0
70200721,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823217,INR,N,0
70200722,N,20/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823229,INR,N,0
70200723,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823208,INR,N,0
70200724,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO   796GFC1823210,INR,N,0
70200726,N,01/08/18,15,Jindal Drilling and Industries Ltd.,,ch no 802763 Being amount received towards Pending Bill No 20210094,INR,N,0
70200735,N,29/09/18,659,Demosha Chemicals Pvt. Ltd.,,ch no 955931,INR,N,0
