legacy_id,payment_id,order_legacy_id,payment_method,amount_received,amount_left,payment_due_date,payment_received_date,entry_date,comments,invoice_legacy_id,remote_reference,followup_date,payment_currency,tally_remote_uid,currency_rate
1,200262,1813,banktransfer,2233.00,0.00,NULL,NULL,2017-08-11,NULL,3278,NULL,NULL,0,NULL,1.0000
2,200262,1813,banktransfer,5132.00,0.00,NULL,NULL,2017-08-11,NULL,3279,NULL,NULL,0,NULL,1.0000
3,200262,1813,banktransfer,517.00,0.00,NULL,NULL,2017-08-11,NULL,3280,NULL,NULL,0,NULL,1.0000
4,200262,1813,banktransfer,6541.00,0.00,NULL,NULL,2017-08-11,NULL,3281,NULL,NULL,0,NULL,1.0000
5,200262,1813,banktransfer,4481.00,0.00,NULL,NULL,2017-08-11,NULL,3282,NULL,NULL,0,NULL,1.0000
6,2000332,4014,banktransfer,490.00,0.00,NULL,NULL,2017-08-11,NULL,3283,NULL,NULL,0,NULL,1.0000
7,2000332,4014,banktransfer,19781.00,0.00,NULL,NULL,2017-08-11,NULL,3284,NULL,NULL,0,NULL,1.0000
8,2000332,4014,banktransfer,11660.00,0.00,NULL,NULL,2017-08-11,NULL,3285,NULL,NULL,0,NULL,1.0000
9,2000332,4014,banktransfer,3949.00,0.00,NULL,NULL,2017-08-11,NULL,3286,NULL,NULL,0,NULL,1.0000
10,200383,1934,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,3287,NULL,NULL,0,NULL,1.0000
11,200383,1934,banktransfer,3667.00,0.00,NULL,NULL,2017-08-11,NULL,3288,NULL,NULL,0,NULL,1.0000
12,200383,1934,banktransfer,2444.00,0.00,NULL,NULL,2017-08-11,NULL,3289,NULL,NULL,0,NULL,1.0000
13,2000333,4015,banktransfer,10501.00,0.00,NULL,NULL,2017-08-11,NULL,3290,NULL,NULL,0,NULL,1.0000
14,2000334,4016,banktransfer,10671.00,0.00,NULL,NULL,2017-08-11,NULL,3291,NULL,NULL,0,NULL,1.0000
15,2000334,4016,banktransfer,69222.00,0.00,NULL,NULL,2017-08-11,NULL,3292,NULL,NULL,0,NULL,1.0000
16,200189,1741,banktransfer,1214232.00,0.00,NULL,NULL,2017-08-11,NULL,3293,NULL,NULL,0,NULL,1.0000
17,2000335,4017,banktransfer,2233202.00,0.00,NULL,NULL,2017-08-11,NULL,3294,NULL,NULL,0,NULL,1.0000
18,100001203,1288,banktransfer,617.00,0.00,NULL,NULL,2017-08-11,NULL,3295,NULL,NULL,0,NULL,1.0000
19,2000336,4018,banktransfer,3581.00,0.00,NULL,NULL,2017-08-11,NULL,3296,NULL,NULL,0,NULL,1.0000
20,2000336,4018,banktransfer,1470.00,0.00,NULL,NULL,2017-08-11,NULL,3297,NULL,NULL,0,NULL,1.0000
21,200330,1882,banktransfer,8777.00,0.00,NULL,NULL,2017-08-11,NULL,3298,NULL,NULL,0,NULL,1.0000
22,200330,1882,banktransfer,2926.00,0.00,NULL,NULL,2017-08-11,NULL,3299,NULL,NULL,0,NULL,1.0000
23,200330,1882,banktransfer,4388.00,0.00,NULL,NULL,2017-08-11,NULL,3300,NULL,NULL,0,NULL,1.0000
24,100001202,1675,banktransfer,5145.00,0.00,NULL,NULL,2017-08-11,NULL,3301,NULL,NULL,0,NULL,1.0000
25,200577,2134,banktransfer,5724.00,0.00,NULL,NULL,2017-08-11,NULL,3302,NULL,NULL,0,NULL,1.0000
26,100001436,1531,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,3303,NULL,NULL,0,NULL,1.0000
27,200616,2158,banktransfer,52540.00,0.00,NULL,NULL,2017-08-11,NULL,3304,NULL,NULL,0,NULL,1.0000
28,200616,2158,banktransfer,650282.00,0.00,NULL,NULL,2017-08-11,NULL,3305,NULL,NULL,0,NULL,1.0000
29,200616,2158,banktransfer,36536.00,0.00,NULL,NULL,2017-08-11,NULL,3306,NULL,NULL,0,NULL,1.0000
30,200708,2256,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,3309,NULL,NULL,0,NULL,1.0000
31,200305,1856,banktransfer,3614.00,0.00,NULL,NULL,2017-08-11,NULL,3310,NULL,NULL,0,NULL,1.0000
32,200709,2257,banktransfer,2715301.00,0.00,NULL,NULL,2017-08-11,NULL,3311,NULL,NULL,0,NULL,1.0000
33,200803,2351,banktransfer,171.00,0.00,NULL,NULL,2017-08-11,NULL,3312,NULL,NULL,0,NULL,1.0000
34,200803,2351,banktransfer,10265.00,0.00,NULL,NULL,2017-08-11,NULL,3313,NULL,NULL,0,NULL,1.0000
35,200803,2351,banktransfer,5184.00,0.00,NULL,NULL,2017-08-11,NULL,3314,NULL,NULL,0,NULL,1.0000
36,200803,2351,banktransfer,3222.00,0.00,NULL,NULL,2017-08-11,NULL,3315,NULL,NULL,0,NULL,1.0000
37,200846,2397,banktransfer,5621.00,0.00,NULL,NULL,2017-08-11,NULL,3316,NULL,NULL,0,NULL,1.0000
38,201841,3409,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,2877,NULL,NULL,0,NULL,1.0000
39,201843,3411,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,2878,NULL,NULL,0,NULL,1.0000
40,200007,1569,banktransfer,24500.00,0.00,NULL,NULL,2017-08-11,NULL,1164,NULL,NULL,0,NULL,1.0000
41,200012,1574,banktransfer,2588.00,0.00,NULL,NULL,2017-08-11,NULL,1167,NULL,NULL,0,NULL,1.0000
42,200013,1585,banktransfer,2183.00,0.00,NULL,NULL,2017-08-11,NULL,1170,NULL,NULL,0,NULL,1.0000
43,200028,1590,banktransfer,2667801.00,0.00,NULL,NULL,2017-08-11,NULL,1172,NULL,NULL,0,NULL,1.0000
44,200023,1586,banktransfer,1048.00,0.00,NULL,NULL,2017-08-11,NULL,1174,NULL,NULL,0,NULL,1.0000
45,200030,1592,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1175,NULL,NULL,0,NULL,1.0000
46,200046,1607,,1.00,0.00,NULL,2017-11-30,2017-08-11,NULL,1176,,NULL,0,,1.0000
47,200048,1609,banktransfer,1006.00,0.00,NULL,NULL,2017-08-11,NULL,1177,NULL,NULL,0,NULL,1.0000
48,200049,1610,banktransfer,53872.00,0.00,NULL,NULL,2017-08-11,NULL,1178,NULL,NULL,0,NULL,1.0000
49,100000382,474,banktransfer,83829.00,0.00,NULL,NULL,2017-08-11,NULL,1179,NULL,NULL,0,NULL,1.0000
50,200050,1611,banktransfer,12465.00,0.00,NULL,NULL,2017-08-11,NULL,1180,NULL,NULL,0,NULL,1.0000
51,200051,1612,banktransfer,2231.00,0.00,NULL,NULL,2017-08-11,NULL,1181,NULL,NULL,0,NULL,1.0000
52,200053,1614,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1184,NULL,NULL,0,NULL,1.0000
53,200035,1597,banktransfer,102094.00,0.00,NULL,NULL,2017-08-11,NULL,1186,NULL,NULL,0,NULL,1.0000
54,200058,1619,banktransfer,132544.00,0.00,NULL,NULL,2017-08-11,NULL,1187,NULL,NULL,0,NULL,1.0000
55,200036,1598,banktransfer,11138.00,0.00,NULL,NULL,2017-08-11,NULL,1188,NULL,NULL,0,NULL,1.0000
56,200060,1621,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1189,NULL,NULL,0,NULL,1.0000
57,200061,1622,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1190,NULL,NULL,0,NULL,1.0000
58,200062,1623,banktransfer,71033.00,0.00,NULL,NULL,2017-08-11,NULL,1191,NULL,NULL,0,NULL,1.0000
59,200065,1626,banktransfer,207496.00,0.00,NULL,NULL,2017-08-11,NULL,1192,NULL,NULL,0,NULL,1.0000
60,100001193,1279,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1194,NULL,NULL,0,NULL,1.0000
61,200016,1578,banktransfer,12660.00,0.00,NULL,NULL,2017-08-11,NULL,1195,NULL,NULL,0,NULL,1.0000
62,200069,1630,banktransfer,8827.00,0.00,NULL,NULL,2017-08-11,NULL,1196,NULL,NULL,0,NULL,1.0000
63,200005,1567,banktransfer,2295.00,0.00,NULL,NULL,2017-08-11,NULL,1197,NULL,NULL,0,NULL,1.0000
64,200078,1639,banktransfer,88291.00,0.00,NULL,NULL,2017-08-11,NULL,1198,NULL,NULL,0,NULL,1.0000
65,200081,1642,banktransfer,2689.00,0.00,NULL,NULL,2017-08-11,NULL,1200,NULL,NULL,0,NULL,1.0000
66,200696,2244,banktransfer,17668.00,0.00,NULL,NULL,2017-08-11,NULL,1772,NULL,NULL,0,NULL,1.0000
67,200084,1644,banktransfer,67103.00,0.00,NULL,NULL,2017-08-11,NULL,1203,NULL,NULL,0,NULL,1.0000
68,200088,1648,banktransfer,6120.00,0.00,NULL,NULL,2017-08-11,NULL,1204,NULL,NULL,0,NULL,1.0000
69,200697,2245,banktransfer,85709.00,0.00,NULL,NULL,2017-08-11,NULL,1773,NULL,NULL,0,NULL,1.0000
70,200083,1643,banktransfer,31781.00,0.00,NULL,NULL,2017-08-11,NULL,1206,NULL,NULL,0,NULL,1.0000
71,200698,2246,banktransfer,226898.00,0.00,NULL,NULL,2017-08-11,NULL,1774,NULL,NULL,0,NULL,1.0000
72,200068,1629,banktransfer,52268.00,0.00,NULL,NULL,2017-08-11,NULL,1208,NULL,NULL,0,NULL,1.0000
73,200087,1647,banktransfer,62785.00,0.00,NULL,NULL,2017-08-11,NULL,1209,NULL,NULL,0,NULL,1.0000
74,200094,1652,banktransfer,30780.00,0.00,NULL,NULL,2017-08-11,NULL,1210,NULL,NULL,0,NULL,1.0000
75,200068,1629,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1211,NULL,NULL,0,NULL,1.0000
76,200073,1634,,1.00,0.00,NULL,2016-11-21,2017-08-11,NULL,1212,,NULL,0,,1.0000
77,200105,1663,banktransfer,1075.00,0.00,NULL,NULL,2017-08-11,NULL,1213,NULL,NULL,0,NULL,1.0000
78,200037,1599,banktransfer,16036.00,0.00,NULL,NULL,2017-08-11,NULL,1214,NULL,NULL,0,NULL,1.0000
79,200063,1624,banktransfer,1333.00,0.00,NULL,NULL,2017-08-11,NULL,1215,NULL,NULL,0,NULL,1.0000
80,200104,1662,banktransfer,78750.00,0.00,NULL,NULL,2017-08-11,NULL,1216,NULL,NULL,0,NULL,1.0000
81,200106,2161,banktransfer,12547.00,0.00,NULL,NULL,2017-08-11,NULL,1669,NULL,NULL,0,NULL,1.0000
82,200078,1639,banktransfer,9810.00,0.00,NULL,NULL,2017-08-11,NULL,1218,NULL,NULL,0,NULL,1.0000
83,200112,1670,banktransfer,42738.00,0.00,NULL,NULL,2017-08-11,NULL,1219,NULL,NULL,0,NULL,1.0000
84,200113,1671,banktransfer,27738.00,0.00,NULL,NULL,2017-08-11,NULL,1220,NULL,NULL,0,NULL,1.0000
85,200701,2249,banktransfer,62807.00,0.00,NULL,NULL,2017-08-11,NULL,1775,NULL,NULL,0,NULL,1.0000
86,200096,1654,banktransfer,10957.00,0.00,NULL,NULL,2017-08-11,NULL,1222,NULL,NULL,0,NULL,1.0000
87,200040,1602,banktransfer,4416.00,0.00,NULL,NULL,2017-08-11,NULL,1223,NULL,NULL,0,NULL,1.0000
88,100001202,1675,banktransfer,10219.00,0.00,NULL,NULL,2017-08-11,NULL,1225,NULL,NULL,0,NULL,1.0000
89,200123,1679,banktransfer,3487.00,0.00,NULL,NULL,2017-08-11,NULL,1227,NULL,NULL,0,NULL,1.0000
90,200132,1685,banktransfer,3910.00,0.00,NULL,NULL,2017-08-11,NULL,1228,NULL,NULL,0,NULL,1.0000
91,200133,1686,banktransfer,206.00,0.00,NULL,NULL,2017-08-11,NULL,1229,NULL,NULL,0,NULL,1.0000
92,200535,2306,banktransfer,60667.00,0.00,NULL,NULL,2017-08-11,NULL,1776,NULL,NULL,0,NULL,1.0000
93,200140,1693,banktransfer,1441.00,0.00,NULL,NULL,2017-08-11,NULL,1251,NULL,NULL,0,NULL,1.0000
94,200139,1692,banktransfer,219614.00,0.00,NULL,NULL,2017-08-11,NULL,1252,NULL,NULL,0,NULL,1.0000
95,200094,1652,banktransfer,10500.00,0.00,NULL,NULL,2017-08-11,NULL,1256,NULL,NULL,0,NULL,1.0000
96,200038,1600,banktransfer,38547.00,0.00,NULL,NULL,2017-08-11,NULL,1257,NULL,NULL,0,NULL,1.0000
97,200149,1701,banktransfer,-538.00,538.00,NULL,NULL,2017-08-11,NULL,1259,NULL,NULL,0,NULL,1.0000
98,200127,1681,banktransfer,10508.00,0.00,NULL,NULL,2017-08-11,NULL,1260,NULL,NULL,0,NULL,1.0000
99,200114,1672,banktransfer,0.00,0.00,NULL,NULL,2017-08-11,NULL,1261,NULL,NULL,0,NULL,1.0000
100,200156,1707,banktransfer,22831.00,0.00,NULL,NULL,2017-08-11,NULL,1262,NULL,NULL,0,NULL,1.0000
101,200157,1708,banktransfer,10203.00,0.00,NULL,NULL,2017-08-11,NULL,1263,NULL,NULL,0,NULL,1.0000
