legacy_id,payment_method,amount_received,payment_received_date,entry_date,comments,company,remote_reference,currency,tally_remote_uid,currency_rate
1,banktransfer,0.00,2017-08-23,"2017-08-23 09:56:15",,13,,0,,1.0000
2,checkmo,0.00,2017-03-31,"2017-08-23 09:56:58",,13,,0,,1.0000
3,checkmo,0.00,2017-08-23,"2017-08-23 09:57:21",,13,,0,,1.0000
4,banktransfer,0.00,2017-05-16,"2017-08-23 09:57:51",,13,,0,,1.0000
5,checkmo,0.00,2017-08-23,"2017-08-23 09:58:12",,13,,0,,1.0000
6,checkmo,0.00,2017-08-23,"2017-08-23 09:58:44",,13,,0,,1.0000
7,checkmo,0.00,2017-08-23,"2017-08-23 09:59:04",,13,,0,,1.0000
8,checkmo,0.00,2017-08-23,"2017-08-23 10:00:21",,13,,0,,1.0000
9,checkmo,0.00,2017-08-23,"2017-08-23 10:00:40",,13,,0,,1.0000
10,checkmo,0.00,2017-08-23,"2017-08-23 10:00:53",,13,,0,,1.0000
11,free,47.00,2017-08-23,"2017-08-23 10:06:06",,371,,0,NULL,1.0000
12,free,924.00,2017-08-23,"2017-08-23 10:07:05",,371,,0,NULL,1.0000
13,free,1003.00,2017-08-23,"2017-08-23 10:07:54",,371,,0,NULL,1.0000
14,invoice,0.00,2017-08-23,"2017-08-23 12:26:27",,1,200670,0,NULL,1.0000
15,invoice,0.00,2017-08-23,"2017-08-23 12:28:18",,358,300210,0,NULL,1.0000
16,invoice,0.00,2017-08-23,"2017-08-23 12:29:06",,358,300223,0,NULL,1.0000
17,invoice,0.00,2017-08-23,"2017-08-23 12:31:28",,207,3000025,0,NULL,1.0000
18,invoice,0.00,2017-08-23,"2017-08-23 12:32:03",,207,3000076,0,NULL,1.0000
19,invoice,0.00,2017-08-23,"2017-08-23 12:33:40","Bill Discount Rs. 450.15",155,300323,0,NULL,1.0000
20,free,2065.00,2017-08-23,"2017-08-23 12:49:49",,34,,0,NULL,1.0000
21,free,44017.00,2017-08-23,"2017-08-23 12:50:06",,34,,0,NULL,1.0000
22,free,5205.00,2017-08-23,"2017-08-23 12:50:26",,34,,0,NULL,1.0000
23,free,9945.00,2017-08-23,"2017-08-23 12:50:49",,34,,0,NULL,1.0000
