address_uid,company_uid
2039,350
2039,350
9759,SC-9159
9759,SC-9159
6240,1733
6240,1733
4618,1448
4618,1448
1314,39
1314,39
1851,241
1851,241
2990,241
2990,241
3473,1098
3473,1098
5253,1567
5253,1567
8333,SC-6280
9309,SC-8762
9309,SC-8762
1175,574
1175,574
9828,SC-9214
9828,SC-9214
9052,SC-8508
9052,SC-8508
9053,SC-8509
9053,SC-8509
8220,SC-7546
8220,SC-7546
8946,SC-8409
8946,SC-8409
3496,1105
3496,1105
1622,142
1622,142
1852,242
1852,242
3000,991
3000,991
3485,1099
3485,1099
5255,1568
5255,1568
1318,41
1318,41
1179,575
1179,575
1334,457
1334,457
8882,SC-8347
8882,SC-8347
3755,1213
3755,1213
2040,351
2040,351
1853,243
1853,243
2425,776
2425,776
2426,776
2426,776
3019,992
3019,992
1623,143
1623,143
1186,576
1186,576
3479,1100
3479,1100
1320,42
1320,42
4623,1451
4623,1451
1781,458
1781,458
3756,1214
3756,1214
2041,352
2041,352
A209675,SC-208363
A209675,SC-208363
9793,SC-9187
9793,SC-9187
1190,577
1190,577
3492,1101
3492,1101
A207732,207987
A207732,207987
5258,1570
5258,1570
2042,353
2042,353
1967,459
1967,459
A209316,SC-208250
A209316,SC-208250
3935,1105
3935,1105
3493,1102
3493,1102
3572,1102
3572,1102
2428,778
2428,778
5228,1105
5228,1105
1321,44
1321,44
4625,1453
4625,1453
6339,1105
6339,1105
9919,SC-9280
9919,SC-9280
9020,SC-8479
9020,SC-8479
9358,SC-8806
9358,SC-8806
8845,SC-8317
8845,SC-8317
1633,146
1633,146
1857,246
1857,246
1322,45
1322,45
4626,1454
4626,1454
2592,890
2592,890
6419,1835
6419,1835
9406,SC-8317
9406,SC-8317
2044,355
2044,355
1149,461
1149,461
1859,461
1859,461
5263,1572
5263,1572
1861,247
1861,247
2079,581
2079,581
2080,581
2080,581
2601,891
2601,891
1323,46
1323,46
3495,1104
3495,1104
4635,1456
4635,1456
2310,522
2310,522
A206805,SC-207726
A206805,SC-207726
5265,1573
5265,1573
3018,995
3018,995
1862,248
1862,248
2081,582
2081,582
1324,47
1324,47
1636,148
1636,148
1637,148
1637,148
9404,SC-8846
9404,SC-8846
1818,211
1818,211
3744,SC-6944
3744,SC-6944
A206737,SC-207693
A206737,SC-207693
A206735,SC-207691
A206735,SC-207691
A206736,SC-207692
A206736,SC-207692
A208030,SC-208054
A208030,SC-208054
1571,SC-00057
1571,SC-00057
461,SC-01685
461,SC-01685
4050,996
4050,996
4996,996
4996,996
1325,48
1325,48
A210391,SC-208483
A210391,SC-208483
9932,SC-9290
9932,SC-9290
1791,15
1791,15
6492,604
6492,604
1792,15
1792,15
1793,15
1793,15
6308,15
6308,15
2432,782
2432,782
2047,358
2047,358
4642,1458
4642,1458
1326,49
1326,49
1866,250
1866,250
3021,997
3021,997
3570,997
3570,997
1903,464
1903,464
5267,1575
5267,1575
2433,783
2433,783
2082,583
2082,583
2055,359
2055,359
9750,SC-9150
9750,SC-9150
1640,150
1640,150
A207397,SC-207918
A207397,SC-207918
8941,SC-8403
8941,SC-8403
3498,1106
3498,1106
1867,251
1867,251
1804,466
1804,466
5268,1576
5268,1576
4644,1460
4644,1460
2048,360
2048,360
8996,SC-8457
8996,SC-8457
1696,235
1696,235
9084,SC-8540
9084,SC-8540
A208040,SC-208056
A208040,SC-208056
9405,SC-8846
9405,SC-8846
8966,SC-8430
8966,SC-8430
A210413,SC-208492
A210413,SC-208492
2389,755
2389,755
8997,SC-8458
8997,SC-8458
A208948,SC-208186
A208948,SC-208186
1819,211
1819,211
1641,151
1641,151
1328,51
1328,51
3505,1107
3505,1107
5269,1578
5269,1578
1868,252
1868,252
4666,1461
4666,1461
6468,1851
6468,1851
2466,SC-01251
2466,SC-01251
9284,SC-8739
9284,SC-8739
9563,SC-9000
9563,SC-9000
20,SC-00438
20,SC-00438
6686,1965
6686,1965
2266,686
2266,686
3399,686
3399,686
5270,1579
5270,1579
1642,152
1642,152
5122,152
5122,152
3024,1000
3024,1000
9067,SC-8521
9067,SC-8521
A16504,17583
A16504,17583
4421,1121
4421,1121
3506,1108
3506,1108
1869,253
1869,253
4684,1462
4684,1462
1902,467
1902,467
9349,SC-8798
9349,SC-8798
9149,SC-8607
9149,SC-8607
2058,362
2058,362
5279,1580
5279,1580
3025,1001
3025,1001
1643,153
1643,153
6202,1722
6202,1722
1169,468
1169,468
2057,468
2057,468
1878,254
1878,254
4696,1463
4696,1463
1855,SC-00430
1855,SC-00430
9517,SC-8957
9517,SC-8957
6203,1722
6203,1722
6204,1204
6204,1204
2059,363
2059,363
2060,363
2060,363
920,SC-00086
920,SC-00086
8590,SC-8025
8590,SC-8025
2511,847
2511,847
A206895,SC-207785
A206895,SC-207785
3976,1355
3976,1355
3525,1110
3525,1110
2512,847
2512,847
6206,1724
6206,1724
A208244,SC-6470
A208244,SC-6470
1879,255
1879,255
8221,SC-7547
8221,SC-7547
2453,789
2453,789
2062,364
2062,364
8859,SC-8328
8859,SC-8328
A208317,SC-208112
A208317,SC-208112
8862,SC-8330
8862,SC-8330
9697,SC-6581
9697,SC-6581
5575,1605
5575,1605
5277,926
5277,926
A208368,SC-208124
A208368,SC-208124
A207802,SC-00627
A207802,SC-00627
A208414,SC-00627
A208414,SC-00627
9176,SC-8634
9176,SC-8634
505,SC-00419
505,SC-00419
8919,SC-8383
8919,SC-8383
8903,SC-8368
8903,SC-8368
A208437,SC-208129
A208437,SC-208129
A208443,SC-208130
A208443,SC-208130
8936,SC-00419
8936,SC-00419
8937,SC-8400
8937,SC-8400
5725,1704
5725,1704
3769,1226
3769,1226
3527,1111
3527,1111
3977,1356
3977,1356
3989,1356
3989,1356
4705,1465
4705,1465
5282,1582
5282,1582
A210018,SC-208419
A210018,SC-208419
1720,256
1720,256
2916,690
2916,690
1336,56
1336,56
2523,590
2523,590
3978,1357
3978,1357
2063,365
2063,365
4710,1466
4710,1466
1872,257
1872,257
A208446,SC-208131
A208446,SC-208131
756,SC-02035
756,SC-02035
3540,1114
3540,1114
4715,1467
4715,1467
5127,1467
5127,1467
1206,366
1206,366
5674,1680
5674,1680
1873,258
1873,258
6207,1725
6207,1725
8938,SC-8400
8938,SC-8400
6208,1725
6208,1725
A206565,207604
A206565,207604
A208449,SC-208132
A208449,SC-208132
9204,SC-8662
9204,SC-8662
2616,903
2616,903
1338,58
1338,58
4733,1468
4733,1468
3542,1115
3542,1115
5531,1584
5531,1584
9754,SC-9154
9754,SC-9154
1666,158
1666,158
1874,259
1874,259
4352,474
4352,474
4353,474
4353,474
1229,SC-02620
1229,SC-02620
9740,SC-9143
9740,SC-9143
203,SC-01840
203,SC-01840
8877,SC-8343
8877,SC-8343
9338,SC-02035
9338,SC-02035
9206,SC-8664
9206,SC-8664
6402,1827
6402,1827
1667,159
1667,159
4741,1469
4741,1469
9476,SC-8909
9476,SC-8909
1880,260
1880,260
8942,SC-8404
8942,SC-8404
8943,SC-8405
8943,SC-8405
1339,60
1339,60
1340,60
1340,60
1155,475
1155,475
1670,160
1670,160
4224,SC-7494
4224,SC-7494
4742,1470
4742,1470
3306,1009
3306,1009
2093,593
2093,593
1341,61
1341,61
3543,1116
3543,1116
1881,261
1881,261
9477,SC-8910
9477,SC-8910
1671,161
1671,161
A208455,SC-208133
A208455,SC-208133
1882,262
1882,262
3548,1117
3548,1117
8944,SC-8407
8944,SC-8407
1668,162
1668,162
4759,1472
4759,1472
8925,SC-8389
8925,SC-8389
8884,SC-8349
8884,SC-8349
