address_uid,company_uid,street1,pincode,city_name,country_code,State,gst,,
2039,350,"628, Nirmal Galaxy,Avior  6th Floor, LBS Marg, Opp.Jhonson and Jhonson, Mulund [West]",400080,Mumbai,IN,MH,,,
2039,350,"628, Nirmal Galaxy,Avior  6th Floor, LBS Marg, Opp.Jhonson and Jhonson, Mulund [West]",400080,Mumbai,IN,MH,,,
9759,SC-9159,"Plot-11, Part-3, Amarnath Estate, Naroda Dehgam Road, Post - Naroda",382330,Ahmedabad,IN,GJ,24AAYPP0073E1ZL,,
9759,SC-9159,"Plot-11, Part-3, Amarnath Estate, Naroda Dehgam Road, Post - Naroda",382330,Ahmedabad,IN,GJ,24AAYPP0073E1ZL,,
6240,1733,"RM 1501, 105, 15/F SPA CTR 53-55, Lockhart Rd, Hong Kong",999077,Wanchai,CN,BEI,,,
6240,1733,"RM 1501, 105, 15/F SPA CTR 53-55, Lockhart Rd, Hong Kong",999077,Wanchai,CN,BEI,,,
4618,1448,"329/63, Surbhi Chsc, Hingwala Lane, Ghatkopar East",400075,Mumbai,IN,MH,27AAKPS1245B1ZW,,
4618,1448,"329/63, Surbhi Chsc, Hingwala Lane, Ghatkopar East",400075,Mumbai,IN,MH,27AAKPS1245B1ZW,,
1314,39,"A/4, Church Hill Compound Holy Cross Road, I.C. Colony, Borivali (West)",400103,Mumbai,IN,MH,,,
1314,39,"A/4, Church Hill Compound Holy Cross Road, I.C. Colony, Borivali (West)",400103,Mumbai,IN,MH,,,
1851,241,"Plot No P 344 345, Ponda, Panaji,   Kundaim Industrial Estate",403115,Kundaim,IN,GO,,,
1851,241,"Plot No P 344 345, Ponda, Panaji,   Kundaim Industrial Estate",403115,Kundaim,IN,GO,,,
2990,241,"346-348, Kundaim Industrial Estate",403115,Kundaim,IN,GO,,,
2990,241,"346-348, Kundaim Industrial Estate",403115,Kundaim,IN,GO,,,
3473,1098,"C-1/43, Yamuna Vihar",110053,Delhi,IN,DL,07AGFPK1372C1ZT,,
3473,1098,"C-1/43, Yamuna Vihar",110053,Delhi,IN,DL,07AGFPK1372C1ZT,,
5253,1567,"A-6, Ambad M.I.D.C",422010,Nasik,IN,MH,,,
5253,1567,"A-6, Ambad M.I.D.C",422010,Nasik,IN,MH,,,
8333,SC-6280,"correspondence:-A-1/42 , Satyam tower, Someshwar Complex, Sattelite road,		380015	Ahmedabad		IN	GJ			2		2			B													Y	8333			
8333	SC-6280	correspondence:-A-1/42 , Satyam tower, Someshwar Complex, Sattelite road,",380015,Ahmedabad,IN,GJ,,,
9309,SC-8762,"1073/1-2-3 Pirangoot, Mulshi",412115,Pune,IN,MH,,,
9309,SC-8762,"1073/1-2-3 Pirangoot, Mulshi",412115,Pune,IN,MH,,,
1175,574,"Sector-58, plot no-290",121004,Faridabad,IN,HR,06AACCV2097H1Z8,,
1175,574,"Sector-58, plot no-290",121004,Faridabad,IN,HR,06AACCV2097H1Z8,,
9828,SC-9214,"203, Technocity, Plot No X-5/3, Opp Millennium Business Park,  Mahape",400710,Navi Mumbai,IN,MH,27AAECB6291K1ZB,,
9828,SC-9214,"203, Technocity, Plot No X-5/3, Opp Millennium Business Park,  Mahape",400710,Navi Mumbai,IN,MH,27AAECB6291K1ZB,,
9052,SC-8508,"SNAP HOUSE, 322/16 Shankar Sheth Road, Near M & D Petrol Pump, Opp. Mira Housing Society",411042,Pune,IN,MH,27AACCS5951P1ZP,,
9052,SC-8508,"SNAP HOUSE, 322/16 Shankar Sheth Road, Near M & D Petrol Pump, Opp. Mira Housing Society",411042,Pune,IN,MH,27AACCS5951P1ZP,,
9053,SC-8509,"320, Raviwar Peth, Opp Subhansha Darga",411002,Pune,IN,MH,27AAAFE5549G1ZG,,
9053,SC-8509,"320, Raviwar Peth, Opp Subhansha Darga",411002,Pune,IN,MH,27AAAFE5549G1ZG,,
8220,SC-7546,"1003 A Peninsula Towers, Peninsula Corporate Park, G.K. Marg, Lower Parel",400013,Mumbai,IN,MH,,,
8220,SC-7546,"1003 A Peninsula Towers, Peninsula Corporate Park, G.K. Marg, Lower Parel",400013,Mumbai,IN,MH,,,
8946,SC-8409,"4-1-825, J N Road, Abids, Near Rama Krishna Theatre",500001,Hyderabad,IN,TR,,,
8946,SC-8409,"4-1-825, J N Road, Abids, Near Rama Krishna Theatre",500001,Hyderabad,IN,TR,,,
3496,1105,"C-11, Sea -Face Park , 5th Floor,  Bhulabhai Desai Road",400026,Mumbai,IN,MH,27AAACA4557B1Z2,,
3496,1105,"C-11, Sea -Face Park , 5th Floor,  Bhulabhai Desai Road",400026,Mumbai,IN,MH,27AAACA4557B1Z2,,
1622,142,"Plot No.52, Industrial Estate,   Colvale",403513,Bardez,IN,GO,,,
1622,142,"Plot No.52, Industrial Estate,   Colvale",403513,Bardez,IN,GO,,,
1852,242,Vavdi Industries Area  Near Punit Nagar,360001,Rajkot,IN,GJ,,,
1852,242,Vavdi Industries Area  Near Punit Nagar,360001,Rajkot,IN,GJ,,,
