Po number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Project Code,Tax Amount (SC),,
1,29 Mar 18,Stable Micro Systems Ltd.,,29 Mar 18,,2037467.69,Net-30,US Dollar,66.6667,Closed,No,18197-Texture Analyser_Henkel Koparkhairne,0,,
2,10 Jan 18,Divine Engineering,Based On Sales Orders 99999035.,17 Jan 18,,4602,50% advance 50% on delivery,Indian Rupee,1,Closed,Yes,16033-Fwd: Quotation for Hardware and tools,702,,
3,29 Mar 18,SRS Innovative Solutions,,29 Mar 18,,108276.8,50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,18895-Fwd: Quotation required for tools & equipments.,16516.8,,
330285,21 Mar 18,Ferro Foundries Pvt. Ltd.,,21 Mar 18,,14750,100% Advance,Indian Rupee,1,Closed,No,9352-Scissor Slim Lift,2250,,
3300046,19 Jul 17,Aayushi Enterprises,,19 Jul 17,,1301.76,Net-30,Indian Rupee,1,Open,No,8480-Electrical material required at ETP MCC,284.76,,
3300051,19 Jul 17,Sharon Controls India Pvt. Ltd.,,19 Jul 17,,1322.78,Net-30,Indian Rupee,1,Open,No,8480-Electrical material required at ETP MCC,201.78,,
3300053,24 Apr 18,Electrical Control Sysem,,24 Apr 18,,1110.38,Net-30,Indian Rupee,1,Closed,No,8480-Electrical material required at ETP MCC,169.38,,
3300054,19 Jul 17,Standard Electric Co,,19 Jul 17,,84538.27,100% Advance,Indian Rupee,1,Closed,No,8480-Electrical material required at ETP MCC,12895.67,,
3300055,19 Jul 17,S.R. Enterprises,,19 Jul 17,,12249.6,Net-30,Indian Rupee,1,Open,No,8480-Electrical material required at ETP MCC,2679.6,,
3300057,19 Jul 17,Atlantic Sales and Service,,19 Jul 17,,1534,Net-30,Indian Rupee,1,Closed,No,8480-Electrical material required at ETP MCC,234,,
3300059,19 Jul 17,Shashi EngiCon Pvt. Ltd.,,19 Jul 17,,14246.4,Net-30,Indian Rupee,1,Open,No,8480-Electrical material required at ETP MCC,3116.4,,
3300060,19 Jul 17,Dodia Electricals,,19 Jul 17,,1664,Net-30,Indian Rupee,1,Open,No,8480-Electrical material required at ETP MCC,364,,
3300061,19 Jul 17,PRATHAM INDUSTRIAL CORPORATION,,19 Jul 17,,1509,Net-30,Indian Rupee,1,Closed,No,8480-Electrical material required at ETP MCC,230.2,,
3300171,8 Aug 17,Total Sporting And Fitness Solution Pvt Ltd.,,8 Aug 17,,78750,Net-30,Indian Rupee,1,Open,No,10386-Fwd: RFQ for hand sleeves,3750,,
3300462,4 Oct 17,Cameron Middle East FZE,,4 Oct 17,,526972.52,Net-30,US Dollar,68.74,Closed,No,12303-Cairn -  Jiskoot Spare parts,0,,
3300475,5 Oct 17,Aakar Scientific Pvt. Ltd.,,5 Oct 17,,1064340.48,Net-30,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,232824.48,,
3300476,5 Oct 17,Ratan Ancillaries,,6 Oct 17,,191537.6,30% advance 70% on delivery,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,29217.6,,
3300477,5 Oct 17,Promivac Engineers,,6 Oct 17,,13393,30% advance 70% on delivery,Indian Rupee,1,Open,No,8348-Fwd: FW: Lab Documents,2043,,
3300479,5 Oct 17,Pooja Scientific Instruments,,6 Oct 17,,270652.48,30% advance 70% on delivery,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,41285.97,,
