#,Date,Customer,Document Was Closed Manually,Due Date,Document Status,Branch,Document Total,Project Code,Total Tax,Canceled,Bill to,BPL ID Assigned to Invoice,Document Type,Rejection Reason,Related Type,Tax Amount (SC)
9990001,14 Aug 15,Cummins Generator Technologies India Pvt. Ltd.,No,14 Aug 15,Open,Maharashtra,772,OB Debtors,0,No,Plot No. B3-1Sez Unit Village-Surwadi and Nandal Dist.-Satara Phaltan 415522 Maharashtra,0,Service,,,0
9990002,8 Sep 15,Cairn India Ltd.,No,8 Oct 15,Open,Maharashtra,65075.89,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990003,26 Sep 15,Cairn India Ltd.,No,26 Oct 15,Open,Maharashtra,2770,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990004,28 Oct 15,Cairn India Ltd.,No,27 Nov 15,Open,Maharashtra,1167.7,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990005,28 Oct 15,Cairn India Ltd.,No,27 Nov 15,Open,Maharashtra,526.4,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990006,24 Nov 15,Cairn India Ltd.,No,24 Dec 15,Open,Maharashtra,6157.83,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990007,4 Jan 16,Cummins Technologies India Pvt. Ltd.,No,4 Jan 16,Open,Maharashtra,6959.82,OB Debtors,0,No,Cummins India Office Campus Tower A 2nd 4th & 8th Floor Survey No.  21 Balewadi Pune 411045 Maharashtra,0,Service,,,0
9990008,6 Jan 16,Ingersoll Rand (India) Ltd.,No,5 Feb 16,Open,Maharashtra,7937,OB Debtors,0,No,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,Service,,,0
9990009,17 Mar 16,Ingersoll Rand Technologies and Services Pvt. Ltd.,No,16 Apr 16,Open,Maharashtra,7841,OB Debtors,0,No,8Th and 9Th Floor Tower C and D IBC Knowledge Park No. 4/1 Bannerghatta Main Road Bangalore 560029 Karnataka,0,Service,,,0
9990010,2 Apr 16,Ingersoll Rand Technologies and Services Pvt. Ltd.,No,2 May 16,Open,Maharashtra,1218,OB Debtors,0,No,8Th and 9Th Floor Tower C and D IBC Knowledge Park No. 4/1 Bannerghatta Main Road Bangalore 560029 Karnataka,0,Service,,,0
9990011,19 Apr 16,Alstom Bharat Forge Power Pvt. Ltd.,No,19 May 16,Open,Maharashtra,21619.5,OB Debtors,0,No,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,Service,,,0
9990012,12 May 16,APM Terminals India Pvt. Ltd.,No,11 Jun 16,Open,Maharashtra,25777,OB Debtors,0,No,Gateway Terminals India Pvt. Ltd. Gti House JNPT Nava Sheva Taluka - Uran District Raigad Mumbai 400707 Maharashtra,0,Service,,,0
9990013,16 May 16,APM Terminals India Pvt. Ltd.,No,15 Jun 16,Open,Maharashtra,21681,OB Debtors,0,No,Gateway Terminals India Pvt. Ltd. Gti House JNPT Nava Sheva Taluka - Uran District Raigad Mumbai 400707 Maharashtra,0,Service,,,0
9990014,9 Jun 16,Alstom Bharat Forge Power Pvt. Ltd.,No,9 Jul 16,Open,Maharashtra,28225.81,OB Debtors,0,No,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,Service,,,0
9990015,15 Jun 16,Cairn India Ltd.,No,15 Jul 16,Open,Maharashtra,526.4,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990016,20 Jul 16,Alstom Bharat Forge Power Pvt. Ltd.,No,19 Aug 16,Open,Maharashtra,6961.5,OB Debtors,0,No,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,Service,,,0
9990017,28 Jul 16,Cairn India Ltd.,No,27 Aug 16,Open,Maharashtra,1021.05,OB Debtors,0,No,Central Control Building / Mangala Processing Terminal Near Village Kawas Barmer 344001 Rajasthan,0,Service,,,0
9990018,28 Jul 16,Cummins Generator Technologies India Pvt. Ltd.,No,28 Jul 16,Open,Maharashtra,10487.1,OB Debtors,0,No,Plot No. B3-1Sez Unit Village-Surwadi and Nandal Dist.-Satara Phaltan 415522 Maharashtra,0,Service,,,0
9990019,30 Jul 16,Alstom Bharat Forge Power Pvt. Ltd.,No,29 Aug 16,Open,Maharashtra,6732.46,OB Debtors,0,No,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,Service,,,0
9990020,1 Aug 16,Accuramech Industrial Engineering Pvt. Ltd.,No,31 Aug 16,Open,Maharashtra,5970.94,OB Debtors,0,No,2347/B Wagholi Warehousing Nagar Road Wagholi Pune 412207 Maharashtra,0,Service,,,0
9990021,1 Aug 16,Alstom Bharat Forge Power Pvt. Ltd.,No,31 Aug 16,Open,Maharashtra,77418,OB Debtors,0,No,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,Service,,,0
9990022,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,2933,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990023,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,65.63,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990024,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,4770.47,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990025,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,831.81,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990026,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,2200,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990027,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,80587.13,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990028,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,2624.63,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990029,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,107510.00,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
9990030,1 Aug 16,Applied Materials India Pvt. Ltd.,No,1 Aug 16,Closed,Maharashtra,2451.56,OB Debtors,0,No,Level 2 Explorer Building International Tech Park White Field Road Bangalore 560066 Karnataka,0,Service,,,0
