#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
210200480,27 Mar 18,Henkel Adhesive Technologies India Pvt. Ltd.,,27 Jun 18,Maharashtra,,0,"1,11,789.47",Closed,No,0,0,0,No.14 and 16 Raman Street North Boag Road T.Nagar Chennai 600017 Tamil Nadu,No.14 and 16 Raman Street North Boag Road T.Nagar Chennai 600017 Tamil Nadu,0,111789.47,17052.63,18689,Rajani Kyatham,
99999116,6 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 74.,25 Mar 18,Gujarat,,0,"22,656.00",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,22656,3456,,Piyush Yadav,
99999114,6 Apr 18,HSIL Ltd.,Based On Sales Quotations 73.,6 Dec 17,Delhi,,0,"1,18,280.84",Closed,Yes,0,0,0,Plot No. SP1-254Kaharani Industrial Area BhiwadiAlwar Rajasthan 301019 India,Plot No. SP1-254Kaharani Industrial Area BhiwadiAlwar Rajasthan 301019 India,0,118280.84,18042.84,,Neha Mundhe,
99999111,6 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 72.,25 Mar 18,Gujarat,,0,"2,329.32",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,2329.32,355.32,,Avni Shah,
99999099,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 87.,15 Jul 17,Gujarat,,0,670.38,Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,670.38,102.26,,Avni Shah,
99999098,2 Apr 18,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),Based On Sales Quotations 70.,27 Oct 17,Maharashtra,,0,"75,872.65",Open,No,0,0,0,Khalumbre Tal- KhedPowai C/O- UTI Worldwide India Pvt. Ltd.Plot No : A-22/1Chakan Industrial Area Phase- II Village:Pune Maharashtra 410501 India,Khalumbre Tal- KhedPowai C/O- UTI Worldwide India Pvt. Ltd.Plot No : A-22/1Chakan Industrial Area Phase- II Village:Pune Maharashtra 410501 India,0,75872.65,11573.8,,Apeksha Khambe,
99999097,2 Apr 18,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),Based On Sales Quotations 69.,13 Jan 18,Maharashtra,,0,"39,564.70",Open,No,0,0,0,Khalumbre Tal- KhedPowai C/O- UTI Worldwide India Pvt. Ltd.Plot No : A-22/1Chakan Industrial Area Phase- II Village:Pune Maharashtra 410501 India,Mahalunge KhedPowai UTI A22/1 Chakan Industrial Area Phase-II MahalungePune Maharashtra 410501 India,0,39564.7,6035.3,,Swati Bhosale,
99999096,2 Apr 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 68.,20 Jan 18,Gujarat,,0,"21,664.80",Closed,No,0,0,0,4-5 GIDC Estate NarodaAhmedabad Gujarat 382330 India,21-30 GIDC Estate NarodaAhmedabad Gujarat 382330 India,0,21664.8,3304.8,,Prit Patel,
99999095,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 78.,20 Jan 18,Gujarat,,0,637.20,Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,637.2,97.2,,Neel Patel,
99999094,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 79.,8 Nov 17,Gujarat,,0,"42,928.40",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,42928.4,6548.4,,Avni Shah,
99999093,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 35.,5 Apr 18,Gujarat,,0,"8,496.00",Closed,Yes,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,8496,1296,,Piyush Yadav,
99999092,10 Apr 18,Hyosung T and D India Pvt. Ltd.,Based On Sales Quotations 290.,19 Apr 18,Maharashtra,,0,"2,100.00",Closed,No,0,0,0,IP-11 Khed City Village Nimgaon Khed Taluka Pune-Nashik RoadPune Maharashtra 410505 India,IP-11 Khed City Village Nimgaon Khed Taluka Pune-Nashik RoadPune Maharashtra 410505 India,0,2100,100,,Sajida Sayyed,
