document_type,series_name,series,period_ indicator,length
Sales Quotation,BM ALL WAREHOUSE,10000,,9
Sales Order,LWP 2019,102,FY2019-20,9
Sales Order,ALT 2019,101,FY2019-20,9
Sales Order,PUN 2019,103,FY2019-20,9
Sales Order,BOP 2019,104,FY2019-20,9
Sales Order,MAN 2019,109,FY2019-20,9
Sales Order,OKH 2019,105,FY2019-20,9
Sales Order,JNK 2019,106,FY2019-20,9
Sales Order,CHE 2019,108,FY2019-20,9
Sales Order,HYD 2019,107,FY2019-20,9
A/R Invoice,LWP 2019,202,FY2019-20,9
A/R Invoice,ALT 2019,201,FY2019-20,9
A/R Invoice,PUN 2019,203,FY2019-20,9
A/R Invoice,BOP 2019,204,FY2019-20,9
A/R Invoice,MAN 2019,209,FY2019-20,9
A/R Invoice,OKH 2019,205,FY2019-20,9
A/R Invoice,JNK 2019,206,FY2019-20,9
A/R Invoice,CHE 2019,208,FY2019-20,9
A/R Invoice,HYD 2019,207,FY2019-20,9
A/R Invoice Branch Transfer,BTMUM 19,210,FY2019-20,9
A/R Invoice Branch Transfer,BTGUJ 19,211,FY2019-20,9
A/R Invoice Branch Transfer,BTDEL 19,212,FY2019-20,9
A/R Invoice Branch Transfer,BTBAN 19,213,FY2019-20,9
A/R Invoice Branch Transfer,BTCHE 19,214,FY2019-20,9
A/R Invoice Branch Transfer,BTHYD 19,215,FY2019-20,9
A/R Invoice Branch Transfer,BTBOP 19,216,FY2019-20,9
A/R Invoice Branch Transfer,BTOKH 19,217,FY2019-20,9
A/R Invoice Branch Transfer,BTALT 19,218,FY2019-20,9
A/R Deposit ( BG ),Deposit ( BG ),219,FY2019-20,9
A/R Invoice Credit Memo,LWP 2019,221,FY2019-20,9
A/R Invoice Credit Memo,ALT 2019,222,FY2019-20,9
A/R Invoice Credit Memo,PUN 2019,223,FY2019-20,9
A/R Invoice Credit Memo,BOP 2019,224,FY2019-20,9
A/R Invoice Credit Memo,MAN 2019,225,FY2019-20,9
A/R Invoice Credit Memo,OKH 2019,226,FY2019-20,9
A/R Invoice Credit Memo,JNK 2019,227,FY2019-20,9
A/R Invoice Credit Memo,CHE 2019,229,FY2019-20,9
A/R Invoice Credit Memo,HYD 2019,230,FY2019-20,9
A/R Invoice Cancel,CAN-LP19,232,FY2019-20,9
A/R Invoice Cancel,CAN-AT19,239,FY2019-20,9
A/R Invoice Cancel,CAN-BO19,241,FY2019-20,9
A/R Invoice Cancel,CAN-MN19,243,FY2019-20,9
A/R Invoice Cancel,CAN-OK19,244,FY2019-20,9
A/R Invoice Cancel,CAN-JN19,245,FY2019-20,9
A/R Invoice Cancel,CAN-TN19,247,FY2019-20,9
A/R Invoice Cancel,CAN-TL19,248,FY2019-20,9
A/R Invoice Cancel,CNBTMH19,250,FY2019-20,9
A/R Invoice Cancel,CNBTGJ19,251,FY2019-20,9
A/R Invoice Cancel,CNBTDL19,252,FY2019-20,9
A/R Invoice Cancel,CNBTTN19,253,FY2019-20,9
A/R Invoice Cancel,CANBTL19,254,FY2019-20,9
Delivery,LWP 2019,302,FY2019-20,9
Delivery,ALT 2019,301,FY2019-20,9
Delivery,PUN 2019,303,FY2019-20,9
Delivery,BOP 2019,304,FY2019-20,9
Delivery,MAN 2019,309,FY2019-20,9
Delivery,OKH 2019,305,FY2019-20,9
Delivery,JNK 2019,306,FY2019-20,9
Delivery,CHE 2019,308,FY2019-20,9
Delivery,HYD 2019,307,FY2019-20,9
A/R Invoice GST Debit Memo,LWP 2019,233,FY2019-20,9
A/R Invoice GST Debit Memo,BOP 2019,234,FY2019-20,9
A/R Invoice GST Debit Memo,OKH 2019,235,FY2019-20,9
A/R Invoice GST Debit Memo,CHE 2019,236,FY2019-20,9
A/R Invoice GST Debit Memo,HYD 2019,237,FY2019-20,9
Purchase Order,LWP 2019,402,FY2019-20,9
Purchase Order,ALT 2019,401,FY2019-20,9
Purchase Order,PUN 2019,403,FY2019-20,9
Purchase Order,BOP 2019,404,FY2019-20,9
Purchase Order,MAN 2019,409,FY2019-20,9
Purchase Order,OKH 2019,405,FY2019-20,9
Purchase Order,JNK 2019,406,FY2019-20,9
Purchase Order,CHE 2019,408,FY2019-20,9
Purchase Order,HYD 2019,407,FY2019-20,9
GRPO,LWP 2019,502,FY2019-20,9
GRPO,ALT 2019,501,FY2019-20,9
GRPO,PUN 2019,503,FY2019-20,9
GRPO,BOP 2019,504,FY2019-20,9
GRPO,MAN 2019,509,FY2019-20,9
GRPO,OKH 2019,505,FY2019-20,9
GRPO,JNK 2019,506,FY2019-20,9
GRPO,CHE 2019,508,FY2019-20,9
GRPO,HYD 2019,507,FY2019-20,9
A/P Invoice,LWP 2019,602,FY2019-20,9
A/P Invoice,ALT 2019,601,FY2019-20,9
A/P Invoice,PUN 2019,603,FY2019-20,9
A/P Invoice,BOP 2019,604,FY2019-20,9
A/P Invoice,MAN 2019,609,FY2019-20,9
A/P Invoice,OKH 2019,605,FY2019-20,9
A/P Invoice,JNK 2019,606,FY2019-20,9
A/P Invoice,CHE 2019,608,FY2019-20,9
A/P Invoice,HYD 2019,607,FY2019-20,9
A/P Invoice Branch Transfer,BTMUM 19,629,FY2019-20,9
A/P Invoice Branch Transfer,BTGUJ 19,630,FY2019-20,9
A/P Invoice Branch Transfer,BTDEL 19,610,FY2019-20,9
A/P Invoice Branch Transfer,BTBAN 19,611,FY2019-20,9
A/P Invoice Branch Transfer,BTCHE 19,612,FY2019-20,9
A/P Invoice Branch Transfer,BTHYD 19,613,FY2019-20,9
A/P Invoice Branch Transfer,BTALT 19,614,FY2019-20,9
A/P Invoice Branch Transfer,BTBOP 19,615,FY2019-20,9
A/P Invoice Branch Transfer,BTOKH 19,616,FY2019-20,9
A/P Invoice Credit Memo,LWP 2019,618,FY2019-20,9
A/P Invoice Credit Memo,ALT 2019,620,FY2019-20,9
A/P Invoice Credit Memo,PUN 2019,621,FY2019-20,9
A/P Invoice Credit Memo,BOP 2019,622,FY2019-20,9
A/P Invoice Credit Memo,MAN 2019,624,FY2019-20,9
A/P Invoice Credit Memo,OKH 2019,625,FY2019-20,9
A/P Invoice Credit Memo,JNK 2019,626,FY2019-20,9
A/P Invoice Credit Memo,HYD 2019,627,FY2019-20,9
A/P Invoice Credit Memo,CHE 2019,628,FY2019-20,9
A/P Invoice GST Debit Memo,LWP 2019,635,FY2019-20,9
A/P Invoice GST Debit Memo,BOP 2019,636,FY2019-20,9
A/P Invoice GST Debit Memo,OKH 2019,637,FY2019-20,9
A/P Invoice GST Debit Memo,CHE 2019,638,FY2019-20,9
A/P Invoice GST Debit Memo,HYD 2019,639,FY2019-20,9
Incoming Payments,LWP 2019,702,FY2019-20,9
Down Payment Request,ALL WAREHOUSES,703,FY2019-20,9
