cmp_id,cmp_name,gst_num,gst_file,address,city,state,state_name,country,pincode,telephone,cst_num,cst_file,vat_num,vat_file,ed_num,ed_file,sap_row_num,gst_type,tan_num
3,"Lift Arts",27ADPPJ4413L1Z9,NULL,"16, 2nd Floor, Mehta Chambers, 127-A, Nandlal Jani Marg, Kalyan Street Dana Bunber, Masjid (East)",Mumbai,505,Maharashtra,IN,400009,"022-23706805 / +91 9820525860
ganesh modi",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
4,"Bhavesh Fastners",24ALXPP2922N1ZE,NULL,"18, Grd. Flr., Maruti Nandan Complex, Opp. Madhukar Complex, Hathipura",Ahmedabad,496,Gujarat,IN,380004,"079-30492059 /  +91-9426573169 / +91-9724062771
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
6,"J.D. Sales Corporation",24AHXPP0575F1ZZ,NULL,"1492/2,Mahadev No khancho,Mamunayak pole Near Municipal hospital, Gandhi Road, ",Ahmedabad,496,Gujarat,IN,380001,"098253 25835 , 079-22169898
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
8,"P. M. Bhimani Orgochem Pvt. Ltd.",24AACCP1527G1ZT,NULL,"510, Mahakant Opposite V S Hospital, Ellisbridge","Ahmedabad, ",496,Gujarat,IN,380006,"079-26575474 / +91-9824033444/4166",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL
9,"Embassy Office Automation",29ARFPR1866M1ZJ,NULL,"No 301, Akkithimanna Hally Aga Garden Lakshmi Road 9th Cross Shanthi Nagar",Bangalore,501,Karnataka,IN,"560 027","+ 91 9742144322? / + 91 80 41733003 / 80?41733000
",NULL,NULL,29051107482,NULL,NULL,NULL,"0,1",NULL,NULL
18,"Aim Safety",27AAUFA3917G1Z8,NULL,"178 Janjikar Street",Mumbai,505,Maharashtra,IN,400003,"022-23452861 
",NULL,NULL,27170864658V,NULL,NULL,NULL,"0,1",NULL,NULL
19,"Bagadia Industrial Fasteners",27BDAPK6448N1Z3,NULL,"14, Arif Market, Kothari Compound Kherani Road, Sakinaka",Mumbai,505,Maharashtra,IN,400072,"Bayan kapoor : 09699977774 , 9820968242  ",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
21,"Empire Enterprises","No GST Number",NULL,"8, Niramay Bunglow Nr. Suvidha Shopping Center, Paldi",Ahmedabad,496,Gujarat,IN,380007,+91-9898108050,NULL,NULL," 24073903165",NULL,NULL,NULL,"0,1",NULL,NULL
22,"Ethos Ltd.","No GST Number",NULL,"G-13, INORBIT MALL PVT LTD VASHI","NAVI MUMBAI",505,Maharashtra,IN,400705,"022-27811569 / +91-7045313817
8080515252",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
23,"Evergreen Sales",24ABEPB9563C1Z0,NULL,"14, Vandana cloth Market  Nr. Panchkuva Gate",AHMEDABAD,496,Gujarat,IN,380001,"079-22147561
pankaj maheswari - 9510373231",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
24,"Ferreterro India Pvt. Ltd.",27AAACF6535A1Z1,NULL,"Room No. 8, 2nd FloorTaher Mansion  158/160 Narayan Dhuru Street ",Mumbai,505,Maharashtra,IN,NULL,08655487815,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
25,"Jupiter Traders",27AAAFJ4926E1ZK,NULL,"30, Nagdevi St, Chippi Chawl, Kalbadevi,","Mumbai ",505,Maharashtra,IN,400003," jitubhai shah 91-22-23424910 / 23434104  / +91-9167985137/9930120839",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
28,"Kohinoor Paints Mart",24ACDPM5638F1ZQ,NULL,"25, Deepika Tower Nr. AMTS Bus Terminus,Nr. Galaxy Cinema Road,Naroda","Ahmedabad ",496,Gujarat,IN,382330,"079-22810038 - 7874813388 - 9426068824
",24575200483C,NULL,24075200483V,NULL,NULL,NULL,"0,1",NULL,NULL
29,"Kudrati Power Tools and Hardware",27AAJSK3565H1Z3,NULL," 78/B, Bhajipala Lane Masjid,Near Nagdevi Street","Mumbai ",505,Maharashtra,IN,400003,"9987301155/ 9820201155",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
31,"MrDhruv Shah","No GST Number",NULL,"5181 FOREST RUN DR DUBLIN, OH",US,47,Ohio,US,43017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
34,"Pragati Hi-Tech Engineers",07AARFP2500R1ZQ,NULL,"4655,AJMERI GATE  OPP.CHAWRI BAZAR, METRO STATION GATE NO. 1",DELHI,494,Delhi,IN,"110 006","011 - 23238775, 23238790
011- 23215857 ",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
35,"Shreenathji Welding And Safety Pvt. Ltd.",24AARCS8051P1ZJ,NULL,"16/ Anjana Chambers Opp, Kadiawadi I/s Panchkuva Gate ",Ahmedabad,496,Gujarat,IN,380002,9327007876,24571000883,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL
39,"Valisons and Co.",27AAAFV5145M1ZU,NULL,"68 B Sarang Street.  Near Crawford Market.",Mumbai,505,Maharashtra,IN,400003,"022-23426251 - 23447854 - 23438774 - 9220216451",NULL,NULL,27380366593V,NULL,NULL,NULL,"0,1",NULL,NULL
