Product_Description,BM_Number,New_Description,Brand,Model,SKU,Status,UOM,Tax_Code,Qty_Per_UOM,MOQ,Per_Unit_Price,Bundle_Price
Self Locking PA 66 Cable Tie Lenght 300mm Width 4.8mm - 100PCK,BM9P0S1,"ELECTRO Self Locking PA 66 Cable Tie, Lenght 300 mm, Width 4.8 mm, PK100",ELECTRO,-,,Done,PK,39269099,100,5,1.12,112
"PowerFlex 523 AC Drive, 480 VAC, 3 Phase, 0.5 HP, 0.4 kW Normal Duty; 0.5 HP, 0.4 kW Heavy Duty, Frame A, IP20 NEMA / Open Type, No Filter",BM9D0A7,"ALLEN BRADLEY 3 Phase PowerFlex 523 AC Drive, Voltage 480V AC, Power 0.5 HP, Frame A - 25A-D1P4N104",ALLEN BRADLEY,25A-D1P4N104,,Done,EA,85044090,1,1,10890.76,10890.76
"PowerFlex 523 AC Drive, 480 VAC, 3 Phase, 1.0 HP, 0.75 kW Normal Duty; 1.0 HP, 0.75 kW Heavy Duty, Frame A, IP20 NEMA / Open Type, No Filter",BM9Q7J7,"ALLEN BRADLEY 3 Phase PowerFlex 523 AC Drive, Voltage 480V AC, Power 1.0 HP, Frame A - 25A-D2P3N104",ALLEN BRADLEY,25A-D2P3N104,,Done,EA,85044090,1,1,11393.35,11393.35
"PowerFlex 523 AC Drive, 480 VAC, 3 Phase, 2 HP, 1.5 kW Normal Duty; 2 HP, 1.5 kW Heavy Duty, Frame A, IP20 NEMA / Open Type, No Filter",BM9V2T2,"ALLEN BRADLEY 3 Phase PowerFlex 523 AC Drive, Voltage 480V AC, Power 2 HP, Frame A - 25A-D4P0N104",ALLEN BRADLEY,25A-D4P0N104,,Done,EA,85044090,1,1,13254.4,13254.4
ADOPTER FOR BOSCH MAKE HOLESAW CUTTER 14MM TO 32MM,BM9O2P3,"BOSCH HSS Bi-metal Holesaw for Standard Adapter, Dia 14 mm - 2 608 580 396",BOSCH,2 608 580 396,,Done,EA,82029990,1,1,177.74,177.74
AIR BUBBLE FLIM ROLL Product Code 1030 - 100 mtr Roll,BM9U0K0,"BULKMRO APPROVED 1030 Air Bubble Flim Roll, Roll Length 100 Mtr",BULK MRO APPROVED,,,Done,ROLL,84212110,100,1,4.94,494
ALUM ANGLE 50 X 50 X 2 MM,BM9Y0P1,"BULKMRO APPROVED Aluminium Angle, Size 50 X 50 X 2 mm",BULK MRO APPROVED,-,,Done,KG,76041039,1,1,192.22,192.22
ALUM ANGLE 50 X 50 X 5MM,BM9Z2O7,"BULKMRO APPROVED Aluminium Angle, Size 50 X 50 X 5 mm",BULK MRO APPROVED,-,,Done,KG,76041039,1,1,192.22,192.22
ALUM FLAT 40 X 5 MM,BM9G3I7,"BULK MRO APPROVED Aluminium Flat, Size 40 X 5 mm",BULK MRO APPROVED,-,,Done,KG,76169990,1,1,192.22,192.22
ALUM FLAT 50 X 3 MM,BM9W7T4,"BULK MRO APPROVED Aluminium Flat, Size 50 X 3 mm",BULK MRO APPROVED,-,,Done,KG,76169990,1,1,190.11,190.11
BAKELITE CONNECTOR STRIP 15 AMP - 12 WAY,#N/A,"BULKMRO APPROVED 12 Way Bakelite Connector Strip, Current 15 Amp",BULK MRO APPROVED,-,,Done,EA,85369090,1,10,34.44,34.44
BAKELITE CONNECTOR STRIP 10 AMP - 12 WAY,BM9I0V6,"BULK MRO APPROVED 12 Way Bakelite Connector Strip, Current 10 Amp",BULK MRO APPROVED,-,,Done,EA,85369090,1,10,27.78,27.78
BAKELITE KNOB 8 MM,BM9V3V8,"BULK MRO APPROVED Bakelite Knob, Size 8 mm",BULK MRO APPROVED,-,,Done,EA,39269099,1,10,22.22,22.22
BAKELITE KNOB WITH SS 316 STUD 8 X 40 MM,BM9S3N2,"BULK MRO APPROVED Bakelite Knob with Stainless Steel 316 Stud, Size 8 X 40 mm",BULK MRO APPROVED,-,,Done,EA,39269099,1,10,13.33,13.33
"SKF Deep Groove Ball Bearing, Inner Dia 20 mm, Outer Dia 47 mm - 6204",,"SKF Open Deep Groove Ball Bearing, Inner Dia 20 mm, Outer Dia 47 mm, Width 14 mm - 6204",SKF,6204,BM9G3R2,Done,EA,84229090,1,10,143.33,143.33
"SKF Deep Groove Ball Bearing, Inner Dia 7 mm - 627 2Z",,"SKF SKF Deep Groove Ball Bearing, Inner Dia 7 mm - 627 2Z",SKF,627 2Z,BM9S3K6,Done,EA,84229090,1,10,102.6,102.6
BROWN TAPE 2 ,#N/A,"BULK MRO APPROVED Brown Tape, Width 2""",BULK MRO APPROVED,-,,Done,EA,39239090,1,12,17.22,17.22
Self Locking PA 66 Cable Tie Lenght 250mm Width 4.8mm - PK 100,#N/A,"ELECTRO Self Locking PA 66 Cable Tie, Length 250 mm, Width 4.8 mm, PK100",ELECTRO,-,,Done,PK,39269099,100,5,0.92,92
Self Locking PA 66 Cable Tie Lenght 100mm Width 2.5mm - PK 100,#N/A,"ELECTRO Self Locking PA 66 Cable Tie, Length 100 mm, Width 2.5 mm, PK100",ELECTRO,-,,Done,PK,39269099,100,5,15.14,1514
Self Locking PA 66 Cable Tie Lenght 150mm Width 2.5mm - PK 100,#N/A,"ELECTRO Self Locking PA 66 Cable Tie, Length 150 mm, Width 2.5 mm, PK100",ELECTRO,-,,Done,PK,39269099,100,5,0.24,24
Self Locking PA 66 Cable Tie Lenght 150mm Width 3.6mm - PK 100,#N/A,"ELECTRO Self Locking PA 66 Cable Tie, Length 150 mm, Width 3.6 mm, PK100",ELECTRO,-,BM9D6Y7,Done,PK,39269099,100,5,37.6,3760
