legacy_id,created_at,overseer_legacy_id,company_contact_lagacy,subject,purpose,comment,actionrequired,activity,refno,inquiry_number,activitystatus
9589,"2018-10-17 10:22:16",137,NULL,,Negotiation,"Meet Mr Jogender for closure of Breath Analyzer order. Visited on 16th OCT.","Need to Share revised Quote, and follow up for formal Purchase order.",Meeting,1539771736#1377,27934,"Pending Approval"
9590,"2018-10-17 10:26:14",137,NULL,,"Follow up","Had meeing with Mr Parveen Dhiman, got clarification on list of items shared by Alok Jain, Get an idea for annual consumption for MRO items.","Need to share Proposal on Priority.",Meeting,1539771974#1377,28062,"Pending Approval"
9591,"2018-10-17 10:53:40",64,NULL,,Closure,"The LMm unit was not working of which the charger was repaired. Went to Vivek Vihar and attended the complaint.
The unit was brought to working stage. They are happy and the unit was taken in field for work.","Closed as of now.",Meeting,1539773620#645,27258,"Pending Approval"
9593,"2018-10-17 11:59:38",137,NULL,,"Follow up","Had meeting with Ashish, he said proposal is shared with user. Visited On 16th Oct ","Need to follow up with Ashish for closure .",Meeting,1539777578#1379,27857,"Pending Approval"
9594,"2018-10-17 12:30:56",137,NULL,,Closure,"Met Mr Anil for Sampling of Raymind Blanket.
Sample is with Mr Anil, Receiving challan copy is  with me.","Need to keep follow up for Diwali Gifting order.",Meeting,1539779456#13710,28213,"Pending Approval"
9595,"2018-10-17 12:37:54",137,NULL,,Closure,"Meet Mr Kapil Tyagi and collect sample from Vaishali Metro Station.","Need to return sample once it get approved.",Meeting,1539779874#1373,28213,"Pending Approval"
9596,"2018-10-17 15:03:36",20,NULL,,"Follow up","As per discussed with user he need material via Pcard.It is repeated time inquiry","Got confirmation and PO proceed",Meeting,1539788616#205,28229,"Pending Approval"
9597,"2018-10-17 15:04:28",20,NULL,,"Follow up","It is regarding Bearing locating ring Inquiry.Supplier Quote rcvd.","Order is expected",Meeting,1539788668#208,28250,"Pending Approval"
9598,"2018-10-17 15:08:44",20,NULL,,"Follow up","As per discussed with user want NTN bearing 30305 via Pcard","Order proceed",Meeting,1539788924#209,27986,"Pending Approval"
9599,"2018-10-17 16:32:41",129,8628,"Introduction Meeting","First Meeting/Intro Meeting","Met Mr. Gurpreet Matharu and briefed him on Bulk MRO Industrial Supply. He as asked to re-visit Heurtey in November and discuss the product line in detail.","Follow up with Gurpreet next month and fix a meeting again.",Meeting,1539793961#12910,28256,"Pending Approval"
