legacy_id,inquiry_number,calculation_sheet,calculation_sheet_path,customer_po_sheet,customer_po_sheet_path,email_attachment,email_attachment_path,supplier_quote_attachment,sqa_path,supplier_quote_attachment_additional,sqa_additional_path
28263,28263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28262,28262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28261,28261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28260,28260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28259,28259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28258,28258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28257,28257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28256,28256,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28255,28255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28254,28254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28253,28253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28252,28252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28251,28251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28250,28250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28249,28249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28248,28248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28247,28247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28246,28246,28246_Calc_Sheet.xlsx,https://bulkmro.com/media/quotation_attachment/28246_Calc_Sheet.xlsx,28246POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/28246POSheet.pdf,NULL,NULL,28246SupplierQuote.Pdf,https://bulkmro.com/media/quotation_attachment3/28246SupplierQuote.Pdf,28246FinalSupQuote.Pdf,https://bulkmro.com/media/quotation_attachment4/28246FinalSupQuote.Pdf
