increment_id,doc_entry,sup_code,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
10852,947,SC-4602,34228,13450,1,739305,1000,0,3000,0.00,0.00,1,18.40,"VELCRO SANDING DISC 6 INCH GRIT 120( 2608 601 641  |)",0.00,0.00,0,0,10.70,BM9J1B9,a%3A0%3A%7B%7D,NULL,0.00,"GRIT 120",ea,"1-2 weeks",0,0,1602,16,"CGST + SGST 18%",0,68052090,NULL,0,0,0
10852,947,SC-7039,34236,13450,9,739313,10,0,0,0.00,0.00,1,104.29,"MEASURING TAPE - 15 MTRS",0.00,0.00,0,0,85.00,BM9J1C8,a%3A0%3A%7B%7D,NULL,0.00,,ea,"1 week",0,0,4039,16,"CGST + SGST 18%",0,9026,NULL,1,0,0
10852,947,SC-7039,34250,13450,23,739327,100,0,0,0.00,0.00,1,37.70,"PLAIN SAFETY GOGGLES (WHITE)-FOR VISITOR (3M 1709IN GOGGLES) (MOQ - 5 )",0.00,0.00,0,0,30.70,BM9J1E4,a%3A0%3A%7B%7D,NULL,0.00,1709IN,ea,"1-2 weeks",0,0,4039,16,"CGST + SGST 18%",0,9004,NULL,2,0,0
10852,947,SC-7039,51275,13450,24,736809,100,0,300,0.00,0.00,1,37.70,"3M Anti Fog Safety Goggles, Z87 U6",0.00,0.00,0,0,30.70,BM9G8E9,a%3A0%3A%7B%7D,NULL,80.00,,ea,"1-2 weeks",0,0,4039,16,"CGST + SGST 18%",0,90049090,NULL,3,1,0
17232,NULL,SC-7083,47133,19853,1,746078,1,0,2,0.00,0.00,1,73105.00,"Adaptor FlangeDynamic balancing at 3000 rpm",0.00,0.00,0,0,68500.00,BM9M5H9,a%3A0%3A%7B%7D,NULL,0.00,GA–17-015,ea,"1 week",0,0,4083,16,"CGST + SGST 18%",0,99887,"line Item # 20",0,0,0
17432,3053,SC-00029,49506,20054,2,645795,4,0,16,0.00,0.00,1,1464.00,"STANLEY 1 4"" Drive Metric Socket Set 46 Piece - STMT72794-8-12",0.00,0.00,0,0,1364.55,BM0C8G9,a%3A0%3A%7B%7D,NULL,1516.17,STMT72794-8-12,set,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8206,NULL,1,1,0
17432,3053,SC-00029,49507,20054,3,646102,24,0,96,0.00,0.00,1,53.00,"STANLEY Double Open End Spanner 21 X 23 mm - 70-374E",0.00,0.00,0,0,50.60,BM0C9E1,a%3A0%3A%7B%7D,NULL,56.22,70-374E,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8204,NULL,2,1,0
17432,3053,SC-00029,49508,20054,4,646100,24,0,96,0.00,0.00,1,81.00,"STANLEY Double Open End Spanner 30 X 32 mm - 70-377E",0.00,0.00,0,0,78.65,BM0C9E4,a%3A0%3A%7B%7D,NULL,87.39,70-377E,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8204,NULL,3,1,0
17432,3053,SC-00029,49509,20054,5,95369,24,0,96,0.00,0.00,1,99.00,"STANLEY Shallow Offset Ring End Spanner 21 X 23 mm - 70-389E - BM0C8V3",0.00,0.00,0,0,96.25,BM0C8V3,a%3A0%3A%7B%7D,NULL,106.94,70-389E,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8204,NULL,4,1,0
17432,3053,SC-00029,49510,20054,6,95372,24,0,96,0.00,0.00,1,179.00,"STANLEY Shallow Offset Ring End Spanner 30 X 32 mm - 70-392E - BM0C8V6",0.00,0.00,0,0,174.35,BM0C8V6,a%3A0%3A%7B%7D,NULL,193.72,70-392E,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8204,NULL,5,1,0
17432,3053,SC-00029,49511,20054,36,645553,6,0,24,0.00,0.00,1,394.00,"STANLEY Oil Filter Wrench Strap Type 50-108 mm - 997694-S",0.00,0.00,0,0,367.40,BM0C7A6,a%3A0%3A%7B%7D,NULL,408.22,997694-S,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8204,NULL,34,1,0
17432,3053,SC-00029,49512,20054,37,645501,4,0,16,0.00,0.00,1,271.00,"STANLEY Feeler Gauge 25 Baldes 0 04 To 1 00 mm - 70115-S - BM0C7P6",0.00,0.12,0,0,258.50,BM0C7P6,a%3A0%3A%7B%7D,NULL,287.22,70115-S,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,9017,NULL,35,1,0
17432,3053,SC-00029,49513,20054,38,95389,2,0,8,0.00,0.00,1,27171.00,"STANLEY 7 Drawer Roller Cabinet 674 X 459 X 857 mm - 93-547-23ID",0.00,0.00,0,0,25328.60,BM0C8T1,a%3A0%3A%7B%7D,NULL,28142.89,93-547-23ID,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,7326,NULL,36,1,0
17432,3053,SC-00029,49514,20054,39,698425,12,0,48,0.00,0.00,1,219.00,"STANLEY Plier Long Nose Length 203 mm 8"" - STHT84102-8",0.00,0.00,0,0,204.05,BM1G0B8,a%3A0%3A%7B%7D,NULL,226.72,STHT84102-8,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8203,NULL,37,1,0
17432,3053,SC-00029,49515,20054,40,698400,12,0,48,0.00,0.00,1,180.00,"STANLEY Plier Diagonal Cutting Length 154 mm 6"" - STHT84105-8",0.00,0.00,0,0,167.75,BM1F9Z5,a%3A0%3A%7B%7D,NULL,186.39,STHT84105-8,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8203,NULL,38,1,0
17432,3053,SC-00029,49516,20054,41,646035,12,0,48,0.00,0.00,1,305.00,"STANLEY Circlip Plier Bent Internal Length 230 mm 9"" - 84-448-23",0.00,0.00,0,0,273.35,BM0C7R3,a%3A0%3A%7B%7D,NULL,303.72,84-448-23,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8203,NULL,39,1,0
17432,3053,SC-00029,49517,20054,30,646036,12,0,48,0.00,0.00,1,305.00,"STANLEY Circlip Plier Straight External Length 230 mm 9"" - 84-335-23",0.00,0.00,0,0,264.55,BM0C7R6,a%3A0%3A%7B%7D,NULL,293.94,84-335-23,ea,"3-4 weeks",0,0,135,16,"CGST + SGST 18%",0,8203,NULL,28,1,0
