sr_no,name,brand,mpn,sku,quantity,tax_code,tax_rate,is_service,category_id
1,HONEYWELL A700 GREY FRAME TSR - 1015351,HONEYWELL,1015351,,1,90044901,18,-,Eye Protection
2,HONEYWELL A700 CLEAR FRAME AF - 1015360,HONEYWELL,1015360,,1,90044901,18,-,Eye Protection
3,HONEYWELL A700 CLEAR FRAME HC  BULK - 1015361,HONEYWELL,1015361,,1,90044901,18,-,Eye Protection
4,HONEYWELL A700 GREY FRAME TSR GREY HC - 1015362,HONEYWELL,1015362,,1,90044901,18,-,Eye Protection
5,HONEYWELL A700 CLEAR FRAME AMB TEMPLES AMB HC LENS - 1015441,HONEYWELL,1015441,,1,90044901,18,-,Eye Protection
6,HONEYWELL A800 GREY TEMPLES/ I/O SILVER LENS HC - 1015350,HONEYWELL,1015350,,1,40155110,18,-,Eye Protection
7,HONEYWELL A800 GREY TEMPLES/TSR GREY LENS FOGBAN - 1015367,HONEYWELL,1015367,,1,90044901,18,-,Eye Protection
8,HONEYWELL A800 CLEAR TEMPLES/CLEAR LENS FOGBAN - 1015369,HONEYWELL,1015369,,1,90044901,18,-,Eye Protection
9,HONEYWELL A800 GREY TEMPLES/TSR GREY LENS HC - 1015368-H6,HONEYWELL,1015368-H6,,1,90044901,18,-,Eye Protection
10,HONEYWELL A800 CLEAR TEMPLES/CLEAR LENS HC - 1015370-H6,HONEYWELL,1015370-H6,,1,90044901,18,-,Eye Protection
11,HONEYWELL ADAPTEC N BLUE/GREY CLEAR 4A+ - 1030740,HONEYWELL,1030740,,1,90044901,18,-,Eye Protection
12,HONEYWELL ADAPTEC R BLACK/RED CLEAR 4A+ - 1030749,HONEYWELL,1030749,,1,90044901,18,-,Eye Protection
13,HONEYWELL HW ADAPTEC BLUE/GREY CLR 4A(10Each) - 1030750,HONEYWELL,1030750,,1,90044901,18,-,Eye Protection
14,HONEYWELL SPERIAN ADAPTEC BLACK/RED I/O 4A+(10EA) - 1030751,HONEYWELL,1030751,,1,90044901,18,-,Eye Protection
15,HONEYWELL WIDE BL FRAME CLEAR LENS - 1030760,HONEYWELL,1030760,,1,90044901,18,-,Eye Protection
16,HONEYWELL HONEYWELL ADAPTEC BLACK/RED CLR 4A(10EA) - 1030749-H5,HONEYWELL,1030749-H5,,1,90044901,18,-,Eye Protection
17,HONEYWELL HW ADAPTEC REG BK FR CLR HS - 1030749HS,HONEYWELL,1030749HS,,1,90044901,18,-,Eye Protection
18,HONEYWELL Honeywell Avatar Black / HydroShield coating/ Clear lens - 1034831,HONEYWELL,1034831,,1,90044901,18,-,Eye Protection
19,HONEYWELL Honeywell Avatar Black / HydroShield coating/ Grey lens - 1034832,HONEYWELL,1034832,,1,90044901,18,-,Eye Protection
