sr_no,name,brand,mpn,sku,quantity,tax_code,tax_rate,is_service,category_id
1,"HONEYWELL COMPLETE FACEPIECE,HEAD STRAP,MEDIUM - RU65001M",HONEYWELL,RU65001M,,1,90200000,12,no,3285
2,"HONEYWELL COMPLETE FACEPIECE,HEADNET, MEDIUM - RU65002M",HONEYWELL,RU65002M,,1,90200000,12,no,3285
3,"HONEYWELL HALF-MASK, MEDIUM, PACKAGED, BLUE - RU85004M",HONEYWELL,RU85004M,,1,90200000,12,no,3285
4,HONEYWELL RESP ASSY CFR-1 M N95 - 4200M,HONEYWELL,4200M,,1,90200000,12,no,3285
5,"HONEYWELL CFR-1 N95 RESP WELDING ASSY, MD - 4200MW",HONEYWELL,4200MW,,1,90200000,12,no,3285
6,HONEYWELL ADF BV913  4-9/13 90x110 - 212920,HONEYWELL,212920,,1,90022000,18,no,4880
7,HONEYWELL DAVS-1404 AIRVISOR SPARE C/CARTRIDGE - 1001672,HONEYWELL,1001672,,1,90200000,12,no,4880
8,"HONEYWELL RES, 4.64K, 1%, 1/16W, 0402 - 1001674",HONEYWELL,1001674,,1,90200000,12,no,4880
9,HONEYWELL DAVS-1408 - 1001676,HONEYWELL,1001676,,1,39266101,18,no,4880
10,HONEYWELL DAF-7319 BLUELINE 3.5M HOSE - 1001726,HONEYWELL,1001726,,1,90200000,12,no,4880
11,HONEYWELL SPERIAN BLUELINE AIR HOSE 7.5 meters - 1001727,HONEYWELL,1001727,,1,90200000,12,no,4880
12,HONEYWELL SPERIAN BLUELINE AIR HOSE 30 meters - 1001729,HONEYWELL,1001729,,1,90200000,12,no,4880
13,HONEYWELL SPERIAM HOSE PIPE 20 MTR - 1001730,HONEYWELL,1001730,,1,90200000,12,no,4880
14,HONEYWELL DAF-9220 AIRVISOR SPARE VISOR COVER - 1001731,HONEYWELL,1001731,,1,39266101,18,no,4880
15,HONEYWELL DAF-9257 AIRVISOR - 1001733,HONEYWELL,1001733,,1,39266101,18,no,4880
16,HONEYWELL SPERIAN DTMV-1202 TURBOVISOR MV EURO 6HR - 1001771,HONEYWELL,1001771,,1,90200000,12,no,4880
17,HONEYWELL SPERIAN DAF-7350 BLUELINE 10M HOSE - 1004716,HONEYWELL,1004716,,1,90200000,12,no,4880
18,HONEYWELL BROWGUARD & HEADBAND FOR AIRVISOR 2 - 1028821,HONEYWELL,1028821,,1,39266101,18,no,4880
19,HONEYWELL BLACK PROTECTIVE PLASTIC CAP - 1824671-SP,HONEYWELL,1824671-SP,,1,90200000,12,no,4880
20,HONEYWELL Elbow Outlet Raccord Coude Equip - 1824673-SP,HONEYWELL,1824673-SP,,1,90200000,12,no,4880
