HSN Desc,HSN Description
1001,WHEAT AND MESLIN - DURUM WHEAT :
100110,DURUM WHEAT
10011010,WHEAT AND MESLIN DURUM WHEAT : OF SEED QUALITY
10011090,WHEAT AND MESLIN DURUM WHEAT : OTHER
100111,DURUM WHEAT
10011100,SEED
100119,OTHER
10011900,OTHER
100190,OTHER
10019010,WHEAT AND MESLIN OTHER : WHEAT OF SEED QUALITY
10019020,WHEAT AND MESLIN OTHER : OTHER WHEAT
10019031,WHEAT AND MESLIN OTHER : MESLIN : OF SEED QUALITY
10019039,WHEAT AND MESLIN OTHER : MESLIN : OTHER
100191,OTHER
10019100,SEED
100199,OTHER
10019910,WHEAT
10019920,MESLIN
1002,RYE
100200,RYE
10020010,RYE RYE : OF SEED QUALITY
10020090,RYE RYE : OTHER
100210,RYE SEED
10021000,SEED
100290,OTHER
10029000,OTHER
1003,BARLEY
100300,BARLEY
10030010,BARLEY BARLEY : OF SEED QUALITY
10030090,BARLEY BARLEY : OTHER
100310,SEED
10031000,SEED
100390,OTHER
10039000,OTHER
1004,OATS
100400,OATS
10040010,OATS OATS : OF SEED QUALITY
10040090,OATS OATS : OTHER
100410,OATS SEED
10041000,SEED
100490,OTHER
10049000,OTHER
1005,MAIZE (CORN)
10051000,MAIZE (CORN) SEED
100590,OTHER
10059000,MAIZE (CORN)OTHER
10059011,YELLOW
10059019,OTHER
10059020,FLINT CORN (ZEAMAYS VAR. INDURATA)
10059030,"POPCORN (ZEA MAYS VER,EVERTA)"
10059090,OTHER
1006,RICE
100610,RICE IN THE HUSK (PADDY OR ROUGH)
10061010,RICE RICE IN THE HUSK (PADDY OR ROUGH) : OF SEED QUALITY
10061090,RICE RICE IN THE HUSK (PADDY OR ROUGH) : OTHER
10062000,RICE HUSKED (BROWN) RICE
100630,"SEMI-MILLED OR WHOLLY-MILLED RICE, WHETHER OR NOT POLISHED OR GLAZED"
10063010,"RICE SEM-MILLED OR WHOLLY-MILLED RICE, WHETHER OR NOT POLISHED OR GLAZED : RICE, PARBOILED"
