invoice_number,created_at,inquiry_number,created_at,customer_committed_date,delivery_date,Date Difference,Cat,Delivery Date
202001660,2019-08-17 17:07:58,36717,2019-07-23 15:39:27,8/3/2019,7/31/2019,-3,ON OR BEFORE TIME,7/31/2019
205000192,2019-08-01 18:19:24,36750,2019-07-24 13:02:53,8/10/2019,8/3/2019,-7,ON OR BEFORE TIME,8/3/2019
204000552,2019-08-07 17:56:05,36881,2019-07-26 17:58:00,9/5/2019,8/14/2019,-22,ON OR BEFORE TIME,8/14/2019
205000194,2019-08-01 18:35:11,35495,2019-06-12 17:58:26,10/30/2019,8/3/2019,-88,ON OR BEFORE TIME,8/3/2019
205000195,2019-08-01 18:42:00,36203,2019-07-06 15:43:11,8/30/2019,8/3/2019,-27,ON OR BEFORE TIME,8/3/2019
205000193,2019-08-01 18:30:06,36243,2019-07-09 11:44:15,9/30/2019,8/3/2019,-58,ON OR BEFORE TIME,8/3/2019
204000586,2019-08-19 18:59:04,35703,2019-06-20 11:50:59,7/20/2019,7/19/2019,-1,ON OR BEFORE TIME,7/19/2019
202001663,2019-08-19 12:41:06,33087,2019-03-27 09:39:27,6/30/2019,6/29/2019,-1,ON OR BEFORE TIME,6/29/2019
202001695,2019-08-20 16:19:57,36643,2019-07-22 11:57:26,9/10/2019,8/22/2019,-19,ON OR BEFORE TIME,8/22/2019
202001692,2019-08-20 16:03:55,35807,2019-06-24 16:34:35,7/26/2019,7/24/2019,-2,ON OR BEFORE TIME,7/24/2019
202001459,2019-08-02 12:10:52,30808,2019-01-16 19:07:33,7/24/2019,2/14/2019,-160,ON OR BEFORE TIME,2/14/2019
204000555,2019-08-08 05:52:57,35466,2019-06-12 11:22:43,7/11/2019,7/10/2019,-1,ON OR BEFORE TIME,7/10/2019
202001458,2019-08-01 17:01:01,34175,2019-05-02 16:07:13,5/22/2019,5/21/2019,-1,ON OR BEFORE TIME,5/21/2019
201000027,2019-08-02 12:57:12,37088,2019-08-01 16:04:08,7/30/2019,7/29/2019,-1,ON OR BEFORE TIME,7/29/2019
201000028,2019-08-02 12:59:43,37092,2019-08-01 16:45:32,8/1/2019,8/2/2019,1,DELAYED BY <2 DAYS,8/2/2019
204000582,2019-08-19 12:55:59,32594,2019-03-12 10:24:00,4/18/2019,4/17/2019,-1,ON OR BEFORE TIME,4/17/2019
204000585,2019-08-19 18:46:19,35876,2019-06-26 13:37:33,8/15/2019,8/13/2019,-2,ON OR BEFORE TIME,8/13/2019
202001573,2019-08-09 19:56:07,33993,2019-04-25 18:50:02,6/13/2019,6/12/2019,-1,ON OR BEFORE TIME,6/12/2019
202001464,2019-08-02 14:25:35,35675,2019-06-19 14:05:31,7/10/2019,7/8/2019,-2,ON OR BEFORE TIME,7/8/2019
205000197,2019-08-02 14:15:55,35601,2019-06-17 13:09:25,6/29/2019,6/28/2019,-1,ON OR BEFORE TIME,6/28/2019
202001537,2019-08-08 12:05:09,36478,2019-07-16 18:27:44,8/10/2019,8/8/2019,-2,ON OR BEFORE TIME,8/8/2019
202001465,2019-08-02 14:38:58,36117,2019-07-04 11:29:24,7/24/2019,7/25/2019,1,DELAYED BY <2 DAYS,7/25/2019
202001460,2019-08-02 10:56:23,36479,2019-07-16 18:34:07,8/8/2019,8/8/2019,0,ON OR BEFORE TIME,8/8/2019
202001462,2019-08-02 11:44:23,36918,2019-07-29 13:25:58,8/18/2019,8/8/2019,-10,ON OR BEFORE TIME,8/8/2019
202001519,2019-08-07 16:18:31,36670,2019-07-22 17:50:44,7/26/2019,7/25/2019,-1,ON OR BEFORE TIME,7/25/2019
202001520,2019-08-07 16:27:41,36994,2019-07-31 11:48:34,8/9/2019,7/9/2019,-31,ON OR BEFORE TIME,7/9/2019
205000217,2019-08-08 13:24:59,36821,2019-07-25 17:34:58,8/5/2019,8/4/2019,-1,ON OR BEFORE TIME,8/4/2019
202001574,2019-08-09 19:56:44,36598,2019-07-19 16:07:15,7/31/2019,7/30/2019,-1,ON OR BEFORE TIME,7/30/2019
205000211,2019-08-08 16:51:27,37115,2019-08-02 14:46:11,9/30/2019,8/3/2019,-58,ON OR BEFORE TIME,8/3/2019
218000053,2019-08-02 15:27:52,29944,2018-12-17 14:16:24,5/30/2019,5/29/2019,-1,ON OR BEFORE TIME,5/29/2019
205000224,2019-08-09 17:46:38,36255,2019-07-09 12:53:28,7/18/2019,7/10/2019,-8,ON OR BEFORE TIME,7/10/2019
202001468,2019-08-02 15:17:54,35728,2019-06-20 16:36:58,7/29/2019,7/28/2019,-1,ON OR BEFORE TIME,7/28/2019
204000561,2019-08-09 14:31:58,36651,2019-07-22 12:53:02,8/6/2019,8/21/2019,15,DELAYED BY 14-28 DAYS,8/21/2019
202001754,2019-08-23 18:53:41,36006,2019-07-01 14:04:06,7/12/2019,7/11/2019,-1,ON OR BEFORE TIME,7/11/2019
205000207,2019-08-03 15:03:31,36847,2019-07-26 11:39:31,8/30/2019,8/10/2019,-20,ON OR BEFORE TIME,8/10/2019
202001469,2019-08-02 17:12:04,27541,2018-09-25 00:00:00,7/31/2019,7/30/2019,-1,ON OR BEFORE TIME,7/30/2019
202001536,2019-08-08 11:18:47,36427,2019-07-15 16:17:27,8/1/2019,8/16/2019,15,DELAYED BY 14-28 DAYS,8/16/2019
209000064,2019-08-10 16:46:06,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
