Account,Target
Henkel,833
GE Power Systems,573
Reliance,407
Cummins,375
Daulatram Engg.,360
AMAT,308
Piramal,300
ABB,300
Flex,296
GHCL,279
Beckman Coulter,267
GE,245
SSI,225
Cargill,225
Sparsh Welfare Trust,225
DHL,225
GE Diesel Locomotive Pvt. Ltd.,223
Abbott,170
GlaxoSmithKline,150
L and T,144
Reckitt Benckiser,144
Procter & Gamble,144
GE T and D India Ltd.,130
Huntsman,120
Colgate,110
Bennett Coleman,86
Raymond,83
Covestro,79
Godrej,75
ZF India,75
Shell,75
Plasser India,75
IAC International,72
Jubliant,72
POSCO,72
Indeed India,69
Eaton Technologies,58
Bombardier Transportation India Pvt. Ltd.,54
Midland Credit,52
Schlumberger,51
Mahindra & Mahindra,48
IR,45
Merck,45
Ashirvad Pipes Pvt. Ltd.,43
Indo Mim,43
IAC International,43
Siemens,43
Deep Industries,43
Gillette India Ltd.,43
Stanley Engineered,43
Maschio,35
Nivea India,33
DS Namah,32
Teva,30
Ultratech,30
Indian Navy,30
New Horizons,29
Asahi India Glass,25
Sulzer Pumps India Pvt. Ltd.,21
Magicbricks,21
Adino Telecom,17
APM Terminals,17
MGL,17
Duroshox,16
Compass Group,16
Ascott Beverly Park Hospitality,15
Avadh Engineering,15
BEL Optronic,14
Hyosung,14
Nhava Sheva,14
CG Power,12
Supermax personal Care Pvt. Ltd.,12
Hindustan Zinc,12
RIL,11
Karl Mayer,11
NTPC Ltd.,10
Entrues Business,10
Videojet,9
Trusted Industry,9
Delhivery,9
Carlsberg,9
BORL,9
Liugong India,9
Devang Engineering,9
Railcoach,8
Oerlikon,7
Cipla,7
Procter & Gamble Hygiene,7
Inarco,7
Jacliz Nigeria Ltd.,7
Bharat Container,6
Jade EServices Pvt. Ltd.,6
Safety Solutions,6
HD Wires,6
Myntra Jabong India,6
Husco,6
MRL Lubricants,5
Bharti Airtel,5
GIA India Lab.,5
Crosslay Remedies,5
Bhushan Power Steel,4
Delhi International Airport,4
SRF Ltd.,4
Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,4
Unique Industrials,4
Dr. Lal PathLabs,3
VVF,3
PRATYARPANA,3
Entertainment City,3
Samsung,3
The Lalit,3
Parveen Industries,3
Mahindra,3
Owens Corning India,3
JINDAL,3
Avi Worldwide,2
Ayoki Exports,2
Procter,2
Jai Bhavani Engitech,2
Kirloskar,2
IndiaFIRST Robotics,2
Asian Paints,2
Maharashtra Seamless,2
Mott MacDonald,2
Troikaa Pharma,2
ITC,2
Dhiren Traders,1
The Himalaya Drug,1
PNP Maritime,1
Vako Seals,1
VVF India,1
Sai Indo Metal Resources,1
Value Beverages,1
Xpro India,1
Trident Computer,1
Landmark Cars,1
Sukan,1
Trident,1
Kubota,1
C and E Ltd.,1
Johoku Manufacturing,1
Central Garden,1
Emerson,1
Demosha Chemicals,1
Truevalue,0
South West Pinnacle,0
S.K.Enterprises,0
Andhra Electronics,0
Knexir Consultants,0
HSIL,0
Metso,0
Bharti Hexacom Ltd,0
Micron Enterprises,0
AIC Lab Equipments,0
Panexcell Clinical,0
Rahul Automobiles,0
Gillette India Ltd.,0
Show Plus Expos,0
Samsung CandT India,0
HYATT,0
Talis Valves,0
Max MRO,0
SOKTAS,0
TAJ,0
Mirza International,0
Sotax,0
Aadrsh Motors,0
Rare Enterprises,0
ICAR,0
Abdon M Valladares,0
KBB,0
GE AQCS,0
ARB Buildcon,0
Rex Industries,0
Alstom,0
Rexel India,0
BDI (GE Healthcare),0
KBS Creations,0
Pragati Power,0
.,
OTHERS,
MNR Marketing LLP,0
BARC,0
KazStroy,0
Dolphin,0
MS Technosys,0
SABIC,0
HPCL Mittal,0
KV Fire Chemicals,0
JSE,0
Johnson Matthey Chem. India,0
NRL,0
Bituflex,0
Galiakotwala,0
IEC-TSL,0
IGL,0
Assam Air,0
ONGC,0
Sabarmati Gas,0
Ganesh Enterprises,0
John Energy,0
Brahmaputra,0
Sasan Power,0
Atomic Energy,0
Johnson Matthey Chem,0
Applied Analytics,0
Magnetti Marelli,0
Konkan Barge Builders,0
GAIL,0
Indraprashta Gas,0
Olx India Pvt Ltd,0
Sri Lakshmi Enterprises,0
GLS,0
Cars24,0
Tech Vision,0
Asian Hotels,0
Universal Enterprises,0
Tehmetall,0
SSF Plastics,0
Refteck Solutions,0
Bosch,0
GTC Oil Field,0
Case New,0
Simplex,0
Jade EServices,0
Sew-Eurodrive,0
AGG Lifesciences,0
Air India Engineering,0
Automotive Research,0
Fabtech,0
Sakshi Enterprises,0
Air India Engineering ,0
