role_name,model_name,action_name
Inside Sales Manager,po_request,new_purchase_order
Inside Sales Manager,po_request,po_amended
Inside Sales Manager,po_request,product_resync_inventory
Inside Sales Manager,po_request,manager_amended
Inside Sales Manager,po_request,create_purchase_order
Inside Sales Executive,po_request,new_purchase_order
Inside Sales Executive,po_request,po_amended
Inside Sales Executive,po_request,product_resync_inventory
Inside Sales Executive,po_request,manager_amended
Inside Sales Executive,po_request,create_purchase_order
Logistics,po_request,new_purchase_order
Logistics,po_request,po_amended
Logistics,po_request,product_resync_inventory
Logistics,po_request,manager_amended
Logistics,po_request,create_purchase_order
Accounts,po_request,new_purchase_order
Accounts,po_request,po_amended
Accounts,po_request,product_resync_inventory
Accounts,po_request,manager_amended
Accounts,po_request,create_purchase_order
Inside Sales Team Leader,po_request,new_purchase_order
Inside Sales Team Leader,po_request,po_amended
Inside Sales Team Leader,po_request,product_resync_inventory
Inside Sales Team Leader,po_request,manager_amended
Inside Sales Team Leader,po_request,create_purchase_order
Accounts,sales_order,account_approval
Accounts,sales_order,new_accounts_confirmation
Accounts,sales_order,create_account_confirmation
Accounts,sales_order,order_cancellation_model
Accounts,sales_order,cancellation
Logistics,purchase_order,cancelled_purchase_order
Logistics,purchase_order,cancelled_purchase_modal
Logistics,po_request,reject_purchase_order_modal
Logistics,po_request,rejected_purchase_order
Admin,po_request,new_purchase_order
Admin,po_request,po_amended
Admin,po_request,product_resync_inventory
Admin,po_request,manager_amended
Admin,po_request,create_purchase_order
Admin,po_request,new_purchase_order
Admin,po_request,po_amended
Admin,po_request,product_resync_inventory
Admin,po_request,manager_amended
Admin,po_request,create_purchase_order
Admin,po_request,new_purchase_order
Admin,po_request,po_amended
Admin,po_request,product_resync_inventory
Admin,po_request,manager_amended
Admin,po_request,create_purchase_order
Admin,po_request,new_purchase_order
Admin,po_request,po_amended
Admin,po_request,product_resync_inventory
Admin,po_request,manager_amended
Admin,po_request,create_purchase_order
Admin,po_request,new_purchase_order
Admin,po_request,po_amended
Admin,po_request,product_resync_inventory
Admin,po_request,manager_amended
Admin,po_request,create_purchase_order
Admin,sales_order,account_approval
Admin,sales_order,new_accounts_confirmation
Admin,sales_order,create_account_confirmation
Admin,sales_order,order_cancellation_model
Admin,sales_order,cancellation
Admin,purchase_order,cancelled_purchase_order
Admin,purchase_order,cancelled_purchase_modal
Admin,po_request,reject_purchase_order_modal
Admin,po_request,rejected_purchase_order
Admin,sales_order,account_approval_pending
Inside Sales Manager,sales_order,account_approval_pending
Inside Sales Executive,sales_order,account_approval_pending
Inside Sales Team Leader,sales_order,account_approval_pending
Accounts,sales_order,account_approval_pending
Admin,purchase_order,pending_sap_sync
Logistics,purchase_order,pending_sap_sync
Accounts,purchase_order,pending_sap_sync
Admin Leadership Team,outward_dispatch,make_packing_zip
Logistics,outward_dispatch,make_packing_zip
Admin,outward_dispatch,make_packing_zip
Admin Leadership Team,packing_slip,add_packing
Logistics,packing_slip,add_packing
Admin,packing_slip,add_packing
Admin Leadership Team,packing_slip,submit_packing
Logistics,packing_slip,submit_packing
Admin,packing_slip,submit_packing
Admin Leadership Team,packing_slip,edit_outward_packing_slips
Logistics,packing_slip,edit_outward_packing_slips
Admin,packing_slip,edit_outward_packing_slips
,,
Logistics,purchase_order,change_material_status
Admin,purchase_order,change_material_status
Admin,outward_dispatch,render_modal_form
Logistics,outward_dispatch,render_modal_form
Admin Leadership Team,outward_dispatch,render_modal_form
Accounts,outward_dispatch,render_modal_form
Inside Sales Team Leader,outward_dispatch,render_modal_form
Admin,outward_dispatch,add_comment
Logistics,outward_dispatch,add_comment
Admin Leadership Team,outward_dispatch,add_comment
Accounts,outward_dispatch,add_comment
Inside Sales Team Leader,outward_dispatch,add_comment
Admin,ar_invoice_request,render_modal_form
Logistics,ar_invoice_request,render_modal_form
Admin Leadership Team,ar_invoice_request,render_modal_form
Accounts,ar_invoice_request,render_modal_form
Inside Sales Team Leader,ar_invoice_request,render_modal_form
Admin,ar_invoice_request,add_comment
Logistics,ar_invoice_request,add_comment
Admin Leadership Team,ar_invoice_request,add_comment
Accounts,ar_invoice_request,add_comment
Inside Sales Team Leader,ar_invoice_request,add_comment
Admin,inquiry,render_modal_form
Logistics,inquiry,render_modal_form
Admin Leadership Team,inquiry,render_modal_form
Accounts,inquiry,render_modal_form
Inside Sales Team Leader,inquiry,render_modal_form
Admin,inquiry,add_comment
Logistics,inquiry,add_comment
Admin Leadership Team,inquiry,add_comment
Accounts,inquiry,add_comment
Inside Sales Team Leader,inquiry,add_comment
Admin,sales_order,render_modal_form
Logistics,sales_order,render_modal_form
Admin Leadership Team,sales_order,render_modal_form
Accounts,sales_order,render_modal_form
Inside Sales Team Leader,sales_order,render_modal_form
Admin,sales_order,add_comment
Logistics,sales_order,add_comment
Admin Leadership Team,sales_order,add_comment
Accounts,sales_order,add_comment
Inside Sales Team Leader,sales_order,add_comment
Admin,inward_dispatch,render_modal_form
Logistics,inward_dispatch,render_modal_form
Admin Leadership Team,inward_dispatch,render_modal_form
Accounts,inward_dispatch,render_modal_form
Inside Sales Team Leader,inward_dispatch,render_modal_form
Admin,inward_dispatch,add_comment
Logistics,inward_dispatch,add_comment
Admin Leadership Team,inward_dispatch,add_comment
Accounts,inward_dispatch,add_comment
Inside Sales Team Leader,inward_dispatch,add_comment
